id,acc_rh_x,acc_rh_y,acc_rh_z,gyro_rh_x,gyro_rh_y,gyro_rh_z,acc_lh_x,acc_lh_y,acc_lh_z,gyro_lh_x,gyro_lh_y,gyro_lh_z,acc_leg_x,acc_leg_y,acc_leg_z,gyro_leg_x,gryo_leg_y,gryo_leg_z
1,-0.845,-0.354,0.034,84.33,13.35,2.81,-0.880,0.416,-0.160,20.22,-13.63,-0.77,-0.901,-0.138,-0.105,-24.23,-13.12,-2.09
2,-0.842,-0.490,-0.032,-4.12,-7.87,3.00,-0.903,0.299,-0.148,-2.43,0.02,0.70,-0.901,-0.139,-0.116,-46.88,0.53,-0.62
3,-0.806,-0.593,-0.202,0.11,0.20,-3.87,-0.849,0.423,-0.145,3.20,-3.43,1.75,-0.883,-0.134,-0.082,-41.25,-2.93,0.43
4,-0.806,-0.444,-0.244,-5.97,-1.11,-2.40,-0.863,0.381,-0.173,-6.51,-1.14,0.66,-0.894,-0.135,-0.098,-50.96,-0.63,-0.66
5,-0.809,-0.458,-0.240,-1.47,-0.79,-0.14,-0.873,0.397,-0.166,-6.51,-0.50,0.50,-0.890,-0.140,-0.086,-50.96,0.00,-0.82
6,-0.806,-0.466,-0.239,-1.80,-1.30,1.89,-0.874,0.408,-0.170,-5.75,0.11,0.72,-0.882,-0.137,-0.091,-50.20,0.61,-0.60
7,-0.810,-0.463,-0.238,-3.12,-2.20,2.88,-0.877,0.412,-0.155,-5.87,0.52,0.95,-0.883,-0.139,-0.102,-50.33,1.02,-0.37
8,-0.818,-0.466,-0.260,-4.06,-3.28,3.85,-0.869,0.418,-0.157,-6.07,1.46,1.27,-0.890,-0.137,-0.091,-50.52,1.97,-0.05
9,-0.832,-0.466,-0.261,-4.55,-3.97,3.65,-0.872,0.412,-0.143,-6.07,2.04,2.02,-0.895,-0.139,-0.086,-50.52,2.55,0.70
10,-0.836,-0.453,-0.254,-4.48,-4.34,2.70,-0.873,0.409,-0.136,-6.29,2.10,2.43,-0.893,-0.142,-0.092,-50.74,2.60,1.11
11,-0.836,-0.461,-0.254,-5.63,-4.39,2.42,-0.869,0.398,-0.141,-5.01,1.29,2.52,-0.894,-0.135,-0.090,-49.46,1.79,1.20
12,-0.834,-0.449,-0.271,-5.98,-4.36,2.59,-0.872,0.386,-0.146,-3.46,0.89,2.40,-0.891,-0.136,-0.101,-47.91,1.40,1.08
13,-0.830,-0.443,-0.282,-4.16,-3.69,2.75,-0.866,0.389,-0.149,-3.06,0.51,2.10,-0.893,-0.136,-0.091,-47.51,1.01,0.78
14,-0.832,-0.452,-0.259,-1.70,-2.72,2.75,-0.873,0.383,-0.154,-4.71,0.79,1.75,-0.893,-0.141,-0.097,-49.16,1.29,0.43
