id,acc_rh_x,acc_rh_y,acc_rh_z,gyro_rh_x,gyro_rh_y,gyro_rh_z,acc_lh_x,acc_lh_y,acc_lh_z,gyro_lh_x,gyro_lh_y,gyro_lh_z,acc_leg_x,acc_leg_y,acc_leg_z,gyro_leg_x,gryo_leg_y,gryo_leg_z
9527,-0.147,-0.657,-0.710,22.81,2.77,-5.62,-0.870,0.415,-0.258,5.71,-2.04,-4.10,-0.884,-0.152,-0.104,5.71,-2.04,-4.10
9528,-0.194,-1.120,-0.372,34.12,-2.60,-2.10,-0.581,0.289,-0.553,-5.29,32.78,32.85,-0.888,-0.177,-0.108,-5.29,32.78,32.85
9529,-0.956,-0.101,-0.146,7.55,-3.64,4.45,-0.946,0.230,-0.113,40.47,-19.20,25.78,-0.876,-0.216,-0.204,40.47,-19.20,25.78
9530,-0.890,-0.263,-0.224,-50.35,7.61,-22.32,-0.874,0.200,-0.262,-9.29,15.48,6.40,-0.897,-0.160,-0.136,-9.29,15.48,6.40
9531,-0.854,-0.089,-0.478,-30.82,0.44,-6.65,-0.852,0.504,-0.022,-28.60,3.27,-1.36,-1.040,0.351,0.021,-28.60,3.27,-1.36
9532,-0.878,-0.111,-0.422,-6.42,7.76,-6.90,-0.901,0.498,-0.046,-5.62,-1.51,4.98,-1.192,0.412,-0.111,-5.62,-1.51,4.98
9533,-0.932,-0.129,-0.376,16.01,12.07,-4.43,-1.007,0.439,-0.080,8.33,-4.87,6.90,-1.668,1.278,-0.171,8.33,-4.87,6.90
9534,-0.968,-0.138,-0.349,39.79,16.51,-1.87,-1.049,0.408,-0.096,-1.24,-7.58,4.96,-0.975,-0.211,-0.269,-1.24,-7.58,4.96
9535,-0.904,-0.216,-0.301,57.65,17.43,-3.62,-0.993,0.415,-0.084,-12.90,-12.89,5.60,-1.128,0.202,-0.130,-12.90,-12.89,5.60
9536,-0.840,-0.263,-0.307,41.58,10.54,-9.90,-0.883,0.420,-0.060,-9.49,-19.66,11.78,-1.057,0.310,-0.086,-9.49,-19.66,11.78
9537,-0.886,-0.261,-0.367,2.09,5.00,-14.93,-0.824,0.416,-0.055,6.29,-27.54,17.07,-1.029,0.334,0.007,6.29,-27.54,17.07
9538,-0.924,-0.145,-0.403,-18.71,5.10,-18.02,-0.831,0.403,-0.094,22.21,-31.28,13.86,-0.897,0.161,-0.001,22.21,-31.28,13.86
9539,-0.892,-0.035,-0.390,-9.02,7.81,-18.83,-0.849,0.373,-0.118,28.34,-28.08,2.97,-0.913,0.146,-0.026,28.34,-28.08,2.97
9540,-0.852,-0.062,-0.409,7.19,6.80,-14.40,-0.860,0.385,-0.139,27.12,-21.03,-6.58,-0.965,0.141,-0.021,27.12,-21.03,-6.58
9541,-0.832,-0.091,-0.427,5.89,3.43,-5.71,-0.886,0.406,-0.129,24.14,-13.50,-8.87,-0.976,0.103,0.006,24.14,-13.50,-8.87
9542,-0.840,-0.107,-0.429,-3.65,-1.34,3.50,-0.921,0.378,-0.166,9.34,-4.17,-7.92,-0.968,0.028,0.015,9.34,-4.17,-7.92
9543,-0.882,-0.194,-0.500,-16.69,-2.04,9.02,-0.943,0.418,-0.177,-14.07,5.94,-5.40,-0.961,-0.040,-0.018,-14.07,5.94,-5.40
