id,acc_rh_x,acc_rh_y,acc_rh_z,gyro_rh_x,gyro_rh_y,gyro_rh_z,acc_lh_x,acc_lh_y,acc_lh_z,gyro_lh_x,gyro_lh_y,gyro_lh_z,acc_leg_x,acc_leg_y,acc_leg_z,gyro_leg_x,gryo_leg_y,gryo_leg_z
1,-0.8616,-0.3882,-0.1650,12.49,3.91,-2.75,-0.8150,0.4566,-0.1514,-26.46,17.28,-14.28,-0.8150,0.4566,-0.1514,-26.46,17.28,-14.28
2,0.3147,-0.7686,-0.3721,-138.71,-31.66,-64.20,0.4434,0.8032,0.0400,119.92,-93.90,68.91,0.4434,0.8032,0.0400,119.92,-93.90,68.91
3,0.2835,-0.6902,-1.6275,13.74,-7.28,-37.33,0.1003,0.8194,-0.4177,-48.38,-6.82,20.46,0.1003,0.8194,-0.4177,-48.38,-6.82,20.46
4,0.2534,-0.6848,-1.7479,-33.72,31.04,-40.48,0.0383,0.7254,-0.4790,-17.42,21.90,33.48,0.0383,0.7254,-0.4790,-17.42,21.90,33.48
5,0.1619,-0.4859,-1.8267,-54.93,55.56,-34.45,0.0439,0.6140,-0.4783,3.99,42.88,35.58,0.0439,0.6140,-0.4783,3.99,42.88,35.58
6,0.1328,-0.4326,-1.8138,-63.17,78.13,-24.48,0.1265,0.4924,-0.4607,19.56,65.08,29.94,0.1265,0.4924,-0.4607,19.56,65.08,29.94
7,0.0791,-0.4165,-1.8321,-70.23,98.82,-10.32,0.2315,0.3191,-0.3140,29.40,86.98,14.53,0.2315,0.3191,-0.3140,29.40,86.98,14.53
8,0.0020,-0.3587,-1.7803,-65.40,112.48,2.16,0.3638,0.1887,-0.0884,20.04,100.74,-5.10,0.3638,0.1887,-0.0884,20.04,100.74,-5.10
9,0.0159,-0.2085,-1.5796,-49.20,118.14,12.69,0.5547,0.2258,0.2380,6.10,99.29,-24.70,0.5547,0.2258,0.2380,6.10,99.29,-24.70
10,0.0723,-0.0855,-1.3138,-20.71,111.94,18.72,0.7842,0.4153,0.4700,-2.91,81.53,-36.57,0.7842,0.4153,0.4700,-2.91,81.53,-36.57
11,0.1348,-0.1726,-1.0723,-1.42,96.25,25.15,0.9634,0.6101,0.4878,4.60,50.74,-34.06,0.9634,0.6101,0.4878,4.60,50.74,-34.06
12,0.1875,-0.3521,-0.8841,-5.27,83.70,26.00,1.1536,0.7605,0.4531,22.97,17.55,-21.54,1.1536,0.7605,0.4531,22.97,17.55,-21.54
13,0.2307,-0.5376,-0.6323,-18.28,64.26,21.47,1.1316,0.7578,0.1399,50.46,-15.27,-2.37,1.1316,0.7578,0.1399,50.46,-15.27,-2.37
14,0.2351,-0.6135,-0.4556,-31.95,41.70,15.05,0.9947,0.6511,-0.2268,56.72,-45.38,11.60,0.9947,0.6511,-0.2268,56.72,-45.38,11.60
15,0.1128,-0.6514,-0.4595,-42.99,21.66,11.31,0.7481,0.5669,-0.6065,61.12,-67.46,14.31,0.7481,0.5669,-0.6065,61.12,-67.46,14.31
16,0.0586,-0.6279,-0.4009,-53.87,7.43,6.29,0.6463,0.4690,-0.8423,50.74,-72.34,14.66,0.6463,0.4690,-0.8423,50.74,-72.34,14.66
17,0.0415,-0.5908,-0.4102,-60.12,-3.74,2.53,0.5347,0.5447,-1.0542,47.86,-73.36,12.91,0.5347,0.5447,-1.0542,47.86,-73.36,12.91
18,0.0271,-0.4583,-0.4085,-62.65,-14.82,2.78,0.4551,0.6580,-1.1775,54.15,-70.31,3.98,0.4551,0.6580,-1.1775,54.15,-70.31,3.98
19,0.0461,-0.2459,-0.3994,-56.96,-25.54,9.03,0.4180,0.8125,-1.1868,62.44,-65.42,-0.97,0.4180,0.8125,-1.1868,62.44,-65.42,-0.97
20,0.0657,-0.1023,-0.3516,-34.17,-35.68,18.37,0.3574,0.8426,-1.2632,67.47,-56.45,-1.78,0.3574,0.8426,-1.2632,67.47,-56.45,-1.78
21,0.1414,-0.0857,-0.2380,12.51,-52.33,33.43,0.3484,0.7893,-1.2422,57.31,-51.52,-4.51,0.3574,0.8426,-1.2632,67.47,-56.45,-1.78
22,0.3032,-0.4353,-0.1189,31.73,-71.49,46.82,0.3484,0.7893,-1.2422,57.31,-51.52,-4.51,0.3484,0.7893,-1.2422,57.31,-51.52,-4.51
