id,acc_rh_x,acc_rh_y,acc_rh_z,gyro_rh_x,gyro_rh_y,gyro_rh_z,acc_lh_x,acc_lh_y,acc_lh_z,gyro_lh_x,gyro_lh_y,gyro_lh_z,acc_leg_x,acc_leg_y,acc_leg_z,gyro_leg_x,gryo_leg_y,gryo_leg_z
1,-0.8775,-0.1453,-0.4810,1.85,0.18,-10.80,0.3193,0.8907,0.2705,-7.23,-0.58,-6.94,-0.8814,-0.1807,-0.3674,-7.23,-0.58,-6.94
2,-0.8079,-0.1704,-0.4395,1.56,5.71,-1.32,0.2935,1.0125,0.2681,-8.65,42.02,-13.87,-0.8802,-0.1760,-0.3599,-8.65,42.02,-13.87
3,-0.8609,-0.1277,-0.4204,19.49,29.51,34.50,0.4527,0.7581,0.3406,2.15,-27.52,21.87,-0.8526,0.0725,-0.2642,2.15,-27.52,21.87
4,-0.7884,-0.2283,-0.6279,18.04,-12.51,2.16,-0.8186,0.5860,-0.0750,16.61,-21.08,18.33,-1.1763,-0.1780,-0.4397,16.61,-21.08,18.33
5,-0.7508,-0.6961,-0.3262,-18.50,-11.34,-61.37,0.6507,-0.0501,-0.0818,-64.84,-53.92,-187.22,-1.1763,-0.1780,-0.4397,16.61,-21.08,18.33
6,-0.7576,-0.6546,-0.3179,-33.56,-22.34,-74.64,0.6507,-0.0501,-0.0818,-64.84,-53.92,-187.22,-0.8750,-0.2996,-0.2119,-64.84,-53.92,-187.22
7,-0.7844,-0.6450,-0.2944,-47.91,-33.21,-86.37,0.3743,0.2273,-0.1821,-48.17,-75.34,-250.01,-0.9053,-0.1497,-0.2361,-64.84,-53.92,-187.22
8,-0.8450,-0.5662,-0.2888,-53.67,-43.58,-88.16,0.0083,1.0213,-0.3035,-101.35,-78.76,-250.01,-0.9468,0.0012,-0.2048,-48.17,-75.34,-250.01
9,-0.8572,-0.5835,-0.3179,-59.08,-53.96,-80.35,-0.5264,2.0000,-0.4776,54.97,-42.39,-227.58,-0.9143,-0.2498,-0.1670,-101.35,-78.76,-250.01
10,-0.8487,-0.5889,-0.3352,-79.15,-60.35,-76.92,-0.5967,1.9232,-0.4790,8.77,-18.46,-103.86,-0.9253,-0.2258,-0.2249,54.97,-42.39,-227.58
11,-0.8743,-0.5208,-0.3425,-84.37,-66.28,-79.00,-0.1367,2.0000,-0.5281,-94.32,46.30,4.49,-0.9446,-0.2544,-0.1921,8.77,-18.46,-103.86
12,-0.8550,-0.4871,-0.3215,-74.16,-70.92,-78.80,0.2156,1.5987,-0.2647,-37.08,79.85,44.01,-0.9312,-0.2451,-0.2048,-94.32,46.30,4.49
13,-0.7964,-0.4378,-0.2905,-54.14,-71.09,-70.26,0.1716,1.1223,-0.0374,1.13,85.96,52.34,-0.9175,-0.2151,-0.2285,-37.08,79.85,44.01
14,-0.7461,-0.5120,-0.2695,-45.27,-68.22,-58.15,0.1357,0.7864,0.0452,1.79,81.87,35.77,-0.8987,-0.2515,-0.2634,1.13,85.96,52.34
15,-0.7134,-0.5515,-0.2080,-46.36,-66.26,-47.43,0.0845,0.4048,0.1060,-2.70,82.42,-7.80,-0.8872,-0.2847,-0.2810,1.79,81.87,35.77
16,-0.7263,-0.5999,-0.1511,-47.43,-68.66,-40.34,-0.0264,0.2642,0.2341,-11.50,87.05,-71.48,-0.8741,-0.2146,-0.2825,-2.70,82.42,-7.80
17,-0.7217,-0.6336,-0.0601,-55.94,-75.28,-41.01,0.0525,0.3057,0.1956,-12.99,104.20,-145.93,-0.8538,-0.2825,-0.3179,-11.50,87.05,-71.48
18,-0.7329,-0.6560,-0.0496,-62.58,-84.93,-46.08,0.0435,0.3965,0.1484,14.23,127.41,-213.74,-0.8968,-0.2559,-0.3054,-12.99,104.20,-145.93
19,-0.7661,-0.7979,-0.1216,-64.84,-87.98,-60.04,-0.0801,0.5076,0.1992,36.17,150.46,-250.01,-0.8653,-0.2356,-0.3416,14.23,127.41,-213.74
20,-0.6821,-0.8301,-0.1169,-58.47,-95.96,-73.69,-0.1973,0.5811,0.2734,-3.40,172.26,-250.01,-0.8457,-0.2952,-0.3318,36.17,150.46,-250.01
21,-0.6394,-1.1162,-0.1765,-50.41,-97.54,-95.81,-0.4714,0.8460,0.3125,-49.63,182.24,-250.01,-0.8794,-0.2637,-0.3128,-3.40,172.26,-250.01
22,-0.4810,-1.0450,-0.2532,-29.61,-98.04,-119.82,-0.8887,1.0247,0.2317,-26.24,201.09,-250.01,-0.9095,-0.1658,-0.3147,-49.63,182.24,-250.01
23,-0.4163,-1.4461,-0.3518,-4.43,-97.24,-140.52,-1.1053,0.9607,0.2791,-26.19,192.58,-250.01,-0.8797,-0.2332,-0.3386,-26.24,201.09,-250.01
24,-0.3704,-1.6404,-0.3003,-37.80,-84.30,-175.62,-1.6058,0.8609,0.2588,-137.60,195.17,-250.01,-0.9095,-0.2161,-0.3106,-26.19,192.58,-250.01
25,-0.3982,-1.7208,-0.4031,-45.71,-70.99,-227.38,-1.8965,0.9234,0.3809,-207.01,191.97,-250.01,-0.8972,-0.1973,-0.3765,-137.60,195.17,-250.01
26,-0.4065,-1.8946,-0.2695,-39.57,-44.08,-250.01,-1.5391,1.2102,0.4043,-229.76,151.29,-250.01,-0.8850,-0.2153,-0.3972,-207.01,191.97,-250.01
27,-0.4841,-1.7698,-0.1328,-23.24,-23.17,-250.01,-1.2710,1.1011,0.0444,-121.05,107.05,-173.21,-0.8694,-0.2756,-0.4693,-229.76,151.29,-250.01
28,-0.4492,-1.6255,-0.1489,-7.92,-8.61,-250.01,-1.1358,0.7176,-0.0747,-27.53,55.02,-83.48,-0.9519,-0.2590,-0.5100,-121.05,107.05,-173.21
29,-0.3648,-1.1956,-0.0327,-24.47,12.02,-250.01,-1.0638,0.4382,0.1599,-34.15,51.51,-51.16,-1.2290,-0.1982,-0.6646,-27.53,55.02,-83.48
30,-0.2305,-0.6951,-0.0862,-8.71,29.74,-250.01,-1.0191,0.6558,0.3074,-56.25,44.93,-41.02,-1.3135,-0.4490,-0.6643,-34.15,51.51,-51.16
31,-0.0110,-0.3809,0.0076,18.04,34.25,-250.01,-0.9361,0.6926,0.2742,-21.17,34.43,-25.70,-1.0945,-0.5325,-0.2693,-56.25,44.93,-41.02
32,0.2656,0.0049,0.0772,63.00,25.69,-250.01,-0.8455,0.4275,0.1194,-20.56,35.53,-14.08,-1.0093,-0.3162,0.5308,-21.17,34.43,-25.70
33,0.5503,0.0571,0.1738,83.63,13.25,-250.01,-0.8804,0.3933,0.0903,-75.82,40.97,-16.24,-0.7434,-0.9068,0.2002,-20.56,35.53,-14.08
34,0.6931,0.2620,0.2974,101.88,0.44,-168.01,-0.8938,0.5213,0.1155,-106.85,39.22,-12.75,-0.7290,0.0027,0.0317,-75.82,40.97,-16.24
35,0.7871,0.2854,0.4610,159.43,-17.27,-90.51,-0.7915,0.4946,0.1365,-116.53,30.43,-1.43,-0.6497,-0.1113,-0.1106,-106.85,39.22,-12.75
