id,acc_rh_x,acc_rh_y,acc_rh_z,gyro_rh_x,gyro_rh_y,gyro_rh_z,acc_lh_x,acc_lh_y,acc_lh_z,gyro_lh_x,gyro_lh_y,gyro_lh_z,acc_leg_x,acc_leg_y,acc_leg_z,gyro_leg_x,gryo_leg_y,gryo_leg_z
1,-0.0022,0.9927,-0.0117,-12.54,-64.9,-94.69,-0.8133,0.0635,0.0835,-20.02,16.91,35.36,-0.8167,-0.1765,-0.3704,-20.02,16.91,35.36
2,-0.7964,-0.499,-0.0855,-48.26,-18.88,-3.39,-0.8367,0.2466,-0.165,-32.88,-6.24,28.99,-0.9683,-0.2022,-0.4734,-32.88,-6.24,28.99
3,-0.8636,-0.426,0.1265,1.69,-1.09,17.65,-1.011,0.314,-0.1902,-5.14,-8.06,27.41,-0.8872,-0.1375,-0.4815,-5.14,-8.06,27.41
4,-0.8516,-0.5081,-0.2173,-35.87,-30.27,18.3,-0.8997,0.2063,-0.096,15.63,-17.19,30.92,-0.8135,-0.1958,-0.4844,15.63,-17.19,30.92
5,-0.69,-0.4719,-0.0759,4.55,-13.64,21.52,-0.8125,0.0728,-0.1082,9.07,-21.64,41.04,-0.8482,-0.2478,-0.4776,9.07,-21.64,41.04
6,-0.6741,-0.573,-0.0996,12.98,-10.9,28.1,-0.8816,0.1121,-0.144,-7.64,-22.52,38.68,-0.887,-0.2473,-0.4131,-7.64,-22.52,38.68
7,-0.8235,-0.5962,-0.155,-7.21,-16.06,33.25,-1.0171,0.1543,-0.1484,-3.71,-19.91,30.08,-0.9234,-0.2214,-0.3894,-3.71,-19.91,30.08
8,-0.7827,-0.5918,-0.1765,-25.11,-16.83,35.18,-1.0088,0.0981,-0.1419,-16.81,-15.16,22.51,-0.8484,-0.2473,-0.4319,-16.81,-15.16,22.51
9,-0.6895,-0.4661,-0.1948,-24.4,-15.87,29.77,-0.9046,0.084,-0.1782,-32.17,-14.84,18.98,-0.7046,-0.2161,-0.4136,-32.17,-14.84,18.98
10,-0.565,-0.3977,-0.1692,-13.19,-10,21.76,-0.7942,0.1594,-0.2356,-21.33,-13.47,21.23,-0.7879,-0.2004,-0.4458,-21.33,-13.47,21.23
11,-0.593,-0.4736,-0.1375,-20.66,-7.65,19.47,-0.8394,0.1235,-0.2122,3.42,-7.63,19.68,-0.7862,-0.4258,-0.4844,3.42,-7.63,19.68
12,-0.8826,-0.5139,-0.1143,-45.59,-9.58,34.3,-1.1109,0.1226,-0.218,15.28,-7.86,4.77,-1.0723,-0.1792,-0.416,15.28,-7.86,4.77
13,-1.3736,-0.5242,-0.2175,-59.26,-8.3,73.66,-1.3821,0.1309,-0.2798,1.65,3.97,-23.84,-0.9412,-0.4099,-0.3428,1.65,3.97,-23.84
14,-1.3863,-0.574,-0.2476,0.77,2.67,87.5,-1.0738,0.1751,-0.2437,-41.07,14.12,-38.94,-0.8999,-0.2532,-0.3845,-41.07,14.12,-38.94
15,-1.0117,-0.4754,-0.1641,65.74,2.49,58.73,-0.7915,0.2515,-0.1543,-50.61,18.66,-32.91,-0.8274,-0.21,-0.4478,-50.61,18.66,-32.91
16,-0.8262,-0.5364,-0.1355,55.7,-7.3,28.34,-0.7605,0.2803,-0.0903,-36.52,18.33,-28.6,-0.7881,-0.2586,-0.4275,-36.52,18.33,-28.6
17,-0.7613,-0.627,-0.0984,-7.29,-13.54,7.63,-0.7993,0.2524,-0.0796,-34.67,20.94,-28.64,-0.8557,-0.1943,-0.4304,-34.67,20.94,-28.64
18,-0.7615,-0.5825,-0.0981,-72.73,-21.44,-2.88,-0.8824,0.228,-0.0801,-55.67,24.18,-30.69,-0.8958,-0.1731,-0.4336,-55.67,24.18,-30.69
19,-0.8096,-0.4373,-0.1047,-105.3,-14.58,-1.41,-0.948,0.3015,-0.0862,-76.94,24.96,-29.86,-0.897,-0.1824,-0.4002,-76.94,24.96,-29.86
20,-0.8225,-0.3421,-0.1506,-82.95,-3.84,5.87,-0.9336,0.3462,-0.1191,-76.53,20.46,-22.98,-0.8789,-0.1965,-0.4119,-76.53,20.46,-22.98
21,-0.7659,-0.3164,-0.1321,-38.51,8.96,8.02,-0.8394,0.3533,-0.1773,-58.06,13.97,-12.15,-0.8543,-0.1033,-0.4243,-58.06,13.97,-12.15
