id,acc_rh_x,acc_rh_y,acc_rh_z,gyro_rh_x,gyro_rh_y,gyro_rh_z,acc_lh_x,acc_lh_y,acc_lh_z,gyro_lh_x,gyro_lh_y,gyro_lh_z,acc_leg_x,acc_leg_y,acc_leg_z,gyro_leg_x,gryo_leg_y,gryo_leg_z
1,-0.8411,-0.4224,-0.3582,11.88,-0.72,-1.09,-0.9148,0.3645,-0.0325,3.36,1.59,8.96,-0.8784,-0.1267,-0.4309,-40.45,2.17,10.42
2,-0.7632,-0.7185,-0.2932,-62.20,-15.95,-12.99,-0.9825,0.2239,-0.0254,-43.06,18.60,0.60,-0.8206,-0.0798,-0.4077,-86.88,19.18,2.06
3,0.2583,-0.4422,0.1233,165.73,249.22,54.54,0.2319,0.9317,0.3262,-164.09,-224.66,-18.23,-0.9898,-0.0664,-0.2241,-207.91,-224.08,-16.77
4,0.0198,-0.5313,-0.9095,-67.26,24.92,48.77,-0.0393,0.7334,-0.3621,87.57,29.21,-41.10,-0.8545,-0.0579,-0.4929,43.76,29.79,-39.64
5,-0.0632,-0.5410,-0.9397,-72.76,41.99,77.38,-0.1274,0.7215,-0.3013,120.70,43.01,-67.72,-0.8545,-0.0579,-0.4929,43.76,29.79,-39.64
6,-0.0320,-0.5430,-0.7854,-72.34,56.10,101.28,-0.1274,0.7215,-0.3013,120.70,43.01,-67.72,-0.8662,-0.0540,-0.4580,76.88,43.59,-66.26
7,0.0605,-0.5432,-0.7256,-53.25,59.56,118.47,-0.1480,0.6575,-0.2632,138.23,53.53,-126.92,-0.8662,-0.0540,-0.4580,76.88,43.59,-66.26
8,0.1414,-0.5591,-0.6668,-15.82,50.94,128.70,-0.1480,0.6575,-0.2632,138.23,53.53,-126.92,-0.8662,-0.0540,-0.4580,76.88,43.59,-66.26
9,0.1414,-0.5591,-0.6668,-15.82,50.94,128.70,-0.1480,0.6575,-0.2632,138.23,53.53,-126.92,-0.9148,0.0095,-0.4119,94.42,54.11,-125.45
10,0.1414,-0.5591,-0.6668,-15.82,50.94,128.70,-0.1480,0.6575,-0.2632,138.23,53.53,-126.92,-0.9148,0.0095,-0.4119,94.42,54.11,-125.45
11,0.3948,-0.6304,-0.4400,-51.93,8.68,177.18,-0.2339,0.4844,-0.0598,72.70,44.01,-230.44,-0.9148,0.0095,-0.4119,94.42,54.11,-125.45
12,0.4404,-0.6304,-0.2278,-119.49,-27.79,199.13,-0.3413,0.4563,0.0681,79.69,32.58,249.24,-0.8843,0.0193,-0.4329,28.88,44.59,-228.97
13,0.4404,-0.6304,-0.2278,-119.49,-27.79,199.13,-0.4387,0.4426,0.0957,83.93,20.50,249.24,-0.9058,0.0120,-0.4277,35.87,33.16,-249.31
14,0.3604,-0.5852,-0.1104,-110.38,-69.57,209.97,-0.5491,0.4312,0.1592,79.53,8.12,249.24,-0.8833,-0.0193,-0.4326,40.11,21.08,-249.31
15,0.3291,-0.8162,-0.0723,-112.31,-93.25,209.33,-0.5491,0.4312,0.1592,79.53,8.12,249.24,-0.8689,0.0139,-0.4624,35.71,8.70,-249.31
16,0.3198,-0.9436,-0.0796,-140.03,-110.87,206.95,-0.7288,0.5576,0.1314,59.18,-8.06,249.24,-0.8670,0.0283,-0.4287,35.71,8.70,-249.31
17,0.3198,-0.9436,-0.0796,-140.03,-110.87,206.95,-0.8907,0.6585,0.0356,55.86,-14.49,249.24,-0.8804,0.0405,-0.4673,15.37,-7.48,-249.31
18,0.2839,-0.9326,-0.1589,-154.75,-139.58,181.62,-1.0188,0.6145,-0.1030,46.98,-6.77,249.24,-0.8765,0.0708,-0.4744,12.05,-13.91,-249.31
19,0.3093,-1.2925,-0.2024,-160.21,-146.79,164.48,-1.0188,0.6145,-0.1030,46.98,-6.77,249.24,-0.8562,-0.0266,-0.4531,3.17,-6.19,-249.31
20,0.3093,-1.2925,-0.2024,-160.21,-146.79,164.48,-1.2889,0.4282,-0.2410,7.93,13.04,249.24,-0.8443,-0.0286,-0.4780,3.17,-6.19,-249.31
21,0.3093,-1.2925,-0.2024,-160.21,-146.79,164.48,-1.2889,0.4282,-0.2410,7.93,13.04,249.24,-0.8848,-0.0232,-0.4871,-35.89,13.62,-249.31
22,-0.1482,-1.3008,-0.4461,-179.23,-164.83,70.86,-1.2889,0.4282,-0.2410,7.93,13.04,249.24,-0.8848,-0.0232,-0.4871,-35.89,13.62,-249.31
