id,acc_rh_x,acc_rh_y,acc_rh_z,gyro_rh_x,gyro_rh_y,gyro_rh_z,acc_lh_x,acc_lh_y,acc_lh_z,gyro_lh_x,gyro_lh_y,gyro_lh_z,acc_leg_x,acc_leg_y,acc_leg_z,gyro_leg_x,gryo_leg_y,gryo_leg_z
126,1.0098,0.3269,-0.2307,49.57,3.65,-3.10,1.0098,0.3269,-0.2307,49.57,3.65,-3.10,1.0186,0.1604,0.1484,225.17,19.20,-38.49
127,0.9688,0.3860,-0.3528,42.26,-15.50,2.28,0.9688,0.3860,-0.3528,42.26,-15.50,2.28,1.0142,0.0557,0.1128,49.57,3.65,-3.10
128,-0.5110,0.0881,0.9275,116.37,-156.65,-122.61,0.9688,0.3860,-0.3528,42.26,-15.50,2.28,0.6001,-0.1482,0.3223,42.26,-15.50,2.28
129,-0.5110,0.0881,0.9275,116.37,-156.65,-122.61,-0.5110,0.0881,0.9275,116.37,-156.65,-122.61,0.5176,-0.2283,0.3150,116.37,-156.65,-122.61
130,-0.5110,0.0881,0.9275,116.37,-156.65,-122.61,0.5176,-0.2283,0.3150,-8.51,5.03,0.19,0.5176,-0.2283,0.3150,116.37,-156.65,-122.61
131,-0.5930,-0.1335,1.0403,57.93,13.62,-9.06,-0.5930,-0.1335,1.0403,57.93,13.62,-9.06,0.5176,-0.2283,0.3150,116.37,-156.65,-122.61
132,-0.5308,-0.0076,0.9014,11.44,80.16,41.02,-0.5308,-0.0076,0.9014,11.44,80.16,41.02,0.6399,-0.0735,0.2986,57.93,13.62,-9.06
133,-0.5222,0.0215,0.8194,-10.68,113.13,67.00,-0.5308,-0.0076,0.9014,11.44,80.16,41.02,0.7364,-0.0737,0.3316,11.44,80.16,41.02
134,-0.4600,0.1067,0.7005,-32.85,143.44,92.78,0.8008,-0.1379,0.3547,26.65,-31.69,-20.23,0.8008,-0.1379,0.3547,11.44,80.16,41.02
135,-0.4600,0.1067,0.7005,-32.85,143.44,92.78,0.8799,-0.1560,0.3140,28.83,-38.14,-23.64,0.8799,-0.1560,0.3140,26.65,-31.69,-20.23
136,-0.3472,0.2498,0.5173,-75.49,190.52,129.65,-0.3472,0.2498,0.5173,-75.49,190.52,129.65,1.0750,-0.1419,0.2971,28.83,-38.14,-23.64
137,-0.2598,0.3374,0.4075,-98.15,205.25,143.73,-0.3472,0.2498,0.5173,-75.49,190.52,129.65,0.8968,-0.1487,0.3579,-75.49,190.52,129.65
138,-0.2598,0.3374,0.4075,-98.15,205.25,143.73,1.0047,-0.1060,0.3472,7.48,-39.45,-28.51,1.0047,-0.1060,0.3472,-75.49,190.52,129.65
139,-0.1773,0.6026,0.3140,-121.85,221.35,161.91,-0.1773,0.6026,0.3140,-121.85,221.35,161.91,1.0389,-0.0337,0.3062,7.48,-39.45,-28.51
140,-0.0393,0.7300,0.3023,-140.54,230.45,167.16,-0.1773,0.6026,0.3140,-121.85,221.35,161.91,1.6280,0.3335,-0.4905,-121.85,221.35,161.91
141,-0.0393,0.7300,0.3023,-140.54,230.45,167.16,0.8313,0.3154,0.0537,43.69,-46.49,-76.70,0.8313,0.3154,0.0537,-121.85,221.35,161.91
142,0.0696,1.1941,-0.1499,-138.55,230.58,174.14,0.0696,1.1941,-0.1499,-138.55,230.58,174.14,1.8980,-0.0723,-0.7635,43.69,-46.49,-76.70
143,0.1245,1.6165,-0.5608,-84.57,221.58,167.95,0.0696,1.1941,-0.1499,-138.55,230.58,174.14,1.9280,-0.6011,-0.1563,-138.55,230.58,174.14
144,0.1404,2.0000,-0.9419,9.98,194.22,144.84,1.7911,-0.3662,-0.1860,-0.93,-24.41,4.98,1.7911,-0.3662,-0.1860,-138.55,230.58,174.14
145,0.1404,2.0000,-0.9419,9.98,194.22,144.84,1.1260,0.2422,-0.3469,-17.88,7.40,13.56,1.1260,0.2422,-0.3469,-0.93,-24.41,4.98
146,0.4014,2.0000,-1.3648,127.85,107.65,70.17,0.4014,2.0000,-1.3648,127.85,107.65,70.17,1.2364,0.1011,-0.1885,-17.88,7.40,13.56
147,0.4978,2.0000,-1.6238,135.89,34.82,16.11,0.4978,2.0000,-1.6238,135.89,34.82,16.11,1.3604,-0.0435,-0.1157,127.85,107.65,70.17
148,0.4783,2.0000,-1.7181,108.39,-43.69,-36.40,0.4978,2.0000,-1.6238,135.89,34.82,16.11,1.2403,0.0254,0.0083,135.89,34.82,16.11
149,0.4783,2.0000,-1.7181,108.39,-43.69,-36.40,1.1602,0.0664,0.0820,-49.89,53.09,45.80,1.1602,0.0664,0.0820,135.89,34.82,16.11
150,0.2546,1.7449,-1.2908,103.99,-164.46,-99.46,0.2546,1.7449,-1.2908,103.99,-164.46,-99.46,1.0667,0.0747,0.3184,-49.89,53.09,45.80
151,0.1834,1.5547,-0.9436,127.54,-203.02,-119.24,0.2546,1.7449,-1.2908,103.99,-164.46,-99.46,1.0113,0.0798,0.4673,103.99,-164.46,-99.46
152,0.1831,1.2823,-0.5759,133.59,-233.36,-134.47,0.9632,-0.0400,0.4954,-25.19,31.42,28.36,0.9632,-0.0400,0.4954,103.99,-164.46,-99.46
153,0.1831,1.2823,-0.5759,133.59,-233.36,-134.47,0.9190,-0.2178,0.3987,-38.04,27.72,18.78,0.9190,-0.2178,0.3987,-25.19,31.42,28.36
154,0.1331,0.9778,-0.1411,92.81,-250.01,-155.55,0.1331,0.9778,-0.1411,92.81,-250.01,-155.55,0.7517,-0.2327,0.3042,-38.04,27.72,18.78
155,0.0581,0.8318,0.0977,80.90,-250.01,-166.26,0.1331,0.9778,-0.1411,92.81,-250.01,-155.55,0.6765,-0.1187,0.2554,92.81,-250.01,-155.55
156,-0.0806,0.5257,0.5271,69.70,-250.01,-169.58,0.6724,-0.1118,0.3289,-40.44,5.78,4.24,0.6724,-0.1118,0.3289,92.81,-250.01,-155.55
157,-0.0806,0.5257,0.5271,69.70,-250.01,-169.58,0.7200,-0.1399,0.2927,-43.18,10.67,-7.51,0.7200,-0.1399,0.2927,-40.44,5.78,4.24
158,-0.4165,0.2083,0.9431,57.63,-191.14,-155.15,-0.4165,0.2083,0.9431,57.63,-191.14,-155.15,0.6353,-0.0916,0.3665,-43.18,10.67,-7.51
159,-0.6499,-0.0151,1.2815,66.09,-135.20,-128.66,-0.4165,0.2083,0.9431,57.63,-191.14,-155.15,0.6348,-0.0996,0.3379,57.63,-191.14,-155.15
160,-0.7444,-0.1860,1.4961,84.49,-53.38,-88.18,0.6375,-0.2053,0.3150,-15.92,-2.69,-13.11,0.6375,-0.2053,0.3150,57.63,-191.14,-155.15
161,-0.7444,-0.1860,1.4961,84.49,-53.38,-88.18,0.6299,-0.1992,0.3301,-13.73,-2.07,-12.96,0.6299,-0.1992,0.3301,-15.92,-2.69,-13.11
162,-0.7022,-0.4304,1.4422,66.23,68.20,-6.90,-0.7022,-0.4304,1.4422,66.23,68.20,-6.90,0.6702,-0.1455,0.3628,-13.73,-2.07,-12.96
163,-0.6162,-0.4414,1.3611,23.47,128.78,36.64,-0.7022,-0.4304,1.4422,66.23,68.20,-6.90,0.6873,-0.0947,0.3552,66.23,68.20,-6.90
164,-0.4878,-0.3342,1.0989,-22.24,182.89,79.36,0.7683,-0.0686,0.3430,3.83,-14.18,-11.41,0.7683,-0.0686,0.3430,66.23,68.20,-6.90
165,-0.4878,-0.3342,1.0989,-22.24,182.89,79.36,0.8177,-0.0630,0.3110,14.14,-21.88,-12.61,0.8177,-0.0630,0.3110,3.83,-14.18,-11.41
166,-0.2175,-0.1121,0.5840,-89.28,244.19,140.57,-0.2175,-0.1121,0.5840,-89.28,244.19,140.57,0.8511,-0.0642,0.3330,14.14,-21.88,-12.61
167,-0.0859,0.0918,0.3579,-110.06,250.00,169.26,-0.2175,-0.1121,0.5840,-89.28,244.19,140.57,0.9402,-0.1477,0.2798,-89.28,244.19,140.57
168,0.0388,0.2288,0.2691,-130.45,250.00,191.46,0.9978,-0.1602,0.2527,16.50,-38.90,-25.26,0.9978,-0.1602,0.2527,-89.28,244.19,140.57
169,0.0388,0.2288,0.2691,-130.45,250.00,191.46,0.9314,-0.2146,1.0137,27.42,-29.07,-24.06,0.9314,-0.2146,1.0137,16.50,-38.90,-25.26
170,0.3281,1.0528,-0.0981,-158.86,250.00,203.57,0.3281,1.0528,-0.0981,-158.86,250.00,203.57,2.0000,0.5606,-1.1697,27.42,-29.07,-24.06
171,0.4219,1.6795,-0.7454,-127.99,233.36,197.09,0.3281,1.0528,-0.0981,-158.86,250.00,203.57,1.2386,0.4592,-0.6531,-158.86,250.00,203.57
172,0.2742,2.0000,-1.1255,-29.85,186.69,160.51,1.6158,0.1199,-0.1233,90.32,-75.27,-26.74,1.6158,0.1199,-0.1233,-158.86,250.00,203.57
173,0.2742,2.0000,-1.1255,-29.85,186.69,160.51,2.0000,-1.1353,-0.1577,49.41,-48.08,2.08,2.0000,-1.1353,-0.1577,90.32,-75.27,-26.74
174,0.3884,2.0000,-1.4143,83.70,83.92,59.98,0.3884,2.0000,-1.4143,83.70,83.92,59.98,1.1131,-0.6013,-0.2378,49.41,-48.08,2.08
175,0.3909,2.0000,-1.6507,92.19,13.83,0.68,0.3884,2.0000,-1.4143,83.70,83.92,59.98,1.1661,0.6028,-0.2102,83.70,83.92,59.98
176,0.4224,2.0000,-1.7164,94.21,-54.33,-65.15,1.4063,0.2588,-0.2127,32.08,16.52,35.58,1.4063,0.2588,-0.2127,83.70,83.92,59.98
177,0.4224,2.0000,-1.7164,94.21,-54.33,-65.15,1.2959,-0.2095,-0.0227,-9.16,46.08,43.73,1.2959,-0.2095,-0.0227,32.08,16.52,35.58
178,0.2859,1.9583,-1.1206,156.59,-158.47,-137.78,0.2859,1.9583,-1.1206,156.59,-158.47,-137.78,1.2710,-0.1409,0.0588,-9.16,46.08,43.73
179,0.2720,1.5933,-0.7361,183.73,-193.75,-154.87,0.2859,1.9583,-1.1206,156.59,-158.47,-137.78,1.1936,0.0410,0.2078,156.59,-158.47,-137.78
180,0.2422,1.2583,-0.4392,185.24,-223.60,-167.74,1.0979,0.0386,0.4756,-33.94,52.80,48.81,1.0979,0.0386,0.4756,156.59,-158.47,-137.78
181,0.2422,1.2583,-0.4392,185.24,-223.60,-167.74,1.0779,0.0339,0.4998,-37.30,48.91,40.71,1.0779,0.0339,0.4998,-33.94,52.80,48.81
182,0.1509,1.0240,-0.0398,169.16,-245.98,-180.39,0.1509,1.0240,-0.0398,169.16,-245.98,-180.39,0.9773,-0.1038,0.4490,-37.30,48.91,40.71
183,0.0693,0.8723,0.1106,168.12,-248.08,-181.63,0.1509,1.0240,-0.0398,169.16,-245.98,-180.39,0.8211,-0.2026,0.2476,169.16,-245.98,-180.39
184,0.0022,0.6839,0.3364,181.34,-244.34,-179.82,0.6966,-0.0386,0.2529,-60.81,29.05,10.81,0.6966,-0.0386,0.2529,169.16,-245.98,-180.39
185,0.0022,0.6839,0.3364,181.34,-244.34,-179.82,0.6629,-0.0986,0.2786,-68.35,30.05,-5.56,0.6629,-0.0986,0.2786,-60.81,29.05,10.81
186,-0.1472,0.2908,0.5725,196.94,-226.97,-164.43,-0.1472,0.2908,0.5725,196.94,-226.97,-164.43,0.6016,-0.1060,0.2715,-68.35,30.05,-5.56
187,-0.2644,0.0315,0.7542,187.12,-211.13,-149.04,-0.1472,0.2908,0.5725,196.94,-226.97,-164.43,0.6038,-0.0996,0.2988,196.94,-226.97,-164.43
188,-0.5051,-0.3416,1.0911,147.18,-182.47,-125.12,0.5171,-0.1768,0.2854,-21.08,6.96,-10.18,0.5171,-0.1768,0.2854,196.94,-226.97,-164.43
189,-0.5051,-0.3416,1.0911,147.18,-182.47,-125.12,0.5574,-0.1821,0.3220,-12.05,-1.05,-12.83,0.5574,-0.1821,0.3220,-21.08,6.96,-10.18
190,-0.7525,-0.5476,1.4747,60.64,-80.84,-66.52,-0.7525,-0.5476,1.4747,60.64,-80.84,-66.52,0.5335,-0.2527,0.3486,-12.05,-1.05,-12.83
191,-0.7652,-0.5669,1.4205,27.18,-9.01,-20.94,-0.7525,-0.5476,1.4747,60.64,-80.84,-66.52,0.6819,-0.2095,0.3359,60.64,-80.84,-66.52
192,-0.6753,-0.4986,1.2945,2.82,58.21,32.44,0.6800,-0.2124,0.4058,-18.17,-8.94,-16.91,0.6800,-0.2124,0.4058,60.64,-80.84,-66.52
193,-0.6753,-0.4986,1.2945,2.82,58.21,32.44,0.7188,-0.1543,0.4358,-12.53,-14.39,-14.88,0.7188,-0.1543,0.4358,-18.17,-8.94,-16.91
194,-0.4883,-0.2871,1.0979,-33.43,158.69,110.58,-0.4883,-0.2871,1.0979,-33.43,158.69,110.58,0.7342,-0.0945,0.4151,-12.53,-14.39,-14.88
195,-0.3203,-0.2234,0.8108,-68.63,199.68,149.27,-0.4883,-0.2871,1.0979,-33.43,158.69,110.58,0.7862,-0.0884,0.3694,-33.43,158.69,110.58
196,-0.1770,-0.0750,0.6167,-112.92,228.42,181.13,0.8260,-0.1033,0.3408,13.80,-23.38,-18.06,0.8260,-0.1033,0.3408,-33.43,158.69,110.58
197,-0.1770,-0.0750,0.6167,-112.92,228.42,181.13,0.9156,-0.0378,0.3557,36.86,-31.23,-23.57,0.9156,-0.0378,0.3557,13.80,-23.38,-18.06
198,0.0908,0.3479,0.4121,-175.95,243.83,217.24,0.0908,0.3479,0.4121,-175.95,243.83,217.24,0.9471,-0.0945,0.2952,36.86,-31.23,-23.57
199,0.2002,0.5200,0.3670,-198.70,238.59,226.42,0.0908,0.3479,0.4121,-175.95,243.83,217.24,1.0791,-0.1101,0.2080,-175.95,243.83,217.24
200,0.2656,0.8335,0.3587,-230.21,239.75,233.07,2.0000,0.4888,-0.7666,155.06,-88.62,-37.80,2.0000,0.4888,-0.7666,-175.95,243.83,217.24
201,0.2656,0.8335,0.3587,-230.21,239.75,233.07,1.7759,0.2461,-0.7100,127.58,-67.76,-37.13,1.7759,0.2461,-0.7100,155.06,-88.62,-37.80
202,0.4043,1.7430,-0.3123,-197.55,220.02,228.69,0.4043,1.7430,-0.3123,-197.55,220.02,228.69,2.0000,-0.7388,0.0938,127.58,-67.76,-37.13
203,0.2710,2.0000,-0.6360,-120.24,193.01,209.64,0.4043,1.7430,-0.3123,-197.55,220.02,228.69,1.1663,-0.6353,-0.1621,-197.55,220.02,228.69
204,0.3787,2.0000,-0.8916,-30.56,147.63,165.28,0.8523,0.6546,-0.1008,-61.56,26.41,10.68,0.8523,0.6546,-0.1008,-197.55,220.02,228.69
205,0.3787,2.0000,-0.8916,-30.56,147.63,165.28,1.2735,0.2280,-0.0991,41.73,20.17,26.06,1.2735,0.2280,-0.0991,-61.56,26.41,10.68
206,0.5000,2.0000,-1.3963,67.06,42.76,54.83,0.5000,2.0000,-1.3963,67.06,42.76,54.83,1.4869,-0.2393,-0.1506,41.73,20.17,26.06
207,0.5271,2.0000,-1.5279,108.20,-20.52,-20.34,0.5000,2.0000,-1.3963,67.06,42.76,54.83,1.4622,-0.2151,-0.1668,67.06,42.76,54.83
208,0.4954,2.0000,-1.3956,154.26,-97.09,-92.36,1.2793,0.0950,0.0967,-56.73,61.69,43.19,1.2793,0.0950,0.0967,67.06,42.76,54.83
209,0.4954,2.0000,-1.3956,154.26,-97.09,-92.36,1.2474,0.1936,0.2910,-34.19,50.92,46.91,1.2474,0.1936,0.2910,-56.73,61.69,43.19
210,0.3916,1.9466,-0.7940,209.39,-192.34,-154.45,0.3916,1.9466,-0.7940,209.39,-192.34,-154.45,1.0933,0.1397,0.4751,-34.19,50.92,46.91
211,0.2732,1.5931,-0.5884,204.32,-222.33,-169.88,0.3916,1.9466,-0.7940,209.39,-192.34,-154.45,1.0574,-0.0657,0.5532,209.39,-192.34,-154.45
