id,acc_rh_x,acc_rh_y,acc_rh_z,gyro_rh_x,gyro_rh_y,gyro_rh_z,acc_lh_x,acc_lh_y,acc_lh_z,gyro_lh_x,gyro_lh_y,gyro_lh_z,acc_leg_x,acc_leg_y,acc_leg_z,gyro_leg_x,gryo_leg_y,gryo_leg_z
1,-0.0815,-0.9160,-0.7002,-28.31,-5.01,-44.82,0.0127,1.0362,0.1370,19.59,-51.77,46.33,-0.8440,0.3174,-0.1724,19.59,-51.77,46.33
2,-0.0759,-0.8850,-0.5830,-32.56,9.06,-56.10,0.0127,1.0362,0.1370,19.59,-51.77,46.33,-0.8440,0.3174,-0.1724,19.59,-51.77,46.33
3,-0.0759,-0.8850,-0.5830,-32.56,9.06,-56.10,-0.0217,0.8794,-0.0603,4.49,-61.01,47.49,-0.7954,0.3323,-0.2153,4.49,-61.01,47.49
4,-0.0569,-0.9292,-0.6223,-63.61,5.26,-72.79,-0.0146,1.0376,-0.1233,2.98,-40.12,50.83,-0.8103,0.2698,-0.1270,2.98,-40.12,50.83
5,-0.0989,-0.7005,-0.6245,-47.18,15.59,-65.55,0.0110,0.8570,-0.1116,17.81,-17.26,47.60,-0.8140,0.2822,-0.0486,17.81,-17.26,47.60
6,-0.0989,-0.7005,-0.6245,-47.18,15.59,-65.55,-0.0166,0.8533,-0.2178,-24.86,4.94,38.03,-0.8140,0.2822,-0.0486,17.81,-17.26,47.60
7,-0.0146,-0.6760,-0.5374,26.86,32.95,-40.41,-0.0166,0.8533,-0.2178,-24.86,4.94,38.03,-0.7149,0.1089,-0.1882,-24.86,4.94,38.03
8,-0.0146,-0.6760,-0.5374,26.86,32.95,-40.41,-0.0166,0.8533,-0.2178,-24.86,4.94,38.03,-0.8416,0.1528,-0.1167,-24.86,4.94,38.03
9,0.0332,-0.7144,-0.3494,42.35,33.97,-8.78,0.1072,0.9568,0.1038,-21.08,15.52,15.20,-0.8416,0.1528,-0.1167,-24.86,4.94,38.03
10,0.0242,-0.8003,-0.2983,38.64,22.59,0.41,0.1072,0.9568,0.1038,-21.08,15.52,15.20,-0.8416,0.1528,-0.1167,-24.86,4.94,38.03
11,0.0242,-0.8003,-0.2983,38.64,22.59,0.41,0.0898,0.9031,0.1033,-12.86,6.40,0.60,-0.8416,0.1528,-0.1167,-24.86,4.94,38.03
12,0.0242,-0.8003,-0.2983,38.64,22.59,0.41,0.0898,0.9031,0.1033,-12.86,6.40,0.60,-0.7857,0.3030,-0.1768,-12.86,6.40,0.60
13,0.0242,-0.8003,-0.2983,38.64,22.59,0.41,0.0898,0.9031,0.1033,-12.86,6.40,0.60,-0.9329,0.2671,0.0806,-12.86,6.40,0.60
14,0.0608,-0.9771,-0.3640,42.15,8.32,19.68,0.0898,0.9031,0.1033,-12.86,6.40,0.60,-0.9329,0.2671,0.0806,-12.86,6.40,0.60
15,0.0608,-0.9771,-0.3640,42.15,8.32,19.68,0.0891,1.0764,-0.1580,2.79,20.38,-6.96,-0.9329,0.2671,0.0806,-12.86,6.40,0.60
16,0.0608,-0.9771,-0.3640,42.15,8.32,19.68,0.0891,1.0764,-0.1580,2.79,20.38,-6.96,-0.9329,0.2671,0.0806,-12.86,6.40,0.60
17,0.0608,-0.9771,-0.3640,42.15,8.32,19.68,0.0891,1.0764,-0.1580,2.79,20.38,-6.96,-0.8640,0.2288,0.0227,2.79,20.38,-6.96
18,0.2263,-0.9146,-0.2227,5.42,-4.57,6.47,0.0891,1.0764,-0.1580,2.79,20.38,-6.96,-0.8640,0.2288,0.0227,2.79,20.38,-6.96
19,0.2263,-0.9146,-0.2227,5.42,-4.57,6.47,0.0891,1.0764,-0.1580,2.79,20.38,-6.96,-0.8640,0.2288,0.0227,2.79,20.38,-6.96
20,0.2263,-0.9146,-0.2227,5.42,-4.57,6.47,0.1721,1.1770,-0.3108,84.46,16.30,32.01,-0.8640,0.2288,0.0227,2.79,20.38,-6.96
21,0.2263,-0.9146,-0.2227,5.42,-4.57,6.47,0.1721,1.1770,-0.3108,84.46,16.30,32.01,-0.8640,0.2288,0.0227,2.79,20.38,-6.96
22,0.2263,-0.9146,-0.2227,5.42,-4.57,6.47,0.1721,1.1770,-0.3108,84.46,16.30,32.01,-0.9236,0.1436,0.0796,84.46,16.30,32.01
23,0.3457,-1.0071,-0.3652,-20.18,-48.36,-19.15,0.1721,1.1770,-0.3108,84.46,16.30,32.01,-0.9236,0.1436,0.0796,84.46,16.30,32.01
24,0.3457,-1.0071,-0.3652,-20.18,-48.36,-19.15,0.1323,1.3726,-0.3591,106.04,1.27,55.70,-0.9236,0.1436,0.0796,84.46,16.30,32.01
25,0.3457,-1.0071,-0.3652,-20.18,-48.36,-19.15,0.1323,1.3726,-0.3591,106.04,1.27,55.70,-0.9090,0.2691,-0.0034,106.04,1.27,55.70
26,0.2617,-1.0821,-0.5737,-49.28,-51.10,-46.72,0.2822,1.2098,-0.5767,115.29,-19.04,94.53,-0.9090,0.2691,-0.0034,106.04,1.27,55.70
27,0.2009,-1.1963,-0.8716,-71.54,-41.15,-57.20,0.2822,1.2098,-0.5767,115.29,-19.04,94.53,-0.9090,0.2691,-0.0034,106.04,1.27,55.70
28,0.2009,-1.1963,-0.8716,-71.54,-41.15,-57.20,0.2620,0.7530,-0.5864,141.54,-38.07,108.07,-1.0169,0.3667,-0.0112,141.54,-38.07,108.07
29,-0.0537,-1.3306,-1.4390,-79.02,31.82,-73.08,0.1677,0.3643,-0.3987,88.40,-50.71,79.08,-1.1119,0.2993,-0.0876,88.40,-50.71,79.08
30,-0.1191,-1.1160,-1.4786,-75.64,97.29,-74.18,0.1951,0.4053,-0.2022,47.75,-74.73,60.07,-0.9463,0.2485,-0.1946,47.75,-74.73,60.07
31,0.0808,-1.0999,-1.3106,-96.14,136.76,-87.07,0.2874,0.2117,0.0239,30.34,-96.78,46.59,-0.8609,0.0957,-0.1487,30.34,-96.78,46.59
32,0.4004,-0.9063,-0.9275,-126.85,134.46,-116.73,0.3511,0.2627,0.0232,-23.39,-96.17,51.63,-0.9370,0.0798,-0.1135,-23.39,-96.17,51.63
33,0.7410,-0.6968,-0.4143,-83.01,89.44,-130.89,0.5896,0.1492,0.1292,-57.31,-62.55,64.71,-1.0511,-0.0823,-0.3613,-57.31,-62.55,64.71
34,0.8628,-0.5039,-0.1899,-63.22,45.44,-111.73,0.6465,0.3814,0.1729,-72.56,-45.52,80.20,-1.8614,-0.2268,0.3792,-72.56,-45.52,80.20
35,0.7532,-0.6575,0.1321,-82.16,33.08,-105.14,0.5405,0.4944,-0.2227,-65.99,-14.31,98.36,-0.5825,0.9080,0.3753,-65.99,-14.31,98.36
36,0.5686,-0.4783,0.5737,-126.02,-3.47,-122.79,0.7715,0.8689,-0.4668,-67.53,30.30,81.04,0.1621,0.5789,0.2251,-67.53,30.30,81.04
37,0.1482,-0.0388,0.4812,-124.26,-45.89,-96.84,0.6831,1.3338,-0.9180,-84.53,81.64,46.04,0.0090,0.5669,0.5662,-84.53,81.64,46.04
38,-0.0979,0.2786,-0.2044,-61.83,-59.65,-36.74,0.0842,1.2842,-1.4905,-111.53,146.42,19.70,0.0427,0.5896,0.1985,-111.53,146.42,19.70
39,0.0112,0.1943,-0.3035,28.61,-49.62,26.05,-0.0374,1.4075,-1.3780,-128.10,159.51,33.20,-0.3406,0.6743,0.3723,-128.10,159.51,33.20
40,0.3167,-0.1912,-0.3840,75.02,-41.45,61.53,0.2131,0.8474,-1.4051,-57.86,159.76,64.26,-0.3037,0.5547,0.2261,-57.86,159.76,64.26
41,0.5835,-0.5315,-0.7324,73.63,-43.34,49.78,0.2139,0.7586,-0.6885,59.84,34.94,84.65,-0.2588,0.5293,0.0896,59.84,34.94,84.65
42,0.5281,-0.1682,-1.0345,31.35,-18.78,30.54,0.6958,0.8958,-0.4358,36.51,6.78,67.83,-0.4602,0.3606,-0.1257,36.51,6.78,67.83
43,0.3189,-0.2583,-1.0098,66.68,12.91,59.18,0.8389,0.8040,0.0562,55.30,-7.55,32.42,-0.3521,0.0701,0.3352,55.30,-7.55,32.42
44,0.1255,-0.4785,-0.7630,37.61,-3.04,94.94,0.8196,0.5261,0.3303,42.76,-45.37,-24.56,-0.8252,0.6294,-0.8487,42.76,-45.37,-24.56
