id,acc_rh_x,acc_rh_y,acc_rh_z,gyro_rh_x,gyro_rh_y,gyro_rh_z,acc_lh_x,acc_lh_y,acc_lh_z,gyro_lh_x,gyro_lh_y,gyro_lh_z,acc_leg_x,acc_leg_y,acc_leg_z,gyro_leg_x,gryo_leg_y,gryo_leg_z
6,-0.9431,-0.1421,0.0024,-0.43,0.27,-1.64,-0.9680,0.1045,-0.0281,-4.38,-0.05,0.78,-0.8865,-0.2131,-0.2603,-4.76,-0.82,1.03
7,-0.9519,-0.1502,0.0042,-2.37,1.97,1.31,-0.9795,0.1108,-0.0332,-10.42,0.18,-0.93,-0.8924,-0.2017,-0.2505,-4.38,-0.05,0.78
8,-0.9429,-0.1816,-0.0017,-0.56,0.69,0.83,-0.9395,0.1902,-0.1104,-2.52,-0.12,0.61,-0.8936,-0.2100,-0.2273,-10.42,0.18,-0.93
9,0.1919,-1.7173,0.9241,-26.23,-51.68,40.90,-0.9292,0.6502,-0.3091,54.62,-12.50,24.74,-0.7659,0.0835,-0.1492,-2.52,-0.12,0.61
10,-0.7517,-0.7005,0.2561,-82.32,-82.20,3.51,-1.4683,0.4998,-0.3115,-159.12,98.92,-250.01,-0.8828,-0.1892,-0.0923,54.62,-12.50,24.74
11,-0.7517,-0.7005,0.2561,-82.32,-82.20,3.51,-1.4080,0.6314,-0.3267,-183.59,71.05,-250.01,-0.9187,-0.4133,-0.1563,-159.12,98.92,-250.01
12,-0.7886,-1.1136,0.2774,-84.03,-102.69,-39.87,-1.2828,0.6685,-0.3174,-209.81,60.50,-186.46,-0.8824,-0.3062,-0.0684,-183.59,71.05,-250.01
13,-0.7066,-1.2068,0.4055,-50.17,-109.42,-81.41,-1.0281,0.6702,-0.2573,-172.73,51.38,-117.63,-0.8782,-0.1704,-0.0940,-209.81,60.50,-186.46
14,-0.6929,-1.3851,0.5061,-16.68,-128.98,-127.46,-1.0281,0.6702,-0.2573,-172.73,51.38,-117.63,-0.9466,-0.3081,-0.1367,-172.73,51.38,-117.63
15,-0.7129,-1.5135,0.5850,14.11,-147.50,-182.74,-0.9649,0.4778,-0.2258,-117.38,22.63,-40.25,-0.8423,-0.3154,-0.2105,-172.73,51.38,-117.63
