id,acc_rh_x,acc_rh_y,acc_rh_z,gyro_rh_x,gyro_rh_y,gyro_rh_z,acc_lh_x,acc_lh_y,acc_lh_z,gyro_lh_x,gyro_lh_y,gyro_lh_z,acc_leg_x,acc_leg_y,acc_leg_z,gyro_leg_x,gryo_leg_y,gryo_leg_z
1,-0.8233,-0.3555,-0.3828,33.82,7.03,-2.77,-0.9302,0.3086,0.0313,-9.43,-1.95,7.13,-0.7908,-0.2395,0.0696,-9.43,-1.95,7.13
2,-1.0967,-0.3579,-0.0981,22.97,21.02,6.97,-1.1338,0.2639,-0.4370,25.35,-4.78,40.03,-0.7908,-0.2395,0.0696,-9.43,-1.95,7.13
3,-1.1888,-0.3494,-0.1226,48.59,17.28,7.10,-1.1338,0.2639,-0.4370,25.35,-4.78,40.03,-1.1634,0.0571,0.0706,25.35,-4.78,40.03
4,-1.1101,-0.4087,-0.2415,52.16,11.44,11.06,-1.1072,0.3389,-0.1419,16.41,8.53,11.37,-0.7481,-0.4902,0.6160,25.35,-4.78,40.03
5,-1.1101,-0.4087,-0.2415,52.16,11.44,11.06,-1.1072,0.3389,-0.1419,16.41,8.53,11.37,-0.9727,-0.2529,0.9095,16.41,8.53,11.37
6,-1.1101,-0.4087,-0.2415,52.16,11.44,11.06,-0.9019,0.5752,-0.0125,-42.87,-5.30,3.94,-0.9727,-0.2529,0.9095,16.41,8.53,11.37
7,-1.1055,-0.3838,-0.3108,16.91,-10.13,-2.82,-0.9019,0.5752,-0.0125,-42.87,-5.30,3.94,-0.9727,-0.2529,0.9095,16.41,8.53,11.37
8,-1.1543,-0.3572,-0.2949,-3.83,-13.90,-16.91,-0.9019,0.5752,-0.0125,-42.87,-5.30,3.94,-0.9727,-0.2529,0.9095,16.41,8.53,11.37
9,-1.1543,-0.3572,-0.2949,-3.83,-13.90,-16.91,-0.9019,0.5752,-0.0125,-42.87,-5.30,3.94,-0.9727,-0.2529,0.9095,16.41,8.53,11.37
10,-1.1543,-0.3572,-0.2949,-3.83,-13.90,-16.91,-0.7114,0.4700,0.1365,17.39,-17.47,-3.35,-0.9727,-0.2529,0.9095,16.41,8.53,11.37
11,-1.1543,-0.3572,-0.2949,-3.83,-13.90,-16.91,-0.7114,0.4700,0.1365,17.39,-17.47,-3.35,-0.7981,0.3198,0.0640,17.39,-17.47,-3.35
12,-0.7334,-0.1094,-0.4986,-11.54,-13.62,-56.71,-0.7114,0.4700,0.1365,17.39,-17.47,-3.35,-0.7981,0.3198,0.0640,17.39,-17.47,-3.35
13,-0.7334,-0.1094,-0.4986,-11.54,-13.62,-56.71,-0.6773,0.4878,0.0339,-5.71,-25.14,6.43,-0.6721,0.3545,-0.0229,17.39,-17.47,-3.35
14,-0.7334,-0.1094,-0.4986,-11.54,-13.62,-56.71,-0.6773,0.4878,0.0339,-5.71,-25.14,6.43,-0.5681,0.4756,-0.1223,-5.71,-25.14,6.43
15,-0.7249,-0.1506,-0.4995,19.17,16.28,-27.39,-0.7215,0.4141,-0.0952,5.28,-14.02,6.92,-0.5681,0.4756,-0.1223,-5.71,-25.14,6.43
16,-0.7249,-0.1506,-0.4995,19.17,16.28,-27.39,-0.7471,0.3467,-0.1619,-29.85,-4.31,-2.41,-0.5681,0.4756,-0.1223,-5.71,-25.14,6.43
17,-0.7195,-0.1621,-0.4141,18.94,0.24,-26.39,-0.7471,0.3467,-0.1619,-29.85,-4.31,-2.41,-0.7964,0.5418,-0.2170,-29.85,-4.31,-2.41
18,-0.8052,-0.3403,-0.3215,-7.69,-8.60,-10.74,-0.7471,0.3467,-0.1619,-29.85,-4.31,-2.41,-0.7964,0.5418,-0.2170,-29.85,-4.31,-2.41
19,-0.8052,-0.3403,-0.3215,-7.69,-8.60,-10.74,-0.7879,0.5144,-0.1089,-30.99,10.44,-3.35,-0.9793,0.5532,-0.2681,-29.85,-4.31,-2.41
20,-0.8052,-0.3403,-0.3215,-7.69,-8.60,-10.74,-0.7879,0.5144,-0.1089,-30.99,10.44,-3.35,-1.5735,1.4270,-0.1213,-30.99,10.44,-3.35
21,-0.9532,-0.1682,-0.2441,-10.07,-19.51,9.77,-0.8870,0.5086,-0.0532,-6.18,1.10,7.20,-1.5735,1.4270,-0.1213,-30.99,10.44,-3.35
22,-0.9532,-0.1682,-0.2441,-10.07,-19.51,9.77,-1.1392,0.5650,-0.1079,17.65,-8.58,3.21,-1.5735,1.4270,-0.1213,-30.99,10.44,-3.35
23,-1.0315,-0.3850,-0.3562,39.70,9.26,26.59,-1.1392,0.5650,-0.1079,17.65,-8.58,3.21,-1.2505,0.4185,0.0337,17.65,-8.58,3.21
24,-1.0008,-0.2952,-0.3250,35.81,14.04,25.96,-1.1392,0.5650,-0.1079,17.65,-8.58,3.21,-1.2505,0.4185,0.0337,17.65,-8.58,3.21
25,-1.0008,-0.2952,-0.3250,35.81,14.04,25.96,-1.1392,0.5650,-0.1079,17.65,-8.58,3.21,-0.9458,-0.4229,-0.5547,17.65,-8.58,3.21
26,-1.0008,-0.2952,-0.3250,35.81,14.04,25.96,-0.9544,0.4063,-0.1077,0.44,-15.64,2.05,-0.9458,-0.4229,-0.5547,17.65,-8.58,3.21
27,-1.0008,-0.2952,-0.3250,35.81,14.04,25.96,-0.8828,0.4671,-0.1096,8.32,-14.89,0.89,-0.9458,-0.4229,-0.5547,17.65,-8.58,3.21
28,-0.8833,-0.3269,-0.4011,0.89,20.92,22.32,-0.8828,0.4671,-0.1096,8.32,-14.89,0.89,-0.8098,0.7769,-0.1018,8.32,-14.89,0.89
29,-0.8191,-0.3433,-0.3782,3.69,19.57,6.36,-0.8828,0.4671,-0.1096,8.32,-14.89,0.89,-0.8098,0.7769,-0.1018,8.32,-14.89,0.89
30,-0.8191,-0.3433,-0.3782,3.69,19.57,6.36,-0.7910,0.4607,-0.0432,9.87,-7.54,-6.45,-0.9646,0.3923,-0.2354,8.32,-14.89,0.89
31,-0.8191,-0.3433,-0.3782,3.69,19.57,6.36,-0.7910,0.4607,-0.0432,9.87,-7.54,-6.45,-0.7989,0.5178,-0.0337,9.87,-7.54,-6.45
32,-0.8191,-0.3433,-0.3782,3.69,19.57,6.36,-0.7449,0.5200,-0.0317,-3.83,-7.87,-1.28,-0.7989,0.5178,-0.0337,9.87,-7.54,-6.45
33,-0.8343,-0.2253,-0.3162,10.74,32.27,-17.55,-0.7449,0.5200,-0.0317,-3.83,-7.87,-1.28,-0.7989,0.5178,-0.0337,9.87,-7.54,-6.45
34,-0.8350,-0.2515,-0.3115,41.01,33.13,-16.24,-0.7449,0.5200,-0.0317,-3.83,-7.87,-1.28,-0.7989,0.5178,-0.0337,9.87,-7.54,-6.45
35,-0.8350,-0.2515,-0.3115,41.01,33.13,-16.24,-0.8411,0.5271,0.0012,34.21,-7.84,14.49,-0.8474,0.3191,0.1370,-3.83,-7.87,-1.28
36,-0.8350,-0.2515,-0.3115,41.01,33.13,-16.24,-0.8411,0.5271,0.0012,34.21,-7.84,14.49,-0.8450,-0.1167,0.0015,34.21,-7.84,14.49
37,-0.7857,-0.3425,-0.3611,34.77,16.82,-21.49,-0.7676,0.4597,0.0557,10.59,-5.70,13.32,-0.8450,-0.1167,0.0015,34.21,-7.84,14.49
38,-0.7857,-0.3425,-0.3611,34.77,16.82,-21.49,-0.8260,0.4641,0.0686,7.16,-0.31,14.91,-0.8450,-0.1167,0.0015,34.21,-7.84,14.49
39,-0.7857,-0.3425,-0.3611,34.77,16.82,-21.49,-0.8260,0.4641,0.0686,7.16,-0.31,14.91,-0.8450,-0.1167,0.0015,34.21,-7.84,14.49
40,-0.7764,-0.1846,-0.4509,-8.08,10.39,-41.00,-0.8260,0.4641,0.0686,7.16,-0.31,14.91,-0.8450,-0.1167,0.0015,34.21,-7.84,14.49
41,-0.7764,-0.1846,-0.4509,-8.08,10.39,-41.00,-0.8260,0.4641,0.0686,7.16,-0.31,14.91,-0.5447,0.2944,0.5193,7.16,-0.31,14.91
42,-0.7764,-0.1846,-0.4509,-8.08,10.39,-41.00,-0.8260,0.4641,0.0686,7.16,-0.31,14.91,-0.5447,0.2944,0.5193,7.16,-0.31,14.91
43,-0.7764,-0.1846,-0.4509,-8.08,10.39,-41.00,-0.8506,0.3855,0.0510,-34.93,4.57,9.04,-0.5447,0.2944,0.5193,7.16,-0.31,14.91
44,-0.8037,-0.4612,-0.3904,6.80,-10.73,-39.09,-0.8506,0.3855,0.0510,-34.93,4.57,9.04,-0.5447,0.2944,0.5193,7.16,-0.31,14.91
45,-0.8037,-0.4612,-0.3904,6.80,-10.73,-39.09,-0.8506,0.3855,0.0510,-34.93,4.57,9.04,-0.9619,-0.6641,0.3753,-34.93,4.57,9.04
46,-0.8037,-0.4612,-0.3904,6.80,-10.73,-39.09,-0.8506,0.3855,0.0510,-34.93,4.57,9.04,-1.2698,0.4807,-0.1460,-34.93,4.57,9.04
47,-0.8037,-0.4612,-0.3904,6.80,-10.73,-39.09,-1.1040,0.4153,-0.2139,-10.40,4.39,0.25,-1.2698,0.4807,-0.1460,-34.93,4.57,9.04
48,-1.0086,-0.6609,-0.2691,-58.69,-12.84,-28.74,-1.1040,0.4153,-0.2139,-10.40,4.39,0.25,-1.2698,0.4807,-0.1460,-34.93,4.57,9.04
49,-0.9156,-0.6988,-0.1985,-48.22,-5.74,-26.99,-1.1040,0.4153,-0.2139,-10.40,4.39,0.25,-1.2698,0.4807,-0.1460,-34.93,4.57,9.04
50,-0.9156,-0.6988,-0.1985,-48.22,-5.74,-26.99,-0.9453,0.4505,-0.3948,-8.75,-14.27,-14.25,-0.8430,0.3211,0.3880,-10.40,4.39,0.25
51,-0.9156,-0.6988,-0.1985,-48.22,-5.74,-26.99,-0.9453,0.4505,-0.3948,-8.75,-14.27,-14.25,-1.0638,-0.2847,0.2026,-8.75,-14.27,-14.25
52,-0.7932,-0.7932,-0.0706,-26.51,-0.69,-15.11,-1.0274,0.4439,-0.4400,15.97,-25.81,-0.66,-1.0638,-0.2847,0.2026,-8.75,-14.27,-14.25
53,-0.7932,-0.7932,-0.0706,-26.51,-0.69,-15.11,-0.8845,0.4060,-0.4141,7.78,-20.55,7.72,-1.0638,-0.2847,0.2026,-8.75,-14.27,-14.25
