id,acc_rh_x,acc_rh_y,acc_rh_z,gyro_rh_x,gyro_rh_y,gyro_rh_z,acc_lh_x,acc_lh_y,acc_lh_z,gyro_lh_x,gyro_lh_y,gyro_lh_z,acc_leg_x,acc_leg_y,acc_leg_z,gyro_leg_x,gryo_leg_y,gryo_leg_z
1,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.00,0.00,0.00,-0.8787,-0.2830,-0.1428,33.27,-13.25,-28.60
2,-0.7322,0.6697,-0.2881,-19.95,-162.07,-62.55,-0.5254,0.7718,0.0979,-210.67,156.14,-41.47,-0.4778,-0.4219,0.3357,-177.40,142.90,-70.07
3,-0.6597,0.0913,-0.2256,-0.42,-184.45,14.24,-0.8501,0.5486,0.1028,-188.22,162.51,-38.38,-0.5181,-0.1555,0.4722,-154.94,149.27,-66.97
4,-0.7735,-0.4238,-0.3816,-34.28,-215.99,53.61,-0.8435,0.6345,0.0344,-160.21,148.75,-40.26,-0.6880,-0.4597,0.2097,-126.94,135.50,-68.86
5,-1.0191,-0.4610,-0.9742,-40.25,-214.01,82.14,-0.6404,0.6133,-0.0686,-134.88,151.58,-38.23,-0.7197,-0.4832,0.2673,-101.60,138.33,-66.83
6,-0.8367,-0.6868,-0.6782,-7.84,-186.41,92.98,-0.5506,0.6350,0.0986,-139.48,152.67,-54.49,-0.5278,-0.3699,0.2056,-106.21,139.42,-83.09
7,-0.7132,-0.6094,-0.8469,-33.06,-139.02,64.84,-0.4688,0.8042,0.1511,-122.49,133.18,-45.01,-0.3528,-0.3364,0.2949,-89.22,119.93,-73.61
8,-0.5681,-0.7849,-0.8574,-15.32,-101.79,33.10,-0.4341,0.7715,-0.0710,-99.05,113.02,-25.80,-0.6243,-0.5010,0.2295,-65.78,99.77,-54.39
9,-0.6138,-1.0337,-0.9468,-43.10,-82.03,17.85,-0.5283,0.6851,-0.1279,-74.05,143.99,-21.75,-1.0987,-0.4702,0.3401,-40.77,130.75,-50.35
10,-0.7635,-0.8623,-1.0293,-93.61,-50.30,2.87,-0.6690,0.7395,0.0710,-52.57,161.47,-28.79,-1.3453,-0.1992,0.6328,-19.30,148.23,-57.38
11,-1.1878,-0.8684,-1.0408,-73.30,-36.37,-10.99,-0.9070,0.7893,0.0159,-32.17,166.88,-47.24,-1.4869,-0.2317,0.7942,1.10,153.64,-75.83
12,-1.1802,-0.7547,-1.0479,-71.05,-5.72,-53.80,-0.9407,0.8074,-0.0642,-22.19,178.44,-79.47,-1.0701,-0.2852,0.6209,11.09,165.20,-108.07
13,-1.0225,-0.6441,-0.9471,-24.67,26.47,-92.75,-0.7923,0.8135,-0.0562,-47.44,180.87,-98.59,-1.1062,-0.2100,0.5606,-14.17,167.62,-127.19
14,-1.0303,-0.6260,-0.7771,-1.71,52.42,-127.12,-0.6924,0.9429,-0.1863,-99.03,178.31,-96.98,-0.9143,-0.0476,0.2998,-65.76,165.07,-125.58
15,-1.0459,-0.5435,-0.7561,42.37,79.32,-135.56,-0.5220,1.3628,-0.1086,-142.67,164.51,-75.91,-0.7986,0.0425,0.0188,-109.39,151.26,-104.50
16,-0.8975,-0.5967,-0.6975,83.56,98.61,-148.36,-0.3113,1.6382,-0.1638,-132.72,139.30,-24.76,-0.8096,0.1523,0.0093,-99.44,126.06,-53.35
17,-0.7722,-0.7947,-0.7305,92.43,105.07,-171.76,-0.3750,1.5865,-0.1172,-171.08,115.92,36.48,-0.9815,0.0728,-0.2278,-137.81,102.68,7.89
18,-0.7190,-1.0408,-0.6145,79.48,116.60,-205.34,-0.3836,1.7378,0.1165,-197.52,91.20,127.61,-0.8528,-0.0393,-0.2380,-164.24,77.96,99.02
19,-0.8650,-1.1241,-0.7468,5.86,15.75,-233.41,-0.9746,1.3780,0.2510,31.75,1.95,193.37,-0.8435,-0.1155,-0.2420,65.03,-11.29,164.78
20,-1.0000,-0.9995,-0.4375,26.38,23.50,-249.76,-0.9248,1.3750,0.1882,15.69,1.05,234.65,-0.8738,-0.0667,-0.2900,48.97,-12.20,206.05
21,-0.9295,-1.1717,0.0137,3.23,33.27,-244.61,-0.9998,1.0000,0.0703,27.34,7.92,232.12,-0.8128,-0.2041,0.3157,60.62,-5.33,203.53
22,-1.2500,-0.9273,0.0022,0.20,82.05,2.04,-1.1250,0.6446,0.8799,2.62,7.81,3.93,-1.1094,-0.0894,-0.1697,35.90,-5.43,-24.67
23,-0.8728,-0.8750,0.0337,9.95,7.91,-250.01,0.0012,0.4104,1.0332,7.90,17.75,236.37,-0.7986,-0.0908,-0.1939,41.18,4.51,207.77
24,-0.9356,-0.8592,0.2578,4.03,0.19,-230.45,0.0410,0.2500,1.0010,7.84,9.90,176.92,-0.9739,-0.0918,-0.2468,41.12,-3.35,148.33
25,-0.9043,-0.7481,0.2549,24.81,4.96,-213.87,0.1250,0.1406,0.7075,23.47,2.84,110.54,-0.8636,-0.1169,-0.2737,56.74,-10.41,81.94
