id,acc_rh_x,acc_rh_y,acc_rh_z,gyro_rh_x,gyro_rh_y,gyro_rh_z,acc_lh_x,acc_lh_y,acc_lh_z,gyro_lh_x,gyro_lh_y,gyro_lh_z,acc_leg_x,acc_leg_y,acc_leg_z,gyro_leg_x,gryo_leg_y,gryo_leg_z
1,0.8582,0.6299,-0.3274,41.02,6.13,-0.04,0.8570,-0.5078,-0.2441,3.06,-14.24,-16.88,0.9949,-0.0772,0.2581,3.06,-14.24,-16.88
2,0.8413,0.6060,-0.3191,39.87,0.27,-1.14,0.8838,-0.4795,-0.2356,-3.40,1.30,-0.98,0.9998,-0.0596,0.2412,-3.40,1.30,-0.98
3,0.8545,0.5833,-0.3533,39.80,-7.46,-1.79,-0.1714,-0.3027,-0.1799,2.50,71.40,199.48,1.0074,-0.0461,0.2363,2.50,71.40,199.48
4,0.8328,0.6248,-0.3452,40.93,2.72,1.79,-0.1714,-0.3027,-0.1799,2.50,71.40,199.48,1.0074,-0.0461,0.2363,2.50,71.40,199.48
5,0.8328,0.6248,-0.3452,40.93,2.72,1.79,-0.8035,-0.2620,-0.4819,23.53,-5.12,2.18,1.0096,-0.0540,0.2422,23.53,-5.12,2.18
6,0.8264,0.6333,-0.3423,44.48,4.84,2.01,-0.8213,-0.2886,-0.5173,5.59,1.04,-1.00,1.0059,-0.0486,0.2393,5.59,1.04,-1.00
7,0.8264,0.6333,-0.3423,44.48,4.84,2.01,-0.7984,-0.2747,-0.5589,-7.36,3.74,-1.71,1.0059,-0.0486,0.2393,5.59,1.04,-1.00
8,0.8264,0.6333,-0.3423,44.48,4.84,2.01,-0.7984,-0.2747,-0.5589,-7.36,3.74,-1.71,1.0157,-0.0532,0.2410,-7.36,3.74,-1.71
9,0.8377,0.6323,-0.3430,49.97,5.87,1.59,-0.7984,-0.2747,-0.5589,-7.36,3.74,-1.71,1.0157,-0.0532,0.2410,-7.36,3.74,-1.71
10,0.8413,0.6301,-0.3411,52.35,6.42,0.69,-0.7334,-0.3157,-0.5791,6.03,-3.22,-3.20,1.0105,-0.0532,0.2454,6.03,-3.22,-3.20
11,0.8413,0.6301,-0.3411,52.35,6.42,0.69,-0.7251,-0.3066,-0.5686,7.70,-7.39,-5.23,1.0005,-0.0476,0.2400,7.70,-7.39,-5.23
12,0.8418,0.5991,-0.3347,53.51,5.52,-0.18,-0.7017,-0.3233,-0.5278,5.05,-6.99,-8.36,1.0108,-0.0442,0.2507,5.05,-6.99,-8.36
13,0.8487,0.5750,-0.3472,50.49,5.06,-1.60,-0.6770,-0.3306,-0.4651,-6.25,-3.39,-13.42,1.0108,-0.0442,0.2507,5.05,-6.99,-8.36
14,0.8487,0.5750,-0.3472,50.49,5.06,-1.60,-0.6538,-0.3162,-0.4551,-9.32,-1.93,-17.21,1.0044,-0.0486,0.2537,-9.32,-1.93,-17.21
15,0.8526,0.5750,-0.3418,43.78,4.89,-1.50,-0.6304,-0.2363,-0.5015,-10.61,-1.03,-21.94,1.0015,-0.0530,0.2488,-10.61,-1.03,-21.94
16,0.8540,0.5860,-0.3433,41.41,4.33,-0.60,-0.6355,-0.2715,-0.4907,-6.68,-2.75,-30.53,1.0015,-0.0530,0.2488,-10.61,-1.03,-21.94
17,0.8538,0.5945,-0.3469,40.57,3.96,0.11,-0.6924,-0.3504,-0.4197,-15.86,-0.44,-38.06,1.0044,-0.0537,0.2478,-15.86,-0.44,-38.06
18,0.8538,0.5945,-0.3469,40.57,3.96,0.11,-0.7383,-0.3047,-0.3931,-16.57,0.85,-35.54,1.0108,-0.0532,0.2437,-16.57,0.85,-35.54
