id,acc_rh_x,acc_rh_y,acc_rh_z,gyro_rh_x,gyro_rh_y,gyro_rh_z,acc_lh_x,acc_lh_y,acc_lh_z,gyro_lh_x,gyro_lh_y,gyro_lh_z,acc_leg_x,acc_leg_y,acc_leg_z,gyro_leg_x,gryo_leg_y,gryo_leg_z
1,0.2092,-0.5230,-0.8728,2.19,0.80,16.05,0.2266,0.2100,-0.8572,-24.49,-16.37,-0.95,-0.8865,-0.1982,-0.2783,-24.49,-16.37,-0.95
2,0.2149,-0.3162,-0.8660,-5.65,7.26,-9.80,0.3670,-0.0776,-0.7156,-2.33,20.97,-2.23,-0.8980,-0.1519,-0.2764,-2.33,20.97,-2.23
3,0.2197,-0.2737,-0.8574,3.78,3.94,-4.94,0.3792,-0.0540,-0.6983,-12.13,14.34,-4.01,-0.9019,-0.1648,-0.2805,-12.13,14.34,-4.01
4,0.1975,-0.2964,-0.8916,7.13,2.57,1.68,0.3987,-0.0457,-0.7490,-17.47,2.14,-6.58,-0.8894,-0.1436,-0.2703,-17.47,2.14,-6.58
5,0.2300,-0.3218,-0.8782,12.60,1.82,5.71,0.3899,-0.0261,-0.7664,-19.07,-3.88,-8.18,-0.8992,-0.1628,-0.2766,-19.07,-3.88,-8.18
6,0.2490,-0.3660,-0.9251,14.81,2.96,8.39,0.3557,0.0176,-0.8616,-23.06,-3.24,-9.75,-0.9019,-0.1570,-0.2732,-23.06,-3.24,-9.75
7,0.2908,-0.4292,-0.9458,15.32,0.12,9.12,0.3442,0.0798,-0.9055,-17.31,2.10,-10.22,-0.8941,-0.1580,-0.2620,-17.31,2.10,-10.22
8,0.2937,-0.5818,-0.9947,1.87,0.30,3.84,0.4026,0.1294,-0.8711,1.24,12.28,-8.12,-0.8994,-0.1550,-0.2627,1.24,12.28,-8.12
9,0.2449,-0.5088,-1.0618,-13.49,-1.91,2.18,0.4231,0.0747,-0.9253,8.26,11.78,-6.67,-0.8941,-0.1641,-0.2590,8.26,11.78,-6.67
10,0.2461,-0.4375,-1.0432,-4.37,-2.57,-2.69,0.4092,0.0571,-0.9175,7.61,11.96,-1.87,-0.9107,-0.1502,-0.2625,7.61,11.96,-1.87
11,0.2090,-0.4600,-0.9878,-4.61,-6.61,-2.29,0.4614,0.0037,-0.8081,-5.75,6.65,2.66,-0.9036,-0.1465,-0.2532,-5.75,6.65,2.66
12,0.1726,-0.4192,-0.9529,-11.91,-10.42,2.14,0.4360,0.0339,-0.7805,-3.81,-9.81,3.05,-0.8946,-0.1482,-0.2432,-3.81,-9.81,3.05
13,0.2212,-0.3501,-0.8777,-7.65,-13.57,4.45,0.3831,0.0400,-0.8242,-0.34,-18.50,4.20,-0.8972,-0.1494,-0.2422,-0.34,-18.50,4.20
14,0.2051,-0.3799,-0.8855,1.26,-15.15,5.15,0.3657,0.0142,-0.7869,-5.97,-18.33,3.92,-0.9019,-0.1531,-0.2483,-5.97,-18.33,3.92
15,0.1658,-0.3943,-0.9041,-0.19,-5.41,3.30,0.3557,0.0115,-0.7942,-16.14,-14.83,4.36,-0.8919,-0.1455,-0.2532,-16.14,-14.83,4.36
16,0.2078,-0.3618,-0.8557,8.60,5.20,-0.94,0.3425,0.0273,-0.8172,-16.24,-5.48,3.49,-0.9087,-0.1299,-0.2481,-16.24,-5.48,3.49
17,0.1841,-0.3364,-0.9077,13.57,14.58,-3.00,0.3801,-0.0027,-0.7957,-17.85,2.05,1.53,-0.8972,-0.1604,-0.2368,-17.85,2.05,1.53
18,0.1626,-0.3284,-0.9439,25.63,22.42,-4.70,0.4426,-0.0266,-0.7290,-26.60,1.60,-0.05,-0.9080,-0.1311,-0.2156,-26.60,1.60,-0.05
19,0.1663,-0.4207,-1.0684,38.86,26.69,-5.10,0.4295,0.0200,-0.8443,-23.98,-6.69,-1.51,-0.8914,-0.0952,-0.2700,-23.98,-6.69,-1.51
20,0.1965,-0.6091,-1.3140,47.75,34.49,-12.73,0.4685,0.0378,-0.7967,-33.61,-7.37,3.81,-0.8626,-0.2188,-0.3262,-33.61,-7.37,3.81
21,0.3662,-0.6875,-1.4602,67.19,61.85,-33.91,0.5464,0.1716,-0.6729,-48.75,0.42,11.33,-0.8286,-0.1890,-0.3853,-48.75,0.42,11.33
22,0.5847,-0.8103,-1.0996,37.80,79.07,-47.85,0.3728,0.3291,-1.1109,-9.56,27.81,14.06,-0.8638,-0.3010,-0.5088,-9.56,27.81,14.06
23,0.6421,-0.6802,-0.8523,-23.49,63.15,-53.93,0.5147,0.1467,-0.9402,14.66,83.59,18.47,-1.1082,-0.1018,-0.2544,14.66,83.59,18.47
24,0.6658,-0.5173,-0.7197,-30.37,69.19,-70.83,0.5767,0.0479,-0.6448,-10.30,129.29,27.26,-1.2815,-0.1414,-0.3150,-10.30,129.29,27.26
25,0.5352,-0.2625,-0.4724,-21.82,69.43,-75.00,0.5706,-0.1209,-0.8369,-4.50,163.72,17.03,-0.7454,-0.0437,0.1753,-4.50,163.72,17.03
26,0.5513,-0.0938,-0.0403,11.10,60.90,-71.66,0.4966,0.1108,-1.0830,7.35,183.72,2.30,-0.4983,0.1875,0.5205,7.35,183.72,2.30
27,0.5432,-0.1953,-0.2241,55.33,11.07,-56.96,0.5960,0.2183,-1.0889,69.20,167.63,-6.16,-0.4631,0.2488,0.3079,69.20,167.63,-6.16
28,0.4036,-0.4893,-0.5999,25.55,-0.46,-47.09,0.5694,0.1384,-1.1289,78.84,107.47,0.53,-0.8982,-0.0947,-0.0020,78.84,107.47,0.53
29,0.5193,-0.3066,-0.3477,40.25,-4.88,-55.28,0.7095,0.1106,-0.9197,64.02,48.79,21.79,-1.4124,-0.1282,-0.6289,64.02,48.79,21.79
30,0.3799,-0.4837,-0.5281,64.68,-29.65,-56.64,0.8565,-0.0479,-0.7417,60.53,-9.35,33.95,-1.0218,-0.0515,-0.0652,60.53,-9.35,33.95
31,0.1636,-0.6387,-0.9908,67.16,-24.45,-57.60,0.6731,-0.1111,-0.5520,19.73,-43.33,43.56,-0.8765,-0.0579,-0.1121,19.73,-43.33,43.56
32,0.0991,-0.4624,-1.1853,47.90,-28.10,-42.44,0.8013,-0.1929,-0.3345,-47.93,-88.60,52.32,-0.8189,-0.2295,-0.1409,-47.93,-88.60,52.32
33,0.1123,-0.6121,-1.0174,16.92,-45.73,-10.83,0.7781,-0.3867,-0.2922,-90.56,-94.44,32.04,-0.9466,-0.0454,-0.2002,-90.56,-94.44,32.04
34,0.3132,-0.4033,-0.9720,62.40,-55.65,-1.03,0.7014,-0.3211,-0.0403,-122.69,-129.15,-17.96,-0.9441,-0.1819,-0.1699,-122.69,-129.15,-17.96
35,0.3098,-0.6548,-1.0403,103.95,-52.75,5.61,0.6062,-0.2390,0.2026,-162.77,-161.93,-42.40,-0.9453,-0.4185,-0.2542,-162.77,-161.93,-42.40
36,0.3518,-0.8052,-1.2200,81.74,-5.61,4.71,0.4229,0.0825,0.2629,-115.26,-168.61,-42.26,-0.6421,-0.3958,-0.3745,-115.26,-168.61,-42.26
37,0.5264,-1.0301,-1.0840,59.98,21.24,7.32,0.3955,0.1077,-0.0229,-47.46,-137.87,-24.96,-0.8765,-0.3179,-0.3836,-47.46,-137.87,-24.96
38,0.4497,-0.8665,-1.1231,19.16,49.21,30.05,0.4321,0.2749,-0.4280,34.60,-118.56,-11.64,-0.8155,-0.3748,-0.3574,34.60,-118.56,-11.64
39,0.9800,-0.9158,-0.7737,11.36,63.87,38.69,0.5908,-0.1287,-0.6355,84.90,-76.30,-1.62,-0.8721,-0.2439,-0.2859,84.90,-76.30,-1.62
40,1.0769,-1.0181,-0.6267,-30.01,36.61,43.20,0.4761,-0.1653,-1.1162,89.00,-20.52,28.58,-0.9805,-0.3599,-0.3506,89.00,-20.52,28.58
41,1.0183,-0.9495,-0.5984,-96.16,18.96,43.95,0.4531,-0.2544,-1.5672,52.54,40.08,34.82,-1.2686,-0.0979,-0.2610,52.54,40.08,34.82
42,0.8106,-0.5420,-0.5952,-112.75,2.46,28.09,0.3401,-0.1863,-1.6876,48.78,123.54,36.97,-1.5564,-0.1858,-0.4026,48.78,123.54,36.97
43,0.4771,-0.3250,-0.7346,-70.13,32.14,-1.54,0.5740,-0.2583,-1.4532,22.41,197.68,15.96,-1.4978,-0.3250,-0.4138,22.41,197.68,15.96
44,0.5847,-0.2087,-0.5171,-56.79,56.22,-15.64,0.5503,-0.2422,-1.2994,-17.06,224.77,14.18,-0.9278,-0.0994,0.2774,-17.06,224.77,14.18
45,0.4561,-0.0806,-0.3318,-51.37,61.17,-29.98,0.5623,0.0078,-1.1380,-28.44,176.34,12.44,-0.5391,0.2844,0.4863,-28.44,176.34,12.44
46,0.4282,0.1108,-0.1880,-48.20,72.57,-37.93,0.4776,0.0515,-1.0750,11.08,142.05,1.53,0.3533,0.3403,0.6192,11.08,142.05,1.53
47,0.4627,0.1277,0.0767,-63.48,61.92,-24.41,0.5088,-0.0535,-1.0379,43.72,97.34,-13.85,0.1799,0.3853,0.7771,43.72,97.34,-13.85
48,0.5928,-0.0466,-0.0833,-72.57,46.45,-4.73,0.5567,-0.0369,-0.9397,43.29,42.85,-20.71,-0.0405,0.5469,0.6946,43.29,42.85,-20.71
49,0.8821,-0.0669,-0.0483,-44.31,29.59,-0.59,0.5974,0.1516,-0.8504,66.26,5.85,-19.55,-0.0325,0.3252,0.4402,66.26,5.85,-19.55
50,0.9922,-0.3342,-0.3977,6.61,-22.60,-11.53,0.6634,0.1782,-0.6211,65.68,-20.18,-0.16,-0.3955,0.4644,0.5120,65.68,-20.18,-0.16
51,0.6743,-0.5520,-0.5713,77.15,-27.41,-32.49,0.7786,0.0427,-0.5518,0.37,-56.54,16.06,-1.9490,-0.1262,-0.4456,0.37,-56.54,16.06
52,0.6504,-0.8137,-1.0957,140.77,-23.77,-60.46,0.7666,0.2202,-0.3616,-45.82,-86.29,19.94,-1.1695,-0.3225,-0.4422,-45.82,-86.29,19.94
53,0.2056,-1.1399,-1.3077,70.86,-54.33,-32.15,0.5403,0.1323,-0.3845,-26.39,-97.70,1.63,-1.8790,-0.0032,-0.6743,-26.39,-97.70,1.63
54,0.2378,-0.7117,-0.8845,28.10,-63.64,-31.30,0.7559,-0.1628,-0.1853,-28.29,-80.79,-21.97,-1.3992,0.6675,-0.3557,-28.29,-80.79,-21.97
55,0.4209,-0.6082,-0.8098,70.58,-95.61,-13.41,0.6138,-0.1953,0.0679,-81.45,-84.69,-39.60,-0.4566,-0.8430,-0.2986,-81.45,-84.69,-39.60
56,0.4002,-0.7461,-0.9961,48.18,-96.83,-2.40,0.4404,-0.0693,-0.1370,-89.07,-110.61,-39.65,-0.6375,-0.0623,-0.2637,-89.07,-110.61,-39.65
57,0.2654,-0.6497,-1.2085,35.68,-77.95,-3.00,0.6289,-0.1658,-0.0168,-79.94,-83.19,-32.70,-1.0330,-0.3919,-0.4993,-79.94,-83.19,-32.70
58,0.1499,-0.7271,-1.4803,51.25,-36.17,-2.79,0.4724,-0.0674,-0.2488,-29.82,-69.09,-33.53,-0.6695,-0.4934,-0.4019,-29.82,-69.09,-33.53
59,0.4116,-0.6741,-1.2674,64.44,19.52,12.35,0.8611,-0.0876,-0.3562,18.83,-41.38,-41.76,-0.9004,-0.2771,-0.2371,18.83,-41.38,-41.76
