id,acc_rh_x,acc_rh_y,acc_rh_z,gyro_rh_x,gyro_rh_y,gyro_rh_z,acc_lh_x,acc_lh_y,acc_lh_z,gyro_lh_x,gyro_lh_y,gyro_lh_z,acc_leg_x,acc_leg_y,acc_leg_z,gyro_leg_x,gryo_leg_y,gryo_leg_z
1,-0.9370,-0.1299,-0.1951,13.46,4.96,1.80,-0.8782,0.2712,-0.2922,8.77,-8.38,0.79,-0.8933,-0.2100,-0.2905,8.77,-8.38,0.79
2,-0.9344,-0.1599,-0.2373,2.13,2.42,-1.53,-0.8491,0.2366,-0.3567,-3.42,1.25,3.67,-0.9058,-0.1721,-0.2940,-3.42,1.25,3.67
3,-0.9356,-0.1904,-0.2363,-21.30,1.82,8.48,-0.8150,0.1968,-0.4004,23.26,-3.64,-2.66,-0.8926,-0.1709,-0.2815,23.26,-3.64,-2.66
4,-0.9422,-0.2053,-0.1729,-44.41,-4.88,5.39,-0.8684,0.1470,-0.3933,8.48,6.65,1.50,-0.8994,-0.1668,-0.2605,8.48,6.65,1.50
5,-0.9590,-0.3218,-0.1309,-83.53,-6.88,-1.67,-0.8909,0.1726,-0.3635,-1.53,6.39,1.43,-0.8897,-0.1736,-0.2695,-1.53,6.39,1.43
6,-0.9473,-0.0422,-0.1367,-80.26,-1.57,-7.40,-0.8792,0.1533,-0.3843,-22.97,5.46,-0.67,-0.8970,-0.1829,-0.2725,-22.97,5.46,-0.67
7,-0.9221,0.0276,-0.1902,-27.77,0.16,-7.07,-0.8411,0.2141,-0.4107,-37.90,8.07,-1.95,-0.8970,-0.1829,-0.2725,-22.97,5.46,-0.67
8,-0.9751,-0.2556,-0.2463,-30.18,3.55,-15.11,-0.8347,0.2212,-0.4375,-41.12,8.19,1.27,-0.8975,-0.1702,-0.2695,-37.90,8.07,-1.95
9,-0.9500,-0.0779,-0.2625,-44.14,6.16,-15.47,-0.8347,0.2212,-0.4375,-41.12,8.19,1.27,-0.8963,-0.1729,-0.2595,-41.12,8.19,1.27
10,-0.9199,-0.1231,-0.2539,-23.66,4.78,-17.18,-0.8408,0.2200,-0.3904,-31.87,4.36,4.38,-0.9007,-0.1702,-0.2629,-31.87,4.36,4.38
11,-0.9417,-0.2234,-0.2371,-26.67,2.33,-17.49,-0.8362,0.2661,-0.3582,-24.98,1.86,8.27,-0.9007,-0.1702,-0.2629,-31.87,4.36,4.38
12,-0.9309,-0.1416,-0.2170,-28.01,0.86,-14.76,-0.8347,0.2793,-0.3533,-15.77,0.28,10.98,-0.8975,-0.1707,-0.2627,-24.98,1.86,8.27
13,-0.9309,-0.1423,-0.2092,-28.47,1.02,-12.48,-0.8347,0.2793,-0.3533,-15.77,0.28,10.98,-0.8850,-0.1780,-0.2703,-15.77,0.28,10.98
14,-0.9129,-0.1480,-0.1980,-28.87,2.30,-10.19,-0.8303,0.1958,-0.3525,7.00,-0.47,13.82,-0.8887,-0.1751,-0.2664,7.00,-0.47,13.82
15,-0.9236,-0.1106,-0.2214,-25.77,4.52,-6.94,-0.8294,0.2232,-0.3540,8.00,2.51,12.22,-0.8887,-0.1751,-0.2664,7.00,-0.47,13.82
