id,acc_rh_x,acc_rh_y,acc_rh_z,gyro_rh_x,gyro_rh_y,gyro_rh_z,acc_lh_x,acc_lh_y,acc_lh_z,gyro_lh_x,gyro_lh_y,gyro_lh_z,acc_leg_x,acc_leg_y,acc_leg_z,gyro_leg_x,gryo_leg_y,gryo_leg_z
1,-0.8936,-0.0444,-0.3535,35.96,6.78,8.60,-0.9187,0.4624,-0.1335,5.59,-14.04,37.71,-0.8628,0.0693,-0.1196,5.59,-14.04,37.71
2,-0.9407,-0.1187,-0.1035,-63.17,6.87,-3.55,-0.9256,0.0095,-0.2488,-15.91,-2.62,18.39,-1.0096,-0.0352,-0.1030,-15.91,-2.62,18.39
3,-0.9495,-0.2927,-0.0923,-71.86,4.24,21.48,-0.7674,0.1287,-0.2053,-149.53,26.19,-33.49,-0.8350,0.0068,-0.0840,-149.53,26.19,-33.49
4,-0.8723,-0.2315,-0.0525,-16.56,7.62,20.19,-0.7986,0.0325,-0.3818,-12.87,2.75,-6.59,-0.8765,-0.0981,-0.0161,-12.87,2.75,-6.59
5,-0.8975,-0.2432,-0.0657,-21.74,5.63,20.00,-0.7984,0.0149,-0.3674,-21.73,-0.31,-5.42,-0.8953,0.0525,0.0393,-21.73,-0.31,-5.42
6,-0.9263,-0.2412,-0.0557,-26.37,5.58,20.50,-0.7879,0.0249,-0.3616,-30.01,-3.06,-5.19,-0.8953,0.0525,0.0393,-21.73,-0.31,-5.42
7,-0.9446,-0.2542,-0.0586,-31.14,5.66,21.43,-0.7918,0.0598,-0.3733,-35.16,-4.07,-4.06,-0.9075,0.0535,0.0232,-30.01,-3.06,-5.19
8,-0.9668,-0.2720,-0.0569,-39.75,5.62,22.10,-0.7918,0.0598,-0.3733,-35.16,-4.07,-4.06,-0.9107,-0.0276,-0.0217,-35.16,-4.07,-4.06
9,-0.9846,-0.2754,-0.0522,-49.66,5.74,21.16,-0.8042,0.0508,-0.4006,-29.09,-4.59,-0.50,-0.8911,-0.0269,0.0017,-29.09,-4.59,-0.50
10,-0.9903,-0.2695,-0.0498,-58.61,5.86,19.02,-0.7957,0.0850,-0.3963,-22.60,-6.07,1.13,-0.8911,-0.0269,0.0017,-29.09,-4.59,-0.50
11,-0.9981,-0.2293,-0.0486,-62.02,6.13,15.69,-0.7859,0.0786,-0.4072,-11.19,-8.79,3.85,-0.9043,0.0164,-0.0024,-22.60,-6.07,1.13
12,-0.9881,-0.2141,-0.0488,-58.59,5.92,11.98,-0.7859,0.0786,-0.4072,-11.19,-8.79,3.85,-0.9009,0.0505,-0.0117,-11.19,-8.79,3.85
13,-0.9817,-0.1987,-0.0520,-50.67,6.97,8.06,-0.7547,-0.0293,-0.4453,0.09,-6.52,3.82,-0.9151,0.0251,-0.0623,0.09,-6.52,3.82
14,-0.9683,-0.1926,-0.0669,-39.96,8.77,4.06,-0.7410,-0.0417,-0.4400,-10.50,-4.34,2.26,-0.9151,0.0251,-0.0623,0.09,-6.52,3.82
15,-0.9595,-0.1856,-0.0752,-28.05,10.95,0.22,-0.7410,-0.0417,-0.4400,-10.50,-4.34,2.26,-0.9038,0.0200,-0.0942,-10.50,-4.34,2.26
16,-0.9517,-0.1738,-0.0615,-15.19,13.14,-3.57,-0.6931,-0.0027,-0.4509,-42.09,-3.09,0.39,-0.9038,0.0200,-0.0942,-10.50,-4.34,2.26
17,-0.9392,-0.1885,-0.0579,-6.17,15.37,-5.93,-0.6931,-0.0027,-0.4509,-42.09,-3.09,0.39,-0.9036,-0.0295,-0.1209,-42.09,-3.09,0.39
18,-0.9131,-0.2007,-0.0483,-1.58,18.29,-7.90,-0.6931,0.0593,-0.4021,-42.87,-9.99,7.29,-0.9036,-0.0295,-0.1209,-42.09,-3.09,0.39
19,-0.9041,-0.1948,-0.0437,-0.15,19.97,-9.07,-0.6931,0.0593,-0.4021,-42.87,-9.99,7.29,-0.9036,-0.0295,-0.1209,-42.09,-3.09,0.39
20,-0.9041,-0.1948,-0.0437,-0.15,19.97,-9.07,-0.6931,0.0593,-0.4021,-42.87,-9.99,7.29,-0.8572,-0.1682,-0.2407,-42.87,-9.99,7.29
21,-0.9041,-0.1948,-0.0437,-0.15,19.97,-9.07,-0.6931,0.0593,-0.4021,-42.87,-9.99,7.29,-0.8572,-0.1682,-0.2407,-42.87,-9.99,7.29
22,-0.9698,-0.1389,-0.1243,-7.07,23.84,0.08,-0.8802,0.0283,-0.3079,-28.31,-25.19,18.14,-0.8572,-0.1682,-0.2407,-42.87,-9.99,7.29
23,-1.0537,-0.0996,-0.1558,-10.28,27.29,2.56,-1.0559,0.1255,-0.3359,-25.67,-32.73,12.76,-1.0852,0.1091,0.0960,-28.31,-25.19,18.14
24,-1.0537,-0.0996,-0.1558,-10.28,27.29,2.56,-1.1424,0.0793,-0.3657,-18.78,-40.31,9.09,-1.0694,0.3108,0.1760,-25.67,-32.73,12.76
25,-1.1167,-0.0188,-0.2063,-9.48,23.74,4.70,-1.2061,0.1155,-0.4136,-5.87,-42.55,5.05,-1.1536,0.3318,0.1509,-18.78,-40.31,9.09
26,-1.1980,-0.0332,-0.2529,-13.65,23.62,4.61,-1.2061,0.1155,-0.4136,-5.87,-42.55,5.05,-1.2901,0.2940,0.1145,-5.87,-42.55,5.05
27,-1.2984,0.0000,-0.2654,-14.97,21.56,5.46,-1.2657,0.1314,-0.4424,-20.03,-34.78,-3.41,-1.4861,0.3699,0.0125,-5.87,-42.55,5.05
28,-1.2984,0.0000,-0.2654,-14.97,21.56,5.46,-1.3833,0.1978,-0.4216,-36.35,-29.95,-7.53,-1.3133,0.1052,-0.0793,-20.03,-34.78,-3.41
29,-1.4593,0.0110,-0.2788,-22.32,1.47,6.32,-1.4639,0.2449,-0.3899,-59.79,-20.09,-15.59,-1.1678,-0.1345,-0.0544,-36.35,-29.95,-7.53
30,-1.3648,0.0269,-0.4375,-25.93,-21.06,4.58,-1.4639,0.2449,-0.3899,-59.79,-20.09,-15.59,-0.9041,-0.4043,0.1389,-59.79,-20.09,-15.59
31,-1.0862,-0.0425,-0.6250,-22.43,-32.33,-5.54,-1.1665,0.4558,-0.2793,-56.00,-6.87,-19.62,-0.7273,-0.3201,0.2578,-59.79,-20.09,-15.59
32,-1.0862,-0.0425,-0.6250,-22.43,-32.33,-5.54,-0.9019,0.5066,-0.1504,-29.38,5.31,-20.80,-0.4900,-0.1697,0.3701,-56.00,-6.87,-19.62
33,-0.5840,-0.0713,-0.6875,-60.85,-37.97,-30.50,-0.7178,0.3914,0.0178,-19.43,6.40,-18.57,-0.3936,0.1975,0.4905,-29.38,5.31,-20.80
34,-0.4861,0.0164,-0.6048,-75.05,-37.19,-38.18,-0.7178,0.3914,0.0178,-19.43,6.40,-18.57,-0.5061,0.0706,0.4443,-19.43,6.40,-18.57
35,-0.4861,0.0164,-0.6048,-75.05,-37.19,-38.18,-0.6016,0.2466,0.1724,-47.79,-0.56,-21.80,-0.6402,-0.3997,0.1951,-19.43,6.40,-18.57
36,-0.4861,0.0164,-0.6048,-75.05,-37.19,-38.18,-0.6016,0.2466,0.1724,-47.79,-0.56,-21.80,-0.6206,-0.5274,0.0427,-47.79,-0.56,-21.80
37,-0.6409,0.3987,-0.4236,-45.06,-17.56,-23.58,-0.6016,0.2466,0.1724,-47.79,-0.56,-21.80,-0.6206,-0.5274,0.0427,-47.79,-0.56,-21.80
38,-0.6409,0.3987,-0.4236,-45.06,-17.56,-23.58,-0.7674,0.4099,-0.0098,-66.80,-7.26,-29.60,-0.6206,-0.5274,0.0427,-47.79,-0.56,-21.80
39,-0.8689,0.1704,-0.4287,23.93,7.00,5.08,-0.8980,0.5169,-0.0493,-29.00,-2.30,-32.42,-0.9412,0.1118,-0.0576,-66.80,-7.26,-29.60
40,-0.9199,0.1309,-0.4082,40.20,10.03,8.47,-0.8980,0.5169,-0.0493,-29.00,-2.30,-32.42,-1.1009,0.2649,-0.0234,-29.00,-2.30,-32.42
41,-0.9712,0.0476,-0.3792,54.34,7.54,7.31,-0.9961,0.5427,-0.0862,28.88,4.77,-28.73,-0.8701,0.2393,0.0276,-29.00,-2.30,-32.42
42,-0.9712,0.0476,-0.3792,54.34,7.54,7.31,-1.0545,0.5088,-0.1216,54.59,6.25,-23.66,-0.8767,0.1021,-0.0083,28.88,4.77,-28.73
43,-1.0032,-0.0598,-0.4075,43.50,0.29,0.83,-1.0166,0.4548,-0.1328,65.93,0.89,-16.24,-1.0227,0.1614,-0.0178,54.59,6.25,-23.66
44,-1.0152,-0.1211,-0.4451,24.13,-1.63,-3.07,-1.0159,0.4141,-0.1660,70.06,4.84,-8.65,-0.9554,0.2849,-0.0735,65.93,0.89,-16.24
45,-0.9615,-0.1445,-0.4412,-2.49,-3.17,-6.04,-1.0159,0.4141,-0.1660,70.06,4.84,-8.65,-0.9771,0.3596,-0.0742,70.06,4.84,-8.65
46,-0.8880,-0.0588,-0.4146,-27.64,-5.04,-6.10,-0.9615,0.3601,-0.1697,54.68,-0.76,4.43,-0.9173,0.4172,-0.1560,70.06,4.84,-8.65
47,-0.8880,-0.0588,-0.4146,-27.64,-5.04,-6.10,-0.9488,0.3120,-0.1514,39.99,-0.06,9.97,-0.9590,0.4055,-0.1624,54.68,-0.76,4.43
48,-0.8198,0.0249,-0.4253,-41.80,-4.05,-1.83,-0.9168,0.2632,-0.1311,18.88,0.15,14.11,-0.9827,0.3076,-0.2700,39.99,-0.06,9.97
49,-0.8137,0.0278,-0.4431,-40.71,-2.61,-0.31,-0.9168,0.2632,-0.1311,18.88,0.15,14.11,-0.9012,0.3301,-0.3313,18.88,0.15,14.11
50,-0.8137,0.0278,-0.4431,-40.71,-2.61,-0.31,-0.8914,0.2481,-0.1433,-16.93,4.96,15.02,-0.9866,0.5098,-0.3037,18.88,0.15,14.11
51,-0.8169,0.0059,-0.4087,-26.89,0.20,2.61,-0.8914,0.2481,-0.1433,-16.93,4.96,15.02,-0.9221,0.5169,-0.3821,-16.93,4.96,15.02
52,-0.8186,-0.0522,-0.4055,-17.13,0.11,2.96,-0.8667,0.2720,-0.1665,-38.41,9.67,11.74,-0.9221,0.5169,-0.3821,-16.93,4.96,15.02
53,-0.8301,-0.0833,-0.3765,-12.36,-1.53,3.57,-0.8667,0.2720,-0.1665,-38.41,9.67,11.74,-0.9619,0.4412,-0.4771,-38.41,9.67,11.74
54,-0.8301,-0.0833,-0.3765,-12.36,-1.53,3.57,-0.8443,0.2986,-0.1487,-40.54,9.96,10.89,-1.0633,0.4324,-0.5706,-38.41,9.67,11.74
55,-0.8640,-0.0923,-0.3477,-13.37,0.52,1.44,-0.8443,0.2986,-0.1487,-40.54,9.96,10.89,-0.9197,0.2383,0.1274,-40.54,9.96,10.89
56,-0.8640,-0.0923,-0.3477,-13.37,0.52,1.44,-0.8443,0.2986,-0.1487,-40.54,9.96,10.89,-0.9380,1.2361,-0.2537,-40.54,9.96,10.89
57,-0.8640,-0.0923,-0.3477,-13.37,0.52,1.44,-0.8443,0.2986,-0.1487,-40.54,9.96,10.89,-1.3199,1.0117,0.0952,-40.54,9.96,10.89
58,-0.9756,-0.0974,-0.3372,-20.76,6.12,-2.27,-0.8443,0.2986,-0.1487,-40.54,9.96,10.89,-1.3199,1.0117,0.0952,-40.54,9.96,10.89
59,-0.9756,-0.0974,-0.3372,-20.76,6.12,-2.27,-0.9925,0.2581,-0.1802,-17.52,3.59,16.17,-1.3199,1.0117,0.0952,-40.54,9.96,10.89
60,-0.9756,-0.0974,-0.3372,-20.76,6.12,-2.27,-0.9925,0.2581,-0.1802,-17.52,3.59,16.17,-1.3199,1.0117,0.0952,-40.54,9.96,10.89
61,-0.9756,-0.0974,-0.3372,-20.76,6.12,-2.27,-0.9925,0.2581,-0.1802,-17.52,3.59,16.17,-0.8179,-0.2097,-0.0786,-17.52,3.59,16.17
62,-1.0291,0.0139,-0.3506,15.49,10.79,4.55,-0.9627,0.2481,-0.2129,0.03,-7.46,14.79,-0.8179,-0.2097,-0.0786,-17.52,3.59,16.17
63,-0.9617,-0.0247,-0.3743,19.49,10.04,5.37,-0.8919,0.2332,-0.2144,7.89,-11.89,16.07,-1.0826,0.6919,-0.3433,7.89,-11.89,16.07
64,-0.9229,-0.0276,-0.4026,16.88,8.27,4.08,-0.8518,0.2266,-0.2053,11.92,-12.86,16.90,-1.0826,0.6919,-0.3433,7.89,-11.89,16.07
65,-0.8838,-0.0078,-0.4199,12.84,5.62,0.44,-0.8455,0.2149,-0.2061,15.51,-11.65,17.03,-1.0069,0.6270,-0.2742,11.92,-12.86,16.90
66,-0.8692,0.0061,-0.4065,10.46,1.21,-4.62,-0.8455,0.2149,-0.2061,15.51,-11.65,17.03,-1.0452,0.4934,-0.3357,15.51,-11.65,17.03
