id,acc_rh_x,acc_rh_y,acc_rh_z,gyro_rh_x,gyro_rh_y,gyro_rh_z,acc_lh_x,acc_lh_y,acc_lh_z,gyro_lh_x,gyro_lh_y,gyro_lh_z,acc_leg_x,acc_leg_y,acc_leg_z,gyro_leg_x,gryo_leg_y,gryo_leg_z
1,-0.9351,-0.1995,-0.1023,-8.69,-2.87,1.75,-0.5095,0.7654,-0.2940,-1.59,-1.68,-9.48,-0.8914,-0.1873,-0.3213,-47.05,-0.60,-7.03
2,-0.3792,-0.9895,0.0037,-2.15,4.82,0.85,-0.4312,0.8875,-0.1743,28.79,-15.05,0.56,-0.8933,-0.1856,-0.2952,-16.67,-13.97,3.01
3,-0.3936,-0.8870,0.0471,-1.43,-17.24,11.83,-0.4695,0.9934,-0.1760,4.93,-15.41,-23.12,-0.8721,-0.2449,-0.3508,-40.54,-14.33,-20.67
4,-0.3965,-0.9304,-0.0347,-0.79,7.61,10.86,-0.4429,0.7991,-0.1746,-17.02,-0.36,-3.36,-0.8721,-0.2449,-0.3508,-40.54,-14.33,-20.67
5,-0.4241,-0.9566,-0.0271,-9.18,4.87,12.54,-0.4429,0.7991,-0.1746,-17.02,-0.36,-3.36,-0.9710,-0.1548,-0.2756,-62.49,0.72,-0.91
6,-0.4241,-0.9566,-0.0271,-9.18,4.87,12.54,-0.4151,0.8318,-0.1370,-12.41,2.69,-3.17,-0.9871,-0.1128,-0.2747,-62.49,0.72,-0.91
7,-0.4241,-0.9566,-0.0271,-9.18,4.87,12.54,-0.4151,0.8318,-0.1370,-12.41,2.69,-3.17,-0.8799,0.0112,-0.2441,-57.87,3.78,-0.72
8,-0.4854,-0.9356,-0.0371,-25.71,5.08,7.50,-0.4151,0.8318,-0.1370,-12.41,2.69,-3.17,-0.8799,0.0112,-0.2441,-57.87,3.78,-0.72
9,-0.4854,-0.9356,-0.0371,-25.71,5.08,7.50,-0.4021,0.8426,-0.0662,-23.85,6.31,-4.39,-0.8799,0.0112,-0.2441,-57.87,3.78,-0.72
10,-0.4854,-0.9356,-0.0371,-25.71,5.08,7.50,-0.4021,0.8426,-0.0662,-23.85,6.31,-4.39,-0.8186,-0.0554,-0.1465,-69.32,7.39,-1.94
11,-0.4502,-0.8606,-0.0627,-14.13,0.96,-1.79,-0.4021,0.8426,-0.0662,-23.85,6.31,-4.39,-0.8186,-0.0554,-0.1465,-69.32,7.39,-1.94
12,-0.4502,-0.8606,-0.0627,-14.13,0.96,-1.79,-0.4153,0.9263,-0.0581,18.15,7.76,-12.86,-0.8186,-0.0554,-0.1465,-69.32,7.39,-1.94
13,-0.4302,-0.8367,-0.0681,-7.00,-4.30,-6.23,-0.4153,0.9263,-0.0581,18.15,7.76,-12.86,-0.8313,0.0530,-0.0706,-27.31,8.84,-10.41
14,-0.4094,-0.8430,-0.0811,3.88,-5.87,-4.94,-0.4749,0.8677,-0.1440,10.86,15.60,-8.91,-0.8260,-0.0229,-0.1013,-27.31,8.84,-10.41
15,-0.4094,-0.8430,-0.0811,3.88,-5.87,-4.94,-0.4832,0.9116,-0.1440,1.01,17.05,-7.83,-0.8294,-0.0425,-0.1267,-34.60,16.69,-6.46
16,-0.4121,-0.8767,-0.0637,-2.65,-7.35,0.79,-0.4744,0.9246,-0.1367,-1.74,18.22,-7.22,-0.8203,-0.1057,-0.1721,-44.46,18.14,-5.38
17,-0.4016,-0.8628,-0.0540,-8.06,-10.73,3.43,-0.4744,0.9246,-0.1367,-1.74,18.22,-7.22,-0.8167,-0.1675,-0.2065,-47.20,19.30,-4.77
18,-0.4024,-0.8684,-0.0542,-8.50,-14.93,3.09,-0.4680,0.9375,-0.1138,-0.72,19.66,-5.64,-0.8272,-0.1052,-0.1951,-47.20,19.30,-4.77
19,-0.4024,-0.8684,-0.0542,-8.50,-14.93,3.09,-0.4553,0.9407,-0.1035,0.78,20.22,-3.79,-0.8565,-0.0298,-0.1931,-46.19,20.74,-3.19
20,-0.4282,-0.9029,-0.0559,-7.16,-21.68,-0.13,-0.4495,0.9173,-0.1240,2.69,21.39,-1.39,-0.9048,0.0791,-0.2263,-44.69,21.30,-1.34
21,-0.4373,-0.9092,-0.0527,-9.73,-24.25,-2.94,-0.4495,0.9173,-0.1240,2.69,21.39,-1.39,-0.9002,-0.0137,-0.2666,-42.78,22.47,1.06
22,-0.4331,-0.8943,-0.0623,-14.64,-25.14,-5.01,-0.4226,0.8675,-0.1245,4.49,23.56,0.37,-0.9663,-0.2752,-0.5440,-42.78,22.47,1.06
23,-0.4331,-0.8943,-0.0623,-14.64,-25.14,-5.01,-0.4180,0.8362,-0.1172,2.04,24.52,-0.02,-0.9234,-0.3313,-0.7566,-40.97,24.64,2.82
24,-0.4597,-0.8699,-0.0691,-17.70,-25.28,-6.73,-0.3931,0.8233,-0.0908,-3.08,25.06,-2.92,-0.9634,-0.1731,-0.5574,-43.43,25.61,2.43
25,-0.4851,-0.8811,-0.0703,-16.40,-24.35,-4.87,-0.3931,0.8233,-0.0908,-3.08,25.06,-2.92,-1.0420,-0.2129,-0.2644,-48.55,26.15,-0.47
26,-0.4851,-0.8811,-0.0703,-16.40,-24.35,-4.87,-0.4163,0.8621,-0.0960,-10.83,23.97,-8.73,-1.0533,-0.0298,-0.1912,-48.55,26.15,-0.47
27,-0.5286,-0.9243,-0.0657,-17.14,-18.51,1.05,-0.4163,0.8621,-0.0960,-10.83,23.97,-8.73,-0.9788,-0.0225,-0.3904,-56.29,25.06,-6.28
28,-0.5286,-0.9243,-0.0657,-17.14,-18.51,1.05,-0.4277,0.9124,-0.1099,-9.77,19.49,-15.96,-0.9134,-0.0010,-0.3779,-56.29,25.06,-6.28
29,-0.5286,-0.9243,-0.0657,-17.14,-18.51,1.05,-0.4277,0.9124,-0.1099,-9.77,19.49,-15.96,-0.8782,-0.1357,-0.3630,-55.23,20.58,-13.51
30,-0.5169,-0.8714,-0.0681,-11.33,-9.29,-1.74,-0.4277,0.9124,-0.1099,-9.77,19.49,-15.96,-0.8782,-0.1357,-0.3630,-55.23,20.58,-13.51
31,-0.5169,-0.8714,-0.0681,-11.33,-9.29,-1.74,-0.4026,0.8701,-0.0942,-14.85,6.13,-9.37,-0.8782,-0.1357,-0.3630,-55.23,20.58,-13.51
32,-0.4431,-0.8045,-0.0855,3.52,-4.03,-12.12,-0.4026,0.8701,-0.0942,-14.85,6.13,-9.37,-0.7617,-0.2598,-0.3394,-60.32,7.22,-6.92
33,-0.3848,-0.7715,-0.0667,6.42,-3.87,-9.25,-0.4104,0.8777,-0.1560,-4.15,-9.38,-6.01,-0.7840,-0.1902,-0.2424,-60.32,7.22,-6.92
34,-0.3848,-0.7715,-0.0667,6.42,-3.87,-9.25,-0.4551,0.8423,-0.1680,2.01,-14.90,-7.74,-0.8838,-0.0864,-0.3272,-49.62,-8.30,-3.56
35,-0.3428,-0.8472,-0.0376,-3.78,-6.73,-2.95,-0.4766,0.8096,-0.1770,7.14,-18.53,-10.93,-0.9043,-0.0657,-0.3477,-43.45,-13.82,-5.29
36,-0.3242,-0.8667,-0.0356,-7.19,-10.03,2.50,-0.4766,0.8096,-0.1770,7.14,-18.53,-10.93,-0.8926,-0.1458,-0.3313,-38.32,-17.45,-8.48
37,-0.3181,-0.8958,-0.0435,-5.78,-14.64,6.64,-0.5615,0.7937,-0.2398,6.52,-20.07,-15.17,-0.8723,-0.2478,-0.3257,-38.32,-17.45,-8.48
38,-0.3181,-0.8958,-0.0435,-5.78,-14.64,6.64,-0.6292,0.8133,-0.2730,8.24,-15.87,-19.33,-0.8701,-0.1926,-0.3167,-38.95,-18.99,-12.72
39,-0.3071,-0.9471,0.0051,-6.19,-20.89,8.01,-0.6394,0.7906,-0.2485,14.43,-11.96,-24.70,-0.8643,-0.1746,-0.3394,-37.22,-14.79,-16.88
40,-0.2754,-0.9226,0.0261,-4.65,-24.03,5.11,-0.6394,0.7906,-0.2485,14.43,-11.96,-24.70,-0.8367,-0.2019,-0.3613,-31.04,-10.87,-22.25
41,-0.2344,-0.8968,0.0652,2.82,-27.65,0.38,-0.6819,0.7146,-0.2056,16.28,-5.97,-29.85,-0.8714,-0.2920,-0.3218,-31.04,-10.87,-22.25
42,-0.2344,-0.8968,0.0652,2.82,-27.65,0.38,-0.6909,0.6641,-0.2080,16.17,-3.62,-29.20,-0.8985,-0.2402,-0.2813,-29.18,-4.88,-27.40
43,-0.1558,-0.8169,0.0757,17.51,-34.69,-7.35,-0.6909,0.6641,-0.2080,16.17,-3.62,-29.20,-0.9353,-0.1111,-0.2473,-29.30,-2.53,-26.75
44,-0.1558,-0.8169,0.0757,17.51,-34.69,-7.35,-0.6909,0.6641,-0.2080,16.17,-3.62,-29.20,-0.9710,-0.0623,-0.1785,-29.30,-2.53,-26.75
45,-0.1558,-0.8169,0.0757,17.51,-34.69,-7.35,-0.7276,0.4959,-0.2537,-19.68,7.85,-26.79,-0.9710,-0.0623,-0.1785,-29.30,-2.53,-26.75
46,-0.1406,-0.9048,0.1428,15.52,-46.14,-0.47,-0.7276,0.4959,-0.2537,-19.68,7.85,-26.79,-0.9710,-0.0623,-0.1785,-29.30,-2.53,-26.75
47,-0.1406,-0.9048,0.1428,15.52,-46.14,-0.47,-0.7276,0.4959,-0.2537,-19.68,7.85,-26.79,-0.8867,-0.1226,-0.2671,-65.15,8.93,-24.34
48,-0.1406,-0.9048,0.1428,15.52,-46.14,-0.47,-0.6978,0.5640,-0.2407,-28.67,30.54,-47.11,-0.8867,-0.1226,-0.2671,-65.15,8.93,-24.34
49,-0.2493,-1.0164,0.1946,0.87,-60.14,18.36,-0.7876,0.6040,-0.2415,-35.75,55.91,-57.74,-0.9400,-0.1475,-0.2180,-81.22,56.99,-55.29
50,-0.2881,-1.0640,0.2153,3.59,-65.77,19.00,-0.7461,0.6306,-0.2244,-47.20,61.82,-59.94,-0.9400,-0.1475,-0.2180,-81.22,56.99,-55.29
51,-0.3162,-1.1131,0.2214,0.84,-69.02,19.36,-0.6885,0.6587,-0.1963,-57.28,65.24,-60.72,-0.9300,-0.1182,-0.2146,-92.66,62.90,-57.49
52,-0.3306,-1.1748,0.2363,-8.89,-71.16,19.19,-0.6885,0.6587,-0.1963,-57.28,65.24,-60.72,-0.9351,-0.1799,-0.2085,-102.75,66.32,-58.27
53,-0.3228,-1.1712,0.2327,-18.97,-71.34,18.67,-0.5650,0.7132,-0.2019,-67.45,65.20,-59.60,-0.9116,-0.2468,-0.2722,-112.91,66.28,-57.15
54,-0.3211,-1.1263,0.2244,-26.04,-72.73,16.11,-0.5000,0.7583,-0.1987,-69.02,62.30,-58.99,-0.9116,-0.2468,-0.2722,-112.91,66.28,-57.15
55,-0.3030,-1.0957,0.2019,-27.73,-74.13,12.15,-0.4727,0.7813,-0.2095,-66.80,57.38,-57.24,-0.8870,-0.2363,-0.2524,-114.48,63.39,-56.54
56,-0.2976,-1.0662,0.1804,-28.15,-76.65,8.74,-0.4727,0.7813,-0.2095,-66.80,57.38,-57.24,-0.8543,-0.2405,-0.2315,-112.26,58.47,-54.79
57,-0.2722,-1.0638,0.1582,-31.97,-78.25,6.48,-0.3870,0.8218,-0.1995,-54.15,46.93,-52.48,-0.8543,-0.2405,-0.2315,-112.26,58.47,-54.79
58,-0.2266,-1.0503,0.1541,-42.79,-78.78,6.54,-0.3870,0.8218,-0.1995,-54.15,46.93,-52.48,-0.8972,-0.1865,-0.2532,-99.61,48.01,-50.03
59,-0.2002,-1.0371,0.1350,-56.49,-78.40,7.71,-0.3870,0.8218,-0.1995,-54.15,46.93,-52.48,-0.8972,-0.1865,-0.2532,-99.61,48.01,-50.03
60,-0.2002,-1.0371,0.1350,-56.49,-78.40,7.71,-0.3799,0.7871,-0.2275,-50.73,33.20,-33.45,-0.8972,-0.1865,-0.2532,-99.61,48.01,-50.03
61,-0.2002,-1.0371,0.1350,-56.49,-78.40,7.71,-0.3799,0.7871,-0.2275,-50.73,33.20,-33.45,-0.8972,-0.1865,-0.2532,-99.61,48.01,-50.03
62,-0.1104,-0.9529,0.1045,-66.04,-78.06,14.42,-0.3799,0.7871,-0.2275,-50.73,33.20,-33.45,-0.8843,-0.2227,-0.2061,-96.19,34.29,-31.00
63,-0.0593,-0.9729,0.1045,-63.14,-81.61,17.08,-0.4480,0.7288,-0.2529,-59.58,24.99,-5.78,-0.9314,-0.0874,-0.2429,-105.04,26.07,-3.33
64,-0.0593,-0.9729,0.1045,-63.14,-81.61,17.08,-0.5486,0.7073,-0.2595,-56.28,28.05,0.60,-0.9121,-0.1191,-0.2349,-101.75,29.13,3.05
65,-0.0110,-0.9829,0.0825,-69.20,-85.76,19.34,-0.6135,0.6687,-0.2488,-53.13,33.68,5.16,-0.8843,-0.1655,-0.2527,-98.60,34.77,7.61
66,0.0149,-0.9661,0.0950,-70.86,-89.54,22.39,-0.6585,0.6238,-0.2078,-52.58,40.76,10.54,-0.8843,-0.1655,-0.2527,-98.60,34.77,7.61
