id,acc_rh_x,acc_rh_y,acc_rh_z,gyro_rh_x,gyro_rh_y,gyro_rh_z,acc_lh_x,acc_lh_y,acc_lh_z,gyro_lh_x,gyro_lh_y,gyro_lh_z,acc_leg_x,acc_leg_y,acc_leg_z,gyro_leg_x,gryo_leg_y,gryo_leg_z
1,-0.9370,-0.3086,-0.1074,16.94,4.53,-6.53,0.4024,0.9102,-0.1106,-4.36,-5.49,4.40,-0.9033,0.0100,-0.1436,-4.36,-5.49,4.40
2,-0.9322,-0.2217,-0.0371,-1.85,0.51,-7.07,0.4258,0.9170,-0.0786,-6.58,-2.30,-2.24,-0.9058,0.0117,-0.0859,-6.58,-2.30,-2.24
3,-0.1995,-0.9307,-0.2971,17.04,51.33,-102.31,0.5925,0.8587,0.0107,3.17,14.00,22.88,-0.8926,0.1248,-0.1841,3.17,14.00,22.88
4,1.0833,0.2410,0.2786,-18.43,6.31,-69.77,1.0225,-0.4419,0.6030,-67.33,23.17,16.17,0.2483,0.1982,-0.1543,-67.33,23.17,16.17
5,0.7031,-0.0217,0.6336,5.58,83.75,-219.17,0.7840,0.0889,0.1819,17.85,131.00,139.82,-1.4280,-0.0337,-0.0205,17.85,131.00,139.82
6,0.7725,0.0491,0.4431,-26.18,47.36,-181.52,0.9536,0.0107,0.4326,24.87,119.61,139.17,-1.1944,0.3899,0.7132,24.87,119.61,139.17
7,0.7061,-0.1016,0.1763,-115.27,44.95,-130.43,1.0020,-0.3340,0.7178,66.72,96.65,128.22,-0.6746,0.6890,1.2278,66.72,96.65,128.22
8,0.8096,0.5300,0.1804,-152.64,59.14,-75.66,1.0030,-0.6275,0.7451,92.77,68.53,88.48,-0.3154,0.4314,0.7910,92.77,68.53,88.48
9,1.2200,0.8863,0.2258,-69.48,68.67,-30.98,1.1363,-1.0093,0.7774,60.37,47.15,33.17,-0.0544,0.1011,0.1272,60.37,47.15,33.17
10,1.3702,0.6524,0.3118,21.39,50.03,7.92,1.1761,-0.9717,0.8230,-31.55,16.70,-25.87,0.1794,-0.0950,-0.1736,-31.55,16.70,-25.87
11,1.3636,0.3484,0.4780,28.02,17.52,48.41,1.0586,-0.7046,0.6614,-94.22,-19.97,-78.16,0.1870,0.3323,-0.1553,-94.22,-19.97,-78.16
12,1.2569,0.5598,0.6826,40.87,-30.75,87.74,0.9886,-0.4422,0.6507,-117.15,-50.55,-117.05,0.2127,0.2798,-0.1382,-117.15,-50.55,-117.05
