Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_x_max,acc_rh_x_min,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_y_max,acc_rh_y_min,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,acc_rh_z_max,acc_rh_z_min,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_x_max,gyro_rh_x_min,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_y_max,gyro_rh_y_min,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,gyro_rh_z_max,gyro_rh_z_min
circle,0.43599,0.3727,0.27587,0.17479,0.52549,0.52549,0.31268,0.16527,0.13721,0.12867,0.20113,0.20113,0.52075,0.58305,0.25269,0.19574,0.44836,0.44836,1.0,0.50128,0.5893,0.38033,1.0,1.0,0.6919,0.89601,0.32898,0.1227,0.49322,0.49322,0.16351,0.15799,0.8137,0.66944,1.0,1.0
circle,0.31868,0.29215,0.22728,0.17218,0.39404,0.39404,0.38959,0.34358,0.10998,0.10493,0.20113,0.20113,0.53155,0.62659,0.24484,0.22566,0.44836,0.44836,0.68632,0.41843,0.5467,0.20085,1.0,1.0,0.31322,0.57102,0.26007,0.00625,0.49322,0.49322,0.40729,0.34168,0.71666,0.55289,1.0,1.0
circle,0.36515,0.26919,0.1082,0.10748,0.18669,0.18669,0.27094,0.26716,0.05039,0.07675,0.06309,0.06309,0.47374,0.60516,0.11206,0.10507,0.38108,0.38108,0.24661,0.31273,0.29945,0.21421,0.62536,0.62536,0.28856,0.57221,0.12068,0.01201,0.12685,0.12685,0.65028,0.41707,0.30641,0.33431,0.26123,0.26123
circle,0.34057,0.27086,0.099,0.10054,0.1046,0.1046,0.18825,0.19664,0.03703,0.05655,0.02316,0.02316,0.35942,0.5097,0.07512,0.09797,0.19972,0.19972,0.30586,0.30146,0.25277,0.19056,0.29696,0.29696,0.19295,0.56417,0.13667,0.03921,0.12685,0.12685,0.35761,0.23758,0.26686,0.24246,0.23068,0.23068
circle,0.37505,0.26293,0.10298,0.09884,0.1046,0.1046,0.43581,0.42964,0.04927,0.06493,0.11036,0.11036,0.30394,0.46919,0.05341,0.09591,0.07809,0.07809,0.70227,0.56834,0.51523,0.19819,0.92799,0.92799,0.40195,0.55542,0.07235,0.02109,0.21925,0.21925,0.15947,0.05756,0.44104,0.38447,0.59921,0.59921
circle,0.64114,0.55009,0.12907,0.11649,0.29006,0.29006,0.59865,0.62162,0.0649,0.07973,0.14124,0.14124,0.38161,0.52578,0.08546,0.09314,0.21016,0.21016,0.64179,0.47241,0.52739,0.23099,0.92799,0.92799,0.52618,0.45734,0.09619,0.02224,0.21925,0.21925,0.21994,0.05756,0.54278,0.44691,0.59921,0.59921
circle,0.55576,0.51793,0.14273,0.11137,0.29006,0.29006,0.38915,0.26622,0.0764,0.08697,0.14124,0.14124,0.38546,0.54053,0.0673,0.05099,0.21016,0.21016,0.49377,0.30642,0.21501,0.20816,0.42607,0.42607,0.41136,0.48476,0.17251,0.05586,0.25318,0.25318,0.39478,0.18435,0.38039,0.31288,0.52014,0.52014
circle,0.28787,0.22454,0.13422,0.0957,0.2376,0.2376,0.36271,0.28331,0.0419,0.06241,0.16497,0.16497,0.24272,0.41459,0.01843,0.05294,0.0,0.0,0.63618,0.55465,0.10779,0.13465,0.2015,0.2015,0.24317,0.43583,0.16082,0.08732,0.25318,0.25318,0.52528,0.45378,0.30104,0.10028,0.34771,0.34771
circle,0.47723,0.4474,0.14295,0.14493,0.2376,0.2376,0.49997,0.53556,0.09195,0.08308,0.16497,0.16497,0.15794,0.33322,0.0,0.0,0.05038,0.05038,0.67688,0.57104,0.11785,0.07817,0.2015,0.2015,0.14739,0.34933,0.0586,0.07581,0.10512,0.10512,0.33049,0.40357,0.35246,0.22264,0.60699,0.60699
circle,0.71231,0.67153,0.1267,0.12755,0.30301,0.30301,0.3425,0.29451,0.12104,0.11575,0.16497,0.16497,0.17874,0.34528,0.00574,0.00617,0.05038,0.05038,0.45891,0.39347,0.0945,0.03641,0.11142,0.11142,0.5263,0.53628,0.07601,0.09602,0.10512,0.10512,0.3243,0.31257,0.26689,0.18357,0.60699,0.60699
