Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_x_max,acc_rh_x_min,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_y_max,acc_rh_y_min,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,acc_rh_z_max,acc_rh_z_min,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_x_max,gyro_rh_x_min,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_y_max,gyro_rh_y_min,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,gyro_rh_z_max,gyro_rh_z_min
lefttoright,0.01825,0.01275,0.00056,0.00421,0.00157,0.00157,0.9416,0.73352,0.0,0.00194,0.00123,0.00123,0.9993,1.0,0.00558,0.00815,0.30656,0.30656,0.08586,0.0002,8e-05,0.00014,0.0,0.0,0.42992,0.37971,0.00022,0.0,0.00298,0.00298,0.77666,0.6992,0.00128,0.00129,0.0025,0.0025
lefttoright,0.00465,0.00518,0.0,0.00673,0.0,0.0,0.93963,0.73352,0.0014,0.00147,0.0,0.0,1.0,0.99832,0.00252,0.00443,0.30411,0.30411,0.08587,0.00024,0.0,0.0,0.0,0.0,0.42906,0.37994,0.0,0.0004,0.00298,0.00298,0.77631,0.69817,0.0,0.0,0.0,0.0
lefttoright,0.0,0.0,0.00129,0.0,0.00727,0.00727,0.93432,0.72659,0.00055,0.0,0.0,0.0,0.99808,0.99867,0.00216,0.00172,0.30411,0.30411,0.086,0.00032,5e-05,5e-05,0.0,0.0,0.42865,0.38017,2e-05,0.00129,0.0,0.0,0.77584,0.69695,0.00256,0.00113,0.0025,0.0025
lefttoright,0.00583,0.00518,0.00453,0.0038,0.00727,0.00727,0.9266,0.72219,0.00204,0.0,0.0,0.0,0.99706,0.99899,0.0,0.0,0.29708,0.29708,0.08599,0.00024,0.00011,0.0002,0.0,0.0,0.42857,0.38017,0.00035,0.00147,8e-05,8e-05,0.77486,0.69713,0.0035,0.00171,0.0025,0.0025
lefttoright,0.03046,0.03048,0.31228,0.02013,0.3728,0.3728,0.90488,0.72219,0.49944,0.01186,0.57748,0.57748,0.94871,0.99668,0.57532,0.00917,1.0,1.0,0.0,0.0,0.22114,0.00045,0.06004,0.06004,0.10984,0.37537,0.39637,0.0072,0.12307,0.12307,0.73253,0.69695,0.31104,0.01321,0.20578,0.20578
lefttoright,0.21498,0.06594,0.53782,0.33092,0.3728,0.3728,0.94227,0.73728,0.57993,0.15723,0.57748,0.57748,0.70636,0.68608,0.81659,0.99289,1.0,1.0,0.09284,8e-05,0.53342,0.34004,0.57352,0.57352,0.18511,0.37149,0.63601,0.47948,0.65232,0.65232,0.65684,0.66372,0.57814,0.19138,1.0,1.0
lefttoright,0.52036,0.49373,0.66841,0.56037,0.51817,0.51817,0.92226,0.74608,0.38887,0.27876,0.25867,0.25867,0.59867,0.63286,0.47229,0.5098,0.30727,0.30727,0.19929,0.19901,0.64686,0.61598,0.57352,0.57352,0.59255,0.43592,0.61675,0.44359,0.65232,0.65232,0.67124,0.60453,0.54052,0.35114,1.0,1.0
lefttoright,0.62877,0.6,0.60853,0.52218,0.51817,0.51817,0.87717,0.68386,0.33605,0.27518,0.25867,0.25867,0.65495,0.6824,0.36133,0.42393,0.30727,0.30727,0.21624,0.16814,0.66181,0.67878,0.46301,0.46301,0.54107,0.35938,0.42943,0.3383,0.4628,0.4628,0.68796,0.60107,0.3724,0.36199,0.1873,0.1873
lefttoright,0.58763,0.51643,0.48536,0.47107,0.37694,0.37694,0.87008,0.70144,0.28544,0.24518,0.16938,0.16938,0.60035,0.61857,0.37337,0.40903,0.33216,0.33216,0.38956,0.39197,0.76223,0.7503,0.5486,0.5486,0.53443,0.47156,0.32453,0.29601,0.27857,0.27857,0.52093,0.48131,0.52582,0.58154,0.20344,0.20344
lefttoright,0.68662,0.57968,0.52222,0.54317,0.40759,0.40759,0.88437,0.71277,0.28466,0.24874,0.18349,0.18349,0.56229,0.59063,0.37931,0.36098,0.33216,0.33216,0.41329,0.42405,0.82899,0.86239,0.64499,0.64499,0.53824,0.38245,0.32462,0.30037,0.27857,0.27857,0.44031,0.49135,0.5788,0.61976,0.23772,0.23772
lefttoright,0.83024,0.80508,0.5916,0.62163,0.50571,0.50571,0.8188,0.66184,0.2812,0.23529,0.18349,0.18349,0.46826,0.52045,0.51565,0.49424,0.1859,0.1859,0.42256,0.35329,0.79533,0.8183,0.64499,0.64499,0.3974,0.2833,0.29399,0.23909,0.30696,0.30696,0.2633,0.41727,0.59965,0.66168,0.23772,0.23772
lefttoright,0.73552,0.72151,0.70987,0.72904,0.57476,0.57476,0.47128,0.47455,0.31454,0.24501,0.10096,0.10096,0.26147,0.30828,0.58786,0.55483,0.16485,0.16485,0.42467,0.33998,0.77263,0.82661,0.57158,0.57158,0.19751,0.11857,0.39343,0.26182,0.33733,0.33733,0.1772,0.27726,0.66384,0.76408,0.26637,0.26637
lefttoright,0.6999,0.64811,0.83258,0.70885,0.81205,0.81205,0.38227,0.38403,0.31958,0.29303,0.08346,0.08346,0.11169,0.16363,0.41876,0.39178,0.03438,0.03438,0.39876,0.16923,0.80349,0.8548,0.6401,0.6401,0.32088,0.2271,0.46399,0.3769,0.38161,0.38161,0.34159,0.39304,0.67362,0.65177,0.28548,0.28548
lefttoright,0.63873,0.58227,0.86408,0.67401,0.81205,0.81205,0.82529,0.63983,0.6492,0.48404,0.40719,0.40719,0.05013,0.08747,0.45285,0.43101,0.02385,0.02385,0.39128,0.15179,0.78775,0.80456,0.6401,0.6401,0.40888,0.4053,0.41527,0.3367,0.38161,0.38161,0.76642,0.70526,0.64597,0.56262,0.32464,0.32464
lefttoright,0.74596,0.48605,0.72371,0.71136,0.75752,0.75752,0.93768,0.78441,0.66252,0.49652,0.40719,0.40719,0.11821,0.15364,0.54634,0.60823,0.17118,0.17118,0.51179,0.3613,0.75283,0.68063,0.63798,0.63798,0.46039,0.36897,0.48304,0.40002,0.35761,0.35761,0.60558,0.54569,0.59697,0.6162,0.32464,0.32464
lefttoright,0.93617,0.70627,0.74588,0.7634,1.0,1.0,0.66224,0.58896,0.42673,0.35422,0.22523,0.22523,0.1587,0.19256,0.48712,0.46246,0.17118,0.17118,0.57047,0.5608,0.74271,0.69727,0.63798,0.63798,0.48061,0.28193,0.53163,0.39913,0.39891,0.39891,0.28136,0.0,0.61145,0.67767,0.31081,0.31081
lefttoright,0.80863,0.73924,0.74543,0.64639,1.0,1.0,0.47393,0.44186,0.40817,0.31429,0.22523,0.22523,0.05847,0.11606,0.43014,0.45604,0.02034,0.02034,0.46621,0.40408,0.74773,0.69098,0.52252,0.52252,0.30479,0.19488,0.46014,0.40064,0.39891,0.39891,0.47101,0.16771,0.63808,0.60764,0.36389,0.36389
lefttoright,0.81112,0.79751,0.53133,0.46731,0.38162,0.38162,0.41405,0.41104,0.37766,0.35209,0.15526,0.15526,0.08853,0.12338,0.51828,0.56493,0.13644,0.13644,0.49459,0.52039,0.74976,0.65085,0.56343,0.56343,0.38208,0.27782,0.35825,0.35062,0.24721,0.24721,0.3445,0.1838,0.60372,0.53965,0.36389,0.36389
lefttoright,0.80987,0.71643,0.45761,0.45635,0.28556,0.28556,0.37841,0.35134,0.42745,0.41423,0.16048,0.16048,0.15089,0.19655,0.46744,0.51493,0.13644,0.13644,0.45254,0.40256,0.77792,0.74637,0.64278,0.64278,0.35437,0.244,0.29765,0.24332,0.21998,0.21998,0.33369,0.28799,0.64769,0.57492,0.3889,0.3889
lefttoright,0.84513,0.75697,0.46012,0.48318,0.30323,0.30323,0.3134,0.30546,0.43511,0.44086,0.16048,0.16048,0.18007,0.20852,0.33177,0.293,0.10487,0.10487,0.45601,0.35942,0.76316,0.73699,0.64278,0.64278,0.25299,0.18529,0.29072,0.23723,0.23074,0.23074,0.52874,0.50727,0.64367,0.57444,0.3889,0.3889
