Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
byebye,0.05606,0.01003,0.59045,0.66779,0.303,0.28471,0.4148,0.42826,0.22279,0.22445,0.47054,0.57026,0.35507,0.37585,0.51954,0.5562,0.37349,0.38662,0.84088,0.96621,0.38833,0.37749,0.50442,0.52278,0.07514,0.01661,0.58765,0.7455,0.44453,0.45091,0.39525,0.42516,0.28768,0.28344,0.4846,0.52497,0.31166,0.29531,0.51077,0.5425,0.2817,0.33183,0.86534,1.0,0.34043,0.3501,0.41081,0.38672,0.0,0.01551,0.44763,0.42078,0.38248,0.33348,0.50326,0.41146,0.29124,0.31083,0.46432,0.38735,0.31166,0.29531,0.51077,0.5425,0.2817,0.33183,0.86534,1.0,0.34043,0.3501,0.41081,0.38672
byebye,0.0758,0.02385,0.50455,0.61414,0.25973,0.25513,0.34732,0.3652,0.18814,0.19242,0.39522,0.44535,0.31594,0.33934,0.44228,0.45618,0.37026,0.32791,0.74807,1.0,0.33077,0.32249,0.41956,0.44851,0.03926,0.02085,0.47301,0.45099,0.3791,0.38761,0.32991,0.34437,0.26515,0.26295,0.4235,0.48693,0.31532,0.29633,0.43604,0.45542,0.26813,0.2834,0.71119,0.76985,0.31195,0.3058,0.34574,0.34031,0.0,0.01784,0.38218,0.38573,0.34351,0.29092,0.44194,0.39903,0.23698,0.26355,0.40029,0.36663,0.31532,0.29633,0.43604,0.45542,0.26813,0.2834,0.71119,0.76985,0.31195,0.3058,0.34574,0.34031
byebye,0.04745,0.00294,0.54773,0.59757,0.27438,0.2645,0.3667,0.38791,0.20742,0.23056,0.41515,0.47023,0.30012,0.32895,0.45824,0.51131,0.30148,0.29976,0.7564,0.79559,0.29667,0.30255,0.46919,0.49442,0.05479,0.01819,0.50927,0.61757,0.3976,0.39996,0.35398,0.36765,0.25586,0.25581,0.4473,0.53402,0.29574,0.29369,0.46214,0.45055,0.38098,0.35699,0.80003,1.0,0.29618,0.31534,0.40623,0.40143,0.0,0.01688,0.40448,0.35937,0.33798,0.29468,0.4655,0.3729,0.25591,0.27959,0.4122,0.34289,0.29574,0.29369,0.46214,0.45055,0.38098,0.35699,0.80003,1.0,0.29618,0.31534,0.40623,0.40143
byebye,0.09528,0.00839,0.60435,0.82987,0.27632,0.26666,0.37333,0.39544,0.18985,0.19689,0.41186,0.44396,0.31371,0.33275,0.47155,0.49869,0.31176,0.33939,0.78723,0.90645,0.30098,0.30984,0.48299,0.51014,0.03187,0.00909,0.53234,0.53952,0.42369,0.43154,0.3725,0.39937,0.26669,0.26963,0.44522,0.52955,0.28165,0.27977,0.48268,0.48313,0.36927,0.34569,0.8211,1.0,0.29257,0.31492,0.42305,0.4381,0.0,0.00542,0.43142,0.38494,0.33844,0.29218,0.48572,0.38486,0.26225,0.28432,0.43085,0.36029,0.28165,0.27977,0.48268,0.48313,0.36927,0.34569,0.8211,1.0,0.29257,0.31492,0.42305,0.4381
byebye,0.08036,0.01896,0.62561,0.69533,0.29189,0.28252,0.4246,0.44563,0.22434,0.22783,0.46857,0.54399,0.36366,0.38449,0.57001,0.50564,0.37331,0.38335,0.85658,0.90031,0.4123,0.40291,0.48569,0.44326,0.13143,0.03928,0.63533,0.86053,0.47371,0.47241,0.41492,0.4462,0.28643,0.29296,0.46498,0.48494,0.31465,0.31252,0.54174,0.55795,0.34537,0.38392,0.87713,1.0,0.33962,0.35012,0.46309,0.49139,0.0,0.01858,0.46304,0.42389,0.39737,0.34063,0.53539,0.43082,0.29405,0.32505,0.47898,0.41582,0.31465,0.31252,0.54174,0.55795,0.34537,0.38392,0.87713,1.0,0.33962,0.35012,0.46309,0.49139
byebye,0.13236,0.07529,0.5712,0.74613,0.27631,0.28137,0.38059,0.3924,0.18096,0.17086,0.40403,0.40415,0.31588,0.34251,0.50191,0.43976,0.26278,0.26626,0.78393,1.0,0.35399,0.36485,0.44001,0.44883,0.05848,0.02322,0.5452,0.5806,0.42276,0.42028,0.37739,0.38652,0.28051,0.27029,0.42476,0.4658,0.28074,0.28507,0.49485,0.52786,0.35841,0.3882,0.78303,0.86639,0.29796,0.31094,0.40793,0.39903,0.0,0.0249,0.43826,0.43153,0.3706,0.32017,0.49636,0.46513,0.27284,0.297,0.43498,0.4008,0.28074,0.28507,0.49485,0.52786,0.35841,0.3882,0.78303,0.86639,0.29796,0.31094,0.40793,0.39903
byebye,0.06525,0.02105,0.48402,0.61639,0.24027,0.24344,0.32091,0.34057,0.15539,0.15548,0.35409,0.39201,0.26646,0.29332,0.43508,0.42114,0.24178,0.28096,0.67623,0.86045,0.27457,0.28579,0.39531,0.42413,0.04919,0.02119,0.46612,0.56815,0.36108,0.35414,0.32202,0.32607,0.22046,0.21474,0.36209,0.35165,0.25977,0.26774,0.41407,0.42448,0.2896,0.31094,0.70968,1.0,0.27827,0.27541,0.32695,0.32131,0.0,0.02062,0.36764,0.37318,0.31494,0.2666,0.43913,0.40558,0.22922,0.25055,0.37472,0.33005,0.25977,0.26774,0.41407,0.42448,0.2896,0.31094,0.70968,1.0,0.27827,0.27541,0.32695,0.32131
byebye,0.03884,0.01608,0.49548,0.53247,0.25546,0.26041,0.3456,0.35546,0.15634,0.16611,0.38207,0.41606,0.271,0.29648,0.47433,0.46499,0.19744,0.26219,0.73055,1.0,0.28552,0.29323,0.4315,0.44925,0.03862,0.01076,0.4904,0.5604,0.37489,0.37275,0.33061,0.33779,0.22285,0.22701,0.39981,0.39189,0.25883,0.26544,0.45715,0.4791,0.37165,0.3661,0.73085,0.97192,0.30503,0.29589,0.36626,0.34156,0.0,0.02406,0.38773,0.39448,0.34177,0.28229,0.48079,0.45494,0.23545,0.26278,0.4071,0.36277,0.25883,0.26544,0.45715,0.4791,0.37165,0.3661,0.73085,0.97192,0.30503,0.29589,0.36626,0.34156
byebye,0.06003,0.02656,0.51758,0.64088,0.27373,0.27508,0.36023,0.36526,0.16314,0.16502,0.39219,0.38315,0.32661,0.346,0.46885,0.41438,0.42213,0.40448,0.74536,0.9333,0.35233,0.34569,0.44098,0.50457,0.01949,0.0,0.50253,0.50134,0.37979,0.38299,0.35131,0.36449,0.24691,0.26495,0.40943,0.42643,0.32753,0.33817,0.50458,0.51777,0.21251,0.26525,0.76871,1.0,0.35075,0.32497,0.39284,0.4259,0.00087,0.01934,0.39585,0.4008,0.354,0.29242,0.47055,0.46711,0.24027,0.25681,0.392,0.36841,0.32753,0.33817,0.50458,0.51777,0.21251,0.26525,0.76871,1.0,0.35075,0.32497,0.39284,0.4259
byebye,0.06536,0.01696,0.51656,0.6667,0.2472,0.24721,0.34196,0.34561,0.15782,0.15529,0.3742,0.38157,0.26888,0.31897,0.47023,0.41149,0.22575,0.2837,0.72051,0.93847,0.27084,0.26385,0.42383,0.43355,0.02141,0.002,0.47818,0.47287,0.36826,0.36813,0.33795,0.34675,0.23692,0.25927,0.40236,0.45554,0.26472,0.26889,0.49189,0.45623,0.36803,0.34462,0.75206,1.0,0.28833,0.28431,0.38629,0.39943,0.0,0.01559,0.38598,0.37477,0.32709,0.27912,0.436,0.3863,0.22901,0.24751,0.41958,0.3453,0.26472,0.26889,0.49189,0.45623,0.36803,0.34462,0.75206,1.0,0.28833,0.28431,0.38629,0.39943
