Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
chicken,0.41467,0.40605,0.39403,0.40497,0.31965,0.30367,0.40521,0.40613,0.0,0.02308,0.52794,0.68863,0.33042,0.32674,0.47489,0.54908,0.3463,0.38116,0.60301,0.75467,0.32728,0.31529,0.48056,0.58932,0.3743,0.35096,0.45231,0.52162,0.35485,0.34482,0.4149,0.43359,0.05943,0.04399,0.46623,0.54966,0.33718,0.3493,0.50655,0.6006,0.30771,0.29936,0.71135,1.0,0.33405,0.36108,0.44728,0.49922,0.05728,0.04233,0.41559,0.41061,0.36761,0.35826,0.39167,0.39369,0.34086,0.30832,0.41938,0.45483,0.33718,0.3493,0.50655,0.6006,0.30771,0.29936,0.71135,1.0,0.33405,0.36108,0.44728,0.49922
chicken,0.41449,0.39687,0.41243,0.39983,0.31567,0.29758,0.39284,0.40623,0.0,0.022,0.52331,0.6847,0.32633,0.2979,0.47911,0.53266,0.35571,0.42521,0.60937,0.78622,0.32411,0.31312,0.4403,0.49182,0.37762,0.37381,0.44294,0.52049,0.32196,0.31328,0.38587,0.40647,0.07086,0.08365,0.44055,0.50616,0.29831,0.31872,0.47302,0.54683,0.35013,0.34066,0.72167,1.0,0.3058,0.31504,0.4577,0.53898,0.05458,0.04009,0.39512,0.38862,0.35053,0.34434,0.37095,0.37709,0.32919,0.2979,0.3973,0.41632,0.29831,0.31872,0.47302,0.54683,0.35013,0.34066,0.72167,1.0,0.3058,0.31504,0.4577,0.53898
chicken,0.44881,0.45168,0.39576,0.41968,0.27062,0.26263,0.36882,0.3868,0.0,0.04937,0.51553,0.69003,0.31077,0.2904,0.46403,0.52371,0.34636,0.37356,0.59314,0.76921,0.31053,0.29739,0.42026,0.47621,0.41727,0.43625,0.40477,0.43414,0.31049,0.30762,0.36071,0.37315,0.0577,0.06757,0.43434,0.50463,0.27522,0.31233,0.44602,0.48831,0.36316,0.38736,0.70054,1.0,0.29226,0.29446,0.42389,0.47742,0.02866,0.01462,0.37729,0.36,0.32819,0.32954,0.34379,0.35715,0.30823,0.28472,0.37369,0.38696,0.27522,0.31233,0.44602,0.48831,0.36316,0.38736,0.70054,1.0,0.29226,0.29446,0.42389,0.47742
chicken,0.46867,0.47225,0.36933,0.37622,0.24834,0.24978,0.36326,0.39058,0.0,0.05857,0.52768,0.70524,0.31092,0.34717,0.4738,0.54975,0.32526,0.34085,0.60901,0.84314,0.30424,0.2778,0.42956,0.51805,0.44673,0.4526,0.3757,0.38801,0.33506,0.3294,0.36335,0.38357,0.0339,0.00594,0.46609,0.58119,0.28363,0.31385,0.45203,0.47114,0.33957,0.34341,0.69212,1.0,0.30686,0.29711,0.39144,0.40467,0.01727,0.00167,0.38924,0.3693,0.3306,0.3335,0.34726,0.36119,0.3096,0.2872,0.38389,0.38818,0.28363,0.31385,0.45203,0.47114,0.33957,0.34341,0.69212,1.0,0.30686,0.29711,0.39144,0.40467
chicken,0.45916,0.45225,0.358,0.37512,0.22582,0.21661,0.35544,0.39088,0.00788,0.04857,0.49166,0.63727,0.31274,0.33508,0.48751,0.59944,0.29402,0.22301,0.58543,0.82729,0.29152,0.2573,0.40438,0.48179,0.44458,0.45389,0.35339,0.37348,0.33728,0.33656,0.34073,0.34911,0.03578,0.00459,0.44198,0.56285,0.26731,0.29291,0.41806,0.44774,0.29121,0.2619,0.65592,1.0,0.29001,0.28438,0.36221,0.40031,0.01252,0.0,0.38125,0.34386,0.31465,0.30817,0.34214,0.35075,0.2906,0.26337,0.37112,0.36979,0.26731,0.29291,0.41806,0.44774,0.29121,0.2619,0.65592,1.0,0.29001,0.28438,0.36221,0.40031
chicken,0.58984,0.58216,0.47093,0.53568,0.25853,0.25023,0.44524,0.46289,0.00671,0.04689,0.60308,0.79728,0.38783,0.41261,0.62174,0.78448,0.37919,0.33603,0.66073,0.86977,0.36185,0.33111,0.48771,0.53056,0.57434,0.56988,0.43775,0.48408,0.44437,0.43637,0.42802,0.4508,0.05782,0.02785,0.55105,0.67257,0.33649,0.37043,0.52627,0.56752,0.35131,0.29508,0.72248,1.0,0.35777,0.37227,0.47108,0.54131,0.01014,0.0,0.4699,0.41732,0.3913,0.38579,0.42321,0.42879,0.35918,0.32886,0.45426,0.45183,0.33649,0.37043,0.52627,0.56752,0.35131,0.29508,0.72248,1.0,0.35777,0.37227,0.47108,0.54131
chicken,0.63062,0.60595,0.50576,0.55169,0.27229,0.2709,0.48297,0.50129,0.0,0.03127,0.63755,0.82033,0.37438,0.40845,0.6658,0.83666,0.43736,0.42263,0.65856,0.8112,0.37375,0.35988,0.517,0.5648,0.61206,0.60746,0.48442,0.51601,0.48778,0.48066,0.46892,0.49409,0.09705,0.06695,0.58527,0.68547,0.37186,0.40372,0.56248,0.65237,0.43446,0.4654,0.72214,1.0,0.40288,0.40501,0.53502,0.61605,0.01903,0.01494,0.48826,0.45465,0.42058,0.4164,0.45793,0.4611,0.38417,0.3588,0.48012,0.50408,0.37186,0.40372,0.56248,0.65237,0.43446,0.4654,0.72214,1.0,0.40288,0.40501,0.53502,0.61605
chicken,0.59392,0.57293,0.45589,0.4862,0.25619,0.25927,0.4386,0.4442,0.0,0.02392,0.59639,0.7961,0.34984,0.36233,0.59811,0.73605,0.37586,0.34773,0.63583,0.81456,0.34127,0.32744,0.54181,0.64688,0.5579,0.55731,0.45391,0.48863,0.45393,0.44511,0.4434,0.48498,0.07514,0.04381,0.54072,0.62172,0.35867,0.4161,0.53394,0.62821,0.38084,0.40717,0.72677,1.0,0.36086,0.35199,0.48131,0.53022,0.01563,0.00627,0.45045,0.4305,0.39166,0.38465,0.4261,0.43081,0.36409,0.34671,0.44517,0.47575,0.35867,0.4161,0.53394,0.62821,0.38084,0.40717,0.72677,1.0,0.36086,0.35199,0.48131,0.53022
chicken,0.53789,0.52186,0.41807,0.45567,0.24305,0.23865,0.39447,0.4048,0.00736,0.06638,0.5632,0.75581,0.32283,0.31707,0.52531,0.63836,0.32455,0.26817,0.58828,0.76145,0.32777,0.33512,0.51802,0.64241,0.51352,0.50212,0.40814,0.43404,0.42536,0.4299,0.41397,0.45012,0.05606,0.03592,0.51065,0.60564,0.31003,0.39135,0.52733,0.61598,0.33257,0.30334,0.6896,1.0,0.32179,0.32835,0.40748,0.46638,0.01504,0.0,0.41929,0.40254,0.36115,0.35449,0.38138,0.39577,0.34461,0.32402,0.40904,0.41909,0.31003,0.39135,0.52733,0.61598,0.33257,0.30334,0.6896,1.0,0.32179,0.32835,0.40748,0.46638
chicken,0.53847,0.52686,0.41762,0.45815,0.25723,0.25467,0.40568,0.42234,0.02375,0.095,0.54829,0.71263,0.32867,0.3246,0.54377,0.67606,0.32433,0.25787,0.58218,0.73402,0.34463,0.34703,0.50904,0.61998,0.53046,0.52385,0.40858,0.43365,0.42577,0.43374,0.41657,0.46428,0.0574,0.04788,0.51051,0.63987,0.30335,0.35928,0.54393,0.64863,0.33871,0.31555,0.68654,1.0,0.32835,0.33025,0.41387,0.45514,0.01663,0.0,0.42581,0.40509,0.36335,0.35533,0.38496,0.39152,0.34574,0.32158,0.414,0.42281,0.30335,0.35928,0.54393,0.64863,0.33871,0.31555,0.68654,1.0,0.32835,0.33025,0.41387,0.45514
