id,acc_rh_x,acc_rh_y,acc_rh_z,gyro_rh_x,gyro_rh_y,gyro_rh_z,acc_lh_x,acc_lh_y,acc_lh_z,gyro_lh_x,gyro_lh_y,gyro_lh_z,acc_leg_x,acc_leg_y,acc_leg_z,gyro_leg_x,gryo_leg_y,gryo_leg_z
1,1146,-1444,526,2500,-1683,546,-875,483,123,-1560,983,224,-947,1090,2000,-1560,983,224
2,1099,-1747,100,2500,-2196,96,-1178,510,138,-1406,1037,158,-916,-1965,-1558,-1406,1037,158
3,986,-2000,-634,2500,-2500,-609,-1502,552,177,-1260,1120,-6,-1453,1460,361,-1260,1120,-6
4,948,-2000,-1393,1174,-2131,-1354,-1633,501,150,-1322,1242,-155,-764,750,163,-1322,1242,-155
5,780,-2000,-1891,314,-1294,-2221,-1497,472,165,-1680,1314,-205,-1457,-130,97,-1680,1314,-205
6,491,-1422,-2000,-383,-68,-2500,-1222,479,182,-1893,1296,-160,-1211,-103,32,-1893,1296,-160
7,308,-475,-1739,-678,976,-2500,-966,481,209,-1908,1223,-143,-1206,254,-176,-1908,1223,-143
8,170,-19,-1101,-724,1630,-2500,-735,529,257,-1714,1112,-192,-1203,268,-270,-1714,1112,-192
9,99,338,-454,-703,1919,-2161,-603,533,252,-1407,969,-247,-1190,76,-413,-1407,969,-247
10,61,630,10,-910,1976,-1576,-533,473,235,-1198,855,-231,-1364,-433,-583,-1198,855,-231
11,121,761,269,-1090,1823,-963,-455,416,262,-1164,765,-165,-1055,-373,31,-1164,765,-165
12,146,831,334,-982,1576,-446,-423,448,290,-1098,642,-94,-706,-418,-96,-1098,642,-94
13,159,973,506,-385,1301,51,-481,490,285,-856,522,-46,-532,-103,22,-856,522,-46
14,270,894,700,496,949,561,-643,458,309,-728,476,-47,-335,-173,-1189,-728,476,-47
15,494,888,839,1408,598,1032,-865,472,362,-779,482,-166,-661,-342,-924,-779,482,-166
16,787,654,807,2000,273,1345,-1013,554,379,-776,500,-394,-601,-597,-327,-776,500,-394
17,981,394,713,2080,24,1538,-1026,576,343,-867,502,-564,-876,-567,-17,-867,502,-564
18,994,16,726,2137,-188,1615,-834,540,266,-1066,466,-524,-1029,-537,415,-1066,466,-524
19,976,-467,791,2414,-417,1505,-625,495,139,-1166,436,-342,-1099,-297,676,-1166,436,-342
20,964,-815,938,2500,-682,1290,-501,438,150,-1125,425,-149,-967,-272,1055,-1125,425,-149
21,927,-1580,744,2500,-1195,699,-458,418,198,-1043,408,-20,-466,109,1358,-1043,408,-20
22,1020,-1690,551,2500,-1804,-73,-541,385,138,-937,419,53,-300,-352,2000,-937,419,53
23,1119,-1563,229,2500,-2398,-666,-792,415,110,-799,460,26,-2000,2000,1088,-799,460,26
24,1064,-1387,-636,2500,-2500,-1029,-1273,483,118,-655,517,-140,-1629,-1700,590,-655,517,-140
25,1211,-1460,-1116,2500,-2500,-1146,-1952,574,213,-749,624,-481,-1042,667,702,-749,624,-481
26,1093,-1788,-1826,1835,-2353,-1328,-2000,569,145,-1348,810,-636,-2000,235,70,-1348,810,-636
27,864,-1559,-2000,666,-1408,-1628,-1713,492,100,-2500,897,-293,-1228,158,-110,-2500,897,-293
28,632,-1111,-2000,16,-288,-2017,-981,554,133,-2500,824,109,-1373,175,-226,-2500,824,109
29,410,-585,-1767,-232,640,-2209,-682,661,132,-2366,535,289,-1344,116,-388,-2366,535,289
30,231,-230,-1147,-420,1240,-2248,-531,676,120,-1435,389,325,-1112,47,-518,-1435,389,325
31,53,-20,-626,-766,1505,-2175,-399,527,131,-680,299,286,-1208,-377,-295,-680,299,286
32,-8,276,-180,-1406,1647,-1915,-333,302,128,-529,222,221,-1042,-375,-296,-529,222,221
33,7,772,142,-1724,1760,-1441,-391,302,88,-628,233,153,-575,-289,130,-628,233,153
34,54,902,290,-1516,1815,-818,-579,359,54,-737,338,92,-806,-412,-62,-737,338,92
35,185,894,427,-1227,1784,-83,-789,401,98,-867,475,10,-638,-187,-822,-867,475,10
36,358,1220,564,-354,1651,550,-916,400,236,-1229,639,-130,-433,-354,-389,-1229,639,-130
37,574,970,611,522,1359,971,-987,456,348,-1652,779,-337,-508,-409,-219,-1652,779,-337
38,715,684,795,677,994,1243,-987,553,382,-2078,851,-457,-715,-407,150,-2078,851,-457
39,686,486,888,1129,576,1466,-930,653,312,-2287,862,-350,-793,-396,338,-2287,862,-350
40,625,161,923,1819,153,1708,-768,664,294,-2111,765,-126,-968,-164,489,-2111,765,-126
41,710,-110,989,2500,-276,1757,-652,634,287,-1700,648,59,-1005,-64,589,-1700,648,59
42,762,-278,987,2500,-640,1727,-618,585,247,-1268,542,164,-882,-177,997,-1268,542,164
