Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
mermaid,0.32098,0.28432,0.43464,0.50996,0.26069,0.25734,0.39131,0.41705,0.0,0.01024,0.56022,0.79704,0.30102,0.28579,0.45436,0.52947,0.32172,0.32074,0.67607,0.9787,0.31845,0.28351,0.40915,0.45932,0.28158,0.28042,0.42016,0.50045,0.46883,0.45761,0.48199,0.62286,0.08483,0.12891,0.5381,0.6865,0.29586,0.31245,0.46591,0.50297,0.32171,0.33049,0.66645,1.0,0.29598,0.3118,0.58693,0.84768,0.02759,0.04373,0.40422,0.3999,0.30876,0.31277,0.39552,0.40267,0.31185,0.32204,0.40568,0.42339,0.29586,0.31245,0.46591,0.50297,0.32171,0.33049,0.66645,1.0,0.29598,0.3118,0.58693,0.84768
mermaid,0.307,0.27539,0.41124,0.42679,0.25438,0.25032,0.38086,0.42068,0.0,0.0046,0.54654,0.76465,0.29888,0.28591,0.42595,0.45913,0.30564,0.32552,0.63945,0.94406,0.31195,0.27987,0.40158,0.45441,0.26761,0.26703,0.40351,0.47685,0.45441,0.46695,0.47972,0.61456,0.09339,0.11663,0.52776,0.68891,0.2881,0.30386,0.45936,0.49348,0.30977,0.38819,0.65398,1.0,0.2881,0.32598,0.57974,0.82337,0.03019,0.03834,0.39278,0.38672,0.29864,0.30014,0.37231,0.37318,0.30525,0.31036,0.38967,0.39182,0.2881,0.30386,0.45936,0.49348,0.30977,0.38819,0.65398,1.0,0.2881,0.32598,0.57974,0.82337
mermaid,0.29479,0.27892,0.40023,0.4129,0.25186,0.25355,0.36979,0.39314,0.0,0.04909,0.53878,0.78039,0.28598,0.26155,0.41843,0.47954,0.299,0.30659,0.62902,0.94481,0.29856,0.28292,0.37127,0.41659,0.25079,0.24648,0.39742,0.47493,0.45421,0.45955,0.46534,0.57624,0.07709,0.11197,0.52595,0.72267,0.2852,0.28783,0.45759,0.57162,0.30696,0.35394,0.64101,1.0,0.2811,0.33626,0.53507,0.73535,0.02596,0.02818,0.37978,0.37285,0.289,0.29475,0.35904,0.36232,0.30394,0.29921,0.37485,0.38599,0.2852,0.28783,0.45759,0.57162,0.30696,0.35394,0.64101,1.0,0.2811,0.33626,0.53507,0.73535
mermaid,0.29981,0.27781,0.41638,0.47542,0.26008,0.25013,0.37355,0.40929,0.0,0.05747,0.54659,0.80231,0.2923,0.27482,0.42849,0.49768,0.28313,0.25721,0.66291,1.0,0.30772,0.30266,0.37245,0.41471,0.26171,0.28284,0.40839,0.47495,0.46772,0.45663,0.46656,0.576,0.09125,0.13155,0.53027,0.6713,0.30408,0.28111,0.48074,0.61413,0.33008,0.39592,0.64738,0.99599,0.30518,0.36053,0.52529,0.7247,0.02847,0.03042,0.38811,0.38821,0.29961,0.30203,0.37051,0.37807,0.30967,0.30014,0.38129,0.40292,0.30408,0.28111,0.48074,0.61413,0.33008,0.39592,0.64738,0.99599,0.30518,0.36053,0.52529,0.7247
mermaid,0.32975,0.32675,0.43555,0.48418,0.28651,0.27417,0.396,0.44196,0.0,0.05072,0.56738,0.8099,0.32383,0.32111,0.45735,0.48924,0.30281,0.22988,0.674,0.98922,0.32494,0.32908,0.39471,0.44395,0.2907,0.30569,0.42983,0.49903,0.48761,0.48036,0.47161,0.55227,0.09041,0.13997,0.5483,0.69079,0.32328,0.32128,0.50673,0.6115,0.34656,0.37685,0.66838,1.0,0.32578,0.35147,0.52629,0.67744,0.03714,0.04442,0.40893,0.41641,0.32416,0.32675,0.39072,0.39701,0.33475,0.32194,0.40479,0.4228,0.32328,0.32128,0.50673,0.6115,0.34656,0.37685,0.66838,1.0,0.32578,0.35147,0.52629,0.67744
mermaid,0.3313,0.3348,0.4478,0.50332,0.29827,0.2913,0.40183,0.42473,0.0,0.04745,0.57819,0.86002,0.32217,0.30306,0.46827,0.49786,0.3222,0.28089,0.67494,1.0,0.32177,0.32186,0.39204,0.44362,0.30418,0.31985,0.4342,0.50038,0.47177,0.47435,0.45517,0.54304,0.07992,0.14167,0.55228,0.7135,0.31857,0.33681,0.49495,0.57705,0.34103,0.34353,0.66529,0.97884,0.31752,0.33009,0.49909,0.62886,0.03817,0.04729,0.40886,0.40289,0.32506,0.3311,0.39697,0.4107,0.33416,0.32657,0.41083,0.44093,0.31857,0.33681,0.49495,0.57705,0.34103,0.34353,0.66529,0.97884,0.31752,0.33009,0.49909,0.62886
mermaid,0.28003,0.26746,0.43969,0.54424,0.25884,0.25684,0.37269,0.39618,0.0,0.04922,0.54073,0.79444,0.29669,0.26937,0.43222,0.47889,0.29699,0.25129,0.66539,1.0,0.29597,0.28285,0.3733,0.42354,0.25511,0.26223,0.41539,0.48761,0.42679,0.42814,0.44651,0.55724,0.06087,0.15771,0.52533,0.70657,0.27407,0.27492,0.43931,0.48167,0.30645,0.28285,0.64055,0.91871,0.29288,0.28206,0.53555,0.68905,0.023,0.02685,0.37831,0.36889,0.28805,0.28079,0.37141,0.39602,0.29232,0.28285,0.37947,0.41806,0.27407,0.27492,0.43931,0.48167,0.30645,0.28285,0.64055,0.91871,0.29288,0.28206,0.53555,0.68905
mermaid,0.30184,0.30267,0.46705,0.56128,0.27228,0.26373,0.38999,0.41313,0.0,0.06035,0.58853,0.8522,0.32246,0.2917,0.479,0.53535,0.32697,0.29648,0.69748,1.0,0.31979,0.31347,0.3942,0.42853,0.26876,0.28568,0.43709,0.50685,0.4832,0.46109,0.4981,0.64111,0.02751,0.10495,0.57012,0.78378,0.29327,0.2894,0.4784,0.4988,0.321,0.26833,0.66604,0.9446,0.31128,0.28161,0.57506,0.71634,0.01124,0.00193,0.41805,0.40905,0.31096,0.30303,0.38656,0.40118,0.31852,0.30249,0.41297,0.45304,0.29327,0.2894,0.4784,0.4988,0.321,0.26833,0.66604,0.9446,0.31128,0.28161,0.57506,0.71634
mermaid,0.33847,0.32772,0.45621,0.52353,0.28985,0.28552,0.39656,0.41594,0.0,0.01504,0.60683,0.85885,0.33112,0.30826,0.51028,0.58274,0.34363,0.31262,0.67304,1.0,0.33952,0.33027,0.39075,0.40466,0.32028,0.33209,0.43014,0.4927,0.51422,0.51252,0.49424,0.63139,0.0442,0.06215,0.56241,0.75435,0.32157,0.31881,0.48702,0.54254,0.33708,0.33336,0.63529,0.91506,0.32908,0.32263,0.52059,0.64985,0.02264,0.01595,0.43463,0.44868,0.3295,0.32554,0.39583,0.41885,0.32981,0.29862,0.43815,0.48951,0.32157,0.31881,0.48702,0.54254,0.33708,0.33336,0.63529,0.91506,0.32908,0.32263,0.52059,0.64985
mermaid,0.32343,0.31389,0.43951,0.46988,0.28649,0.28311,0.3948,0.40951,0.0,0.01086,0.59782,0.82785,0.32543,0.3065,0.48134,0.50582,0.3452,0.29772,0.69226,1.0,0.32725,0.31337,0.38937,0.41699,0.32093,0.32885,0.41507,0.46583,0.49754,0.50427,0.47902,0.5796,0.07272,0.05695,0.53232,0.66722,0.3062,0.31802,0.48633,0.55621,0.33872,0.38715,0.62077,0.89286,0.31896,0.32782,0.53877,0.714,0.0299,0.03202,0.41881,0.42301,0.32807,0.33092,0.41501,0.41355,0.3198,0.31131,0.42263,0.45371,0.3062,0.31802,0.48633,0.55621,0.33872,0.38715,0.62077,0.89286,0.31896,0.32782,0.53877,0.714
