Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
number7,0.07757,0.02709,0.45736,0.39001,0.09478,0.16036,0.5233,0.45107,0.23646,0.242,0.40752,0.37981,0.26557,0.29277,0.65307,0.87359,0.27917,0.29379,0.5197,0.59128,0.17769,0.21095,0.72121,0.75577,0.10315,0.07151,0.50256,0.58091,0.53762,0.52791,0.57234,0.46882,0.32731,0.31163,0.37841,0.36634,0.17629,0.14098,0.5883,0.63845,0.33539,0.33204,0.53759,0.52062,0.26434,0.21781,0.85466,1.0,0.0,0.00737,0.38683,0.35108,0.27589,0.27613,0.4256,0.35811,0.31924,0.30511,0.44107,0.36643,0.17629,0.14098,0.5883,0.63845,0.33539,0.33204,0.53759,0.52062,0.26434,0.21781,0.85466,1.0
number7,0.10296,0.04808,0.47678,0.5614,0.10222,0.11633,0.50047,0.45015,0.21949,0.22216,0.3798,0.39693,0.26993,0.29207,0.62164,0.7633,0.23015,0.22201,0.49021,0.60965,0.26183,0.24096,0.77179,1.0,0.02591,0.04582,0.35973,0.35063,0.49961,0.47067,0.39588,0.34131,0.30851,0.29613,0.33704,0.32808,0.2232,0.19586,0.53319,0.69271,0.27606,0.28155,0.48755,0.52389,0.30624,0.27223,0.57378,0.46202,0.0,0.01004,0.36349,0.33281,0.26391,0.25719,0.38508,0.35814,0.29366,0.27132,0.40527,0.35852,0.2232,0.19586,0.53319,0.69271,0.27606,0.28155,0.48755,0.52389,0.30624,0.27223,0.57378,0.46202
number7,0.05144,0.0191,0.53752,0.42643,0.17366,0.16323,0.49527,0.40534,0.27287,0.26148,0.41077,0.40987,0.3659,0.39951,0.75896,0.87391,0.30252,0.31662,0.52604,0.62394,0.431,0.32975,0.75217,0.785,0.09327,0.06721,0.51886,0.56224,0.58653,0.56418,0.60005,0.53883,0.36606,0.35658,0.41701,0.42041,0.34496,0.36805,0.66238,0.65234,0.26365,0.24557,0.57566,0.52597,0.31641,0.33845,0.91324,1.0,0.0,0.0104,0.41534,0.37333,0.31055,0.30274,0.41958,0.39257,0.34626,0.34123,0.41567,0.39719,0.34496,0.36805,0.66238,0.65234,0.26365,0.24557,0.57566,0.52597,0.31641,0.33845,0.91324,1.0
number7,0.1034,0.03701,0.58324,0.65972,0.13369,0.16245,0.61369,0.55622,0.25726,0.26944,0.47122,0.43438,0.27845,0.28555,0.74585,0.80641,0.30366,0.29448,0.60143,0.70797,0.31452,0.26167,0.94653,1.0,0.09801,0.05682,0.5184,0.56302,0.57043,0.57137,0.58506,0.45098,0.33708,0.33739,0.39489,0.39846,0.21854,0.2473,0.64586,0.74651,0.37239,0.33429,0.53877,0.60477,0.1884,0.26924,0.83462,0.8933,0.0,0.01002,0.45475,0.40147,0.33962,0.31176,0.47116,0.43963,0.37347,0.3572,0.50586,0.41205,0.21854,0.2473,0.64586,0.74651,0.37239,0.33429,0.53877,0.60477,0.1884,0.26924,0.83462,0.8933
number7,0.10559,0.05224,0.52741,0.58313,0.12281,0.13229,0.55714,0.54635,0.21868,0.22109,0.42679,0.39773,0.39046,0.44529,0.62242,0.76923,0.338,0.3761,0.54473,0.60765,0.34379,0.36401,0.862,1.0,0.09194,0.07046,0.48954,0.51885,0.52162,0.52043,0.56648,0.40955,0.33805,0.31777,0.40126,0.36524,0.35147,0.34913,0.59679,0.70119,0.24738,0.28432,0.49288,0.49599,0.36568,0.33827,0.80391,0.56676,0.0,0.01003,0.41889,0.37277,0.30516,0.29448,0.43835,0.42006,0.34324,0.32198,0.46931,0.4029,0.35147,0.34913,0.59679,0.70119,0.24738,0.28432,0.49288,0.49599,0.36568,0.33827,0.80391,0.56676
number7,0.07932,0.05563,0.53052,0.49313,0.10982,0.12881,0.59204,0.56611,0.27442,0.27176,0.44763,0.45242,0.31684,0.20903,0.72872,1.0,0.32638,0.32002,0.64151,0.83141,0.24007,0.28966,0.8371,0.79824,0.11271,0.10026,0.5715,0.58964,0.64894,0.63367,0.67082,0.61658,0.38794,0.37069,0.47021,0.43814,0.28423,0.24703,0.76336,0.95406,0.39489,0.43663,0.63092,0.68363,0.32268,0.32062,0.96894,0.97708,0.0,0.00918,0.45774,0.40587,0.32688,0.32706,0.47761,0.42537,0.3973,0.36626,0.53185,0.44628,0.28423,0.24703,0.76336,0.95406,0.39489,0.43663,0.63092,0.68363,0.32268,0.32062,0.96894,0.97708
number7,0.10987,0.08621,0.5197,0.55941,0.09294,0.10427,0.56062,0.58774,0.22396,0.24202,0.41808,0.40435,0.27921,0.28783,0.58665,0.77966,0.26184,0.24135,0.57656,0.75158,0.26803,0.25841,0.84194,1.0,0.04917,0.06716,0.41418,0.39683,0.58458,0.53742,0.4575,0.44665,0.31739,0.30672,0.38002,0.36423,0.23695,0.19337,0.61004,0.82915,0.31048,0.35303,0.54273,0.62904,0.33845,0.28632,0.65842,0.48769,0.0,0.01082,0.40943,0.38178,0.2938,0.29736,0.41008,0.37802,0.34479,0.2992,0.48814,0.39482,0.23695,0.19337,0.61004,0.82915,0.31048,0.35303,0.54273,0.62904,0.33845,0.28632,0.65842,0.48769
number7,0.09941,0.06518,0.59557,0.48671,0.11643,0.1314,0.62974,0.51754,0.25249,0.26032,0.49783,0.48009,0.39613,0.44843,0.73115,0.85868,0.35738,0.39587,0.66245,0.82319,0.40737,0.36421,0.90915,0.85816,0.13083,0.13409,0.60415,0.6118,0.67797,0.66199,0.69263,0.58097,0.39705,0.3669,0.4847,0.48588,0.36308,0.4027,0.74376,0.90079,0.29482,0.2804,0.66177,0.64678,0.39803,0.36276,1.0,0.99629,0.0,0.01366,0.47557,0.43477,0.3493,0.3431,0.46102,0.4564,0.39491,0.36462,0.5427,0.44181,0.36308,0.4027,0.74376,0.90079,0.29482,0.2804,0.66177,0.64678,0.39803,0.36276,1.0,0.99629
number7,0.10967,0.07287,0.52105,0.56254,0.10559,0.09534,0.59938,0.51691,0.21693,0.21767,0.44556,0.43153,0.26318,0.2547,0.60362,0.73805,0.28619,0.3077,0.60521,0.76947,0.23783,0.22223,0.88104,1.0,0.10608,0.07533,0.48779,0.42942,0.5362,0.55149,0.54553,0.4174,0.30505,0.29928,0.3812,0.37098,0.20794,0.24031,0.56239,0.613,0.34294,0.35544,0.49524,0.51647,0.19528,0.25804,0.72846,0.62739,0.0,0.01443,0.41608,0.3758,0.30222,0.28664,0.40868,0.38975,0.33609,0.31034,0.4729,0.39002,0.20794,0.24031,0.56239,0.613,0.34294,0.35544,0.49524,0.51647,0.19528,0.25804,0.72846,0.62739
number7,0.12585,0.10256,0.56775,0.62372,0.13564,0.14257,0.64074,0.53335,0.21973,0.20579,0.48291,0.45187,0.44332,0.43911,0.61315,0.74125,0.41039,0.43583,0.6288,0.65919,0.39653,0.41205,0.94746,1.0,0.1395,0.08729,0.5022,0.54514,0.5881,0.59724,0.61315,0.49981,0.36437,0.33124,0.44028,0.39861,0.36201,0.33434,0.57925,0.69428,0.25362,0.32061,0.55625,0.58748,0.42285,0.37687,0.8847,0.76465,0.0,0.00938,0.45764,0.41137,0.31379,0.30669,0.46077,0.43186,0.36794,0.34014,0.5202,0.43341,0.36201,0.33434,0.57925,0.69428,0.25362,0.32061,0.55625,0.58748,0.42285,0.37687,0.8847,0.76465
