Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
sidestep,0.03225,0.05675,0.74049,0.75615,0.43487,0.3972,0.77882,0.86066,0.50091,0.5624,0.79158,0.91417,0.6751,0.67553,0.89559,0.99443,0.67465,0.66906,0.77007,0.84575,0.64954,0.64069,0.76379,0.81918,0.01641,0.03125,0.73793,0.72706,0.93117,0.93697,0.7579,0.81433,0.63825,0.60442,0.78188,0.89855,0.62283,0.61124,0.94704,1.0,0.67196,0.66727,0.81491,0.82277,0.67012,0.66691,0.79824,0.87161,0.0,0.0097,0.75932,0.74879,0.66459,0.60801,0.89436,0.8357,0.56072,0.54121,0.79835,0.75902,0.62283,0.61124,0.94704,1.0,0.67196,0.66727,0.81491,0.82277,0.67012,0.66691,0.79824,0.87161
sidestep,0.04202,0.06193,0.77038,0.77524,0.42259,0.42044,0.76645,0.81536,0.51087,0.48026,0.81407,0.92347,0.67292,0.69796,0.87809,0.96266,0.70512,0.70093,0.78774,0.84136,0.68377,0.6831,0.7779,0.81573,0.0221,0.03779,0.7618,0.74737,0.96998,1.0,0.77256,0.80551,0.66181,0.6857,0.79653,0.89802,0.636,0.66713,0.93529,0.8644,0.6882,0.68496,0.83144,0.8696,0.67984,0.68905,0.83251,0.90731,0.0,0.01512,0.80255,0.76223,0.69836,0.64001,0.9173,0.90043,0.60378,0.57276,0.80418,0.7875,0.636,0.66713,0.93529,0.8644,0.6882,0.68496,0.83144,0.8696,0.67984,0.68905,0.83251,0.90731
sidestep,0.04299,0.0486,0.75665,0.76298,0.43442,0.43234,0.76152,0.79943,0.49796,0.45751,0.79718,0.8925,0.67706,0.69582,0.89174,0.96651,0.69135,0.67806,0.79251,0.85642,0.69794,0.68916,0.77439,0.80128,0.02986,0.04194,0.74965,0.75151,0.98068,1.0,0.75784,0.77149,0.67351,0.70211,0.79664,0.88621,0.63165,0.6688,0.93085,0.86327,0.67214,0.65363,0.80756,0.80258,0.68755,0.67732,0.81246,0.84624,0.0,0.01641,0.79736,0.74652,0.69887,0.63439,0.90683,0.88713,0.60993,0.57888,0.80098,0.76853,0.63165,0.6688,0.93085,0.86327,0.67214,0.65363,0.80756,0.80258,0.68755,0.67732,0.81246,0.84624
sidestep,0.0322,0.03857,0.72386,0.71825,0.42262,0.40696,0.74657,0.78698,0.49601,0.54622,0.76914,0.83854,0.65305,0.61389,0.88211,1.0,0.6611,0.65363,0.78595,0.86503,0.65138,0.66079,0.75125,0.79611,0.0221,0.0332,0.71735,0.73096,0.93078,0.9207,0.74377,0.77571,0.64201,0.57737,0.78706,0.90674,0.62872,0.6411,0.87973,0.9028,0.64701,0.62463,0.76287,0.78466,0.65624,0.63036,0.76359,0.81043,0.0,0.00814,0.73661,0.70411,0.63754,0.59312,0.82975,0.79092,0.60037,0.56162,0.81795,0.70339,0.62872,0.6411,0.87973,0.9028,0.64701,0.62463,0.76287,0.78466,0.65624,0.63036,0.76359,0.81043
sidestep,0.02416,0.03444,0.7054,0.7179,0.42021,0.41912,0.7312,0.78219,0.47479,0.51081,0.76147,0.84788,0.63175,0.58669,0.87195,1.0,0.65912,0.65203,0.76003,0.82628,0.64986,0.65203,0.72341,0.76427,0.01267,0.02284,0.69767,0.71439,0.90096,0.89303,0.7295,0.78939,0.63166,0.62533,0.76294,0.88389,0.60255,0.58774,0.8392,0.85298,0.64077,0.62041,0.74704,0.76744,0.63564,0.64676,0.71841,0.75602,0.0,0.00668,0.72429,0.70806,0.63362,0.59161,0.81855,0.78904,0.60279,0.57228,0.7993,0.70859,0.60255,0.58774,0.8392,0.85298,0.64077,0.62041,0.74704,0.76744,0.63564,0.64676,0.71841,0.75602
sidestep,0.03038,0.04644,0.76366,0.77804,0.45867,0.44577,0.78684,0.84114,0.50309,0.50622,0.82606,0.93351,0.68457,0.68114,0.91039,0.95674,0.72044,0.69474,0.78944,0.85851,0.69968,0.68907,0.77398,0.77748,0.01798,0.02528,0.76531,0.7771,0.97756,1.0,0.781,0.84737,0.68074,0.64903,0.81407,0.92708,0.64577,0.6222,0.93179,0.9354,0.68891,0.69927,0.82414,0.82508,0.70474,0.69965,0.77586,0.78409,0.0,0.01546,0.79467,0.75972,0.71147,0.66074,0.93982,0.87117,0.63793,0.62258,0.81435,0.76595,0.64577,0.6222,0.93179,0.9354,0.68891,0.69927,0.82414,0.82508,0.70474,0.69965,0.77586,0.78409
sidestep,0.03596,0.04764,0.7631,0.76847,0.45424,0.42754,0.77745,0.82935,0.48391,0.46912,0.80888,0.88723,0.68779,0.72913,0.9243,0.95298,0.70948,0.7089,0.80545,0.85389,0.68391,0.68042,0.7627,0.76303,0.02112,0.02854,0.76662,0.76809,0.98306,1.0,0.763,0.80106,0.67708,0.62011,0.8047,0.9099,0.6661,0.63434,0.91857,0.99363,0.68135,0.69878,0.82589,0.88517,0.69306,0.67893,0.76948,0.76959,0.0,0.01617,0.78713,0.74936,0.70153,0.64408,0.92829,0.86812,0.62049,0.595,0.8041,0.76734,0.6661,0.63434,0.91857,0.99363,0.68135,0.69878,0.82589,0.88517,0.69306,0.67893,0.76948,0.76959
sidestep,0.03955,0.04542,0.68425,0.69924,0.40408,0.3745,0.6964,0.73238,0.43013,0.42645,0.72538,0.80449,0.62959,0.64661,0.93687,1.0,0.62519,0.64228,0.76162,0.79017,0.62747,0.63096,0.66713,0.68258,0.02013,0.02777,0.68336,0.68625,0.87486,0.89342,0.70255,0.71173,0.60728,0.6253,0.71926,0.81132,0.58795,0.57367,0.90331,0.89592,0.6197,0.62696,0.75713,0.80799,0.62234,0.60798,0.72226,0.69607,0.0,0.01678,0.72862,0.67309,0.62663,0.577,0.8495,0.76985,0.56239,0.5357,0.76076,0.68225,0.58795,0.57367,0.90331,0.89592,0.6197,0.62696,0.75713,0.80799,0.62234,0.60798,0.72226,0.69607
sidestep,0.03721,0.04509,0.67229,0.68142,0.39465,0.37431,0.6915,0.73007,0.43754,0.45719,0.71838,0.81966,0.60905,0.57381,0.93109,1.0,0.61488,0.59838,0.7472,0.75038,0.60637,0.61509,0.68158,0.68634,0.01821,0.02871,0.66634,0.6621,0.85236,0.86569,0.69566,0.7191,0.59722,0.62229,0.7137,0.81524,0.5685,0.58069,0.89284,0.89304,0.60452,0.61443,0.74343,0.76938,0.60822,0.60133,0.74037,0.72499,0.0,0.01463,0.7144,0.66341,0.61763,0.5689,0.83201,0.73073,0.55687,0.53548,0.74611,0.65735,0.5685,0.58069,0.89284,0.89304,0.60452,0.61443,0.74343,0.76938,0.60822,0.60133,0.74037,0.72499
sidestep,0.0266,0.03912,0.7045,0.70751,0.42498,0.40912,0.72649,0.78137,0.46088,0.4809,0.74853,0.85713,0.61538,0.60226,0.88103,1.0,0.63773,0.62515,0.75614,0.81361,0.63406,0.63937,0.71927,0.73334,0.01591,0.02976,0.69703,0.70213,0.89672,0.90221,0.71918,0.77339,0.63018,0.62272,0.75167,0.85852,0.58646,0.561,0.86554,0.92753,0.64161,0.64977,0.7547,0.78033,0.6255,0.63312,0.75762,0.76281,0.0,0.01103,0.73699,0.69433,0.64518,0.60469,0.84786,0.78535,0.5953,0.56412,0.75658,0.70352,0.58646,0.561,0.86554,0.92753,0.64161,0.64977,0.7547,0.78033,0.6255,0.63312,0.75762,0.76281
