Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
turnclap,0.1441,0.07094,0.56107,0.57633,0.09564,0.12397,0.45943,0.47306,0.2526,0.31042,0.49479,0.54728,0.10806,0.15565,0.72677,0.86822,0.25205,0.30028,0.71282,0.77844,0.32679,0.22317,0.8625,0.85048,0.17246,0.15656,0.55514,0.6481,0.6145,0.59172,0.50452,0.53497,0.38165,0.40763,0.51764,0.43722,0.10769,0.04722,0.73335,1.0,0.47948,0.58502,0.74873,0.89039,0.34345,0.41468,0.84741,0.66883,0.0,0.02007,0.43953,0.37323,0.36036,0.36997,0.45215,0.3974,0.31887,0.30064,0.47756,0.384,0.10769,0.04722,0.73335,1.0,0.47948,0.58502,0.74873,0.89039,0.34345,0.41468,0.84741,0.66883
turnclap,0.21365,0.16504,0.59043,0.48305,0.26987,0.27294,0.48657,0.50267,0.393,0.42604,0.54328,0.49733,0.07126,0.00199,0.7063,0.89352,0.32145,0.31886,0.61507,0.67155,0.44258,0.31175,0.78954,0.83723,0.23589,0.19561,0.58248,0.51326,0.6011,0.59379,0.52333,0.51354,0.47385,0.49655,0.5679,0.53685,0.15222,0.0,0.7635,1.0,0.61547,0.67709,0.68971,0.68953,0.3011,0.40543,0.70973,0.6326,0.14843,0.17116,0.50278,0.47857,0.38417,0.43543,0.57939,0.58625,0.44386,0.39349,0.58132,0.50899,0.15222,0.0,0.7635,1.0,0.61547,0.67709,0.68971,0.68953,0.3011,0.40543,0.70973,0.6326
turnclap,0.28207,0.20275,0.65179,0.69235,0.30977,0.32415,0.58094,0.53918,0.44326,0.45983,0.5978,0.55222,0.16495,0.09838,0.806,1.0,0.40056,0.34441,0.72177,0.7694,0.23522,0.23912,0.76791,0.68452,0.31535,0.25508,0.63602,0.6374,0.67955,0.65014,0.58264,0.54831,0.5484,0.56711,0.60227,0.60111,0.11636,0.0,0.79257,0.87583,0.65859,0.75175,0.77377,0.71537,0.56271,0.518,0.77157,0.64899,0.16613,0.18939,0.55585,0.53143,0.41736,0.47303,0.64401,0.67316,0.51383,0.4342,0.67244,0.66066,0.11636,0.0,0.79257,0.87583,0.65859,0.75175,0.77377,0.71537,0.56271,0.518,0.77157,0.64899
turnclap,0.12734,0.04125,0.63863,0.70097,0.15539,0.19091,0.53411,0.50161,0.30221,0.33314,0.5513,0.55231,0.15895,0.16919,0.75757,0.93774,0.32402,0.34078,0.70521,0.76967,0.25905,0.11789,0.94262,0.93945,0.15727,0.07907,0.62128,0.66959,0.65681,0.60149,0.54315,0.54406,0.40919,0.39872,0.5526,0.53812,0.13908,0.11769,0.77693,1.0,0.44991,0.52746,0.7284,0.78998,0.41284,0.41944,0.92783,0.85898,0.0,0.0161,0.48315,0.39862,0.35095,0.3961,0.52547,0.42718,0.39352,0.33012,0.58648,0.39771,0.13908,0.11769,0.77693,1.0,0.44991,0.52746,0.7284,0.78998,0.41284,0.41944,0.92783,0.85898
turnclap,0.22077,0.23034,0.68557,0.63845,0.39406,0.41656,0.65718,0.65177,0.56195,0.58269,0.66917,0.62699,0.08615,0.0,0.86823,0.88014,0.39281,0.35067,0.74052,0.8349,0.50508,0.36662,0.97181,0.82298,0.25972,0.2707,0.68278,0.66585,0.80304,0.79426,0.67011,0.66229,0.66512,0.6835,0.69018,0.73738,0.12331,0.02159,0.89913,1.0,0.87819,0.96715,0.82039,0.92679,0.5015,0.57706,0.92801,0.78496,0.21313,0.23935,0.69229,0.65938,0.51899,0.58889,0.73658,0.79576,0.64369,0.54196,0.79013,0.84579,0.12331,0.02159,0.89913,1.0,0.87819,0.96715,0.82039,0.92679,0.5015,0.57706,0.92801,0.78496
turnclap,0.23318,0.17325,0.62537,0.54674,0.28894,0.30908,0.53747,0.50962,0.39433,0.43119,0.54502,0.48994,0.18844,0.08648,0.75815,0.91733,0.35519,0.29939,0.65941,0.67094,0.33362,0.26033,0.78566,0.64463,0.26086,0.22961,0.59685,0.58678,0.64786,0.62412,0.54394,0.52497,0.52435,0.54779,0.5596,0.50917,0.16041,0.0,0.77539,1.0,0.57154,0.69987,0.69514,0.89168,0.44454,0.4464,0.78659,0.64425,0.15155,0.16788,0.50447,0.46742,0.4158,0.44342,0.5368,0.48695,0.457,0.39615,0.58906,0.5038,0.16041,0.0,0.77539,1.0,0.57154,0.69987,0.69514,0.89168,0.44454,0.4464,0.78659,0.64425
turnclap,0.15698,0.08373,0.63685,0.55783,0.22212,0.25192,0.53455,0.50746,0.35208,0.4013,0.54644,0.54716,0.142,0.13274,0.81072,1.0,0.33447,0.32299,0.69504,0.80613,0.29092,0.16801,0.85908,0.88616,0.18148,0.12768,0.60457,0.60783,0.6471,0.60349,0.54696,0.56036,0.47024,0.49426,0.56644,0.56804,0.14177,0.0,0.7894,0.97495,0.50124,0.49769,0.693,0.86283,0.43858,0.45158,0.83919,0.73424,0.07539,0.08192,0.47682,0.42798,0.38314,0.41577,0.52186,0.44552,0.40779,0.35736,0.55599,0.4353,0.14177,0.0,0.7894,0.97495,0.50124,0.49769,0.693,0.86283,0.43858,0.45158,0.83919,0.73424
turnclap,0.1583,0.14001,0.6484,0.6311,0.32575,0.35762,0.64276,0.62172,0.5038,0.51323,0.64577,0.61961,0.05813,0.00738,0.88917,1.0,0.44948,0.40822,0.85294,0.95287,0.23311,0.20011,0.84237,0.8428,0.19729,0.18703,0.61391,0.60443,0.79627,0.76394,0.6568,0.67749,0.62627,0.64164,0.66243,0.68224,0.01561,0.0,0.81095,0.8058,0.82354,0.84323,0.78845,0.8776,0.66386,0.53453,0.87243,0.79779,0.13664,0.15329,0.63681,0.60348,0.47894,0.52483,0.69184,0.69858,0.57744,0.49594,0.74315,0.73506,0.01561,0.0,0.81095,0.8058,0.82354,0.84323,0.78845,0.8776,0.66386,0.53453,0.87243,0.79779
turnclap,0.13828,0.0539,0.68897,0.69395,0.18558,0.21445,0.5954,0.55233,0.32459,0.36315,0.56678,0.55917,0.23233,0.17591,0.81064,0.98701,0.37864,0.37934,0.78806,0.78472,0.29864,0.19507,1.0,0.89077,0.13823,0.06393,0.65515,0.62998,0.74367,0.70615,0.58808,0.58357,0.48942,0.51207,0.61413,0.6561,0.1057,0.03543,0.797,0.96957,0.51309,0.56293,0.79561,0.85451,0.42415,0.40785,0.98634,0.77138,0.0,0.02493,0.52436,0.4513,0.41213,0.45118,0.54767,0.50797,0.40921,0.38003,0.58246,0.46407,0.1057,0.03543,0.797,0.96957,0.51309,0.56293,0.79561,0.85451,0.42415,0.40785,0.98634,0.77138
turnclap,0.24651,0.17701,0.7317,0.60512,0.29765,0.30688,0.64566,0.62829,0.44216,0.45463,0.62708,0.62463,0.19892,0.10914,0.89907,0.98181,0.29758,0.32253,0.76159,0.88771,0.46157,0.3205,0.96777,0.74332,0.23231,0.17966,0.71773,0.5974,0.74926,0.73184,0.63023,0.62738,0.58182,0.60868,0.67118,0.69525,0.10921,0.0,0.87497,1.0,0.68342,0.79931,0.85999,0.85367,0.41384,0.47861,0.88294,0.75988,0.13118,0.15385,0.61125,0.56112,0.4797,0.53612,0.66064,0.62189,0.52074,0.46987,0.68883,0.58216,0.10921,0.0,0.87497,1.0,0.68342,0.79931,0.85999,0.85367,0.41384,0.47861,0.88294,0.75988
turnclap,0.28256,0.20636,0.6842,0.66391,0.30724,0.33726,0.6206,0.62069,0.43623,0.44332,0.60488,0.5998,0.21265,0.11038,0.84622,1.0,0.37136,0.33276,0.77905,0.85163,0.24257,0.27694,0.83016,0.8148,0.30442,0.22598,0.69276,0.62051,0.74396,0.71468,0.6279,0.60007,0.58958,0.60538,0.64694,0.57945,0.1118,0.0,0.88553,0.7958,0.68849,0.79373,0.80862,0.78041,0.62933,0.49428,0.85258,0.70406,0.16467,0.17827,0.57639,0.54641,0.46874,0.51301,0.63908,0.64158,0.53329,0.45719,0.69252,0.67669,0.1118,0.0,0.88553,0.7958,0.68849,0.79373,0.80862,0.78041,0.62933,0.49428,0.85258,0.70406
turnclap,0.12867,0.05849,0.56238,0.64977,0.13244,0.158,0.5031,0.4949,0.25548,0.26892,0.46709,0.47123,0.19737,0.1781,0.72792,0.84136,0.33992,0.32264,0.61253,0.64291,0.28823,0.16013,0.9191,0.83353,0.14883,0.07414,0.57926,0.66117,0.6187,0.58446,0.50465,0.53219,0.3849,0.40688,0.51369,0.54562,0.14536,0.0668,0.76979,1.0,0.38735,0.42138,0.65231,0.79044,0.38061,0.35877,0.89742,0.74822,0.0,0.00864,0.42005,0.37017,0.33926,0.36804,0.46242,0.39403,0.34335,0.3064,0.50327,0.37394,0.14536,0.0668,0.76979,1.0,0.38735,0.42138,0.65231,0.79044,0.38061,0.35877,0.89742,0.74822
