id,acc_rh_x,acc_rh_y,acc_rh_z,gyro_rh_x,gyro_rh_y,gyro_rh_z,acc_lh_x,acc_lh_y,acc_lh_z,gyro_lh_x,gyro_lh_y,gyro_lh_z,acc_leg_x,acc_leg_y,acc_leg_z,gyro_leg_x,gryo_leg_y,gryo_leg_z
1,581,-253,146,-1828,1857,-857,733,-37,525,564,951,1088,-605,160,71,564,951,1088
2,797,42,285,-1401,1606,-730,824,-221,617,297,753,930,-413,66,63,297,753,930
3,907,260,428,-1129,1326,-611,833,-373,568,92,525,707,-405,119,99,92,525,707
4,1027,575,695,-573,935,-388,865,-447,573,-118,332,446,-373,172,112,-118,332,446
5,1071,603,800,129,339,-110,899,-555,673,-461,95,125,-325,121,116,-461,95,125
6,996,493,725,521,-204,249,902,-474,686,-818,-206,-233,-368,147,148,-818,-206,-233
7,935,402,670,889,-760,645,826,-336,669,-1022,-533,-646,-448,140,166,-1022,-533,-646
8,807,199,453,1394,-1237,1023,755,-106,682,-1069,-934,-1062,-523,101,178,-1069,-934,-1062
9,679,-188,189,1917,-1630,1264,604,121,614,-1128,-1384,-1449,-636,83,157,-1128,-1384,-1449
10,537,-669,-104,1970,-1827,1363,397,413,342,-1108,-1831,-1718,-762,83,139,-1108,-1831,-1718
11,384,-1050,-414,1846,-1933,1330,155,894,-342,-1021,-1949,-1754,-880,109,-20,-1021,-1949,-1754
12,264,-1617,-813,1273,-1762,1132,117,1468,-984,-577,-1452,-1334,-1709,1262,-872,-577,-1452,-1334
13,193,-1975,-1100,482,-1272,713,139,1904,-1535,-428,-598,-580,-1689,-296,-552,-428,-598,-580
14,115,-2000,-1359,-152,-599,149,266,2000,-1785,-335,416,167,-1801,653,-583,-335,416,167
15,110,-1957,-1449,-693,228,-375,524,1775,-1316,77,1083,642,-1175,352,-450,77,1083,642
16,208,-1585,-1136,-1067,846,-790,658,1409,-952,209,1198,940,-1469,-51,-441,209,1198,940
17,277,-1215,-855,-1601,1222,-1052,705,1244,-549,808,1153,1195,-1189,-60,-285,808,1153,1195
18,277,-914,-509,-2117,1531,-1161,714,751,-83,1234,1096,1321,-1096,-57,25,1234,1096,1321
19,305,-582,-265,-2345,1813,-1073,716,360,235,1169,1048,1282,-889,645,380,1169,1048,1282
20,463,-315,0,-2076,1943,-916,713,131,434,922,993,1140,-592,12,54,922,993,1140
21,650,-24,131,-1584,1856,-739,736,0,494,767,920,958,-463,59,140,767,920,958
22,842,141,302,-1188,1605,-571,789,-203,531,645,779,766,-433,71,195,645,779,766
23,1016,334,466,-914,1183,-401,847,-392,590,285,566,546,-431,134,209,285,566,546
24,1100,565,652,-432,699,-187,887,-464,613,-122,331,300,-382,168,175,-122,331,300
25,1127,571,743,234,184,58,886,-468,693,-469,53,30,-395,96,176,-469,53,30
26,1070,505,755,798,-345,328,867,-428,743,-737,-251,-284,-419,115,155,-737,-251,-284
27,962,390,720,1380,-908,661,840,-329,750,-922,-669,-687,-486,110,108,-922,-669,-687
28,813,154,574,1905,-1406,1013,730,-158,629,-883,-1113,-1119,-567,84,125,-883,-1113,-1119
29,612,-125,347,2354,-1766,1312,592,-55,513,-846,-1478,-1537,-740,95,122,-846,-1478,-1537
30,439,-554,42,2374,-1988,1520,449,266,246,-1028,-1828,-1869,-817,40,42,-1028,-1828,-1869
31,389,-956,-296,2065,-2166,1594,198,877,-511,-857,-1812,-1904,-2000,941,-305,-857,-1812,-1904
32,137,-1536,-863,1503,-1971,1463,178,1376,-1076,-568,-1167,-1514,-1718,-429,-614,-568,-1167,-1514
33,160,-2000,-1177,790,-1347,1083,144,1895,-1457,-578,-366,-910,-2000,621,-712,-578,-366,-910
34,-25,-2000,-1433,24,-465,414,169,2000,-1564,-594,554,-128,-1234,347,-368,-594,554,-128
35,-105,-2000,-1459,-427,396,-369,382,1940,-1346,-477,996,601,-1309,-90,-364,-477,996,601
36,72,-1686,-1134,-1085,1082,-896,554,1745,-960,351,1136,1103,-1292,-141,-188,351,1136,1103
37,158,-1245,-696,-1630,1478,-1091,586,1233,-467,921,1279,1347,-949,287,430,921,1279,1347
38,176,-1046,-494,-1802,1743,-1103,592,897,-73,975,1322,1453,-890,46,74,975,1322,1453
39,286,-847,-316,-1928,1951,-1044,588,584,135,998,1340,1457,-580,103,44,998,1340,1457
40,388,-643,-132,-2038,2040,-991,644,289,388,917,1283,1394,-511,168,44,917,1283,1394
41,514,-370,38,-2003,2028,-905,650,42,513,748,1112,1267,-444,98,143,748,1112,1267
42,639,-135,291,-1832,1933,-787,691,-174,625,585,935,1052,-425,158,156,585,935,1052
43,817,200,552,-1418,1738,-633,718,-308,677,433,730,789,-435,181,172,433,730,789
44,986,533,854,-833,1403,-430,810,-562,788,282,541,476,-423,144,161,282,541,476
45,1158,849,1188,143,752,-156,884,-722,946,-284,279,155,-426,99,135,-284,279,155
46,1174,784,1322,832,-33,202,946,-690,965,-729,-52,-202,-493,75,143,-729,-52,-202
47,1056,686,1181,1097,-871,677,953,-565,969,-973,-413,-601,-575,81,126,-973,-413,-601
48,885,525,914,1537,-1537,1182,906,-388,927,-1127,-895,-1086,-699,156,154,-1127,-895,-1086
49,639,110,569,2222,-2019,1610,757,-101,780,-1172,-1458,-1581,-791,115,143,-1172,-1458,-1581
50,371,-474,100,2500,-2314,1917,567,291,614,-1129,-1998,-1959,-991,74,-243,-1129,-1998,-1959
51,235,-1286,-221,2166,-2465,1964,196,1012,-308,-914,-2273,-2038,-1989,751,-652,-914,-2273,-2038
52,-17,-2000,-844,1373,-2293,1691,198,1458,-951,-507,-1679,-1539,-1598,-132,-481,-507,-1679,-1539
53,-188,-2000,-1278,28,-1507,985,77,1991,-1313,-834,-818,-819,-1582,476,-835,-834,-818,-819
54,-222,-2000,-1672,-336,-448,60,109,2000,-1554,-942,196,90,-1301,137,-423,-942,196,90
55,-170,-2000,-1643,-651,640,-750,301,1934,-1439,-347,798,782,-1233,-24,-392,-347,798,782
56,8,-1631,-1068,-1409,1381,-1199,517,1555,-918,394,1101,1141,-1173,-141,-14,394,1101,1141
57,87,-1153,-716,-1726,1741,-1330,609,1273,-470,851,1284,1286,-980,400,498,851,1284,1286
58,168,-1115,-551,-1925,1940,-1328,615,1171,-201,1046,1356,1369,-895,353,174,1046,1356,1369
59,249,-1044,-333,-2192,2074,-1303,561,1012,2,1252,1383,1452,-735,-60,-34,1252,1383,1452
60,337,-843,-155,-2425,2157,-1227,541,773,163,1368,1380,1484,-657,120,114,1368,1380,1484
61,464,-599,54,-2429,2172,-1135,562,594,333,1355,1355,1499,-591,208,72,1355,1355,1499
62,563,-371,185,-2287,2075,-1039,648,359,524,1349,1265,1469,-518,57,86,1349,1265,1469
63,686,-103,390,-1998,1789,-855,721,22,705,1204,1071,1307,-441,146,124,1204,1071,1307
64,839,274,664,-1590,1505,-632,785,-325,898,984,854,1071,-422,169,129,984,854,1071
65,992,557,1018,-987,1089,-385,901,-642,1101,568,519,787,-369,98,151,568,519,787
66,1090,861,1216,-10,458,-120,952,-815,1156,124,93,421,-397,117,149,124,93,421
67,1054,683,1163,490,-176,164,928,-833,1096,-319,-275,41,-427,85,124,-319,-275,41
68,1022,711,1186,936,-860,522,891,-764,1002,-587,-591,-358,-494,103,127,-587,-591,-358
69,878,557,924,1641,-1499,933,809,-620,865,-1023,-905,-790,-616,95,128,-1023,-905,-790
70,676,233,625,2271,-1922,1339,719,-308,722,-1310,-1215,-1229,-749,94,151,-1310,-1215,-1229
71,457,-304,445,2500,-2278,1663,635,-1,650,-1262,-1644,-1669,-838,98,127,-1262,-1644,-1669
72,201,-956,-49,2500,-2467,1841,414,323,373,-1300,-2066,-1985,-926,-9,135,-1300,-2066,-1985
73,65,-1711,-668,1854,-2488,1756,203,947,-375,-1113,-2183,-2086,-1508,-68,-872,-1113,-2183,-2086
74,-37,-2000,-1180,823,-2155,1409,-17,1690,-1006,-580,-1885,-1843,-1941,639,-511,-580,-1885,-1843
75,-193,-2000,-1516,109,-1324,783,-199,2000,-1630,-153,-804,-1122,-1339,499,-576,-153,-804,-1122
76,-297,-2000,-1781,-489,-152,-68,-69,2000,-1727,-657,181,-147,-1550,-119,-446,-657,181,-147
77,-176,-1972,-1494,-1353,953,-762,209,2000,-1549,-102,863,643,-1051,-38,-183,-102,863,643
78,-27,-1336,-933,-1858,1602,-1082,436,1565,-885,859,1198,1054,-1019,-119,26,859,1198,1054
79,119,-1132,-492,-2165,2109,-1166,543,1111,-330,992,1448,1241,-895,577,298,992,1448,1241
80,239,-833,-207,-2410,2358,-1179,622,780,16,1058,1538,1334,-591,-97,14,1058,1538,1334
81,358,-533,68,-2431,2499,-1115,649,510,339,1185,1551,1343,-472,89,153,1185,1551,1343
82,537,-180,353,-2027,2342,-1025,712,149,591,1081,1449,1293,-446,119,109,1081,1449,1293
83,727,48,578,-1610,1996,-919,789,-148,751,843,1187,1173,-478,177,159,843,1187,1173
