Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
wipers,0.34032,0.33041,0.32182,0.39906,0.07434,0.09052,0.46352,0.68774,0.19698,0.22956,0.43664,0.58368,0.19457,0.16086,0.61519,0.96565,0.23412,0.2694,0.61906,1.0,0.23801,0.18607,0.4752,0.69417,0.36278,0.38097,0.29288,0.32544,0.33914,0.29058,0.45163,0.63038,0.22377,0.32109,0.43877,0.57239,0.18846,0.13552,0.42674,0.60132,0.22118,0.29436,0.5062,0.71825,0.21738,0.25805,0.50855,0.75783,0.0,0.03669,0.33628,0.40719,0.25517,0.24343,0.27931,0.24526,0.208,0.24646,0.29778,0.31957,0.18846,0.13552,0.42674,0.60132,0.22118,0.29436,0.5062,0.71825,0.21738,0.25805,0.50855,0.75783
wipers,0.31726,0.29788,0.31314,0.39494,0.05284,0.03349,0.44055,0.63418,0.2013,0.22785,0.42706,0.60572,0.1462,0.07186,0.63066,1.0,0.23644,0.31216,0.58987,0.95808,0.22293,0.17873,0.42466,0.57012,0.35005,0.35798,0.29144,0.32627,0.34006,0.31205,0.42864,0.62821,0.22735,0.30815,0.42183,0.56321,0.2173,0.2001,0.49969,0.71471,0.22291,0.27142,0.46424,0.65726,0.21195,0.24745,0.43758,0.5442,0.0,0.02404,0.305,0.35704,0.23774,0.23092,0.25138,0.23352,0.19908,0.23069,0.28161,0.29191,0.2173,0.2001,0.49969,0.71471,0.22291,0.27142,0.46424,0.65726,0.21195,0.24745,0.43758,0.5442
wipers,0.33816,0.33799,0.32876,0.41957,0.06062,0.05067,0.44663,0.65945,0.2206,0.28765,0.43333,0.5869,0.1651,0.06584,0.63579,1.0,0.2168,0.23912,0.5654,0.92052,0.22518,0.21046,0.36922,0.49092,0.37552,0.38134,0.28796,0.32962,0.33386,0.2708,0.43515,0.63699,0.24585,0.3404,0.42555,0.57751,0.20158,0.24153,0.5404,0.79011,0.22044,0.24033,0.41713,0.59792,0.21416,0.23852,0.37437,0.46413,0.0,0.03152,0.31034,0.35714,0.23064,0.22817,0.26107,0.23389,0.20404,0.23142,0.28493,0.27031,0.20158,0.24153,0.5404,0.79011,0.22044,0.24033,0.41713,0.59792,0.21416,0.23852,0.37437,0.46413
wipers,0.34707,0.37945,0.36208,0.43967,0.08477,0.10141,0.44815,0.63313,0.2341,0.31141,0.44409,0.58392,0.20826,0.12773,0.62416,1.0,0.20142,0.236,0.59706,0.98142,0.23196,0.228,0.40152,0.51841,0.38302,0.39335,0.29682,0.33325,0.31338,0.25236,0.43472,0.59395,0.26207,0.36948,0.4257,0.54855,0.18759,0.20057,0.52758,0.80949,0.2072,0.2216,0.42121,0.57949,0.20144,0.20967,0.39497,0.5018,0.0,0.03768,0.31918,0.35558,0.22836,0.22345,0.26836,0.24344,0.20752,0.23526,0.28896,0.25095,0.18759,0.20057,0.52758,0.80949,0.2072,0.2216,0.42121,0.57949,0.20144,0.20967,0.39497,0.5018
wipers,0.34737,0.36705,0.3674,0.46948,0.07542,0.08377,0.44726,0.61361,0.23397,0.27229,0.43801,0.57016,0.18282,0.07879,0.63144,0.9919,0.23841,0.31319,0.61787,1.0,0.22597,0.17492,0.40564,0.49055,0.38081,0.40022,0.313,0.34673,0.3295,0.2703,0.43725,0.56654,0.26459,0.35782,0.43113,0.54254,0.212,0.21868,0.52897,0.76585,0.21481,0.26369,0.44395,0.60582,0.20875,0.25658,0.40449,0.47521,0.0,0.04051,0.32222,0.36437,0.23622,0.22953,0.27854,0.24673,0.20697,0.23875,0.29551,0.24667,0.212,0.21868,0.52897,0.76585,0.21481,0.26369,0.44395,0.60582,0.20875,0.25658,0.40449,0.47521
wipers,0.36433,0.37074,0.36619,0.48888,0.05542,0.04836,0.46852,0.64701,0.22711,0.27097,0.4451,0.59139,0.16238,0.04589,0.6551,1.0,0.27006,0.35238,0.61841,0.98098,0.23304,0.18148,0.39208,0.48641,0.39714,0.4235,0.33349,0.37654,0.36907,0.34495,0.47212,0.67736,0.26267,0.35941,0.46514,0.60142,0.23858,0.29246,0.54846,0.79557,0.24591,0.30757,0.48534,0.66538,0.2421,0.30874,0.43357,0.51226,0.0,0.0485,0.34273,0.40988,0.25614,0.24804,0.30729,0.25495,0.21526,0.25104,0.31143,0.27911,0.23858,0.29246,0.54846,0.79557,0.24591,0.30757,0.48534,0.66538,0.2421,0.30874,0.43357,0.51226
wipers,0.3929,0.40358,0.37224,0.49271,0.08658,0.10271,0.47769,0.68217,0.24085,0.29983,0.452,0.59011,0.19533,0.11351,0.65807,1.0,0.2611,0.33564,0.61771,0.95168,0.23198,0.17775,0.40312,0.51185,0.42298,0.45976,0.33842,0.39948,0.34492,0.30188,0.46628,0.64151,0.28461,0.40085,0.46497,0.58628,0.22135,0.22833,0.54453,0.79044,0.24903,0.29395,0.50361,0.71731,0.24357,0.30338,0.42333,0.48615,0.0,0.04611,0.34524,0.37153,0.25909,0.24802,0.29872,0.25677,0.22419,0.25103,0.30001,0.258,0.22135,0.22833,0.54453,0.79044,0.24903,0.29395,0.50361,0.71731,0.24357,0.30338,0.42333,0.48615
wipers,0.38343,0.38373,0.35933,0.46752,0.07357,0.06922,0.48951,0.70681,0.22432,0.27066,0.46008,0.62187,0.22902,0.15058,0.64566,1.0,0.2349,0.2403,0.61002,0.94677,0.24523,0.18647,0.44048,0.5594,0.41606,0.4296,0.32647,0.39635,0.37037,0.34069,0.46267,0.65716,0.2666,0.36012,0.47077,0.63125,0.20869,0.20239,0.51571,0.7825,0.23412,0.27525,0.5123,0.7232,0.22197,0.28537,0.43358,0.54928,0.0,0.04183,0.34703,0.37719,0.26278,0.25096,0.28766,0.25501,0.22102,0.25434,0.31372,0.28631,0.20869,0.20239,0.51571,0.7825,0.23412,0.27525,0.5123,0.7232,0.22197,0.28537,0.43358,0.54928
wipers,0.38092,0.37734,0.34186,0.43243,0.06434,0.07418,0.47108,0.68751,0.23115,0.28184,0.44444,0.58706,0.21632,0.14653,0.64196,1.0,0.24213,0.25936,0.58964,0.93532,0.2401,0.1964,0.41754,0.53527,0.40545,0.42112,0.31765,0.36583,0.37012,0.33475,0.4493,0.61199,0.25486,0.34203,0.45324,0.5938,0.21672,0.22021,0.511,0.74062,0.24018,0.27113,0.4849,0.67323,0.21961,0.26055,0.41897,0.52046,0.0,0.03807,0.33276,0.37423,0.25503,0.24878,0.27228,0.25096,0.21899,0.2505,0.31017,0.28297,0.21672,0.22021,0.511,0.74062,0.24018,0.27113,0.4849,0.67323,0.21961,0.26055,0.41897,0.52046
wipers,0.38823,0.39727,0.33635,0.40144,0.08089,0.13787,0.44875,0.62542,0.24009,0.28646,0.42411,0.51857,0.23777,0.19686,0.63193,1.0,0.22301,0.22955,0.58141,0.93118,0.24551,0.22043,0.37651,0.48647,0.41336,0.431,0.30245,0.32793,0.34103,0.27903,0.43241,0.55373,0.26586,0.3556,0.41991,0.47925,0.1744,0.19491,0.49706,0.69574,0.22081,0.24127,0.43131,0.60458,0.21041,0.25117,0.38622,0.47098,0.0,0.02953,0.3113,0.32767,0.24884,0.24999,0.2509,0.2457,0.22121,0.23866,0.28481,0.26451,0.1744,0.19491,0.49706,0.69574,0.22081,0.24127,0.43131,0.60458,0.21041,0.25117,0.38622,0.47098
