id,acc_rh_x,acc_rh_y,acc_rh_z,gyro_rh_x,gyro_rh_y,gyro_rh_z,acc_lh_x,acc_lh_y,acc_lh_z,gyro_lh_x,gyro_lh_y,gyro_lh_z,acc_leg_x,acc_leg_y,acc_leg_z,gyro_leg_x,gryo_leg_y,gryo_leg_z
1,-1460,254,-830,-1393,-1177,-1509,-1288,-653,-1292,288,957,-1336,-921,-7,-135,288,957,-1336
2,-1334,143,-949,-2009,-1011,-1540,-1174,-882,-1360,-519,1350,-1709,-990,-330,-125,-519,1350,-1709
3,-1251,236,-914,-2500,-858,-1680,-1361,-536,-1276,-992,1646,-1967,-1058,588,58,-992,1646,-1967
4,-1118,455,-709,-2500,-646,-1620,-1287,-100,-1212,-807,1815,-1920,-776,454,14,-807,1815,-1920
5,-1102,385,-377,-2500,-417,-1335,-1284,66,-1214,-295,1762,-1662,-921,-198,-87,-295,1762,-1662
6,-1144,313,-240,-2118,-203,-1045,-1397,92,-1245,40,1717,-1528,-908,-234,-97,40,1717,-1528
7,-1007,291,-198,-1697,81,-741,-1463,-9,-1181,41,1765,-1462,-872,133,-11,41,1765,-1462
8,-861,188,-191,-1376,86,-434,-1564,4,-978,-233,1997,-1422,-861,101,46,-233,1997,-1422
9,-980,205,-315,-970,63,-63,-1400,157,-710,-517,2275,-1234,-874,102,12,-517,2275,-1234
10,-932,231,-356,-172,165,173,-1207,165,-433,-786,2398,-1035,-982,-381,-1,-786,2398,-1035
11,-864,149,-302,615,149,329,-984,94,-344,-943,2314,-888,-846,346,11,-943,2314,-888
12,-840,-47,-260,980,138,403,-776,100,-340,-1169,2229,-764,-864,441,-11,-1169,2229,-764
13,-865,-217,-187,949,87,448,-654,206,-220,-1260,2116,-672,-943,-99,33,-1260,2116,-672
14,-938,-299,-141,738,23,492,-386,357,-91,-1091,1897,-541,-913,-29,54,-1091,1897,-541
15,-928,-319,-156,444,-12,527,-206,468,-125,-565,1516,-369,-889,113,-33,-565,1516,-369
16,-906,-350,-193,188,-48,545,-62,321,-178,-103,1253,-189,-866,-61,-53,-103,1253,-189
17,-939,-368,-229,28,-65,514,37,157,-85,116,994,-129,-906,16,-3,116,994,-129
18,-919,-329,-266,4,-70,429,119,187,-25,214,749,-132,-835,69,-26,214,749,-132
19,-897,-277,-309,59,-79,330,176,269,-83,344,464,-85,-908,-2,-3,344,464,-85
20,-875,-241,-339,123,-85,243,155,268,-151,424,248,10,-876,64,-12,424,248,10
21,-865,-235,-338,177,-62,168,233,211,-101,365,121,104,-889,125,-21,365,121,104
22,-829,-258,-316,206,-44,126,268,225,-13,327,-68,187,-917,88,36,327,-68,187
23,-845,-293,-316,174,-87,101,211,179,-84,350,-280,287,-857,-48,8,350,-280,287
24,-899,-304,-342,74,-91,86,211,132,-98,294,-422,363,-907,50,9,294,-422,363
25,-937,-292,-349,-66,-72,61,111,138,-74,140,-559,436,-891,102,-14,140,-559,436
26,-915,-255,-331,-148,-39,24,-26,175,-12,-112,-713,567,-892,146,-40,-112,-713,567
27,-896,-180,-317,-135,-27,-23,49,113,-38,-325,-949,676,-903,32,-19,-325,-949,676
28,-930,-136,-313,-61,-28,-68,64,289,-147,-139,-1263,668,-888,-26,8,-139,-1263,668
29,-979,-123,-321,19,-19,-94,-292,309,-144,201,-1574,734,-853,140,-33,201,-1574,734
30,-1032,-94,-338,82,8,-88,-566,318,-108,-93,-1788,973,-905,94,-30,-93,-1788,973
31,-1028,-46,-336,185,86,-60,-380,259,-113,-608,-1932,1163,-933,101,-35,-608,-1932,1163
32,-1003,6,-223,490,168,-30,-662,462,-22,-706,-2415,1163,-875,326,-19,-706,-2415,1163
33,-1008,62,-192,810,196,52,-1010,420,-952,-139,-2500,1313,-922,148,-43,-139,-2500,1313
34,-936,93,-274,1048,247,159,-637,369,-844,175,-2500,1389,-881,-28,-69,175,-2500,1389
35,-843,212,-297,1231,368,300,-1027,478,-563,4,-2500,1294,-769,180,-102,4,-2500,1294
36,-840,327,-266,1546,414,537,-1363,426,-840,-249,-2500,1455,-870,491,-99,-249,-2500,1455
37,-1033,397,-264,1831,490,870,-1244,531,-1151,-14,-2343,1472,-996,763,-296,-14,-2343,1472
38,-1288,402,-297,1989,675,1131,-1723,488,-955,528,-2297,1399,-1437,461,-90,528,-2297,1399
39,-1435,515,-643,1857,507,1379,-2000,524,-911,234,-2035,1349,-1238,815,-164,234,-2035,1349
