Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
byebye,0.00232,0.0,0.47817,0.4308,0.32849,0.30253,0.43646,0.49626,0.17507,0.21884,0.44038,0.48075,0.30464,0.35609,0.73536,0.70293,0.31034,0.33548,0.69533,0.61078,0.29992,0.34587,0.66058,0.80477,0.04558,0.037,0.53714,0.64391,0.40154,0.40349,0.44539,0.44586,0.17802,0.26658,0.49088,0.58911,0.24659,0.24544,0.61393,0.65783,0.44349,0.41459,0.82485,1.0,0.26301,0.262,0.67803,0.76874,0.00237,0.01145,0.42671,0.38023,0.3919,0.36384,0.47165,0.46657,0.29996,0.32032,0.42525,0.37045,0.24659,0.24544,0.61393,0.65783,0.44349,0.41459,0.82485,1.0,0.26301,0.262,0.67803,0.76874
byebye,0.03453,0.00482,0.56887,0.64239,0.34853,0.29987,0.50972,0.5115,0.20532,0.25221,0.49376,0.52527,0.40516,0.39911,0.79433,0.76402,0.35172,0.38062,0.85785,1.0,0.33901,0.39459,0.73001,0.88956,0.02531,0.02948,0.58204,0.48603,0.4886,0.51582,0.53302,0.51181,0.22945,0.30953,0.56,0.53801,0.27247,0.27501,0.66524,0.71399,0.36981,0.37795,0.86439,0.72509,0.35012,0.32617,0.71266,0.62903,0.0,0.00195,0.49662,0.4962,0.44102,0.39788,0.54586,0.53164,0.33244,0.35288,0.48232,0.41483,0.27247,0.27501,0.66524,0.71399,0.36981,0.37795,0.86439,0.72509,0.35012,0.32617,0.71266,0.62903
byebye,0.00632,0.0,0.49069,0.46229,0.36429,0.31913,0.49806,0.51399,0.19436,0.24055,0.48259,0.50825,0.44501,0.45274,0.75754,0.96275,0.36392,0.36286,0.71438,0.62815,0.37832,0.38584,0.64983,0.68857,0.05187,0.04003,0.5667,0.62092,0.45507,0.46868,0.49099,0.44681,0.19365,0.27835,0.53072,0.61434,0.33815,0.34526,0.61821,0.60434,0.22001,0.24833,0.85245,1.0,0.45063,0.40752,0.69291,0.80995,0.01475,0.02354,0.45915,0.42569,0.44675,0.39066,0.53015,0.50056,0.31894,0.34173,0.45361,0.38918,0.33815,0.34526,0.61821,0.60434,0.22001,0.24833,0.85245,1.0,0.45063,0.40752,0.69291,0.80995
byebye,0.00046,0.0,0.52017,0.4923,0.36336,0.33327,0.50549,0.54631,0.19201,0.2541,0.52692,0.59731,0.30686,0.32176,0.79477,0.91127,0.30186,0.3399,0.80067,0.84692,0.28489,0.35745,0.69273,0.77428,0.05691,0.03491,0.58558,0.6014,0.45302,0.47991,0.49246,0.48138,0.19161,0.25722,0.53282,0.62315,0.27301,0.31611,0.68703,0.75751,0.52033,0.51443,0.88317,1.0,0.29337,0.28569,0.73959,0.75722,0.00915,0.02516,0.51116,0.45105,0.4664,0.41595,0.56993,0.54709,0.3457,0.3709,0.53933,0.43009,0.27301,0.31611,0.68703,0.75751,0.52033,0.51443,0.88317,1.0,0.29337,0.28569,0.73959,0.75722
byebye,0.03014,0.0055,0.445,0.51473,0.27399,0.23968,0.3847,0.45068,0.14148,0.18354,0.40168,0.45913,0.32415,0.32684,0.60309,0.64446,0.31705,0.26015,0.68084,1.0,0.28705,0.26806,0.57147,0.67393,0.0318,0.02551,0.43171,0.39027,0.3698,0.3895,0.37758,0.36895,0.16966,0.21812,0.41065,0.36375,0.26355,0.27752,0.52716,0.52427,0.26238,0.25442,0.65787,0.56095,0.28447,0.28342,0.52214,0.54458,0.0,0.00674,0.3957,0.37282,0.36214,0.33149,0.43125,0.42338,0.26611,0.27938,0.39848,0.36647,0.26355,0.27752,0.52716,0.52427,0.26238,0.25442,0.65787,0.56095,0.28447,0.28342,0.52214,0.54458
byebye,0.00643,0.0,0.47671,0.44421,0.34969,0.30495,0.45316,0.48957,0.1836,0.22955,0.4325,0.48006,0.40582,0.38741,0.70831,0.75042,0.36393,0.30613,0.66322,0.57977,0.37891,0.35678,0.6538,0.6815,0.06863,0.04005,0.53048,0.63657,0.4099,0.41417,0.40499,0.41114,0.17301,0.24924,0.47985,0.55024,0.3223,0.29233,0.55911,0.53888,0.18247,0.23881,0.80709,1.0,0.37072,0.41535,0.5976,0.63994,0.01414,0.02693,0.41222,0.3705,0.42027,0.37799,0.47636,0.45389,0.29559,0.31723,0.41763,0.39936,0.3223,0.29233,0.55911,0.53888,0.18247,0.23881,0.80709,1.0,0.37072,0.41535,0.5976,0.63994
byebye,0.01664,0.0,0.51496,0.46605,0.36338,0.31682,0.47744,0.49224,0.19239,0.23284,0.46976,0.53855,0.28989,0.30323,0.74786,0.7577,0.28439,0.31241,0.69718,0.69374,0.28036,0.34402,0.71251,0.81963,0.06098,0.0261,0.56164,0.62124,0.42238,0.44014,0.45325,0.45943,0.17455,0.25342,0.50576,0.59726,0.31048,0.29054,0.60708,0.57208,0.46428,0.48939,0.85849,1.0,0.24277,0.23725,0.6415,0.75347,0.00916,0.0226,0.44715,0.41321,0.43854,0.39713,0.52885,0.51254,0.32033,0.34825,0.47254,0.40981,0.31048,0.29054,0.60708,0.57208,0.46428,0.48939,0.85849,1.0,0.24277,0.23725,0.6415,0.75347
byebye,0.07433,0.0,0.65777,0.77022,0.39511,0.35258,0.53375,0.54564,0.20346,0.24607,0.55563,0.59086,0.49034,0.38115,0.86366,0.90884,0.49216,0.40453,0.89523,1.0,0.43859,0.47089,0.81983,0.78191,0.08824,0.02338,0.67163,0.66277,0.51453,0.53725,0.58716,0.58673,0.24007,0.31975,0.59732,0.66442,0.43276,0.42555,0.69444,0.66218,0.43121,0.41634,0.8998,0.84827,0.43851,0.42602,0.78365,0.73267,0.00232,0.00118,0.54509,0.54174,0.50958,0.46853,0.61035,0.60999,0.37664,0.41162,0.53857,0.50809,0.43276,0.42555,0.69444,0.66218,0.43121,0.41634,0.8998,0.84827,0.43851,0.42602,0.78365,0.73267
byebye,0.02882,0.0,0.53021,0.42907,0.33608,0.30234,0.46041,0.47235,0.18916,0.22541,0.45897,0.50691,0.37218,0.35263,0.76894,0.79583,0.36799,0.331,0.69437,0.56642,0.34468,0.40393,0.70273,0.60148,0.14181,0.04889,0.61072,0.80345,0.43701,0.4458,0.49027,0.47045,0.19991,0.25406,0.51431,0.57263,0.31796,0.3326,0.56539,0.57383,0.33585,0.3342,0.82358,1.0,0.40838,0.40773,0.70672,0.70287,0.0013,0.01022,0.45113,0.40603,0.44262,0.40453,0.49901,0.45392,0.32457,0.35524,0.43722,0.43278,0.31796,0.3326,0.56539,0.57383,0.33585,0.3342,0.82358,1.0,0.40838,0.40773,0.70672,0.70287
byebye,0.05316,0.01704,0.61246,0.65468,0.39513,0.3609,0.51047,0.57432,0.18568,0.20877,0.49555,0.55776,0.32264,0.28337,0.82747,0.96186,0.27984,0.31878,0.83891,1.0,0.30496,0.37473,0.84902,0.92572,0.06982,0.02417,0.61259,0.52508,0.47788,0.4795,0.48715,0.50852,0.20592,0.26221,0.54102,0.61371,0.28436,0.36132,0.63653,0.73325,0.46532,0.44157,0.86213,0.98858,0.3736,0.37033,0.79075,0.80366,0.0,0.02249,0.51144,0.50821,0.52043,0.46525,0.58081,0.631,0.33304,0.34854,0.48814,0.5081,0.28436,0.36132,0.63653,0.73325,0.46532,0.44157,0.86213,0.98858,0.3736,0.37033,0.79075,0.80366
