Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
chicken,0.52548,0.52869,0.41068,0.44534,0.24393,0.22484,0.46797,0.51994,0.00607,0.00997,0.55189,0.69859,0.5985,0.6254,0.80027,1.0,0.00429,0.01091,0.52993,0.60837,0.38905,0.4079,0.4201,0.4588,0.53282,0.5223,0.44086,0.43208,0.32623,0.31025,0.4749,0.49003,0.06349,0.13979,0.55789,0.73415,0.30766,0.28749,0.77018,0.89219,0.32069,0.27375,0.57649,0.71731,0.32077,0.3428,0.45063,0.53942,0.01232,0.0,0.42493,0.43547,0.32298,0.32361,0.40155,0.4175,0.35501,0.33039,0.44288,0.45833,0.17435,0.13565,0.78909,0.92587,0.47255,0.42521,0.57653,0.71759,0.3125,0.3349,0.45064,0.53942
chicken,0.55124,0.54834,0.43504,0.47181,0.27553,0.24223,0.50386,0.58893,0.02108,0.0,0.59947,0.76642,0.6511,0.69094,0.84117,1.0,0.06497,0.1426,0.60085,0.7707,0.43553,0.44681,0.45768,0.4837,0.56453,0.55138,0.48267,0.51897,0.3815,0.37912,0.48249,0.49815,0.09682,0.18044,0.59186,0.75216,0.33709,0.37304,0.69622,0.869,0.37698,0.32836,0.64859,0.84143,0.37598,0.40688,0.50175,0.58133,0.05244,0.0405,0.4714,0.4816,0.36423,0.36372,0.44544,0.46212,0.39497,0.36353,0.48742,0.49805,0.12323,0.15895,0.69629,0.86928,0.53044,0.48141,0.64864,0.84152,0.36762,0.39852,0.50175,0.58133
chicken,0.57816,0.57557,0.43796,0.46384,0.28002,0.27202,0.51504,0.61898,0.00356,0.0,0.58816,0.7799,0.82541,0.90141,0.82566,1.0,0.02943,0.12655,0.602,0.78936,0.44725,0.45806,0.46678,0.48949,0.57089,0.54677,0.48762,0.50557,0.39573,0.38575,0.49198,0.52102,0.06342,0.13622,0.63312,0.80082,0.33166,0.37103,0.71433,0.81102,0.39532,0.2943,0.67567,0.89605,0.38654,0.4135,0.51628,0.59207,0.02489,0.00946,0.48801,0.5062,0.37101,0.38007,0.44392,0.46111,0.41837,0.38764,0.50272,0.53984,0.09523,0.13433,0.71438,0.81102,0.56501,0.46374,0.67572,0.89605,0.3773,0.40425,0.51628,0.59207
chicken,0.54554,0.5426,0.41677,0.42858,0.26795,0.26084,0.48771,0.57192,0.0,0.04675,0.55086,0.71332,0.77787,0.76428,0.76677,1.0,0.03119,0.11873,0.57825,0.72449,0.42156,0.43453,0.44729,0.47257,0.55344,0.52825,0.47894,0.50292,0.40495,0.40357,0.48974,0.5384,0.04447,0.11155,0.61679,0.80273,0.34851,0.37855,0.73915,0.7692,0.3886,0.31928,0.63119,0.82498,0.37168,0.3929,0.50799,0.59848,0.01551,0.00307,0.45993,0.47442,0.3531,0.35209,0.42471,0.43863,0.39599,0.36276,0.47903,0.52127,0.18193,0.1661,0.76465,0.72419,0.55414,0.48436,0.63124,0.82498,0.36266,0.38388,0.50799,0.59848
chicken,0.55637,0.55513,0.42611,0.4322,0.28291,0.26912,0.49156,0.5644,0.00093,0.0,0.54585,0.66004,0.70985,0.66447,0.82265,1.0,0.03992,0.07475,0.55301,0.65078,0.42105,0.42459,0.44814,0.46083,0.58853,0.56234,0.48453,0.5087,0.41666,0.41532,0.49063,0.51436,0.05921,0.11469,0.60103,0.74683,0.37793,0.42726,0.74005,0.77618,0.39038,0.33131,0.62527,0.7353,0.38097,0.40091,0.51124,0.60846,0.02177,0.01277,0.4586,0.46031,0.36117,0.35931,0.43369,0.44291,0.40092,0.37064,0.48389,0.51879,0.21067,0.20076,0.76272,0.76176,0.55657,0.49727,0.62533,0.73561,0.37192,0.39185,0.51124,0.60846
chicken,0.58912,0.58735,0.44027,0.44617,0.29156,0.26057,0.53059,0.6036,0.03184,0.0,0.57779,0.68648,0.67756,0.72514,0.89078,1.0,0.05933,0.08247,0.52879,0.61728,0.43523,0.4436,0.4617,0.48267,0.62007,0.5964,0.49122,0.51589,0.40339,0.40308,0.50975,0.53954,0.08874,0.13923,0.62156,0.78848,0.36682,0.34735,0.72375,0.87907,0.39701,0.32617,0.64203,0.77409,0.38509,0.41152,0.51605,0.61882,0.03929,0.03578,0.47271,0.47044,0.38274,0.38005,0.44686,0.45532,0.41469,0.37923,0.4956,0.51301,0.13544,0.11578,0.72374,0.87897,0.56298,0.49172,0.64207,0.77409,0.37605,0.40247,0.51605,0.61882
chicken,0.59324,0.59688,0.44007,0.44734,0.28008,0.26036,0.52536,0.5972,0.00415,0.0,0.5798,0.71372,0.7364,0.88392,0.86477,1.0,0.0389,0.05315,0.53019,0.61861,0.43877,0.45056,0.45383,0.46552,0.60985,0.5915,0.48867,0.49898,0.3755,0.36945,0.51158,0.53674,0.05892,0.12996,0.62571,0.78827,0.36006,0.31501,0.76978,0.90748,0.38101,0.29672,0.66482,0.85745,0.36592,0.37353,0.50369,0.58289,0.01307,0.00753,0.46704,0.46122,0.36843,0.36385,0.43715,0.44691,0.40221,0.35955,0.49131,0.50199,0.11795,0.07294,0.76979,0.90748,0.55471,0.46993,0.66484,0.85745,0.35647,0.36407,0.50369,0.58289
chicken,0.60257,0.60341,0.45251,0.46507,0.29194,0.27113,0.52605,0.61256,0.0,0.0023,0.58682,0.70632,0.86001,0.92674,0.8093,0.96261,0.03232,0.05398,0.55569,0.65137,0.45877,0.46932,0.47412,0.4933,0.61206,0.59883,0.50222,0.53124,0.39963,0.38451,0.50848,0.53287,0.05737,0.14642,0.63335,0.76289,0.38014,0.36358,0.76554,0.8186,0.40726,0.31365,0.7406,1.0,0.38462,0.40871,0.51909,0.60962,0.01832,0.0071,0.48042,0.48654,0.3756,0.37186,0.44869,0.47248,0.41854,0.38015,0.50365,0.53636,0.13486,0.11829,0.76562,0.81871,0.58331,0.48938,0.7406,1.0,0.37505,0.39911,0.51909,0.60962
chicken,0.54712,0.54843,0.40035,0.4054,0.25613,0.2419,0.4822,0.57734,0.01075,0.01044,0.52567,0.63043,0.77194,0.8118,0.75172,1.0,0.04009,0.06364,0.53418,0.63124,0.41049,0.40891,0.43119,0.44746,0.56061,0.54482,0.43926,0.46482,0.34664,0.32962,0.46498,0.51561,0.03642,0.07969,0.54493,0.64198,0.34611,0.34207,0.67055,0.8117,0.37697,0.31236,0.69831,0.93807,0.35239,0.36796,0.47542,0.56439,0.011,0.0,0.43922,0.43862,0.33931,0.33604,0.40526,0.42768,0.38866,0.35451,0.45233,0.48409,0.12029,0.11603,0.67061,0.8118,0.53904,0.47375,0.69832,0.93777,0.34358,0.35913,0.47542,0.56439
chicken,0.52205,0.52253,0.3856,0.39675,0.24461,0.22666,0.44765,0.48469,0.00879,0.05857,0.50773,0.62788,0.66273,0.73512,0.7767,1.0,0.03493,0.0483,0.50461,0.64005,0.38417,0.3862,0.3893,0.40179,0.52772,0.51626,0.41433,0.45379,0.32899,0.31185,0.43252,0.46815,0.03505,0.0831,0.49308,0.6138,0.32225,0.32459,0.63579,0.79369,0.34062,0.26602,0.60383,0.73721,0.34164,0.34855,0.44172,0.50837,0.00466,0.0,0.41763,0.41063,0.32161,0.31793,0.3806,0.3996,0.36318,0.33352,0.42591,0.45303,0.12814,0.11314,0.64961,0.80177,0.49408,0.41928,0.60387,0.73721,0.3333,0.34018,0.44173,0.50837
chicken,0.57835,0.57929,0.42149,0.4357,0.25816,0.23997,0.47649,0.53659,0.00405,0.01581,0.56572,0.72154,0.7541,0.8367,0.79932,1.0,0.02486,0.05563,0.53503,0.6616,0.42125,0.43252,0.42747,0.44863,0.57936,0.55917,0.46453,0.50908,0.3835,0.36724,0.44862,0.46782,0.05625,0.10962,0.55298,0.70954,0.32127,0.33953,0.65854,0.77143,0.3617,0.28862,0.58774,0.72534,0.37289,0.39023,0.47879,0.53392,0.00545,0.0,0.45164,0.45941,0.35106,0.35102,0.41462,0.4319,0.38195,0.35041,0.46131,0.49266,0.11176,0.11146,0.67721,0.75357,0.52737,0.45407,0.5878,0.72534,0.36388,0.3812,0.47878,0.53402
chicken,0.64814,0.65091,0.46496,0.48185,0.2923,0.27854,0.53969,0.62534,0.00641,0.0,0.61874,0.7339,0.92265,1.0,0.80761,0.99532,0.02156,0.07032,0.61588,0.77237,0.4757,0.49612,0.51353,0.53619,0.64653,0.62991,0.52422,0.54532,0.43917,0.43265,0.51532,0.54018,0.07976,0.13311,0.61358,0.74338,0.37711,0.41301,0.74294,0.76005,0.38878,0.34155,0.70643,0.84486,0.41766,0.45457,0.55466,0.63356,0.02286,0.00913,0.50797,0.51507,0.3995,0.39703,0.47657,0.50046,0.44087,0.40662,0.52367,0.56027,0.12033,0.15594,0.74299,0.7605,0.57309,0.52557,0.70647,0.84475,0.40763,0.44452,0.55464,0.63356
chicken,0.57526,0.5785,0.43429,0.44646,0.28143,0.25342,0.51028,0.58927,0.02244,0.0,0.56063,0.66274,0.74568,0.8436,0.84381,1.0,0.04388,0.04509,0.56112,0.69958,0.43615,0.438,0.48494,0.53482,0.57602,0.5785,0.46932,0.4995,0.39333,0.36856,0.51284,0.5149,0.08072,0.13587,0.56578,0.67442,0.35469,0.38446,0.7843,0.83766,0.38153,0.31361,0.71655,0.938,0.38753,0.40962,0.52103,0.58907,0.0423,0.0308,0.46918,0.47756,0.37109,0.37017,0.43945,0.4537,0.4133,0.38003,0.48534,0.53643,0.19115,0.16445,0.79528,0.85286,0.54406,0.47585,0.71658,0.9381,0.37869,0.40076,0.52102,0.58907
chicken,0.48201,0.48801,0.36601,0.3876,0.23137,0.20402,0.44475,0.49748,0.02285,0.0,0.49855,0.62037,0.61065,0.69167,0.73467,1.0,0.04846,0.06954,0.48825,0.57295,0.3536,0.36309,0.40784,0.45607,0.48875,0.49651,0.38975,0.4198,0.3304,0.31089,0.47561,0.47279,0.04467,0.10263,0.50429,0.58834,0.30825,0.27249,0.7824,0.95391,0.35789,0.32469,0.60721,0.81421,0.31617,0.30523,0.43022,0.47209,0.02142,0.01115,0.3963,0.40149,0.3095,0.30824,0.36736,0.37362,0.34654,0.31744,0.41416,0.45767,0.23817,0.15589,0.79065,0.92179,0.50076,0.46749,0.60723,0.81412,0.3084,0.29744,0.43021,0.47209
chicken,0.33185,0.33228,0.25178,0.26126,0.16142,0.14549,0.3079,0.32959,0.01296,0.0,0.35306,0.43982,0.44031,0.49925,0.50773,0.67608,0.02089,0.04989,0.37328,0.4653,0.24923,0.2578,0.27771,0.30572,0.33936,0.33132,0.28294,0.30757,0.23133,0.23178,0.33981,0.36624,0.05679,0.11291,0.34917,0.39088,0.1801,0.12962,0.58697,0.76547,0.22935,0.21949,0.37101,0.46046,0.22468,0.22295,0.29472,0.33174,0.02292,0.0142,0.28129,0.27606,0.21889,0.2183,0.26219,0.2698,0.2431,0.22283,0.29039,0.32333,0.21985,0.1542,0.60009,1.0,0.3257,0.31557,0.37102,0.46046,0.21944,0.2177,0.29472,0.33156
chicken,0.41293,0.41413,0.31751,0.32775,0.21052,0.19759,0.37547,0.40187,0.01986,0.0,0.43645,0.52336,0.5446,0.59027,0.62086,0.75892,0.03557,0.04833,0.47255,0.58197,0.31042,0.30983,0.34501,0.3755,0.42882,0.41531,0.35755,0.37902,0.28929,0.27325,0.41379,0.42926,0.07267,0.12605,0.43163,0.47201,0.24164,0.24563,0.7032,0.91354,0.29264,0.28412,0.45039,0.54348,0.29214,0.29117,0.36775,0.40701,0.03565,0.02189,0.36042,0.38042,0.27572,0.27957,0.33323,0.34487,0.30678,0.27898,0.3687,0.39731,0.25996,0.19289,0.72327,1.0,0.41122,0.40253,0.45042,0.54348,0.28569,0.285,0.36775,0.40701
chicken,0.4635,0.46023,0.35566,0.36711,0.24257,0.23305,0.42611,0.45814,0.03298,0.0,0.48987,0.62567,0.59431,0.63909,0.70988,0.86946,0.0461,0.03607,0.49619,0.61242,0.34656,0.34329,0.40644,0.45025,0.48595,0.47634,0.38801,0.40101,0.3318,0.29966,0.46243,0.49908,0.06367,0.12013,0.47935,0.5479,0.30946,0.29195,0.75277,0.96158,0.33877,0.32718,0.53148,0.65143,0.3237,0.30956,0.43655,0.46661,0.03375,0.01779,0.40544,0.42676,0.30737,0.3099,0.37814,0.38087,0.34432,0.31527,0.41924,0.43414,0.17311,0.12584,0.76868,1.0,0.47421,0.46258,0.53152,0.65143,0.31633,0.30218,0.43656,0.46661
chicken,0.4816,0.48115,0.37854,0.38647,0.25808,0.25034,0.46138,0.4878,0.04916,0.0,0.5134,0.63129,0.62873,0.73213,0.73944,1.0,0.0728,0.08419,0.5155,0.67667,0.37875,0.38784,0.43181,0.48988,0.5021,0.49636,0.40909,0.44058,0.36387,0.3387,0.49089,0.52573,0.12411,0.16567,0.48147,0.54086,0.27357,0.19512,0.77291,0.91997,0.34315,0.31677,0.59132,0.70764,0.33019,0.32701,0.47026,0.51253,0.06956,0.05586,0.42088,0.41833,0.33231,0.33373,0.40141,0.3996,0.36726,0.3419,0.43703,0.45514,0.17684,0.0493,0.80419,0.9571,0.47237,0.44578,0.59135,0.70764,0.32315,0.31997,0.47026,0.51253
chicken,0.40673,0.40464,0.31518,0.33147,0.19651,0.19316,0.37548,0.40528,0.02217,0.0,0.42992,0.50422,0.56267,0.62901,0.57924,0.77191,0.05074,0.06701,0.44044,0.54539,0.29144,0.28737,0.36637,0.40557,0.42044,0.41924,0.33401,0.35861,0.28845,0.2732,0.42056,0.42805,0.07284,0.10137,0.40973,0.43843,0.23841,0.1691,0.67577,0.77635,0.29693,0.28308,0.49943,0.62564,0.26232,0.26489,0.36827,0.42361,0.0318,0.02105,0.33582,0.33627,0.2638,0.26532,0.31963,0.32174,0.29527,0.27763,0.35123,0.37027,0.19661,0.08462,0.7023,1.0,0.41252,0.39877,0.49945,0.62557,0.25604,0.25873,0.36827,0.42361
chicken,0.38801,0.3859,0.29629,0.31668,0.18091,0.16776,0.35104,0.3679,0.02541,0.0,0.40685,0.48046,0.47969,0.57585,0.58464,0.76783,0.03938,0.04452,0.41746,0.50454,0.27356,0.26783,0.34356,0.36385,0.40298,0.39763,0.31383,0.33224,0.26456,0.26267,0.396,0.41249,0.05231,0.0783,0.40181,0.44033,0.23836,0.15799,0.64979,0.8307,0.28415,0.2635,0.42441,0.50028,0.24892,0.23001,0.33934,0.36797,0.01957,0.00949,0.31132,0.3157,0.247,0.25066,0.29462,0.29784,0.27877,0.25736,0.33005,0.3642,0.16855,0.06713,0.66889,1.0,0.3968,0.37599,0.42445,0.50035,0.2428,0.22387,0.33934,0.36797
