Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
cowboy,0.17592,0.15798,0.25542,0.25818,0.18079,0.23754,0.42853,0.69514,0.26221,0.32033,0.42283,0.61485,0.22488,0.22979,0.35429,0.39395,0.21548,0.26783,0.52984,1.0,0.25424,0.30636,0.5232,0.8952,0.05732,0.06348,0.21325,0.21723,0.2658,0.26759,0.22374,0.21703,0.1647,0.17753,0.22733,0.2201,0.00784,0.0,0.27537,0.31375,0.28296,0.27534,0.22349,0.23952,0.11868,0.1172,0.22221,0.22902,0.06379,0.04951,0.31937,0.37836,0.19823,0.17341,0.29716,0.28378,0.22016,0.19724,0.31465,0.36197,0.00784,0.0,0.27537,0.31375,0.28296,0.27534,0.22349,0.23952,0.11868,0.1172,0.22221,0.22902
cowboy,0.15061,0.14198,0.23668,0.25043,0.19647,0.25047,0.42916,0.69268,0.23613,0.2856,0.42661,0.62487,0.20916,0.21094,0.33964,0.38801,0.22539,0.29008,0.5253,1.0,0.22717,0.25666,0.5253,0.93887,0.05542,0.06056,0.21204,0.21571,0.26767,0.26783,0.21646,0.21807,0.16499,0.17092,0.21423,0.21342,0.0173,0.0,0.26582,0.27048,0.27762,0.27296,0.2297,0.24154,0.12326,0.12234,0.22426,0.24289,0.06953,0.05754,0.31403,0.37314,0.19475,0.16913,0.28709,0.2717,0.21782,0.19227,0.30171,0.32366,0.0173,0.0,0.26582,0.27048,0.27762,0.27296,0.2297,0.24154,0.12326,0.12234,0.22426,0.24289
cowboy,0.17111,0.16535,0.24217,0.26606,0.19126,0.24554,0.43017,0.68347,0.22474,0.26388,0.4322,0.65531,0.23129,0.23216,0.34335,0.41844,0.22737,0.30963,0.53527,1.0,0.2133,0.24025,0.52478,0.94945,0.05486,0.05534,0.21921,0.22312,0.2722,0.27593,0.21828,0.22642,0.17113,0.17278,0.21204,0.21713,0.0133,0.0,0.2886,0.28456,0.28432,0.27973,0.24697,0.2621,0.12128,0.11596,0.22734,0.24988,0.07487,0.05063,0.32056,0.37459,0.20562,0.19012,0.29198,0.26701,0.21602,0.18797,0.30917,0.33189,0.0133,0.0,0.2886,0.28456,0.28432,0.27973,0.24697,0.2621,0.12128,0.11596,0.22734,0.24988
cowboy,0.19095,0.17594,0.23518,0.264,0.16671,0.19989,0.4169,0.65185,0.20842,0.23648,0.42435,0.65008,0.24447,0.25017,0.32776,0.42357,0.19231,0.17447,0.53385,1.0,0.19822,0.19399,0.51464,0.90629,0.05052,0.04905,0.21515,0.21511,0.2646,0.27084,0.21426,0.21343,0.168,0.17159,0.20752,0.21224,0.00664,0.0,0.30062,0.31243,0.27704,0.26953,0.24334,0.26506,0.11521,0.11287,0.2218,0.23352,0.0559,0.03519,0.31263,0.32925,0.20945,0.18677,0.30393,0.26363,0.2187,0.18546,0.31285,0.35041,0.00664,0.0,0.30062,0.31243,0.27704,0.26953,0.24334,0.26506,0.11521,0.11287,0.2218,0.23352
cowboy,0.20674,0.19809,0.26646,0.29659,0.16141,0.16084,0.43453,0.69687,0.22643,0.25128,0.44682,0.66511,0.27257,0.27242,0.3393,0.43032,0.17364,0.08784,0.55196,1.0,0.21907,0.21361,0.5436,0.9677,0.0606,0.0594,0.22564,0.22376,0.2794,0.28769,0.2323,0.22636,0.18283,0.18693,0.22193,0.22481,0.0142,0.0,0.29621,0.28589,0.29155,0.29524,0.24747,0.26638,0.13137,0.12619,0.24381,0.25719,0.07095,0.05646,0.32532,0.34323,0.22356,0.20228,0.31648,0.26617,0.23955,0.21394,0.32874,0.35649,0.0142,0.0,0.29621,0.28589,0.29155,0.29524,0.24747,0.26638,0.13137,0.12619,0.24381,0.25719
cowboy,0.22401,0.21295,0.28347,0.32526,0.16742,0.17908,0.44025,0.69501,0.25962,0.3047,0.44952,0.62962,0.28085,0.2881,0.35523,0.43365,0.18486,0.1312,0.56265,1.0,0.2613,0.28526,0.54747,0.91567,0.07144,0.07248,0.23911,0.2383,0.29164,0.29886,0.24229,0.23868,0.19811,0.20252,0.23484,0.23755,0.01686,0.0,0.28457,0.28622,0.30481,0.29844,0.25153,0.26207,0.15055,0.15197,0.25078,0.2612,0.09359,0.08099,0.337,0.39165,0.23393,0.21762,0.31707,0.28368,0.2509,0.23321,0.33268,0.3409,0.01686,0.0,0.28457,0.28622,0.30481,0.29844,0.25153,0.26207,0.15055,0.15197,0.25078,0.2612
cowboy,0.21996,0.22224,0.24673,0.27376,0.16756,0.18355,0.39787,0.58405,0.23559,0.26798,0.39986,0.53019,0.24387,0.25938,0.30618,0.35107,0.2003,0.2306,0.53043,1.0,0.24652,0.29036,0.50169,0.80305,0.04832,0.05066,0.21915,0.22191,0.26194,0.26741,0.21884,0.21249,0.17231,0.17502,0.21015,0.21384,0.01184,0.0,0.26896,0.26089,0.26584,0.26438,0.23051,0.23388,0.13755,0.13756,0.21983,0.22736,0.07673,0.07312,0.32188,0.38788,0.20782,0.19314,0.29969,0.25368,0.21599,0.21134,0.30939,0.31315,0.01184,0.0,0.26896,0.26089,0.26584,0.26438,0.23051,0.23388,0.13755,0.13756,0.21983,0.22736
cowboy,0.22492,0.22164,0.25566,0.27857,0.20092,0.24794,0.41245,0.57065,0.23206,0.27643,0.43025,0.58649,0.23407,0.23529,0.31767,0.37328,0.24566,0.299,0.55839,1.0,0.23321,0.25486,0.54512,0.93387,0.03694,0.04078,0.22741,0.22878,0.26599,0.27497,0.23459,0.22018,0.16855,0.1733,0.21879,0.219,0.02529,0.0,0.29413,0.27338,0.26176,0.27279,0.24443,0.24917,0.13495,0.13207,0.23781,0.2402,0.06933,0.06963,0.34602,0.43021,0.21469,0.19752,0.31138,0.28189,0.20609,0.19624,0.32769,0.32449,0.02529,0.0,0.29413,0.27338,0.26176,0.27279,0.24443,0.24917,0.13495,0.13207,0.23781,0.2402
cowboy,0.20139,0.19795,0.24929,0.26056,0.18188,0.22493,0.40837,0.63397,0.21169,0.2626,0.41651,0.60792,0.22021,0.20312,0.31491,0.35966,0.23392,0.30545,0.53799,1.0,0.19438,0.18734,0.52218,0.90701,0.04305,0.04522,0.21778,0.21861,0.25908,0.26956,0.23417,0.21649,0.16737,0.17258,0.21694,0.21835,0.01018,0.0,0.30076,0.29268,0.26215,0.27227,0.23485,0.22968,0.12002,0.1243,0.22925,0.22815,0.06176,0.05795,0.32393,0.37209,0.2122,0.19235,0.29591,0.29374,0.20344,0.18777,0.31145,0.33082,0.01018,0.0,0.30076,0.29268,0.26215,0.27227,0.23485,0.22968,0.12002,0.1243,0.22925,0.22815
cowboy,0.20873,0.20148,0.2578,0.28099,0.16304,0.18781,0.39745,0.613,0.20153,0.24297,0.4086,0.58546,0.23202,0.22222,0.29838,0.34266,0.20567,0.25261,0.53118,1.0,0.17939,0.13724,0.50605,0.87028,0.05463,0.05531,0.22026,0.22415,0.26088,0.26829,0.23259,0.21583,0.1761,0.18508,0.21949,0.22234,0.01433,0.0,0.29362,0.28783,0.2652,0.27641,0.23488,0.23565,0.12517,0.13121,0.22197,0.2293,0.0703,0.06311,0.30887,0.32477,0.21628,0.1969,0.28945,0.26761,0.21227,0.19609,0.30556,0.31862,0.01433,0.0,0.29362,0.28783,0.2652,0.27641,0.23488,0.23565,0.12517,0.13121,0.22197,0.2293
