id,acc_rh_x,acc_rh_y,acc_rh_z,gyro_rh_x,gyro_rh_y,gyro_rh_z,acc_lh_x,acc_lh_y,acc_lh_z,gyro_lh_x,gyro_lh_y,gyro_lh_z,acc_leg_x,acc_leg_y,acc_leg_z,gyro_leg_x,gryo_leg_y,gryo_leg_z
1,59,-21,12,576,914,-653,-134,617,-1234,-1588,524,-474,-1148,361,259,-1588,524,-474
2,-82,-197,-246,677,1592,-796,214,1073,-1176,368,315,15,-745,251,225,368,315,15
3,425,-224,-341,-139,184,-500,214,13,-1244,469,229,84,-536,160,182,469,229,84
4,747,94,-265,-470,-1616,-117,207,130,-1151,-441,723,-77,-551,31,138,-441,723,-77
5,440,-2,-742,-387,-2500,262,166,338,-811,-617,970,-27,-467,57,126,-617,970,-27
6,159,-41,-1074,-454,-2500,515,136,417,-653,-333,964,74,-297,111,132,-333,964,74
7,-130,172,-1581,-154,-2333,736,140,696,-672,599,909,347,-583,-160,31,599,909,347
8,-12,-88,-2000,14,-1787,684,50,204,-406,1310,858,428,-1098,-249,-5,1310,858,428
9,29,-178,-2000,362,-1111,413,114,-169,-140,462,988,450,-1345,394,-345,462,988,450
10,-44,-54,-2000,244,-364,334,112,-136,393,-693,1021,455,-1214,721,-248,-693,1021,455
11,-222,77,-2000,382,-45,357,450,-44,843,-1222,441,335,-1113,271,46,-1222,441,335
12,-469,-210,-1540,380,-109,-39,569,195,56,-688,19,208,-1153,189,188,-688,19,208
13,-141,-121,-1502,622,70,62,190,264,-735,243,-747,251,-903,448,121,243,-747,251
14,-348,-693,-1493,429,234,80,753,219,-742,1431,-1509,160,-684,175,102,1431,-1509,160
15,-293,-500,-1351,-586,788,-106,290,-19,-796,1756,-1640,-45,-544,-112,113,1756,-1640,-45
16,-160,-106,-1022,-688,1123,-188,144,-13,-891,956,-1623,-173,-458,-11,183,956,-1623,-173
17,-70,15,-771,-333,1310,-225,204,-181,-1283,137,-1149,-173,-333,-24,155,137,-1149,-173
18,6,-42,-625,-181,1352,-153,319,-255,-1723,-856,-345,-251,-656,-504,-210,-856,-345,-251
19,-67,-150,-469,-282,1366,-112,328,-66,-1319,-1616,-24,-416,-1424,244,204,-1616,-24,-416
20,32,12,-136,-188,1273,-104,330,490,-889,-1319,-35,-253,-1224,833,-406,-1319,-35,-253
21,156,29,216,183,1006,-131,224,219,-963,-106,-350,-202,-1331,268,-212,-106,-350,-202
22,266,-141,485,507,369,-280,240,31,-1198,361,-296,-31,-1129,106,124,361,-296,-31
23,-51,-142,9,524,540,-535,76,-244,-1702,-220,-190,-289,-972,419,209,-220,-190,-289
24,-104,-324,-270,255,1206,-666,180,371,-1942,-383,192,-322,-753,283,195,-383,192,-322
25,522,-205,-401,-320,-146,-427,228,509,-1755,-164,590,-38,-588,34,136,-164,590,-38
26,738,28,-476,-487,-1812,-150,227,441,-1458,-175,888,74,-508,19,166,-175,888,74
27,334,68,-1068,-360,-2500,215,76,442,-1059,50,1082,208,-385,72,140,50,1082,208
28,173,35,-1485,-456,-2284,460,-21,289,-740,247,1141,301,-234,55,-47,247,1141,301
29,128,44,-2000,-167,-1767,403,-63,191,-471,267,1291,326,-966,-337,62,267,1291,326
30,0,12,-2000,234,-984,300,-29,-22,-55,-53,1335,350,-1795,513,-210,-53,1335,350
31,67,-18,-2000,271,-507,273,223,-96,680,-676,1138,270,-1143,655,-374,-676,1138,270
32,-258,-445,-1750,-179,-305,186,411,-147,965,-957,384,130,-1087,345,-20,-957,384,130
33,-42,412,-1735,-658,22,264,580,174,431,-549,-229,112,-1158,253,182,-549,-229,112
34,-510,96,-1902,415,-276,286,310,297,-489,835,-476,242,-981,374,99,835,-476,242
35,-599,-362,-1841,248,438,210,187,-118,-526,1308,-1297,-109,-673,151,87,1308,-1297,-109
36,-241,-372,-1524,-557,942,-148,586,-76,-703,858,-1417,-139,-630,-93,118,858,-1417,-139
37,25,198,-1128,-579,1276,-158,211,95,-1140,122,-1423,-201,-516,-42,202,122,-1423,-201
38,-85,119,-931,35,1417,36,279,118,-1445,-382,-1084,-223,-341,-54,155,-382,-1084,-223
39,-103,-308,-885,-60,1539,-12,384,74,-1593,-709,-411,-235,-486,-534,-246,-709,-411,-235
40,-137,-231,-522,-690,1611,12,418,-118,-1294,-835,13,-392,-1192,282,198,-835,13,-392
41,7,257,-99,-311,1421,64,376,383,-481,-522,-206,-258,-1298,905,-307,-522,-206,-258
42,219,227,295,739,1121,46,234,630,-869,349,-605,219,-1254,239,-260,349,-605,219
43,400,-98,494,1237,606,-87,256,-153,-1146,151,-426,29,-1292,230,117,151,-426,29
44,250,-238,167,1047,712,-341,121,220,-1630,-259,-213,-219,-907,525,195,-259,-213,-219
45,-123,-242,-118,383,1401,-568,151,560,-1949,529,-50,-114,-735,216,223,529,-50,-114
46,519,-103,-130,-432,214,-300,236,-7,-1872,443,370,88,-574,-48,191,443,370,88
47,573,13,-138,-538,-1529,-68,221,-15,-1575,-129,829,18,-379,23,201,-129,829,18
48,377,11,-421,-355,-2500,185,108,260,-1174,-289,1099,64,-321,33,133,-289,1099,64
49,-44,-49,-1079,-459,-2500,544,-7,237,-720,-12,1207,150,-529,-213,-355,-12,1207,150
50,-32,79,-1604,-5,-2017,437,-32,157,-385,139,1226,188,-1122,26,143,139,1226,188
51,76,66,-2000,471,-1207,312,50,92,-56,-30,1167,209,-1194,386,-185,-30,1167,209
52,252,26,-2000,293,-805,228,296,11,300,-378,953,251,-1356,468,-419,-378,953,251
53,19,-259,-2000,507,-526,252,520,-16,622,-390,399,225,-1154,315,-46,-390,399,225
54,-350,-204,-1919,-154,-541,181,433,-139,522,-173,-169,103,-1095,253,120,-173,-169,103
55,-51,-156,-2000,-538,-268,9,11,180,-167,42,-58,169,-993,339,134,42,-58,169
56,-302,53,-2000,-558,114,213,455,253,-45,246,-1326,133,-722,236,90,246,-1326,133
57,-330,-49,-1961,-163,730,101,241,-87,-564,269,-1726,-23,-542,0,32,269,-1726,-23
58,-296,121,-1420,-326,1083,-157,104,-197,-822,1,-1610,-333,-568,-16,132,1,-1610,-333
