Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
mermaid,0.28448,0.27442,0.3579,0.37356,0.26235,0.26687,0.33538,0.34577,0.0,0.00562,0.52659,0.76669,0.27389,0.27561,0.41369,0.50507,0.25388,0.33385,0.68931,1.0,0.27512,0.26983,0.37076,0.39001,0.33435,0.33725,0.33124,0.34511,0.32604,0.32229,0.35751,0.39312,0.03181,0.01244,0.50671,0.56056,0.24608,0.23086,0.46594,0.48232,0.29675,0.28094,0.55656,0.68593,0.28652,0.28761,0.35476,0.39016,0.02184,0.02859,0.38593,0.45573,0.32704,0.31977,0.36303,0.37171,0.28424,0.30643,0.33055,0.33318,0.24608,0.23086,0.46594,0.48232,0.29675,0.28094,0.55656,0.68593,0.28652,0.28761,0.35476,0.39016
mermaid,0.28908,0.27989,0.37564,0.38628,0.29104,0.29217,0.35438,0.36201,0.01187,0.0,0.552,0.81785,0.30556,0.32119,0.42565,0.49512,0.27735,0.32371,0.70222,1.0,0.29681,0.30347,0.37986,0.38433,0.34284,0.33584,0.35347,0.38335,0.34013,0.33515,0.37321,0.39438,0.08616,0.06432,0.53584,0.69778,0.26741,0.24948,0.43828,0.455,0.31807,0.33417,0.58763,0.70413,0.31392,0.32608,0.38511,0.42152,0.05063,0.04786,0.40064,0.4527,0.3497,0.3371,0.38756,0.39947,0.3023,0.31882,0.34501,0.34701,0.26741,0.24948,0.43828,0.455,0.31807,0.33417,0.58763,0.70413,0.31392,0.32608,0.38511,0.42152
mermaid,0.33393,0.32071,0.43455,0.45381,0.3472,0.34311,0.41642,0.42214,0.05298,0.0,0.60293,0.89528,0.35656,0.36065,0.4937,0.5576,0.35866,0.42,0.75502,1.0,0.34381,0.34995,0.42939,0.43862,0.39259,0.38961,0.4119,0.43676,0.38365,0.38476,0.42733,0.45025,0.13278,0.10414,0.59142,0.74285,0.33154,0.29802,0.51341,0.60532,0.34008,0.34368,0.66825,0.86468,0.35591,0.3675,0.44667,0.50317,0.10188,0.11356,0.45235,0.49775,0.40198,0.38904,0.44284,0.45331,0.35748,0.37078,0.39316,0.38776,0.33154,0.29802,0.51341,0.60532,0.34008,0.34368,0.66825,0.86468,0.35591,0.3675,0.44667,0.50317
mermaid,0.3039,0.30023,0.39354,0.41933,0.31268,0.30244,0.38849,0.39738,0.0,0.02333,0.5618,0.82995,0.30249,0.29328,0.49166,0.57516,0.33246,0.4563,0.73483,1.0,0.29956,0.3015,0.38051,0.38245,0.35826,0.35773,0.37042,0.38672,0.34219,0.33688,0.38561,0.39153,0.04373,0.02917,0.54833,0.68739,0.29139,0.26137,0.49695,0.63061,0.27322,0.21177,0.64453,0.8963,0.30073,0.30339,0.41116,0.46412,0.03284,0.05302,0.42102,0.46064,0.36095,0.34493,0.40076,0.40662,0.30875,0.32124,0.35403,0.34794,0.29139,0.26137,0.49695,0.63061,0.27322,0.21177,0.64453,0.8963,0.30073,0.30339,0.41116,0.46412
mermaid,0.33498,0.32819,0.40773,0.42129,0.33329,0.32334,0.42349,0.44184,0.0,0.03804,0.56473,0.80696,0.31612,0.33337,0.56149,0.65896,0.35064,0.45405,0.73371,1.0,0.3285,0.33404,0.39876,0.39722,0.38568,0.38084,0.38176,0.39129,0.35641,0.34624,0.40796,0.41861,0.04856,0.06595,0.5561,0.6735,0.30768,0.26518,0.55632,0.676,0.29729,0.2259,0.65626,0.94986,0.32394,0.31499,0.42476,0.47385,0.03441,0.0454,0.44917,0.50736,0.38753,0.37549,0.41526,0.44636,0.32821,0.34424,0.37574,0.37014,0.30768,0.26518,0.55632,0.676,0.29729,0.2259,0.65626,0.94986,0.32394,0.31499,0.42476,0.47385
mermaid,0.3221,0.31321,0.39763,0.40804,0.31872,0.31544,0.409,0.43374,0.0,0.02553,0.53079,0.72701,0.31036,0.33939,0.55137,0.6305,0.33512,0.33779,0.70541,1.0,0.31467,0.32614,0.38867,0.39367,0.36169,0.35727,0.36276,0.37459,0.34034,0.3255,0.39578,0.41714,0.05653,0.0739,0.52539,0.56736,0.28562,0.2294,0.56115,0.67576,0.29,0.18246,0.63308,0.92856,0.31419,0.29836,0.41084,0.43574,0.03434,0.03239,0.42363,0.4877,0.37439,0.35823,0.40117,0.41418,0.3209,0.33684,0.35752,0.33923,0.28562,0.2294,0.56115,0.67576,0.29,0.18246,0.63308,0.92856,0.31419,0.29836,0.41084,0.43574
mermaid,0.30869,0.29216,0.38424,0.40148,0.29532,0.29528,0.37798,0.39198,0.0,0.0132,0.50438,0.69618,0.29004,0.32317,0.50762,0.59379,0.28912,0.28094,0.69817,1.0,0.29194,0.29793,0.36412,0.38263,0.33808,0.33923,0.33561,0.34702,0.34489,0.3171,0.39071,0.41995,0.01931,0.03502,0.49691,0.59683,0.2491,0.21284,0.54116,0.65699,0.28862,0.22375,0.58101,0.79974,0.28813,0.28047,0.40317,0.44302,0.02148,0.03954,0.39715,0.45486,0.34823,0.33299,0.37636,0.38309,0.29956,0.31476,0.33351,0.31476,0.2491,0.21284,0.54116,0.65699,0.28862,0.22375,0.58101,0.79974,0.28813,0.28047,0.40317,0.44302
mermaid,0.32933,0.31398,0.40314,0.39427,0.30525,0.307,0.38458,0.38791,0.00754,0.0,0.53668,0.74144,0.30523,0.30525,0.49209,0.54753,0.28078,0.29159,0.72868,1.0,0.30508,0.30414,0.38681,0.41579,0.36051,0.36242,0.36008,0.37934,0.3803,0.3521,0.42358,0.45343,0.02878,0.01556,0.52188,0.61336,0.27355,0.27333,0.5794,0.70094,0.31955,0.29429,0.59583,0.76455,0.31093,0.30541,0.43032,0.50671,0.04017,0.06369,0.43379,0.49099,0.3683,0.35385,0.39035,0.42285,0.31722,0.33304,0.36053,0.34051,0.27355,0.27333,0.5794,0.70094,0.31955,0.29429,0.59583,0.76455,0.31093,0.30541,0.43032,0.50671
mermaid,0.39921,0.39672,0.47542,0.4685,0.37743,0.38019,0.4473,0.45212,0.08536,0.0,0.6212,0.81936,0.40448,0.39643,0.54014,0.58712,0.36917,0.40625,0.77053,1.0,0.38744,0.36485,0.47576,0.52606,0.44073,0.44036,0.44232,0.46426,0.46373,0.44423,0.4916,0.53343,0.159,0.13775,0.58946,0.69322,0.36848,0.35934,0.6322,0.6895,0.40855,0.41668,0.6562,0.73202,0.40848,0.40477,0.51192,0.58734,0.13718,0.14371,0.51023,0.56299,0.45321,0.43961,0.4676,0.49181,0.40204,0.41102,0.45285,0.43879,0.36848,0.35934,0.6322,0.6895,0.40855,0.41668,0.6562,0.73202,0.40848,0.40477,0.51192,0.58734
mermaid,0.40208,0.39888,0.48458,0.50238,0.37532,0.37867,0.45917,0.46493,0.04956,0.0,0.6463,0.86662,0.4109,0.41552,0.55831,0.62464,0.4173,0.53405,0.77335,1.0,0.39273,0.37205,0.49332,0.55629,0.45611,0.45695,0.44948,0.4623,0.49687,0.47937,0.50488,0.52216,0.13159,0.12294,0.59389,0.6822,0.36695,0.34505,0.65744,0.72686,0.39511,0.38529,0.65773,0.73884,0.40617,0.40363,0.52952,0.60842,0.10864,0.10613,0.5212,0.60205,0.47069,0.45644,0.49378,0.50985,0.42349,0.42231,0.46382,0.47198,0.36695,0.34505,0.65744,0.72686,0.39511,0.38529,0.65773,0.73884,0.40617,0.40363,0.52952,0.60842
