Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
number7,0.06919,0.02826,0.44891,0.40483,0.13027,0.14379,0.40394,0.4286,0.14744,0.16849,0.38941,0.39903,0.37041,0.3336,0.67086,0.83719,0.19573,0.24909,0.48572,0.5068,0.52862,0.39886,0.73275,0.97938,0.31989,0.31299,0.53284,0.62659,0.57197,0.61594,0.48863,0.50689,0.29616,0.31605,0.42374,0.45858,0.39473,0.41335,0.61141,0.71613,0.16599,0.15912,0.51857,0.61628,0.48282,0.59498,0.82111,1.0,0.0,0.00662,0.37001,0.33292,0.32272,0.31708,0.40496,0.36385,0.33426,0.31418,0.37193,0.3831,0.39473,0.41335,0.61141,0.71613,0.16599,0.15912,0.51857,0.61628,0.48282,0.59498,0.82111,1.0
number7,0.21511,0.08249,0.57099,0.77268,0.1092,0.152,0.57902,0.57867,0.1968,0.20603,0.4988,0.45656,0.36918,0.3945,0.64875,0.79349,0.27717,0.30456,0.59491,0.578,0.16539,0.30705,0.80611,0.94615,0.28832,0.22169,0.62094,0.74947,0.57093,0.55681,0.53528,0.56578,0.27239,0.26026,0.44712,0.45961,0.30154,0.22799,0.75046,0.99303,0.36708,0.37369,0.50515,0.54287,0.14411,0.24384,0.80984,1.0,0.00251,0.0,0.43221,0.39488,0.37225,0.35116,0.45253,0.40978,0.35773,0.3376,0.46523,0.40558,0.30154,0.22799,0.75046,0.99303,0.36708,0.37369,0.50515,0.54287,0.14411,0.24384,0.80984,1.0
number7,0.19907,0.19158,0.49859,0.66054,0.09332,0.12989,0.49059,0.46049,0.16041,0.19972,0.43182,0.42053,0.37163,0.38561,0.62644,0.71799,0.21523,0.28209,0.56479,0.70571,0.3812,0.41996,0.7815,0.88077,0.09485,0.06006,0.39226,0.39041,0.53114,0.53634,0.4421,0.49915,0.24673,0.23032,0.36032,0.37129,0.23908,0.2326,0.55408,0.70847,0.22148,0.23244,0.47938,0.5483,0.45084,0.36119,0.75148,1.0,0.00135,0.0,0.37947,0.38301,0.31667,0.29967,0.40672,0.39774,0.32232,0.30471,0.40883,0.40799,0.23908,0.2326,0.55408,0.70847,0.22148,0.23244,0.47938,0.5483,0.45084,0.36119,0.75148,1.0
number7,0.03783,0.0248,0.27979,0.27147,0.06395,0.08354,0.28324,0.29077,0.13326,0.13786,0.25691,0.2563,0.22813,0.22784,0.45996,0.59392,0.14451,0.18653,0.35396,0.3937,0.22523,0.27175,0.51995,0.45403,0.18022,0.1502,0.36331,0.3894,0.38457,0.39682,0.36805,0.43937,0.18873,0.20317,0.29107,0.32382,0.23478,0.21347,0.47838,0.55204,0.15402,0.16186,0.35412,0.37158,0.28164,0.35415,0.6135,1.0,0.0,0.00386,0.24193,0.22043,0.20784,0.21324,0.26521,0.23571,0.22523,0.21177,0.252,0.25025,0.23478,0.21347,0.47838,0.55204,0.15402,0.16186,0.35412,0.37158,0.28164,0.35415,0.6135,1.0
number7,0.20249,0.14997,0.47672,0.62318,0.0864,0.10764,0.51148,0.59243,0.17618,0.17361,0.44669,0.42593,0.1998,0.16237,0.57319,0.68204,0.21434,0.22801,0.53977,0.62426,0.17035,0.19974,0.79748,1.0,0.20885,0.10351,0.51873,0.52108,0.53761,0.52034,0.4841,0.47784,0.24048,0.25281,0.39615,0.38335,0.27931,0.31052,0.7185,0.9857,0.30256,0.28092,0.48469,0.59119,0.14364,0.21974,0.71171,0.86343,0.00069,0.0,0.39125,0.34358,0.31976,0.3039,0.39254,0.37021,0.33762,0.31515,0.40545,0.39864,0.27931,0.31052,0.7185,0.9857,0.30256,0.28092,0.48469,0.59119,0.14364,0.21974,0.71171,0.86343
number7,0.16375,0.06022,0.47358,0.61244,0.10257,0.11239,0.46785,0.45714,0.14949,0.17374,0.42194,0.41838,0.371,0.33879,0.61227,0.79001,0.24924,0.31612,0.52665,0.62377,0.39808,0.36194,0.69829,0.67245,0.18953,0.10367,0.45995,0.49567,0.49583,0.51208,0.48444,0.45231,0.25019,0.24319,0.37525,0.39404,0.17068,0.22892,0.57024,0.73943,0.18738,0.21449,0.4911,0.55211,0.42857,0.33324,0.72003,1.0,0.0,0.00362,0.37267,0.33078,0.29389,0.28599,0.39342,0.36804,0.32118,0.30676,0.39192,0.40427,0.17068,0.22892,0.57024,0.73943,0.18738,0.21449,0.4911,0.55211,0.42857,0.33324,0.72003,1.0
number7,0.06704,0.02513,0.31086,0.35119,0.04761,0.04163,0.2957,0.33307,0.14052,0.14339,0.26895,0.26025,0.30205,0.28522,0.41085,0.49717,0.11475,0.16842,0.37374,0.42844,0.12965,0.21285,0.52581,0.68651,0.17907,0.17705,0.34366,0.37027,0.36489,0.36151,0.36573,0.41728,0.18027,0.19119,0.28062,0.30283,0.12844,0.09975,0.45578,0.63529,0.18635,0.21217,0.37433,0.39585,0.19039,0.11557,0.60317,1.0,0.00018,0.0,0.23459,0.21795,0.19875,0.20365,0.27509,0.22957,0.2339,0.21285,0.26829,0.25969,0.12844,0.09975,0.45578,0.63529,0.18635,0.21217,0.37433,0.39585,0.19039,0.11557,0.60317,1.0
number7,0.13489,0.14692,0.33158,0.41252,0.03405,0.00815,0.37501,0.37609,0.12817,0.15238,0.33294,0.35132,0.20815,0.20656,0.42895,0.53279,0.13591,0.13857,0.44039,0.59806,0.16409,0.15319,0.62246,1.0,0.11565,0.06756,0.32249,0.36013,0.41089,0.39535,0.30119,0.33501,0.18058,0.18858,0.26157,0.26586,0.18116,0.18753,0.4665,0.66374,0.18263,0.19658,0.39287,0.45441,0.22484,0.19043,0.55992,0.68166,0.0,0.00304,0.28336,0.25913,0.22435,0.2177,0.29373,0.29092,0.24722,0.22838,0.30651,0.28947,0.18116,0.18753,0.4665,0.66374,0.18263,0.19658,0.39287,0.45441,0.22484,0.19043,0.55992,0.68166
number7,0.0966,0.03801,0.46292,0.47858,0.09867,0.12827,0.52021,0.45269,0.17035,0.20425,0.45939,0.4063,0.27125,0.28359,0.73736,0.96739,0.30206,0.31805,0.57574,0.6723,0.45181,0.40663,0.68517,0.63179,0.30505,0.32208,0.52749,0.60103,0.55811,0.57641,0.5221,0.58187,0.27438,0.28712,0.40952,0.45319,0.3211,0.31973,0.68355,0.85426,0.23604,0.25098,0.55463,0.59154,0.45903,0.44025,0.79438,1.0,0.0,0.00422,0.4097,0.33746,0.32267,0.31116,0.4084,0.36595,0.32686,0.31116,0.42357,0.37974,0.3211,0.31973,0.68355,0.85426,0.23604,0.25098,0.55463,0.59154,0.45903,0.44025,0.79438,1.0
number7,0.11391,0.02823,0.48245,0.4515,0.08965,0.1234,0.47207,0.4995,0.19918,0.20196,0.39557,0.37801,0.23422,0.20345,0.67769,0.82229,0.26856,0.30958,0.44514,0.47891,0.10064,0.24298,0.66312,0.87743,0.25866,0.25561,0.53872,0.6107,0.51694,0.49062,0.50898,0.49003,0.25027,0.26806,0.40359,0.44295,0.25721,0.23368,0.70662,1.0,0.35312,0.36157,0.5106,0.5622,0.05535,0.12274,0.76065,0.96271,0.00317,0.0,0.34768,0.31639,0.31294,0.3051,0.36463,0.34396,0.32556,0.30144,0.36814,0.36024,0.25721,0.23368,0.70662,1.0,0.35312,0.36157,0.5106,0.5622,0.05535,0.12274,0.76065,0.96271
number7,0.10704,0.02469,0.44249,0.56273,0.07844,0.09653,0.44195,0.45267,0.15667,0.17595,0.37307,0.36841,0.377,0.29523,0.56146,0.78984,0.19976,0.2701,0.43669,0.52845,0.24409,0.30683,0.74719,1.0,0.08602,0.0528,0.36413,0.36625,0.49276,0.48531,0.39787,0.41452,0.23566,0.23678,0.34731,0.36819,0.2286,0.21403,0.54919,0.70618,0.17685,0.2051,0.50126,0.5483,0.27979,0.24749,0.73958,0.89276,0.00032,0.0,0.34367,0.31918,0.28206,0.27634,0.37095,0.36335,0.30303,0.27798,0.36999,0.37332,0.2286,0.21403,0.54919,0.70618,0.17685,0.2051,0.50126,0.5483,0.27979,0.24749,0.73958,0.89276
number7,0.02883,0.02033,0.27618,0.25493,0.06259,0.08278,0.32234,0.3082,0.14281,0.14156,0.27318,0.2481,0.27254,0.22101,0.46837,0.63395,0.13083,0.15236,0.34723,0.42157,0.25174,0.23065,0.51586,0.46835,0.16427,0.10839,0.38139,0.41066,0.38816,0.39516,0.36565,0.41313,0.19261,0.20115,0.28008,0.28708,0.22525,0.2101,0.40473,0.53976,0.1414,0.16625,0.36234,0.38839,0.24305,0.29724,0.61171,1.0,0.0,0.00667,0.27056,0.22962,0.22111,0.21641,0.28238,0.24959,0.22774,0.21171,0.28409,0.27393,0.22525,0.2101,0.40473,0.53976,0.1414,0.16625,0.36234,0.38839,0.24305,0.29724,0.61171,1.0
number7,0.18568,0.1176,0.48971,0.62007,0.05956,0.06158,0.54608,0.55336,0.19101,0.20179,0.45577,0.42576,0.21505,0.19675,0.6035,0.81334,0.23983,0.23519,0.55171,0.63425,0.10648,0.14839,0.79153,0.9205,0.17688,0.05758,0.56989,0.56763,0.53734,0.50831,0.49675,0.48178,0.2405,0.24128,0.36916,0.37601,0.23141,0.21693,0.66467,0.99565,0.32396,0.34252,0.44916,0.55275,0.09728,0.14926,0.72923,1.0,0.00049,0.0,0.40728,0.36044,0.32798,0.31782,0.40869,0.37097,0.35661,0.31887,0.44126,0.43881,0.23141,0.21693,0.66467,0.99565,0.32396,0.34252,0.44916,0.55275,0.09728,0.14926,0.72923,1.0
number7,0.16748,0.11091,0.49608,0.61497,0.08748,0.13381,0.52959,0.51876,0.16227,0.18696,0.44388,0.43339,0.35029,0.36709,0.64251,0.85149,0.28712,0.34213,0.53962,0.61882,0.3585,0.37631,0.81288,0.88165,0.17091,0.07246,0.50448,0.53354,0.52563,0.53234,0.49899,0.49201,0.25107,0.2372,0.38212,0.37691,0.156,0.12851,0.62145,0.78484,0.23274,0.256,0.47764,0.51389,0.41663,0.35478,0.77597,1.0,0.00449,0.0,0.39334,0.35828,0.31028,0.30317,0.41873,0.37922,0.35776,0.33803,0.43131,0.42536,0.156,0.12851,0.62145,0.78484,0.23274,0.256,0.47764,0.51389,0.41663,0.35478,0.77597,1.0
number7,0.04629,0.01646,0.3194,0.27076,0.07234,0.0835,0.34574,0.35156,0.15321,0.14454,0.28413,0.28367,0.19181,0.14646,0.4669,0.60591,0.1759,0.1938,0.36396,0.42845,0.18608,0.23297,0.56396,0.54049,0.15341,0.14202,0.38589,0.42551,0.39327,0.38219,0.37161,0.37733,0.19444,0.19236,0.28262,0.30163,0.10931,0.05395,0.47006,0.62267,0.20548,0.22348,0.35865,0.38682,0.19969,0.18082,0.63656,1.0,0.00038,0.0,0.25124,0.23585,0.21872,0.21675,0.2858,0.24877,0.24581,0.22216,0.26734,0.27736,0.10931,0.05395,0.47006,0.62267,0.20548,0.22348,0.35865,0.38682,0.19969,0.18082,0.63656,1.0
number7,0.12166,0.12896,0.34164,0.45792,0.05656,0.04325,0.39245,0.39805,0.12562,0.13052,0.32093,0.35952,0.13215,0.09458,0.43511,0.49506,0.15673,0.13149,0.40337,0.52319,0.20187,0.20722,0.63426,1.0,0.0682,0.01861,0.3374,0.33266,0.395,0.38164,0.29473,0.31078,0.17911,0.17873,0.26411,0.26943,0.14838,0.13593,0.47962,0.71162,0.18951,0.2077,0.37053,0.41831,0.2258,0.17957,0.56638,0.68523,0.0,0.00202,0.27468,0.25668,0.23387,0.22224,0.31196,0.28764,0.24872,0.23643,0.30011,0.30429,0.14838,0.13593,0.47962,0.71162,0.18951,0.2077,0.37053,0.41831,0.2258,0.17957,0.56638,0.68523
number7,0.12475,0.06781,0.42238,0.51241,0.06736,0.07632,0.46873,0.39338,0.14898,0.18382,0.39218,0.37929,0.29667,0.32058,0.60034,0.77975,0.25408,0.28651,0.50499,0.62122,0.40526,0.32167,0.66222,0.69595,0.24557,0.26358,0.48363,0.59528,0.48275,0.49855,0.4864,0.50467,0.2431,0.24376,0.37676,0.42335,0.25455,0.26281,0.59525,0.79919,0.18166,0.22037,0.44472,0.4771,0.45973,0.50831,0.74061,1.0,0.0,0.00384,0.35188,0.31385,0.30015,0.28387,0.38957,0.32871,0.2994,0.28775,0.38091,0.36868,0.25455,0.26281,0.59525,0.79919,0.18166,0.22037,0.44472,0.4771,0.45973,0.50831,0.74061,1.0
number7,0.14326,0.07085,0.46372,0.56264,0.07517,0.0897,0.47349,0.43167,0.19866,0.21043,0.37908,0.37,0.27592,0.23724,0.60277,0.81297,0.23992,0.25658,0.48774,0.61358,0.12294,0.22002,0.63758,0.59937,0.27494,0.27429,0.49006,0.58937,0.51337,0.50731,0.51319,0.52145,0.23694,0.22359,0.38689,0.41566,0.19935,0.19435,0.63118,0.82938,0.33766,0.33052,0.42269,0.46181,0.11572,0.07751,0.78491,1.0,0.00305,0.0,0.34915,0.31695,0.30982,0.29997,0.36388,0.33198,0.31023,0.29721,0.38133,0.3579,0.19935,0.19435,0.63118,0.82938,0.33766,0.33052,0.42269,0.46181,0.11572,0.07751,0.78491,1.0
number7,0.1968,0.19093,0.44676,0.60176,0.06765,0.0594,0.46431,0.50644,0.15458,0.1659,0.37651,0.41986,0.26024,0.16383,0.55367,0.76996,0.19481,0.16264,0.48536,0.6462,0.30573,0.37491,0.74485,1.0,0.12458,0.07673,0.3635,0.40831,0.51586,0.48926,0.36511,0.37913,0.21029,0.20071,0.32512,0.31062,0.22014,0.22826,0.50577,0.5634,0.21745,0.24322,0.48585,0.54503,0.28434,0.24545,0.71752,0.94179,0.0013,0.0,0.3499,0.33269,0.29395,0.28825,0.37065,0.33691,0.29828,0.29329,0.38194,0.35054,0.22014,0.22826,0.50577,0.5634,0.21745,0.24322,0.48585,0.54503,0.28434,0.24545,0.71752,0.94179
number7,0.09008,0.04419,0.36463,0.31723,0.07173,0.07985,0.35561,0.34496,0.13219,0.14278,0.3074,0.29586,0.23632,0.24217,0.51659,0.66035,0.19375,0.19103,0.39435,0.46204,0.3479,0.24584,0.53961,0.64626,0.20281,0.16232,0.41336,0.4486,0.43823,0.45772,0.42516,0.44303,0.21397,0.20021,0.32422,0.37957,0.27958,0.26668,0.4685,0.55218,0.167,0.20139,0.41579,0.4195,0.31591,0.39426,0.68114,1.0,0.0,0.00656,0.29501,0.26269,0.25463,0.2482,0.31239,0.27757,0.25482,0.24387,0.3161,0.3034,0.27958,0.26668,0.4685,0.55218,0.167,0.20139,0.41579,0.4195,0.31591,0.39426,0.68114,1.0
number7,0.18463,0.07937,0.53289,0.66729,0.08203,0.12114,0.63262,0.60737,0.198,0.21756,0.52723,0.45707,0.32634,0.33039,0.73056,0.92358,0.23816,0.2527,0.614,0.70233,0.18376,0.25563,0.90767,0.97511,0.24816,0.1227,0.60999,0.54783,0.62776,0.61674,0.60789,0.54159,0.29451,0.28666,0.45799,0.46214,0.24052,0.20058,0.73693,0.95901,0.45367,0.44282,0.49562,0.60825,0.12317,0.1836,0.8382,1.0,0.0,0.00441,0.44396,0.39792,0.39171,0.36903,0.46608,0.42262,0.38014,0.3501,0.4993,0.46673,0.24052,0.20058,0.73693,0.95901,0.45367,0.44282,0.49562,0.60825,0.12317,0.1836,0.8382,1.0
number7,0.177,0.21345,0.389,0.53071,0.0569,0.06677,0.44257,0.48616,0.12602,0.15226,0.37207,0.36941,0.26616,0.23495,0.53018,0.70397,0.20187,0.27837,0.49662,0.66951,0.28179,0.31444,0.69383,1.0,0.14497,0.08307,0.36557,0.40835,0.45014,0.46873,0.36531,0.35378,0.20219,0.20236,0.30149,0.29159,0.09082,0.08213,0.46189,0.55743,0.19503,0.20369,0.43321,0.53833,0.32406,0.24524,0.58004,0.72481,0.0,0.00038,0.31431,0.30916,0.26383,0.2606,0.34464,0.30802,0.28473,0.27262,0.35516,0.35879,0.09082,0.08213,0.46189,0.55743,0.19503,0.20369,0.43321,0.53833,0.32406,0.24524,0.58004,0.72481
number7,0.06668,0.02504,0.31305,0.26929,0.04302,0.05909,0.28995,0.28665,0.11848,0.12618,0.25245,0.24698,0.13355,0.11618,0.44917,0.5146,0.18868,0.18293,0.37511,0.41391,0.1855,0.18416,0.50738,0.4547,0.19663,0.19293,0.3359,0.36553,0.38234,0.41161,0.36187,0.3911,0.19395,0.19405,0.27817,0.2944,0.19233,0.16247,0.46773,0.56663,0.16865,0.16821,0.37705,0.4156,0.23063,0.36194,0.60986,1.0,0.0,0.00088,0.2456,0.22248,0.20465,0.20978,0.26792,0.24114,0.23176,0.21136,0.26102,0.26131,0.19233,0.16247,0.46773,0.56663,0.16865,0.16821,0.37705,0.4156,0.23063,0.36194,0.60986,1.0
number7,0.28343,0.36619,0.63867,0.84387,0.10369,0.13109,0.66387,0.67674,0.19592,0.22428,0.58119,0.5127,0.2072,0.21872,0.72833,0.86557,0.35434,0.32046,0.69121,0.81919,0.139,0.21936,0.93731,1.0,0.19093,0.07488,0.62951,0.6325,0.63837,0.58655,0.61244,0.55053,0.30482,0.27536,0.49209,0.49935,0.4312,0.43181,0.82286,0.97382,0.444,0.40402,0.58934,0.65708,0.18653,0.26596,0.90878,0.9876,0.0,0.00542,0.50008,0.45927,0.42822,0.41044,0.52341,0.46718,0.41188,0.39526,0.53533,0.49689,0.4312,0.43181,0.82286,0.97382,0.444,0.40402,0.58934,0.65708,0.18653,0.26596,0.90878,0.9876
