id,acc_rh_x,acc_rh_y,acc_rh_z,gyro_rh_x,gyro_rh_y,gyro_rh_z,acc_lh_x,acc_lh_y,acc_lh_z,gyro_lh_x,gyro_lh_y,gyro_lh_z,acc_leg_x,acc_leg_y,acc_leg_z,gyro_leg_x,gryo_leg_y,gryo_leg_z
1,-1095,-123,184,312,563,-217,-974,758,68,1824,-246,978,-950,748,-26,1824,-246,978
2,-1140,12,217,602,314,-167,-1074,861,128,1649,-356,1176,-833,300,142,1649,-356,1176
3,-1138,-105,244,1048,156,-107,-1129,1077,159,1427,-403,1481,-1136,-38,-14,1427,-403,1481
4,-1020,-161,193,1191,26,21,-1131,1217,116,1420,-382,1750,-925,59,-282,1420,-382,1750
5,-925,-106,72,1303,-68,167,-1089,1281,77,1536,-332,2003,-850,232,-274,1536,-332,2003
6,-853,-123,3,1445,-99,287,-1050,1246,66,1460,-258,2175,-701,-39,608,1460,-258,2175
7,-780,-182,-76,1513,-124,400,-1019,1244,62,1288,-190,2311,-512,310,717,1288,-190,2311
8,-720,-300,-177,1379,-136,551,-964,1280,91,1029,-137,2486,-684,496,384,1029,-137,2486
9,-693,-340,-236,1064,-128,649,-900,1309,110,1009,-130,2500,-949,232,230,1009,-130,2500
10,-734,-266,-232,907,-106,677,-803,1332,39,1021,-128,2500,-1059,229,161,1021,-128,2500
11,-767,-184,-186,1003,-57,657,-793,1281,36,920,-113,2500,-1023,239,183,920,-113,2500
12,-776,-169,-146,1199,-15,637,-760,1435,4,758,-82,2500,-978,266,156,758,-82,2500
13,-903,-178,-148,1368,-17,621,-736,1548,24,611,-52,2500,-948,313,140,611,-52,2500
14,-1003,-161,-144,1555,20,600,-657,1522,53,481,-35,2500,-946,128,184,481,-35,2500
15,-1012,-183,-137,1800,94,561,-409,1450,59,247,-36,2500,-966,-107,243,247,-36,2500
16,-958,-233,-108,2001,111,501,-221,1228,32,80,-117,2500,-1041,-269,224,80,-117,2500
