Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
salute,0.05911,0.0,0.39294,0.32388,0.17387,0.19316,0.39223,0.31375,0.21792,0.20316,0.32946,0.29927,0.42329,0.50063,0.56511,0.63236,0.31684,0.2808,0.4329,0.50143,0.16919,0.27253,0.5944,0.63203,0.03467,0.02121,0.41783,0.426,0.39534,0.38391,0.40662,0.4252,0.23709,0.24705,0.35336,0.32649,0.12516,0.10191,0.51821,0.65484,0.28864,0.32989,0.48146,0.47335,0.26808,0.21557,0.69114,1.0,0.0058,0.00787,0.29843,0.28113,0.25267,0.26652,0.32817,0.30814,0.28419,0.27773,0.30765,0.33416,0.12516,0.10191,0.51821,0.65484,0.28864,0.32989,0.48146,0.47335,0.26808,0.21557,0.69114,1.0
salute,0.04665,0.0,0.59024,0.50983,0.28521,0.29996,0.5583,0.51745,0.26864,0.27463,0.49368,0.48538,0.43056,0.46634,0.82673,1.0,0.34013,0.41194,0.73049,0.81715,0.29311,0.36977,0.87388,0.88979,0.06179,0.03721,0.50985,0.49451,0.57917,0.53526,0.44887,0.5272,0.31976,0.33948,0.46729,0.40326,0.15836,0.06751,0.70825,0.88554,0.40979,0.40361,0.529,0.6056,0.47563,0.31999,0.81891,0.94818,0.04079,0.03154,0.48203,0.42364,0.36673,0.37279,0.50639,0.46793,0.42351,0.41159,0.4972,0.45553,0.15836,0.06751,0.70825,0.88554,0.40979,0.40361,0.529,0.6056,0.47563,0.31999,0.81891,0.94818
salute,0.0,0.03031,0.34792,0.33706,0.21378,0.21314,0.36421,0.3237,0.20344,0.22554,0.33839,0.32685,0.38241,0.47992,0.58133,0.75855,0.21408,0.28385,0.46607,0.3882,0.30613,0.3113,0.49756,0.3503,0.11436,0.06117,0.45532,0.57365,0.39539,0.39974,0.41258,0.45806,0.24539,0.26648,0.37633,0.36567,0.1896,0.1388,0.51607,0.5861,0.25242,0.24582,0.43507,0.44542,0.39072,0.42793,0.67929,1.0,0.05954,0.05631,0.3642,0.32236,0.28352,0.28105,0.38052,0.36148,0.31616,0.30657,0.3758,0.36196,0.1896,0.1388,0.51607,0.5861,0.25242,0.24582,0.43507,0.44542,0.39072,0.42793,0.67929,1.0
salute,0.01842,0.01561,0.53742,0.46038,0.23013,0.24412,0.52358,0.45425,0.27154,0.28408,0.50733,0.42915,0.44739,0.53996,0.75167,1.0,0.30091,0.36501,0.68658,0.53778,0.26122,0.36518,0.82615,0.84234,0.08515,0.06011,0.5649,0.50697,0.48666,0.52015,0.51332,0.47414,0.30084,0.33294,0.48265,0.46533,0.10315,0.0,0.68107,0.6867,0.40559,0.49882,0.59477,0.68712,0.2069,0.11115,0.79987,0.91966,0.04275,0.03727,0.45605,0.37895,0.34915,0.3541,0.46419,0.45039,0.38771,0.37156,0.43942,0.45131,0.10315,0.0,0.68107,0.6867,0.40559,0.49882,0.59477,0.68712,0.2069,0.11115,0.79987,0.91966
salute,0.04426,0.04538,0.46307,0.37358,0.22645,0.2209,0.43319,0.39992,0.26064,0.27637,0.43991,0.38108,0.53301,0.6267,0.60909,0.75074,0.28673,0.34277,0.58761,0.392,0.31068,0.35397,0.67582,0.52619,0.07506,0.07494,0.46693,0.39915,0.47615,0.47205,0.4547,0.43739,0.29638,0.30845,0.41128,0.35803,0.14286,0.0,0.64453,0.89417,0.28734,0.35537,0.57249,0.59098,0.25786,0.11024,0.75356,1.0,0.05059,0.04244,0.40768,0.34487,0.30062,0.30326,0.42398,0.40524,0.34776,0.34347,0.42794,0.39718,0.14286,0.0,0.64453,0.89417,0.28734,0.35537,0.57249,0.59098,0.25786,0.11024,0.75356,1.0
salute,0.02174,0.0,0.42716,0.34183,0.15633,0.1715,0.42226,0.37075,0.2634,0.26558,0.3756,0.35417,0.45016,0.63282,0.67126,0.93141,0.28635,0.32649,0.53897,0.37426,0.23676,0.32839,0.68491,0.70294,0.03477,0.04382,0.45743,0.40333,0.45024,0.44073,0.4411,0.45855,0.28277,0.30034,0.40899,0.36937,0.06769,0.02031,0.60412,0.69885,0.30361,0.40859,0.57298,0.60448,0.24929,0.1325,0.74636,1.0,0.0155,0.01373,0.35224,0.32562,0.26265,0.26762,0.40782,0.34139,0.3272,0.32313,0.40012,0.36747,0.06769,0.02031,0.60412,0.69885,0.30361,0.40859,0.57298,0.60448,0.24929,0.1325,0.74636,1.0
salute,0.01939,0.0,0.503,0.45019,0.19344,0.1961,0.47945,0.43492,0.25693,0.27636,0.48417,0.39943,0.4404,0.56893,0.72811,1.0,0.28744,0.35489,0.62236,0.43909,0.26853,0.35127,0.76961,0.89613,0.08603,0.07381,0.46148,0.45546,0.48927,0.48772,0.47366,0.49008,0.33467,0.34246,0.41705,0.37677,0.08056,0.0255,0.68425,0.77062,0.40722,0.44004,0.49523,0.6167,0.37887,0.21168,0.77215,0.93941,0.02328,0.02408,0.39292,0.3641,0.31319,0.3146,0.46175,0.43516,0.36553,0.34671,0.40691,0.41305,0.08056,0.0255,0.68425,0.77062,0.40722,0.44004,0.49523,0.6167,0.37887,0.21168,0.77215,0.93941
salute,0.02211,0.00027,0.40886,0.36324,0.11774,0.14456,0.3761,0.38454,0.17791,0.20543,0.36663,0.3214,0.41024,0.47956,0.54518,0.62542,0.27772,0.26905,0.39572,0.33858,0.08414,0.26809,0.60332,0.95644,0.01191,0.00453,0.41756,0.41134,0.43012,0.44177,0.40771,0.43689,0.26312,0.26946,0.35886,0.32896,0.1058,0.0404,0.55967,0.63793,0.27217,0.28705,0.48059,0.56613,0.25186,0.18234,0.70601,1.0,0.0,0.00179,0.30878,0.28355,0.26642,0.25709,0.34819,0.33411,0.28492,0.26506,0.31672,0.33604,0.1058,0.0404,0.55967,0.63793,0.27217,0.28705,0.48059,0.56613,0.25186,0.18234,0.70601,1.0
salute,0.05462,0.03469,0.47262,0.49981,0.17569,0.19956,0.4201,0.46814,0.22308,0.24803,0.39995,0.3769,0.38296,0.4301,0.60727,0.76013,0.23558,0.2686,0.53112,0.42766,0.15818,0.22488,0.69908,1.0,0.0,0.04051,0.38284,0.36262,0.49241,0.46096,0.38582,0.36952,0.28259,0.28755,0.37489,0.35199,0.12983,0.12958,0.58961,0.80879,0.30542,0.41588,0.51137,0.60858,0.21741,0.14244,0.64751,0.74361,0.03838,0.03049,0.33945,0.31923,0.27542,0.26779,0.3865,0.36587,0.32728,0.3103,0.37569,0.37236,0.12983,0.12958,0.58961,0.80879,0.30542,0.41588,0.51137,0.60858,0.21741,0.14244,0.64751,0.74361
salute,0.0,0.01726,0.46292,0.44095,0.19235,0.20201,0.45071,0.40809,0.25767,0.29209,0.43943,0.39982,0.4807,0.5492,0.68736,1.0,0.25354,0.33256,0.57331,0.50896,0.35561,0.41467,0.66091,0.63848,0.05817,0.06643,0.48585,0.45129,0.47828,0.46813,0.47881,0.48644,0.32995,0.33979,0.42453,0.43335,0.13761,0.09892,0.66996,0.9557,0.31282,0.39724,0.56223,0.70412,0.33453,0.21131,0.75164,0.94048,0.03982,0.03468,0.38139,0.36305,0.3086,0.31011,0.44048,0.43172,0.35495,0.34511,0.42153,0.41607,0.13761,0.09892,0.66996,0.9557,0.31282,0.39724,0.56223,0.70412,0.33453,0.21131,0.75164,0.94048
