Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
sidestep,0.0,0.01444,0.70726,0.69651,0.62257,0.60221,0.76796,0.8039,0.44215,0.4482,0.70351,0.72288,0.69374,0.69267,0.97073,1.0,0.65672,0.66578,0.6999,0.72742,0.66679,0.69686,0.76259,0.7826,0.01185,0.02282,0.73326,0.70908,0.83391,0.88231,0.78993,0.77718,0.54427,0.56694,0.74428,0.76741,0.63145,0.60466,0.96711,0.91758,0.64081,0.64063,0.77793,0.75501,0.65205,0.6319,0.72572,0.74366,0.03797,0.03994,0.75464,0.71118,0.76092,0.73597,0.84969,0.90239,0.65473,0.64168,0.74421,0.75483,0.63145,0.60466,0.96711,0.91758,0.64081,0.64063,0.77793,0.75501,0.65205,0.6319,0.72572,0.74366
sidestep,0.0,0.00238,0.6703,0.67501,0.57418,0.55647,0.74098,0.72562,0.4223,0.43792,0.69506,0.71613,0.59944,0.65569,0.91677,0.88346,0.616,0.6194,0.69138,0.72212,0.59889,0.60441,0.73381,0.78389,0.0161,0.0157,0.69105,0.68083,0.78369,0.77923,0.73137,0.77857,0.51136,0.52583,0.69471,0.72312,0.54565,0.54381,0.96154,1.0,0.62148,0.62539,0.74483,0.75925,0.62547,0.60308,0.73356,0.74477,0.02833,0.02735,0.68692,0.66652,0.75614,0.72995,0.87309,0.87163,0.60353,0.59409,0.71725,0.69099,0.54565,0.54381,0.96154,1.0,0.62148,0.62539,0.74483,0.75925,0.62547,0.60308,0.73356,0.74477
sidestep,0.0,0.01393,0.65691,0.66751,0.57485,0.55195,0.7053,0.70712,0.37719,0.3854,0.66503,0.68139,0.58265,0.61246,0.79034,0.80662,0.58411,0.59313,0.6453,0.67063,0.57791,0.57316,0.68457,0.72599,0.00055,0.00769,0.65838,0.66206,0.75087,0.79586,0.71401,0.73036,0.49513,0.51796,0.67994,0.67126,0.57944,0.57067,0.94908,1.0,0.56066,0.55944,0.68647,0.69902,0.60298,0.58283,0.70844,0.72896,0.0326,0.03233,0.7014,0.65535,0.73237,0.70323,0.82079,0.78245,0.58348,0.55819,0.72449,0.6633,0.57944,0.57067,0.94908,1.0,0.56066,0.55944,0.68647,0.69902,0.60298,0.58283,0.70844,0.72896
sidestep,0.0,0.01156,0.68048,0.67573,0.56786,0.53671,0.72747,0.75526,0.40306,0.41647,0.67277,0.69656,0.55929,0.59036,0.92377,0.87187,0.59071,0.58783,0.64358,0.66721,0.56748,0.56038,0.69106,0.74263,0.00647,0.02197,0.67988,0.68725,0.74792,0.76046,0.72345,0.75605,0.48874,0.49505,0.6946,0.71975,0.54783,0.49947,0.93521,1.0,0.58219,0.58121,0.70178,0.73995,0.57142,0.59793,0.72876,0.74532,0.03263,0.03996,0.71721,0.64401,0.7135,0.68062,0.84107,0.76031,0.59176,0.56385,0.73743,0.67762,0.54783,0.49947,0.93521,1.0,0.58219,0.58121,0.70178,0.73995,0.57142,0.59793,0.72876,0.74532
sidestep,0.0,0.00811,0.69087,0.68191,0.58717,0.57227,0.73711,0.78996,0.4042,0.41449,0.67902,0.70533,0.58572,0.60446,0.95514,1.0,0.59521,0.5984,0.65145,0.67601,0.60156,0.59075,0.70401,0.77354,0.00979,0.03202,0.67805,0.68701,0.77907,0.78804,0.69115,0.73689,0.51554,0.53434,0.69985,0.72557,0.50719,0.49099,0.81925,0.8886,0.59794,0.58725,0.68271,0.70263,0.57962,0.59458,0.73763,0.71537,0.03413,0.03967,0.71949,0.65816,0.7685,0.74406,0.86004,0.84366,0.60672,0.58023,0.73229,0.72812,0.50719,0.49099,0.81925,0.8886,0.59794,0.58725,0.68271,0.70263,0.57962,0.59458,0.73763,0.71537
sidestep,0.0,0.01042,0.73066,0.73088,0.59763,0.57886,0.76182,0.79614,0.43964,0.45068,0.74535,0.72987,0.68237,0.68155,0.90415,1.0,0.63967,0.64933,0.71086,0.73725,0.65035,0.65772,0.75673,0.79262,0.014,0.02048,0.73261,0.73289,0.81798,0.83826,0.74124,0.76796,0.53096,0.53558,0.7595,0.77198,0.56567,0.52148,0.9008,0.90906,0.65155,0.64766,0.72478,0.74816,0.63456,0.60135,0.76735,0.76024,0.04356,0.04162,0.76323,0.70168,0.76292,0.72786,0.85045,0.84983,0.65354,0.61544,0.77844,0.7339,0.56567,0.52148,0.9008,0.90906,0.65155,0.64766,0.72478,0.74816,0.63456,0.60135,0.76735,0.76024
sidestep,0.00065,0.0,0.67375,0.67922,0.599,0.58292,0.72239,0.75116,0.40748,0.41884,0.69558,0.68274,0.56053,0.59862,0.98266,1.0,0.60211,0.59606,0.67206,0.71415,0.58126,0.57907,0.71779,0.78305,0.01648,0.00673,0.68601,0.6978,0.79058,0.80692,0.69392,0.74459,0.5063,0.51178,0.69309,0.69572,0.54773,0.53036,0.87586,0.92373,0.58462,0.57395,0.68991,0.72552,0.56647,0.55312,0.71515,0.74091,0.04194,0.03589,0.68219,0.65727,0.76132,0.69989,0.87537,0.82102,0.60908,0.57202,0.71748,0.69813,0.54773,0.53036,0.87586,0.92373,0.58462,0.57395,0.68991,0.72552,0.56647,0.55312,0.71515,0.74091
sidestep,0.00057,0.0,0.67661,0.68776,0.59918,0.57505,0.71819,0.7583,0.41007,0.42002,0.66385,0.66246,0.54874,0.56208,1.0,0.9795,0.59128,0.58251,0.66173,0.70884,0.5829,0.59224,0.71446,0.77744,0.00723,0.00551,0.67042,0.67057,0.78311,0.78814,0.69263,0.73884,0.51791,0.51959,0.68528,0.66554,0.58455,0.61365,0.844,0.82917,0.5757,0.56565,0.68501,0.68257,0.59819,0.58608,0.7254,0.72911,0.03116,0.02984,0.68755,0.65014,0.77126,0.68857,0.88821,0.88074,0.60024,0.58965,0.69947,0.68143,0.58455,0.61365,0.844,0.82917,0.5757,0.56565,0.68501,0.68257,0.59819,0.58608,0.7254,0.72911
sidestep,0.0,0.01194,0.72727,0.73595,0.5918,0.56929,0.77412,0.75978,0.44559,0.45557,0.73777,0.73748,0.59653,0.60402,1.0,0.95708,0.64909,0.63057,0.73411,0.79485,0.61439,0.635,0.75261,0.78549,0.00919,0.02863,0.72148,0.71246,0.80535,0.7991,0.74219,0.77153,0.51498,0.53694,0.72543,0.71075,0.63401,0.62887,0.94388,0.9753,0.62528,0.63364,0.75108,0.76863,0.66378,0.63602,0.79842,0.80489,0.03339,0.04259,0.73666,0.68266,0.78584,0.72761,0.90928,0.82055,0.65174,0.63193,0.74728,0.71756,0.63401,0.62887,0.94388,0.9753,0.62528,0.63364,0.75108,0.76863,0.66378,0.63602,0.79842,0.80489
sidestep,0.00139,0.01547,0.64932,0.6544,0.57203,0.55393,0.70728,0.75037,0.36969,0.35827,0.66444,0.68987,0.57949,0.61956,0.89705,0.93825,0.57888,0.57726,0.65234,0.69189,0.58809,0.60743,0.67737,0.70464,0.0,0.01485,0.64486,0.64554,0.74798,0.77759,0.69089,0.73404,0.48453,0.49731,0.65236,0.63512,0.55408,0.51007,0.89437,1.0,0.55708,0.58597,0.68288,0.72144,0.58561,0.57788,0.72767,0.77261,0.02756,0.03538,0.68017,0.62454,0.74457,0.6992,0.81514,0.79594,0.56997,0.54926,0.68759,0.65643,0.55408,0.51007,0.89437,1.0,0.55708,0.58597,0.68288,0.72144,0.58561,0.57788,0.72767,0.77261
