id,acc_rh_x,acc_rh_y,acc_rh_z,gyro_rh_x,gyro_rh_y,gyro_rh_z,acc_lh_x,acc_lh_y,acc_lh_z,gyro_lh_x,gyro_lh_y,gyro_lh_z,acc_leg_x,acc_leg_y,acc_leg_z,gyro_leg_x,gryo_leg_y,gryo_leg_z
1,644,-73,-1276,72,-468,1010,755,473,-1038,-646,-975,657,-1055,-897,288,-646,-975,657
2,592,-220,-1155,78,-333,772,661,373,-1061,-504,-733,783,-727,-282,241,-504,-733,783
3,560,-315,-1050,-39,-241,556,537,439,-1020,-581,-476,893,-736,391,133,-581,-476,893
4,482,-289,-985,-204,-206,343,442,412,-905,-579,-247,976,-660,448,1,-579,-247,976
5,479,-307,-872,-170,-194,163,325,296,-844,-402,-120,941,-685,518,-63,-402,-120,941
6,486,-293,-813,8,-245,-42,280,228,-745,-144,-40,779,-1007,67,142,-144,-40,779
7,482,-295,-810,171,-281,-179,239,193,-690,-42,-31,648,-1153,1209,-213,-42,-31,648
8,481,-292,-803,299,-321,-307,180,152,-730,-31,-22,523,-1340,2000,-239,-31,-22,523
9,492,-289,-853,366,-365,-435,129,83,-808,-36,-1,356,-865,2000,34,-36,-1,356
10,544,-275,-922,373,-411,-551,110,43,-893,-49,36,128,-1340,-274,-782,-49,36,128
11,552,-260,-1064,361,-448,-658,87,-8,-933,-84,89,-142,-881,-898,-292,-84,89,-142
12,480,-215,-1217,341,-416,-777,108,6,-1013,-125,153,-409,-380,121,77,-125,153,-409
13,431,-170,-1362,359,-319,-896,135,20,-1094,-117,230,-663,-1180,1461,285,-117,230,-663
14,438,-148,-1400,333,-147,-1020,170,-60,-1257,-152,326,-884,-793,1512,242,-152,326,-884
15,444,-98,-1444,247,38,-1162,189,58,-1413,-217,483,-1044,-795,789,193,-217,483,-1044
16,410,-46,-1533,101,268,-1271,350,101,-1364,-240,659,-1082,-901,266,-109,-240,659,-1082
17,373,62,-1550,-89,520,-1332,552,185,-1316,-208,838,-1054,-922,-29,-101,-208,838,-1054
18,386,186,-1538,-258,750,-1338,703,413,-1326,63,975,-986,-843,296,-171,63,975,-986
19,376,289,-1480,-415,960,-1286,749,555,-1279,471,1118,-892,-799,752,-89,471,1118,-892
20,361,369,-1418,-526,1143,-1183,855,686,-1109,909,1278,-794,-867,670,-8,909,1278,-794
21,337,459,-1348,-568,1294,-1015,1004,815,-908,1284,1432,-644,-857,334,-54,1284,1432,-644
22,308,494,-1301,-590,1402,-818,1055,934,-810,1537,1564,-463,-828,107,-30,1537,1564,-463
23,304,503,-1236,-588,1466,-605,917,976,-713,1610,1714,-244,-834,46,-59,1610,1714,-244
24,301,506,-1111,-540,1496,-399,884,961,-524,1545,1852,-10,-833,117,6,1545,1852,-10
25,295,503,-1023,-419,1470,-222,887,924,-330,1375,1943,213,-814,252,39,1375,1943,213
26,270,496,-930,-330,1411,-54,858,871,-228,1122,1980,427,-802,216,78,1122,1980,427
27,294,456,-867,-296,1334,89,787,814,-133,913,1964,615,-803,119,117,913,1964,615
28,292,445,-766,-352,1228,238,756,700,11,683,1879,778,-827,-40,124,683,1879,778
29,282,388,-741,-476,1094,372,749,565,120,478,1712,907,-850,-119,105,478,1712,907
30,273,346,-756,-649,959,488,737,481,158,327,1503,995,-813,-96,134,327,1503,995
31,288,343,-775,-795,841,603,756,401,137,280,1279,1002,-791,-86,124,280,1279,1002
32,287,312,-680,-829,748,700,720,306,74,220,1066,999,-839,-183,-22,220,1066,999
33,299,317,-637,-718,663,746,647,223,45,81,899,984,-862,-262,-90,81,899,984
34,304,283,-607,-542,600,760,602,158,55,-116,734,967,-794,-221,32,-116,734,967
35,291,196,-596,-412,545,744,580,129,79,-306,560,1001,-491,71,1033,-306,560,1001
36,323,166,-554,-360,467,717,581,62,68,-457,366,1002,-281,59,1121,-457,366,1002
37,417,115,-497,-338,356,691,583,17,25,-533,173,945,-1910,-35,-607,-533,173,945
38,500,8,-447,-409,198,681,551,3,-57,-540,16,845,-1177,203,-341,-540,16,845
39,537,-58,-451,-521,13,683,524,-61,-100,-545,-136,734,-1129,211,-36,-545,-136,734
40,566,-112,-437,-593,-187,680,494,-150,-95,-682,-267,626,-810,237,-154,-682,-267,626
41,590,-161,-437,-588,-396,669,449,-220,-91,-923,-405,560,-683,349,-56,-923,-405,560
42,560,-221,-409,-515,-575,626,409,-330,-114,-1165,-533,490,-949,280,68,-1165,-533,490
43,553,-326,-403,-471,-767,579,350,-321,-190,-1281,-695,318,-979,380,68,-1281,-695,318
44,538,-372,-372,-477,-944,528,312,-156,-340,-1184,-883,153,-956,113,66,-1184,-883,153
45,566,-399,-360,-471,-1130,475,280,-89,-455,-1060,-1081,15,-872,174,5,-1060,-1081,15
46,561,-460,-408,-421,-1282,415,209,-140,-527,-1080,-1225,-98,-904,119,-62,-1080,-1225,-98
47,504,-426,-459,-322,-1396,337,74,-439,-616,-1274,-1311,-295,-884,35,-116,-1274,-1311,-295
48,565,-380,-486,-87,-1474,240,18,-421,-680,-1435,-1287,-501,-900,107,-167,-1435,-1287,-501
49,606,-436,-548,138,-1551,157,90,-190,-730,-1301,-1302,-718,-859,127,-114,-1301,-1302,-718
50,583,-493,-600,256,-1637,92,157,-60,-813,-1015,-1380,-925,-844,119,-80,-1015,-1380,-925
51,557,-508,-690,286,-1693,36,192,-80,-972,-835,-1494,-1123,-901,92,-123,-835,-1494,-1123
52,579,-485,-836,357,-1722,-24,173,-229,-1168,-891,-1480,-1295,-867,34,-107,-891,-1480,-1295
53,602,-456,-980,466,-1685,-94,202,-106,-1241,-977,-1351,-1416,-834,-3,-153,-977,-1351,-1416
54,659,-459,-1058,641,-1632,-188,304,102,-1209,-925,-1265,-1502,-940,-24,-125,-925,-1265,-1502
55,627,-437,-1170,852,-1548,-298,457,308,-1310,-666,-1228,-1528,-886,71,-87,-666,-1228,-1528
56,580,-470,-1223,938,-1407,-407,435,254,-1445,-416,-1127,-1569,-844,67,3,-416,-1127,-1569
57,596,-477,-1255,861,-1226,-548,385,168,-1488,-390,-856,-1569,-937,133,-57,-390,-856,-1569
58,567,-440,-1286,727,-1014,-714,420,270,-1358,-403,-575,-1531,-862,315,-97,-403,-575,-1531
59,554,-407,-1345,562,-800,-888,436,428,-1287,-220,-292,-1475,-991,244,-128,-220,-292,-1475
60,567,-361,-1384,397,-619,-1058,563,477,-1243,65,-106,-1436,-913,142,-54,65,-106,-1436
61,565,-322,-1488,234,-479,-1172,705,524,-1339,328,34,-1404,-910,104,28,328,34,-1404
62,517,-287,-1663,107,-338,-1263,698,495,-1435,419,246,-1343,-983,175,35,419,246,-1343
63,433,-187,-1853,109,-128,-1346,743,549,-1372,412,496,-1254,-1015,365,-16,412,496,-1254
64,329,-108,-1962,160,146,-1432,827,651,-1304,453,724,-1097,-906,790,17,453,724,-1097
65,244,-35,-1920,103,461,-1474,830,791,-1302,628,924,-927,-770,946,87,628,924,-927
66,228,55,-1866,-77,751,-1458,803,890,-1359,857,1139,-754,-841,758,-41,857,1139,-754
67,239,134,-1841,-360,1023,-1384,856,914,-1368,1021,1371,-549,-913,448,-82,1021,1371,-549
68,217,245,-1777,-615,1281,-1250,895,914,-1226,1061,1624,-317,-949,-44,-179,1061,1624,-317
69,195,366,-1634,-745,1515,-1082,923,887,-1011,970,1851,-34,-791,181,-187,970,1851,-34
70,185,457,-1479,-752,1676,-884,884,935,-855,885,2006,243,-820,597,-64,885,2006,243
71,129,476,-1330,-665,1776,-703,771,931,-726,830,2139,490,-810,796,-32,830,2139,490
72,101,457,-1221,-638,1821,-518,717,878,-574,779,2205,708,-744,779,-45,779,2205,708
73,120,430,-1082,-723,1811,-313,719,830,-420,732,2198,900,-741,572,-30,732,2198,900
74,132,409,-945,-850,1753,-104,698,762,-313,684,2129,1052,-843,339,-42,684,2129,1052
75,149,395,-874,-991,1657,102,633,617,-198,512,2037,1168,-905,198,-46,512,2037,1168
76,151,360,-834,-1103,1548,313,558,516,-79,288,1899,1257,-862,122,-26,288,1899,1257
77,140,380,-785,-1123,1422,517,516,438,-11,107,1710,1317,-891,48,-4,107,1710,1317
78,140,353,-715,-1021,1289,674,476,342,19,-51,1525,1359,-899,-10,14,-51,1525,1359
79,159,301,-633,-852,1151,759,489,223,84,-201,1331,1381,-853,10,54,-201,1331,1381
80,182,268,-548,-674,1022,790,494,159,155,-323,1090,1341,-846,62,65,-323,1090,1341
81,202,239,-495,-555,898,804,486,110,208,-420,846,1264,-864,30,57,-420,846,1264
82,224,196,-470,-530,779,812,473,61,231,-515,590,1188,-778,42,51,-515,590,1188
83,278,129,-422,-561,661,816,437,53,230,-625,336,1125,-702,36,-22,-625,336,1125
