Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
swing,0.45931,0.46942,0.37399,0.40706,0.30171,0.27992,0.42812,0.52867,0.0,0.02831,0.46181,0.56359,0.23821,0.18827,0.47355,0.55578,0.33153,0.29519,0.67052,0.90223,0.28654,0.34034,0.56136,0.75552,0.48062,0.47597,0.40156,0.46195,0.39779,0.37375,0.44831,0.52011,0.09191,0.06943,0.4981,0.68864,0.25412,0.24114,0.57944,0.72439,0.40277,0.35511,0.6926,1.0,0.32153,0.37593,0.62214,0.88897,0.01915,0.02579,0.38777,0.35201,0.39091,0.35444,0.46925,0.42368,0.30991,0.30308,0.39237,0.36921,0.25412,0.24114,0.57944,0.72439,0.40277,0.35511,0.6926,1.0,0.32153,0.37593,0.62214,0.88897
swing,0.43285,0.42982,0.37751,0.42392,0.29208,0.29058,0.42758,0.52939,0.00722,0.0,0.47251,0.56503,0.32184,0.33943,0.48562,0.62792,0.31101,0.27026,0.68391,1.0,0.29777,0.29207,0.54213,0.70412,0.45668,0.4597,0.38816,0.43482,0.38879,0.36528,0.43668,0.50601,0.07272,0.04945,0.49286,0.61896,0.292,0.30298,0.58366,0.75939,0.33248,0.29581,0.65706,0.91731,0.30278,0.26787,0.60993,0.85979,0.05981,0.05662,0.37187,0.34944,0.36383,0.349,0.43075,0.38478,0.31501,0.30672,0.3797,0.3611,0.292,0.30298,0.58366,0.75939,0.33248,0.29581,0.65706,0.91731,0.30278,0.26787,0.60993,0.85979
swing,0.4175,0.42458,0.35478,0.37884,0.31114,0.34398,0.44334,0.54363,0.00692,0.0,0.46768,0.54945,0.3427,0.36712,0.46048,0.53122,0.36318,0.36313,0.68549,1.0,0.28524,0.22064,0.52657,0.69019,0.45839,0.47912,0.38745,0.42956,0.38741,0.36237,0.43306,0.50961,0.08893,0.10174,0.48633,0.6312,0.34817,0.3567,0.59748,0.72183,0.33957,0.34444,0.63758,0.86156,0.32271,0.26293,0.54448,0.70666,0.04353,0.04306,0.38031,0.34674,0.35682,0.34276,0.46626,0.38964,0.32242,0.3046,0.39847,0.38359,0.34817,0.3567,0.59748,0.72183,0.33957,0.34444,0.63758,0.86156,0.32271,0.26293,0.54448,0.70666
swing,0.42244,0.4239,0.3387,0.35365,0.279,0.28436,0.42349,0.52368,0.02144,0.06688,0.45041,0.56097,0.25282,0.24739,0.46266,0.57033,0.2866,0.2698,0.67698,0.97088,0.27094,0.29284,0.49573,0.66506,0.43154,0.45367,0.38012,0.43814,0.33757,0.3042,0.42807,0.52336,0.09212,0.14193,0.4556,0.58713,0.22479,0.20194,0.57677,0.793,0.2981,0.28772,0.65829,1.0,0.28538,0.27524,0.54462,0.72579,0.0,0.00575,0.36015,0.321,0.33905,0.31652,0.43273,0.3943,0.28618,0.26884,0.3696,0.33741,0.22479,0.20194,0.57677,0.793,0.2981,0.28772,0.65829,1.0,0.28538,0.27524,0.54462,0.72579
swing,0.44582,0.44463,0.37777,0.40376,0.27124,0.26437,0.46293,0.57394,0.0,0.0468,0.51071,0.6611,0.32357,0.31575,0.49539,0.63583,0.24248,0.23181,0.71399,1.0,0.31678,0.36086,0.57722,0.75445,0.45333,0.44972,0.40474,0.4682,0.34199,0.30948,0.45468,0.56741,0.054,0.07156,0.51334,0.675,0.21723,0.204,0.59212,0.78998,0.24757,0.25962,0.6743,0.94243,0.29762,0.32983,0.62438,0.84433,0.00587,0.00627,0.37323,0.34068,0.3534,0.33763,0.42465,0.41631,0.30423,0.28998,0.39264,0.36188,0.21723,0.204,0.59212,0.78998,0.24757,0.25962,0.6743,0.94243,0.29762,0.32983,0.62438,0.84433
swing,0.49686,0.50211,0.43165,0.43107,0.34769,0.36174,0.54371,0.68109,0.02805,0.0,0.56124,0.67541,0.45294,0.4634,0.49383,0.56317,0.3736,0.36037,0.77134,1.0,0.34296,0.25544,0.65978,0.88484,0.51502,0.5095,0.47505,0.52817,0.42053,0.37774,0.50128,0.59216,0.09078,0.07689,0.5696,0.69321,0.37848,0.42195,0.65787,0.78877,0.33677,0.35211,0.70251,0.93937,0.3458,0.26198,0.65501,0.78834,0.0688,0.06846,0.43533,0.41051,0.42935,0.41438,0.54126,0.49488,0.38167,0.36467,0.46459,0.45059,0.37848,0.42195,0.65787,0.78877,0.33677,0.35211,0.70251,0.93937,0.3458,0.26198,0.65501,0.78834
swing,0.46497,0.45894,0.37688,0.39813,0.32412,0.35201,0.47349,0.58915,0.0,0.00391,0.50616,0.61296,0.30367,0.31893,0.52246,0.64875,0.39435,0.42482,0.69652,0.93848,0.28808,0.26958,0.58086,0.80363,0.48011,0.48625,0.43697,0.50497,0.41058,0.35271,0.48339,0.59239,0.08524,0.13272,0.51074,0.66957,0.32316,0.29338,0.60551,0.8291,0.42327,0.45527,0.69177,1.0,0.3394,0.30616,0.63075,0.82744,0.01708,0.02666,0.40969,0.37581,0.38928,0.37721,0.49853,0.47837,0.32906,0.32191,0.433,0.3878,0.32316,0.29338,0.60551,0.8291,0.42327,0.45527,0.69177,1.0,0.3394,0.30616,0.63075,0.82744
swing,0.43752,0.43418,0.37215,0.40449,0.26954,0.28446,0.46082,0.54647,0.01174,0.06299,0.49295,0.61349,0.27629,0.26398,0.5259,0.63845,0.33755,0.32886,0.70698,0.96601,0.25768,0.24299,0.55848,0.79255,0.45048,0.4519,0.39678,0.45466,0.37406,0.32508,0.4792,0.64309,0.07672,0.10016,0.49261,0.67106,0.28738,0.28309,0.56215,0.80959,0.36877,0.31768,0.67455,1.0,0.30673,0.32903,0.66623,0.96825,0.0,0.0031,0.38259,0.33919,0.34777,0.34074,0.4077,0.4168,0.30024,0.29616,0.3953,0.34848,0.28738,0.28309,0.56215,0.80959,0.36877,0.31768,0.67455,1.0,0.30673,0.32903,0.66623,0.96825
swing,0.4658,0.45604,0.39142,0.40362,0.2811,0.30145,0.50066,0.60813,0.01534,0.0,0.50988,0.67427,0.3784,0.3579,0.4847,0.49721,0.25995,0.17792,0.73891,1.0,0.34197,0.30111,0.62967,0.89191,0.46126,0.45363,0.41422,0.47697,0.3904,0.33405,0.4842,0.62443,0.06675,0.07515,0.51703,0.67144,0.28736,0.29819,0.63563,0.9161,0.19894,0.1853,0.67998,0.95651,0.33144,0.31569,0.65734,0.89792,0.02764,0.02402,0.38805,0.35747,0.37208,0.35687,0.43473,0.42489,0.3217,0.30728,0.39438,0.3814,0.28736,0.29819,0.63563,0.9161,0.19894,0.1853,0.67998,0.95651,0.33144,0.31569,0.65734,0.89792
swing,0.44534,0.43444,0.36351,0.36817,0.29482,0.29911,0.4649,0.57054,0.0,0.01378,0.48494,0.59788,0.3278,0.35133,0.47921,0.53902,0.27126,0.25926,0.65784,0.88445,0.32611,0.3521,0.60564,0.81346,0.44323,0.45082,0.41723,0.48758,0.41626,0.40617,0.46122,0.57363,0.06401,0.03526,0.49549,0.5995,0.26155,0.31224,0.6011,0.84343,0.28047,0.25895,0.68703,1.0,0.32057,0.33279,0.60093,0.8303,0.04993,0.05472,0.40173,0.36832,0.39302,0.3728,0.46619,0.45136,0.32142,0.30143,0.41029,0.39482,0.26155,0.31224,0.6011,0.84343,0.28047,0.25895,0.68703,1.0,0.32057,0.33279,0.60093,0.8303
