id,acc_rh_x,acc_rh_y,acc_rh_z,gyro_rh_x,gyro_rh_y,gyro_rh_z,acc_lh_x,acc_lh_y,acc_lh_z,gyro_lh_x,gyro_lh_y,gyro_lh_z,acc_leg_x,acc_leg_y,acc_leg_z,gyro_leg_x,gryo_leg_y,gryo_leg_z
1,-1607,-778,-281,-1787,-500,-1373,-1014,729,-186,-2080,2091,-153,-803,1822,950,-2080,2091,-153
2,-1732,-800,-136,-1743,-133,-1337,-1145,871,-193,-2296,2287,-278,-577,260,344,-2296,2287,-278
3,-1397,-748,-73,-1316,161,-1534,-1100,1130,-132,-2423,2500,-183,-1103,22,239,-2423,2500,-183
4,-1287,-748,-164,-509,344,-1964,-1039,1145,33,-2373,2500,122,-1167,275,162,-2373,2500,122
5,-1087,-815,-252,123,327,-2303,-824,1109,-49,-2223,2500,421,-698,36,-33,-2223,2500,421
6,-966,-972,-226,317,198,-2500,-684,1269,-114,-1866,2500,735,-932,370,99,-1866,2500,735
7,-950,-1152,27,-1,43,-2500,-567,1389,-6,-1278,2500,1018,-821,-12,32,-1278,2500,1018
8,-812,-1216,117,-322,14,-2500,-517,1423,24,-827,2500,1167,-870,-213,-91,-827,2500,1167
9,-887,-1150,-11,-438,33,-2500,-439,1295,87,-384,2500,1254,-921,62,-22,-384,2500,1254
10,-801,-1000,65,-384,-33,-2500,-273,1157,141,-116,2500,1322,-923,221,-53,-116,2500,1322
11,-713,-1119,7,-466,-134,-2500,-134,1121,180,-23,2500,1482,-781,269,0,-23,2500,1482
12,-733,-1054,143,-279,-130,-2500,-33,1181,303,206,2500,1611,-885,22,-60,206,2500,1611
13,-664,-1071,170,273,-205,-2500,60,1162,305,524,2431,1740,-901,30,57,524,2431,1740
14,-494,-1004,187,523,-458,-2500,119,992,403,746,2123,1810,-859,14,20,746,2123,1810
15,-484,-1146,132,199,-592,-2500,271,835,485,851,1734,1802,-893,272,114,851,1734,1802
16,-486,-1015,140,143,-662,-2500,385,643,485,808,1350,1720,-866,241,123,808,1350,1720
17,-318,-934,67,299,-866,-2500,441,619,438,660,922,1624,-904,-208,-51,660,922,1624
18,-174,-791,11,333,-1090,-2500,477,600,487,632,488,1515,-920,-26,46,632,488,1515
19,-120,-780,-42,281,-1193,-2468,578,402,481,447,109,1371,-887,357,131,447,109,1371
20,-149,-738,-74,313,-1287,-2297,584,397,351,141,-199,1256,-898,130,-62,141,-199,1256
21,-91,-623,-182,695,-1450,-2114,637,371,236,-56,-508,1139,-907,-169,-9,-56,-508,1139
22,-34,-739,-357,867,-1648,-1863,686,353,101,-40,-721,990,-865,146,60,-40,-721,990
23,25,-699,-550,646,-1668,-1627,607,408,-76,122,-860,855,-813,388,-3,122,-860,855
24,81,-583,-559,603,-1624,-1490,495,356,-287,112,-880,764,-868,-79,-14,112,-880,764
25,119,-295,-658,1093,-1544,-1355,483,185,-362,-40,-779,603,-1001,-187,9,-40,-779,603
26,-2000,-770,-2000,2026,-162,-1995,-1662,2000,-2000,1177,280,1054,-850,206,153,1177,280,1054
27,1029,-591,-456,1395,177,6,679,-241,-332,590,543,-235,-803,15,-125,590,543,-235
28,583,-954,-273,-351,-323,-128,782,465,-304,266,523,-355,-980,-12,-27,266,523,-355
29,721,-77,-233,-339,-687,-90,670,435,-117,386,127,-346,-907,-15,35,386,127,-346
30,633,-266,-633,-15,-652,39,485,328,-479,516,11,-588,-784,102,46,516,11,-588
31,686,-231,-768,-139,-468,212,481,432,-746,895,56,-805,-901,109,17,895,56,-805
32,626,-273,-720,-308,-308,365,509,474,-818,1230,207,-995,-936,-25,-37,1230,207,-995
33,633,-338,-676,-490,-190,551,439,540,-792,1380,428,-1071,-903,23,45,1380,428,-1071
34,558,-383,-625,-544,-126,665,369,433,-799,1165,659,-1219,-833,126,27,1165,659,-1219
35,604,-234,-465,-427,-135,883,277,385,-729,777,962,-1469,-890,4,-6,777,962,-1469
36,492,-514,-453,-365,-318,1029,196,385,-520,539,1137,-1748,-900,-21,-19,539,1137,-1748
