Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
turnclap,0.07017,0.0,0.43503,0.50702,0.06153,0.04794,0.34011,0.40393,0.19878,0.2276,0.38409,0.44638,0.00285,0.08757,0.57498,0.78672,0.06708,0.12353,0.42951,0.4908,0.00212,0.01354,0.61198,1.0,0.15452,0.1138,0.4258,0.51012,0.47832,0.47945,0.34958,0.40175,0.2363,0.26835,0.37113,0.35691,0.05552,0.02214,0.5931,0.91285,0.56898,0.6481,0.61812,0.8513,0.18451,0.17091,0.58329,0.75175,0.00644,0.00747,0.34753,0.28139,0.24477,0.26158,0.39411,0.33998,0.31291,0.26891,0.37719,0.32729,0.05552,0.02214,0.5931,0.91285,0.56898,0.6481,0.61812,0.8513,0.18451,0.17091,0.58329,0.75175
turnclap,0.11774,0.03161,0.49101,0.586,0.10431,0.11051,0.39255,0.42682,0.20187,0.19078,0.44342,0.52042,0.0,0.09446,0.62548,0.89042,0.07557,0.11748,0.47304,0.54799,0.14088,0.11763,0.68967,0.75321,0.17868,0.1037,0.51774,0.65878,0.51637,0.50975,0.39953,0.40441,0.26718,0.30104,0.4166,0.40032,0.06675,0.04024,0.66197,1.0,0.5277,0.63939,0.70164,0.8908,0.16074,0.19048,0.60326,0.73761,0.0307,0.03524,0.41114,0.35201,0.29316,0.3074,0.4605,0.45219,0.37523,0.3483,0.44899,0.42031,0.06675,0.04024,0.66197,1.0,0.5277,0.63939,0.70164,0.8908,0.16074,0.19048,0.60326,0.73761
turnclap,0.22674,0.14869,0.54995,0.62353,0.23697,0.23366,0.45528,0.46225,0.30648,0.29861,0.49657,0.51779,0.10143,0.08104,0.65223,0.87336,0.1898,0.18604,0.53272,0.60073,0.27583,0.23082,0.67471,0.61886,0.27458,0.19876,0.57022,0.68333,0.55524,0.55311,0.46253,0.48627,0.3579,0.3829,0.46933,0.46963,0.1484,0.0,0.7056,1.0,0.5541,0.65242,0.65204,0.68232,0.20785,0.19226,0.61639,0.59931,0.13144,0.14166,0.47276,0.44027,0.37878,0.38966,0.52664,0.51739,0.44781,0.41956,0.51521,0.51096,0.1484,0.0,0.7056,1.0,0.5541,0.65242,0.65204,0.68232,0.20785,0.19226,0.61639,0.59931
turnclap,0.24619,0.17207,0.61505,0.7034,0.26798,0.26434,0.53663,0.56741,0.37994,0.36658,0.53052,0.55011,0.10099,0.08463,0.72915,0.97319,0.25299,0.26325,0.64197,0.65734,0.26316,0.17612,0.83331,0.80938,0.30644,0.22257,0.62938,0.69342,0.62475,0.64698,0.53529,0.57014,0.38937,0.41334,0.54076,0.59531,0.15544,0.0,0.78001,1.0,0.69094,0.77182,0.72779,0.82551,0.30829,0.24174,0.775,0.73309,0.14505,0.15711,0.51941,0.46945,0.424,0.45698,0.57654,0.51683,0.49226,0.44919,0.56056,0.52042,0.15544,0.0,0.78001,1.0,0.69094,0.77182,0.72779,0.82551,0.30829,0.24174,0.775,0.73309
turnclap,0.14935,0.06104,0.5548,0.65847,0.20482,0.21197,0.47767,0.49181,0.2678,0.27048,0.45574,0.51944,0.0,0.02014,0.69169,1.0,0.24398,0.33942,0.61198,0.59873,0.23585,0.19828,0.78239,0.79268,0.1816,0.10146,0.58799,0.68756,0.53951,0.53859,0.46641,0.50526,0.28272,0.29085,0.46598,0.50526,0.10855,0.02356,0.70811,0.86994,0.51639,0.59009,0.70859,0.98941,0.23033,0.24098,0.77731,0.97441,0.06652,0.0687,0.44131,0.38612,0.35549,0.38147,0.50116,0.43917,0.40585,0.36827,0.46897,0.40959,0.10855,0.02356,0.70811,0.86994,0.51639,0.59009,0.70859,0.98941,0.23033,0.24098,0.77731,0.97441
turnclap,0.13439,0.0746,0.53362,0.52672,0.24389,0.24518,0.45409,0.44143,0.29436,0.31949,0.44291,0.49473,0.05567,0.00131,0.69998,1.0,0.29376,0.36152,0.55949,0.62183,0.16875,0.16404,0.71323,0.63099,0.20905,0.1335,0.54913,0.64502,0.53347,0.52076,0.46892,0.48084,0.32612,0.3432,0.43057,0.42776,0.04181,0.0,0.65373,0.92954,0.5514,0.61441,0.66087,0.86541,0.27729,0.21988,0.72865,0.91456,0.09086,0.10063,0.48096,0.42558,0.34353,0.3653,0.51501,0.53407,0.41084,0.36836,0.48972,0.46237,0.04181,0.0,0.65373,0.92954,0.5514,0.61441,0.66087,0.86541,0.27729,0.21988,0.72865,0.91456
turnclap,0.20084,0.14687,0.57635,0.56566,0.31231,0.31573,0.4957,0.49335,0.34479,0.37237,0.49804,0.52246,0.16702,0.14423,0.70271,0.91669,0.30629,0.34168,0.6382,0.71694,0.25829,0.2118,0.77239,0.788,0.26493,0.20956,0.59676,0.67736,0.56422,0.5465,0.51437,0.51653,0.3962,0.40938,0.47977,0.49164,0.12076,0.0,0.71868,1.0,0.5423,0.56876,0.70405,0.81632,0.31044,0.28267,0.72981,0.63264,0.16494,0.17229,0.51934,0.4566,0.38975,0.42018,0.53497,0.56019,0.45895,0.41807,0.5292,0.51159,0.12076,0.0,0.71868,1.0,0.5423,0.56876,0.70405,0.81632,0.31044,0.28267,0.72981,0.63264
turnclap,0.21216,0.15608,0.66796,0.57926,0.34665,0.3405,0.57344,0.56288,0.39793,0.41547,0.58219,0.62367,0.15709,0.16269,0.78283,0.98,0.37886,0.43373,0.703,0.70368,0.27175,0.27876,0.83272,0.88668,0.30022,0.23592,0.70011,0.82172,0.67198,0.64367,0.57481,0.56367,0.44928,0.4709,0.56027,0.57233,0.10715,0.0,0.79126,1.0,0.60134,0.70982,0.7927,0.96724,0.40848,0.33231,0.81825,0.82621,0.18776,0.1934,0.55492,0.50547,0.47116,0.49327,0.59562,0.588,0.53403,0.50744,0.58633,0.55713,0.10715,0.0,0.79126,1.0,0.60134,0.70982,0.7927,0.96724,0.40848,0.33231,0.81825,0.82621
turnclap,0.21707,0.12593,0.63809,0.75198,0.30204,0.30346,0.53023,0.51792,0.33685,0.34721,0.53798,0.60205,0.13167,0.13691,0.69851,0.74484,0.34001,0.43221,0.674,0.68125,0.32005,0.28276,0.8506,0.8242,0.29871,0.22708,0.64754,0.79722,0.63724,0.62871,0.53322,0.54105,0.40565,0.41559,0.50929,0.50851,0.103,0.0,0.73729,1.0,0.56249,0.62558,0.69952,0.87705,0.31468,0.2804,0.82623,0.85376,0.15707,0.16279,0.5169,0.47267,0.46498,0.4711,0.53184,0.52741,0.4703,0.46452,0.50921,0.49047,0.103,0.0,0.73729,1.0,0.56249,0.62558,0.69952,0.87705,0.31468,0.2804,0.82623,0.85376
turnclap,0.2132,0.1469,0.5863,0.61358,0.3005,0.3139,0.52677,0.51055,0.35171,0.38067,0.5384,0.59635,0.09513,0.08673,0.69926,0.92131,0.33255,0.41844,0.653,0.61739,0.27878,0.21496,0.80845,0.79746,0.2839,0.22243,0.61046,0.70843,0.60803,0.60727,0.52767,0.52247,0.40723,0.41427,0.49689,0.48435,0.10239,0.0,0.7377,1.0,0.58069,0.62866,0.6715,0.77635,0.31063,0.27068,0.7876,0.80191,0.17476,0.18036,0.51355,0.46073,0.4325,0.45405,0.55137,0.53497,0.4758,0.44227,0.53446,0.49526,0.10239,0.0,0.7377,1.0,0.58069,0.62866,0.6715,0.77635,0.31063,0.27068,0.7876,0.80191
