id,acc_rh_x,acc_rh_y,acc_rh_z,gyro_rh_x,gyro_rh_y,gyro_rh_z,acc_lh_x,acc_lh_y,acc_lh_z,gyro_lh_x,gyro_lh_y,gyro_lh_z,acc_leg_x,acc_leg_y,acc_leg_z,gyro_leg_x,gryo_leg_y,gryo_leg_z
1,1734,640,1971,255,-1059,175,1235,-673,1327,-1425,-1115,23,-57,136,239,-1802,-1085,34
2,1386,345,1534,936,-2015,253,1111,-699,1309,-1523,-1661,-88,-208,176,175,-1900,-1632,-76
3,952,-50,1379,1701,-2431,288,886,-578,1253,-2136,-2021,-286,-324,72,269,2487,-1991,-274
4,471,-512,1118,2292,-2431,348,569,-91,1222,-2500,-2219,-385,-459,62,396,2123,-2190,-373
5,-200,-1292,520,2487,-2431,323,140,855,802,-2500,-2372,-568,-457,-691,1071,2123,-2342,-556
6,-680,-1829,28,2464,-2431,353,-197,1979,333,-2500,-2212,-658,-1349,-844,821,2123,-2183,-647
7,-1219,-2000,-621,2048,-2431,347,-390,2000,0,-2500,-1719,-470,-2000,-725,-1696,2123,-1690,-459
8,-2000,-2000,-1283,1084,-2431,163,-450,2000,-320,-1405,-1241,-155,-1963,-287,-1101,-1782,-1211,-144
9,-2000,-2000,-1928,-98,-1679,-326,-982,2000,-1025,-388,-797,273,-2000,919,-499,-765,-767,284
10,-2000,-2000,-2000,-923,-40,-555,-1038,2000,-1514,556,-83,707,-2000,701,-1088,179,-53,719
11,-2000,-2000,-2000,-1273,1242,-772,-818,2000,-1385,1683,671,1004,-1668,-385,-913,1306,701,1016
12,-1421,-1635,-1578,-1386,-2431,-749,-209,1920,-606,1850,1301,1030,-1997,21,-481,1474,1331,1042
13,-111,-1239,-490,-1496,-2431,-686,422,928,-22,696,1508,938,-1182,-114,-70,319,1537,949
14,537,-881,153,-1144,-2431,-623,659,956,116,828,1353,838,-564,-336,638,451,1382,850
15,779,-803,236,-1229,-2431,-593,795,910,562,2500,1403,512,-205,180,1099,2123,1432,524
16,1240,-693,775,-1983,2457,-567,1416,-124,1080,2500,1474,46,-274,0,420,2123,1503,57
17,1409,91,1304,-2184,1881,-437,1610,-1306,1465,2500,1038,-52,-192,143,285,2123,1067,-40
18,1756,731,1403,-1564,1251,-185,1471,-1485,1053,416,353,-159,-1,38,123,40,383,-147
19,1786,984,1560,-245,407,-160,1224,-952,747,-317,-85,-264,145,65,247,-693,-56,-252
20,1558,635,1180,343,-415,-73,1170,-734,886,-579,-448,-310,82,147,261,-955,-418,-299
21,1384,446,1115,473,-1160,171,1024,-563,884,-621,-916,-347,-56,208,231,-998,-886,-336
22,1182,596,1138,1103,-1887,487,855,-662,838,-1337,-1109,-467,-154,127,192,-1713,-1079,-456
23,798,107,1013,1891,-2431,750,894,-201,1243,-2500,-1324,-448,-350,48,227,2123,-1294,-436
