id,acc_rh_x,acc_rh_y,acc_rh_z,gyro_rh_x,gyro_rh_y,gyro_rh_z,acc_lh_x,acc_lh_y,acc_lh_z,gyro_lh_x,gyro_lh_y,gyro_lh_z,acc_leg_x,acc_leg_y,acc_leg_z,gyro_leg_x,gryo_leg_y,gryo_leg_z
1,-763,98,-218,-829,334,-116,-695,503,98,-43,2278,503,-857,-171,-198,-451,2255,499
2,-804,72,-198,-301,234,121,-470,222,208,112,1954,576,-875,-191,-189,-294,1930,573
3,-841,-60,-233,72,166,323,-291,94,149,2,1671,550,-914,33,-258,-405,1648,546
4,-883,-199,-281,239,103,403,-94,121,216,5,1390,440,-928,70,-308,-402,1367,437
5,-923,-248,-325,166,92,381,-13,93,285,36,1045,338,-876,0,-302,-370,1021,335
6,-962,-194,-336,104,81,351,88,61,302,-35,719,311,-916,-182,-310,-442,696,308
7,-930,-163,-354,228,23,369,168,40,312,-23,386,305,-904,-206,-298,-431,362,302
8,-887,-247,-384,283,-13,313,191,75,283,151,16,270,-887,57,-281,-255,-7,267
9,-869,-275,-392,188,-15,185,138,111,258,361,-280,276,-903,76,-292,-46,-304,272
10,-896,-245,-381,15,1,60,81,42,298,403,-579,331,-922,-44,-278,-3,-603,327
11,-897,-207,-383,-136,26,1,70,17,271,358,-881,374,-903,-62,-273,-48,-904,371
12,-896,-150,-388,-132,46,-4,-31,41,186,356,-1168,385,-874,15,-303,-51,-1191,382
13,-879,-95,-390,14,57,19,-173,54,149,226,-1396,398,-904,-24,-301,-181,-1419,395
14,-893,-91,-379,198,46,68,-327,31,93,-121,-1659,425,-945,-179,-244,-528,-1683,421
15,-911,-58,-427,266,22,80,-456,173,-45,-182,-1951,395,-904,-9,-256,-589,-1974,391
16,-903,93,-582,179,46,118,-723,266,8,14,-2242,324,-862,185,-332,-393,-2265,321
17,-883,217,-726,55,129,249,-928,97,-118,-144,-2476,337,-895,142,-339,-551,-2499,333
18,-940,224,-870,-46,363,421,-851,96,-511,-340,-2476,271,-931,-19,-421,-747,-2499,268
19,-818,423,-884,11,483,385,-1242,247,-146,-416,-2476,-12,-1053,204,-694,-824,-2499,-16
20,-1035,956,-1224,-86,639,569,-2000,494,-527,-149,-2476,155,-1560,949,-660,-557,-2499,152
21,-1391,1166,-1314,187,952,1019,-2000,660,-1069,1045,-2476,351,-1386,1126,-746,638,-2499,348
22,-1362,1091,-1405,592,1267,1325,-2000,143,-693,1841,-2476,645,-1261,961,-1046,1433,-2499,641
23,-998,1122,-1422,809,1513,1585,-2000,-421,-533,590,-2076,746,-918,533,-832,183,-2100,743
24,-1153,774,-1426,577,1594,1761,-1864,-264,-831,-552,-1776,760,-1042,711,-207,-960,-1799,757
25,-1279,728,-1485,109,1733,1962,-1809,-99,-808,-913,-1635,664,-1232,1083,-534,-1320,-1658,661
26,-1228,554,-1246,148,1805,2151,-1501,16,-827,-711,-1499,380,-1145,205,-390,-1118,-1522,376
27,-1157,438,-1139,355,1837,2211,-1037,42,-1023,4,-1181,146,-1326,-122,-304,-402,-1204,143
28,-1132,262,-917,730,1923,2170,-945,-117,-837,427,-935,-48,-1301,-118,-175,19,-958,-52
29,-992,70,-598,1248,1925,1932,-1028,-182,-575,111,-655,-235,-1099,44,-19,-296,-678,-239
30,-844,-131,-561,1683,1871,1495,-1095,-129,-406,-539,-401,-420,-1040,-16,83,-947,-424,-424
31,-694,-190,-574,1483,1924,1040,-1292,-354,-563,-2474,62,-341,-904,-86,169,2118,39,-344
32,-486,-279,-325,1158,1877,699,-1089,1122,-127,-2474,205,-302,-743,-55,253,2118,182,-305
33,-182,-306,-162,954,1625,332,-900,755,-122,-55,179,-132,-649,-133,299,-463,156,-136
34,-60,-277,-114,454,1319,84,-926,371,38,579,238,-70,-649,-328,292,171,215,-74
35,3,-185,-36,40,1056,-50,-1008,335,120,513,229,-30,-573,-408,314,105,205,-34
36,74,-199,65,-55,740,-127,-948,302,114,484,237,-37,-605,-459,343,76,214,-40
37,58,-233,61,-176,473,-261,-882,307,137,310,213,-55,-716,-397,381,-97,190,-59
38,63,-152,121,-250,228,-400,-870,316,136,157,205,18,-765,-336,362,-250,181,14
39,91,-63,189,-148,-124,-460,-915,331,122,211,182,64,-828,-230,264,-196,159,61
40,54,-49,111,-40,-459,-489,-980,290,128,361,208,86,-965,-114,153,-46,185,83
41,-15,-59,30,43,-774,-521,-981,192,170,161,258,109,-1123,-67,74,-245,234,105
42,-121,-99,-46,133,-1049,-594,-953,233,181,-163,275,137,-1282,-39,21,-571,252,134
43,-242,-120,-78,206,-1301,-697,-925,292,161,-258,281,176,-1406,-28,-28,-665,258,172
44,-469,-166,-62,223,-1636,-800,-890,259,172,-204,268,231,-1372,43,-129,-611,245,228
45,-718,-164,-179,238,-1980,-909,-864,235,174,-138,252,264,-1381,515,-421,-545,229,261
46,-876,-148,-309,213,-2270,-1030,-901,237,179,-5,204,257,-1458,622,-668,-412,180,254
47,-1079,-216,-332,72,-2481,-1136,-943,238,161,151,167,189,-1254,406,-1013,-256,143,185
48,-1375,-193,-640,-314,-2481,-1206,-996,228,140,256,153,89,-796,935,-1356,-150,130,85
49,-1780,-84,-924,-621,-2481,-1472,-1030,246,32,300,160,25,-1293,303,-1885,-106,136,22
50,-1631,222,-1266,-520,-2481,-1649,-972,234,-97,493,225,1,-2000,2000,-2000,86,201,-1
51,-1903,435,-967,-301,-2481,-1440,-1229,224,-126,660,230,-55,-2000,1650,-1043,252,207,-58
52,-2000,407,-1517,-56,-2481,-1270,-1766,158,-250,708,212,-90,-932,-413,-230,300,189,-94
53,-1851,513,-1904,-318,-2287,-1312,-1720,-21,-696,633,501,-38,-501,-219,-198,226,478,-41
54,-1421,617,-1841,-758,-1851,-1418,-1060,-425,-1024,553,705,14,-931,-82,128,145,682,10
