Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
byebye,0.02715,0.03571,0.44119,0.40419,0.33754,0.29107,0.46084,0.4608,0.11617,0.19264,0.48943,0.54878,0.34299,0.34683,0.51932,0.50369,0.31122,0.33952,0.70368,0.59716,0.38368,0.34744,0.58823,0.58177,0.03147,0.02154,0.51148,0.56059,0.35179,0.35445,0.4042,0.38431,0.23854,0.2903,0.47775,0.57606,0.3099,0.31087,0.55422,0.54277,0.11899,0.16491,0.744,0.99992,0.32509,0.35308,0.43029,0.4125,0.0,0.03068,0.38932,0.38088,0.35558,0.30722,0.44647,0.40046,0.22603,0.24063,0.43189,0.37684,0.21754,0.18883,0.5532,0.54597,0.11192,0.15775,0.74397,1.0,0.32406,0.35216,0.43031,0.41257
byebye,0.0243,0.03242,0.45751,0.46122,0.29905,0.26999,0.43484,0.4195,0.11628,0.19506,0.49229,0.62151,0.28774,0.30817,0.51766,0.53388,0.15002,0.27453,0.69108,0.97424,0.26907,0.23111,0.50424,0.48045,0.0,0.00745,0.45566,0.44192,0.33557,0.35727,0.38279,0.3809,0.20125,0.26275,0.46573,0.57745,0.26736,0.21876,0.50674,0.51295,0.20221,0.36025,0.72679,1.0,0.26083,0.28872,0.40768,0.35677,0.00435,0.03214,0.37793,0.35663,0.33599,0.28759,0.43829,0.41176,0.20698,0.23721,0.42756,0.36614,0.15175,0.1031,0.50676,0.51302,0.21041,0.35684,0.72969,0.9377,0.25987,0.28759,0.4077,0.35677
byebye,0.06853,0.04538,0.46357,0.5682,0.27494,0.25351,0.39435,0.37233,0.1467,0.18423,0.4601,0.52258,0.31767,0.32764,0.47569,0.49393,0.2222,0.25736,0.72932,1.0,0.26847,0.20661,0.48672,0.44917,0.00855,0.01003,0.43731,0.38858,0.34321,0.36471,0.36909,0.3682,0.23454,0.31182,0.44502,0.50327,0.23548,0.22301,0.4741,0.49514,0.21095,0.35245,0.65715,0.71261,0.28718,0.28986,0.3807,0.37255,0.0,0.01844,0.3671,0.37996,0.31924,0.2796,0.42104,0.37825,0.21564,0.23241,0.41436,0.43021,0.13421,0.11224,0.47823,0.48616,0.21918,0.34831,0.65999,0.69258,0.28621,0.28887,0.38072,0.37276
byebye,0.02836,0.03403,0.47847,0.47156,0.32459,0.27202,0.45417,0.44255,0.11526,0.17392,0.49391,0.59764,0.35442,0.32769,0.52342,0.61433,0.33418,0.2965,0.78425,0.83703,0.38635,0.31662,0.5768,0.61456,0.02707,0.00955,0.50705,0.56209,0.36374,0.36247,0.41082,0.41362,0.24087,0.27981,0.4641,0.59297,0.30382,0.30352,0.56115,0.53051,0.15829,0.26921,0.76245,1.0,0.33522,0.32208,0.41451,0.43,0.0,0.0228,0.37998,0.39693,0.36194,0.3096,0.45549,0.42282,0.22552,0.23927,0.42551,0.40964,0.19305,0.18562,0.56173,0.52941,0.16731,0.26562,0.76788,0.98472,0.33414,0.32098,0.41451,0.43007
byebye,0.00395,0.02048,0.36435,0.3201,0.24004,0.20679,0.3496,0.32948,0.09224,0.13778,0.40744,0.47607,0.22458,0.22566,0.42735,0.47736,0.14459,0.21365,0.56787,0.64111,0.25811,0.22836,0.40184,0.33003,0.03599,0.01288,0.38752,0.46872,0.27281,0.27886,0.31073,0.30662,0.17121,0.1911,0.3473,0.44684,0.22891,0.20581,0.40943,0.42974,0.29284,0.33316,0.64033,1.0,0.23212,0.22444,0.33403,0.35105,0.0,0.01619,0.29978,0.2723,0.27113,0.23535,0.35673,0.2962,0.17385,0.18595,0.33825,0.27445,0.12906,0.10591,0.40943,0.42999,0.29991,0.32801,0.6386,0.96035,0.23128,0.2237,0.33404,0.3513
byebye,0.03184,0.02939,0.42121,0.39461,0.25937,0.23863,0.3621,0.35479,0.1161,0.1616,0.47178,0.58398,0.27827,0.28302,0.4865,0.53788,0.11622,0.24273,0.66724,1.0,0.26564,0.24136,0.4219,0.38054,0.01576,0.00767,0.41099,0.37938,0.31548,0.33369,0.33344,0.34462,0.18611,0.21814,0.39684,0.49438,0.23947,0.22784,0.41873,0.42431,0.37873,0.37767,0.68129,0.86253,0.2619,0.26226,0.35307,0.36517,0.0,0.02188,0.35016,0.33827,0.29687,0.26212,0.39676,0.3384,0.21725,0.2176,0.40018,0.36449,0.1282,0.11639,0.41874,0.42445,0.40083,0.37275,0.6731,0.82067,0.26097,0.2613,0.35307,0.36517
byebye,0.04461,0.03089,0.37183,0.41872,0.23149,0.21364,0.31035,0.31441,0.09302,0.12457,0.40555,0.51205,0.29429,0.28819,0.40044,0.4479,0.13287,0.17702,0.62918,1.0,0.26037,0.22569,0.38703,0.44129,0.0,0.00372,0.36007,0.31305,0.28213,0.29551,0.29058,0.30673,0.17456,0.20136,0.34331,0.41979,0.23395,0.21825,0.38776,0.37484,0.18692,0.30638,0.57009,0.66025,0.25596,0.25452,0.28662,0.29285,0.0008,0.02038,0.30456,0.32593,0.26696,0.23739,0.33893,0.33095,0.18503,0.19049,0.34676,0.35777,0.13771,0.12209,0.38777,0.37496,0.20603,0.3052,0.57331,0.62947,0.25513,0.25357,0.2866,0.29297
byebye,0.0407,0.04761,0.48328,0.43824,0.32133,0.30006,0.44133,0.45604,0.10887,0.18224,0.55519,0.66836,0.35734,0.36483,0.56799,0.5334,0.263,0.32857,0.80535,0.86866,0.39202,0.34324,0.52954,0.54758,0.0593,0.02899,0.54395,0.65419,0.38497,0.3907,0.40628,0.42168,0.2583,0.29924,0.49239,0.58515,0.33814,0.33665,0.54815,0.50045,0.24049,0.36005,0.80969,1.0,0.36542,0.37274,0.43834,0.4239,0.0,0.03509,0.43175,0.43066,0.38409,0.33648,0.46895,0.44368,0.23155,0.26035,0.46417,0.42588,0.20392,0.20218,0.54816,0.50078,0.23285,0.35247,0.80968,1.0,0.36425,0.37175,0.43832,0.42357
byebye,0.03732,0.04623,0.47967,0.41777,0.30374,0.28203,0.44253,0.4515,0.12573,0.22108,0.55207,0.67108,0.3175,0.33694,0.58296,0.52654,0.24087,0.32472,0.7602,0.79289,0.33991,0.30452,0.50831,0.45891,0.07555,0.02277,0.51898,0.63067,0.37666,0.38697,0.39405,0.40652,0.23593,0.2817,0.48403,0.54145,0.31228,0.29539,0.50959,0.52002,0.42729,0.51049,0.77239,0.99967,0.32134,0.34102,0.46352,0.5021,0.0,0.03499,0.44421,0.41809,0.3714,0.31788,0.48353,0.41744,0.23421,0.25889,0.48354,0.38102,0.17954,0.16258,0.5096,0.52059,0.41971,0.50299,0.77238,1.0,0.32021,0.34004,0.4635,0.50193
byebye,0.06279,0.04433,0.43193,0.46958,0.2646,0.2521,0.37367,0.38598,0.11894,0.17787,0.46787,0.58289,0.31117,0.30408,0.46269,0.52447,0.1452,0.24233,0.70676,1.0,0.26425,0.23391,0.43074,0.42622,0.02563,0.01908,0.40617,0.35409,0.31938,0.33678,0.34541,0.35008,0.20634,0.25264,0.39188,0.42825,0.25398,0.25983,0.43122,0.43904,0.34816,0.39704,0.61241,0.59769,0.2718,0.26268,0.39437,0.43483,0.0,0.03483,0.39362,0.40152,0.3103,0.26173,0.42283,0.41007,0.21607,0.23039,0.43384,0.42567,0.14342,0.14923,0.43124,0.43952,0.34181,0.39066,0.61239,0.59762,0.27088,0.26173,0.39435,0.4349
