id,acc_rh_x,acc_rh_y,acc_rh_z,gyro_rh_x,gyro_rh_y,gyro_rh_z,acc_lh_x,acc_lh_y,acc_lh_z,gyro_lh_x,gyro_lh_y,gyro_lh_z,acc_leg_x,acc_leg_y,acc_leg_z,gyro_leg_x,gryo_leg_y,gryo_leg_z
1,-1,724,813,-1184,1281,1441,131,269,287,-1412,1090,127,-166,-1923,-1112,-1412,1090,127
2,107,528,920,-409,272,1629,0,102,192,-1338,991,-74,362,-1092,-1064,-1338,991,-74
3,218,125,1190,272,-732,1496,-57,317,201,-1296,932,-313,-84,-452,-611,-1296,932,-313
4,425,-211,1016,-31,-1434,1359,-167,408,143,-895,895,-476,-445,-492,397,-895,895,-476
5,588,-433,739,-168,-1857,1071,-173,453,112,-545,881,-506,-621,-255,2000,-545,881,-506
6,500,-678,423,654,-2231,679,-259,525,150,-352,875,-464,-45,404,2000,-352,875,-464
7,495,-724,-220,1855,-2020,295,-557,802,166,-209,808,-380,1026,1292,2000,-209,808,-380
8,874,-671,-692,2500,-1567,-74,-911,1119,101,66,791,-188,1491,1604,2000,66,791,-188
9,1528,-900,-3,2500,-1839,-286,-1418,1376,-30,699,828,21,-1813,-2000,-1056,699,828,21
10,1368,-1380,-206,2500,-2057,-954,-2000,1133,-75,682,1202,140,-2000,-347,1293,682,1202,140
11,1442,-2000,-1809,2500,-1371,-1967,-2000,662,65,-1441,2151,-64,-761,260,633,-1441,2151,-64
12,1716,-1237,-2000,556,-504,-2500,-1776,1273,161,-2500,2500,-404,480,43,858,-2500,2500,-404
13,1585,681,-2000,804,855,-2500,-1529,2000,28,-2500,2500,-236,-780,594,673,-2500,2500,-236
14,1417,-95,-1972,2500,1463,-2500,-1177,1618,387,-1286,2407,173,-1792,-981,726,-1286,2407,173
15,673,352,-2000,1521,2134,-2500,-730,764,444,-1083,1853,288,-1247,10,405,-1083,1853,288
16,477,1081,-1678,928,2500,-2500,-702,432,298,-1704,1896,30,-1800,-263,148,-1704,1896,30
17,183,1125,-963,1422,2500,-2149,-479,575,342,-1921,1980,-79,-1565,-642,-193,-1921,1980,-79
18,-48,1045,-396,566,2500,-1298,-311,495,394,-1658,1841,-24,-1128,-357,-282,-1658,1841,-24
19,-98,1003,308,-1099,2500,-146,-128,140,433,-1503,1593,-42,-889,-95,-169,-1503,1593,-42
20,46,913,840,-1458,2500,783,20,124,407,-1532,1409,-73,-433,-821,-313,-1532,1409,-73
21,211,783,921,-1094,1865,1423,73,238,325,-1244,1201,-85,408,-298,456,-1244,1201,-85
22,237,417,843,-920,927,1913,-11,260,251,-789,966,-125,568,-708,-1707,-789,966,-125
23,150,62,749,-974,55,2063,-166,228,195,-787,869,-179,140,-1085,-722,-787,869,-179
24,277,-158,850,-1000,-610,1851,-266,417,169,-839,853,-204,-644,-1400,-112,-839,853,-204
25,588,-493,714,-98,-1314,1051,-450,642,169,-463,794,-198,-1669,-192,1098,-463,794,-198
26,622,-626,-49,964,-1733,194,-884,882,148,80,724,-265,-821,-74,1947,80,724,-265
27,953,-327,-366,2153,-1069,-228,-1272,917,135,47,844,-276,-2000,2000,2000,47,844,-276
28,1376,-535,20,2500,-1302,-520,-1568,1542,51,-470,1203,-135,-2000,-792,-1129,-470,1203,-135
29,1390,-439,-806,2500,-1342,-1225,-1613,1279,88,-895,1464,-29,-2000,-1683,461,-895,1464,-29
30,1671,-1036,-1621,2500,-851,-1874,-1317,1302,352,-1439,1358,160,-1426,-262,377,-1439,1358,160
31,1180,-1769,-2000,2462,-188,-2500,-1163,1301,328,-1468,1109,272,-486,-551,873,-1468,1109,272
32,607,344,-2000,545,1193,-2500,-989,1181,315,-1451,1081,226,-753,-8,218,-1451,1081,226
33,634,1525,-1535,1834,2072,-2500,-740,957,407,-1404,1106,105,-406,-842,-569,-1404,1106,105
34,245,939,-1275,2500,2500,-2500,-507,862,404,-1450,1077,37,-458,-416,-403,-1450,1077,37
35,102,769,-958,2198,2500,-2500,-262,612,339,-1585,1112,127,-244,-145,-82,-1585,1112,127
36,-174,1111,-494,1149,2500,-2174,-14,335,335,-1949,1128,306,-135,117,169,-1949,1128,306
37,-214,1381,59,524,2500,-1330,119,191,328,-2020,1076,443,-245,-59,243,-2020,1076,443
38,-102,1261,441,5,2500,-412,268,126,262,-1738,923,492,-482,-161,229,-1738,923,492
39,-43,1118,887,-723,2500,704,417,749,69,-577,537,631,-369,-149,271,-577,537,631
40,-32,848,1066,-1188,1704,1572,26,78,-167,715,434,699,-613,-240,805,715,434,699
41,27,899,1091,-1013,600,2274,-69,2,88,-229,797,430,-689,-418,1528,-229,797,430
42,104,298,1360,-515,-638,2500,-261,444,10,215,724,234,-195,69,1271,215,724,234
43,175,-294,1155,-532,-1594,2337,-636,605,-99,568,820,99,766,1902,2000,568,820,99
44,563,-641,887,108,-2277,1450,-973,754,-66,541,1027,-80,-985,-496,2000,541,1027,-80
45,865,-892,-81,1524,-2500,574,-1215,657,12,62,1307,-362,-2000,-2000,230,62,1307,-362
46,909,-1012,-273,2334,-2357,21,-1643,696,3,-889,1520,-868,-2000,2000,559,-889,1520,-868
47,1717,-1738,-924,2414,-2500,-585,-1780,869,3,-1535,1729,-1307,-107,-386,601,-1535,1729,-1307
48,1639,-1494,-2000,1664,-1905,-1431,-1711,1046,-395,-2500,1910,-1739,-254,342,625,-2500,1910,-1739
49,1643,-178,-2000,2277,-1002,-1797,-1483,1923,135,-2500,2358,-881,-1518,-51,549,-2500,2358,-881
50,1346,-574,-2000,2045,274,-2066,-880,2000,510,-2500,1831,154,-1066,-21,433,-2500,1831,154
51,1020,-772,-2000,1495,908,-2500,-744,1344,253,300,980,543,-920,265,365,300,980,543
52,719,-76,-2000,486,1513,-2500,-997,619,-4,1121,777,448,-942,-91,302,1121,777,448
53,427,554,-1402,66,2157,-2289,-782,249,94,553,842,245,-1081,-404,191,553,842,245
54,112,748,-887,337,2450,-1928,-671,-52,133,-592,943,72,-1158,-535,-12,-592,943,72
55,-14,850,-388,357,2498,-1475,-535,85,198,-1399,950,-51,-1179,-477,-199,-1399,950,-51
56,-59,835,-30,-8,2334,-918,-425,440,169,-1198,752,-119,-971,-397,-229,-1198,752,-119
57,58,1006,371,-1078,2131,-66,-306,606,57,-447,498,-80,-1020,-646,-214,-447,498,-80
58,122,994,552,-1813,1804,718,-262,347,20,226,352,-43,-857,-668,170,226,352,-43
59,148,1041,897,-1713,1225,1394,-158,111,125,206,298,-75,-441,-408,458,206,298,-75
60,104,780,1167,-890,348,1750,-202,2,127,-237,287,-155,-121,22,70,-237,287,-155
61,137,358,1143,-151,-486,1752,-299,167,75,-819,426,-324,-201,-1101,-417,-819,426,-324
62,359,-22,942,-230,-1156,1483,-440,421,47,-1000,623,-454,-201,-390,-391,-1000,623,-454
63,584,-320,783,-938,-1634,1172,-695,546,96,-825,809,-607,-338,125,237,-825,809,-607
64,782,-314,449,-259,-2231,393,-899,619,103,-788,1046,-682,-281,227,535,-788,1046,-682
65,753,-471,-40,1411,-2012,145,-1000,393,223,-1307,1305,-644,-48,14,883,-1307,1305,-644
66,1085,-522,169,2500,-1802,-173,-1184,479,296,-2500,1606,-573,1401,1567,2000,-2500,1606,-573
67,1364,-1206,-521,2500,-2014,-702,-1356,1040,266,-2500,1755,-414,-2000,407,-667,-2500,1755,-414
68,1409,-1109,-1462,2500,-1575,-1484,-1717,1415,123,-2500,1857,-319,-563,-99,566,-2500,1857,-319
69,1324,-1561,-1980,2500,-1284,-1904,-1521,1075,252,-2038,1779,-288,-1276,481,310,-2038,1779,-288
70,989,-1438,-2000,1767,-479,-2458,-1245,730,446,-1643,1448,-378,-1681,-199,195,-1643,1448,-378
71,936,-648,-2000,1494,241,-2500,-1057,796,426,-1623,1203,-486,-1720,-195,20,-1623,1203,-486
72,1038,-214,-2000,1192,735,-2500,-825,959,342,-1325,978,-465,-1582,-625,-37,-1325,978,-465
73,516,204,-2000,728,1070,-2500,-651,977,278,-640,715,-271,-1052,-305,-11,-640,715,-271
74,166,720,-1592,565,1549,-2500,-548,703,320,-437,598,-61,-375,-168,419,-437,598,-61
75,-78,777,-1372,514,1721,-2284,-481,516,356,-820,589,17,-33,-247,655,-820,589,17
76,-354,852,-1027,-478,2051,-1620,-429,575,375,-1094,576,-6,-271,-514,-324,-1094,576,-6
77,-345,1232,-341,-1044,2254,-817,-462,666,295,-1130,530,-84,-11,-829,-405,-1130,530,-84
78,-234,1130,180,-929,2159,-82,-457,722,238,-871,480,-144,-186,-276,-198,-871,480,-144
79,-168,934,475,-1177,1865,627,-364,622,237,-682,411,-127,-546,195,-21,-682,411,-127
80,-100,789,722,-1513,1472,1237,-263,532,219,-683,311,-44,-746,225,110,-683,311,-44
81,3,566,814,-1353,840,1548,-178,497,213,-680,202,86,-645,-243,157,-680,202,86
82,157,289,855,-1099,215,1663,-164,466,190,-600,79,226,-493,-266,563,-600,79,226
83,399,50,905,-820,-372,1582,-349,458,179,-483,-11,288,-665,-30,916,-483,-11,288
84,756,-224,846,-459,-915,1134,-663,463,123,-383,0,213,-576,76,1165,-383,0,213
85,1085,-447,639,-175,-1491,591,-871,557,16,-182,165,103,-395,375,943,-182,165,103
86,894,-384,110,887,-1713,20,-899,536,39,133,337,42,124,34,2000,133,337,42
87,1064,-431,-85,2462,-1364,-487,-1209,481,-28,156,423,-171,-1560,542,1917,156,423,-171
