Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
cowboy,0.36429,0.34255,0.35906,0.44328,0.22459,0.21077,0.42555,0.56075,0.12391,0.17196,0.49339,0.7815,0.38271,0.36526,0.54239,0.82787,0.27457,0.28305,0.62197,0.99012,0.0932,0.09164,0.60563,1.0,0.04648,0.05709,0.35781,0.4418,0.3812,0.36562,0.32636,0.33687,0.2602,0.25915,0.26249,0.28038,0.0,0.01415,0.43221,0.48297,0.46902,0.4463,0.3557,0.38005,0.19984,0.20473,0.31444,0.33019,0.05351,0.06987,0.4015,0.43967,0.18196,0.17149,0.39214,0.35284,0.31103,0.28222,0.41069,0.40827,0.0,0.01415,0.43221,0.48297,0.46902,0.4463,0.3557,0.38005,0.19984,0.20473,0.31444,0.33019
cowboy,0.36317,0.34571,0.35948,0.43408,0.27756,0.31095,0.42656,0.54549,0.15286,0.23127,0.50207,0.75677,0.39495,0.39418,0.51424,0.6329,0.37735,0.46907,0.634,1.0,0.11985,0.06915,0.60495,0.97353,0.06852,0.08813,0.34548,0.41482,0.37645,0.35748,0.32721,0.30975,0.28341,0.28397,0.27849,0.2806,0.0,0.02251,0.42634,0.47192,0.4454,0.42116,0.35491,0.3999,0.22249,0.22749,0.32234,0.34462,0.06787,0.09282,0.3656,0.38464,0.20921,0.19903,0.34237,0.33696,0.32085,0.29255,0.37199,0.39161,0.0,0.02251,0.42634,0.47192,0.4454,0.42116,0.35491,0.3999,0.22249,0.22749,0.32234,0.34462
cowboy,0.36206,0.3597,0.33906,0.41794,0.26144,0.27147,0.41557,0.55228,0.16745,0.21932,0.47713,0.67167,0.40495,0.41419,0.49608,0.64805,0.33095,0.37153,0.6233,1.0,0.14667,0.13221,0.57707,0.89139,0.078,0.08508,0.34357,0.40319,0.37755,0.35724,0.32053,0.34378,0.26238,0.27259,0.28398,0.27979,0.0,0.0155,0.38332,0.44669,0.44846,0.44814,0.32425,0.37533,0.21346,0.22546,0.3371,0.37879,0.06169,0.09636,0.34516,0.36087,0.20484,0.19307,0.35107,0.33786,0.32136,0.30017,0.37336,0.39683,0.0,0.0155,0.38332,0.44669,0.44846,0.44814,0.32425,0.37533,0.21346,0.22546,0.3371,0.37879
cowboy,0.40645,0.40988,0.36876,0.44113,0.27717,0.29223,0.44747,0.58873,0.1267,0.17195,0.51703,0.77914,0.42254,0.44563,0.56293,0.76039,0.33827,0.36174,0.63814,0.99456,0.09828,0.08868,0.62109,1.0,0.06188,0.0713,0.3803,0.43151,0.41761,0.39075,0.33829,0.36255,0.26431,0.2716,0.29697,0.31704,0.0,0.02642,0.40757,0.46726,0.47654,0.49189,0.35173,0.40006,0.21099,0.22721,0.36017,0.39518,0.04389,0.05605,0.38605,0.43732,0.21162,0.18845,0.39455,0.38562,0.34047,0.32661,0.41179,0.40056,0.0,0.02642,0.40757,0.46726,0.47654,0.49189,0.35173,0.40006,0.21099,0.22721,0.36017,0.39518
cowboy,0.37474,0.36491,0.36805,0.42879,0.28498,0.29924,0.42646,0.52213,0.12718,0.16161,0.49692,0.7276,0.40417,0.3947,0.50902,0.66234,0.36222,0.419,0.62496,0.97611,0.11249,0.10305,0.61087,1.0,0.06759,0.09847,0.36925,0.40536,0.37597,0.3609,0.30838,0.3091,0.27554,0.27564,0.28157,0.28732,0.0,0.00347,0.37854,0.40507,0.42362,0.4245,0.34254,0.39333,0.21436,0.22246,0.33056,0.33311,0.0632,0.06501,0.38149,0.42547,0.21537,0.18247,0.40363,0.37281,0.31837,0.29936,0.40507,0.40192,0.0,0.00347,0.37854,0.40507,0.42362,0.4245,0.34254,0.39333,0.21436,0.22246,0.33056,0.33311
cowboy,0.37156,0.3663,0.36243,0.43236,0.26074,0.29562,0.42331,0.5068,0.15046,0.19239,0.50046,0.73931,0.40384,0.35275,0.49481,0.56666,0.32348,0.3614,0.64393,1.0,0.13873,0.14926,0.60199,0.97069,0.06232,0.07369,0.3491,0.36829,0.35762,0.35173,0.28696,0.29107,0.27541,0.27877,0.28026,0.28162,0.0,0.00381,0.35993,0.37608,0.40084,0.40806,0.31483,0.34001,0.22221,0.23006,0.3352,0.35161,0.07244,0.07221,0.37994,0.39185,0.23218,0.20594,0.40937,0.37028,0.31202,0.28082,0.41076,0.37045,0.0,0.00381,0.35993,0.37608,0.40084,0.40806,0.31483,0.34001,0.22221,0.23006,0.3352,0.35161
cowboy,0.35362,0.36306,0.30604,0.31666,0.24501,0.31352,0.39066,0.47507,0.16561,0.22027,0.45864,0.65359,0.34791,0.30453,0.45021,0.52793,0.28749,0.33217,0.61961,1.0,0.15838,0.22926,0.55018,0.85176,0.0321,0.04333,0.29004,0.30228,0.32656,0.32565,0.25106,0.25926,0.24044,0.2424,0.24696,0.24976,0.0,0.00547,0.33178,0.36919,0.34808,0.34127,0.29556,0.33121,0.20281,0.22027,0.29079,0.31812,0.04935,0.04794,0.33559,0.33964,0.20163,0.18646,0.345,0.30307,0.28425,0.25611,0.36651,0.30571,0.0,0.00547,0.33178,0.36919,0.34808,0.34127,0.29556,0.33121,0.20281,0.22027,0.29079,0.31812
cowboy,0.34813,0.35799,0.28913,0.31582,0.26944,0.33833,0.37696,0.43643,0.16284,0.22525,0.46098,0.6581,0.3291,0.29747,0.46136,0.59545,0.34085,0.43785,0.62858,1.0,0.1447,0.21815,0.56831,0.91626,0.04628,0.0593,0.28443,0.29971,0.33385,0.33352,0.25589,0.2689,0.25014,0.25115,0.25159,0.25732,0.0,0.00894,0.34855,0.35111,0.34613,0.3427,0.30483,0.33489,0.22708,0.2258,0.28836,0.3014,0.0505,0.05581,0.33464,0.34171,0.20519,0.19073,0.34154,0.29173,0.29542,0.2742,0.37225,0.34106,0.0,0.00894,0.34855,0.35111,0.34613,0.3427,0.30483,0.33489,0.22708,0.2258,0.28836,0.3014
cowboy,0.35878,0.36007,0.29278,0.33117,0.26442,0.31284,0.38659,0.44505,0.14012,0.21633,0.46114,0.6636,0.34857,0.33452,0.48876,0.61217,0.30622,0.34554,0.62364,0.99665,0.09587,0.112,0.58702,1.0,0.02965,0.03763,0.28579,0.30285,0.33526,0.33373,0.25534,0.26373,0.24427,0.2496,0.26048,0.26237,0.0,0.00607,0.39193,0.37914,0.35365,0.35723,0.32329,0.3528,0.21274,0.21508,0.30195,0.34877,0.0391,0.05103,0.34222,0.3574,0.20982,0.18443,0.34424,0.28366,0.30225,0.27231,0.38151,0.34605,0.0,0.00607,0.39193,0.37914,0.35365,0.35723,0.32329,0.3528,0.21274,0.21508,0.30195,0.34877
cowboy,0.38209,0.37614,0.28023,0.32285,0.2586,0.30047,0.38321,0.46285,0.13362,0.19768,0.43626,0.5995,0.3106,0.22101,0.50164,0.67265,0.29484,0.31648,0.62178,1.0,0.11848,0.15076,0.60115,0.96229,0.0,0.00257,0.26994,0.26679,0.33396,0.3325,0.2484,0.25544,0.21585,0.21937,0.25363,0.27184,0.001,0.0066,0.39549,0.40622,0.34504,0.34146,0.31749,0.33528,0.16699,0.15316,0.29385,0.34518,0.0072,0.01657,0.3328,0.34991,0.19544,0.17838,0.32538,0.28174,0.28139,0.2485,0.36396,0.30557,0.001,0.0066,0.39549,0.40622,0.34504,0.34146,0.31749,0.33528,0.16699,0.15316,0.29385,0.34518
