Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
mermaid,0.4744,0.47608,0.52623,0.54763,0.43266,0.41332,0.57309,0.60747,0.01726,0.0,0.70756,0.94894,0.41933,0.45933,0.79089,0.92008,0.43198,0.47669,0.79148,1.0,0.39695,0.40242,0.52223,0.53058,0.55233,0.55035,0.50243,0.50898,0.54162,0.52634,0.54351,0.55782,0.11226,0.07286,0.7083,0.90949,0.39496,0.45832,0.68547,0.74612,0.39466,0.4555,0.76802,0.9335,0.42573,0.43128,0.54704,0.57245,0.09121,0.10838,0.56172,0.58315,0.36395,0.35338,0.53893,0.5218,0.50804,0.511,0.55491,0.58749,0.39496,0.45832,0.68547,0.74612,0.39466,0.4555,0.76802,0.9335,0.42573,0.43128,0.54704,0.57245
mermaid,0.45461,0.45007,0.51126,0.53576,0.41914,0.40499,0.54803,0.58524,0.01997,0.0,0.70335,0.96928,0.3967,0.4403,0.74743,0.89945,0.40224,0.43252,0.78696,1.0,0.38347,0.38903,0.50006,0.51172,0.52683,0.52589,0.47362,0.50045,0.52069,0.50035,0.53844,0.5217,0.08174,0.05845,0.66886,0.85905,0.37756,0.41915,0.73413,0.78653,0.40091,0.46763,0.76447,0.94434,0.42035,0.42135,0.53877,0.54933,0.07677,0.07222,0.52805,0.54204,0.3446,0.34394,0.50962,0.51272,0.50116,0.50374,0.51172,0.54883,0.37756,0.41915,0.73413,0.78653,0.40091,0.46763,0.76447,0.94434,0.42035,0.42135,0.53877,0.54933
mermaid,0.50267,0.4881,0.54456,0.56699,0.46364,0.46041,0.5922,0.6094,0.03616,0.0,0.72256,0.89197,0.46734,0.49922,0.78815,0.95057,0.43426,0.44793,0.80064,1.0,0.4391,0.45554,0.5388,0.55889,0.5683,0.56689,0.52403,0.54505,0.55105,0.51541,0.59038,0.55372,0.16971,0.16088,0.70626,0.84468,0.42815,0.46314,0.79574,0.92755,0.48008,0.52184,0.79625,0.92755,0.48337,0.48459,0.59563,0.60755,0.13662,0.13261,0.57967,0.59009,0.38773,0.40347,0.54368,0.56094,0.5432,0.54758,0.57335,0.62968,0.42815,0.46314,0.79574,0.92755,0.48008,0.52184,0.79625,0.92755,0.48337,0.48459,0.59563,0.60755
mermaid,0.46325,0.46738,0.49062,0.52469,0.40453,0.40224,0.53769,0.56557,0.01914,0.0,0.64852,0.84247,0.39759,0.43259,0.76607,1.0,0.41245,0.41539,0.71862,0.97439,0.37546,0.38272,0.49501,0.54267,0.52206,0.52924,0.47312,0.49792,0.49412,0.45752,0.54954,0.52247,0.09777,0.10399,0.65971,0.8041,0.36381,0.40669,0.73563,0.92713,0.38428,0.41113,0.72807,0.84314,0.40157,0.42447,0.5584,0.62453,0.09173,0.10148,0.53855,0.56374,0.33546,0.34715,0.50423,0.51387,0.48826,0.48536,0.51582,0.57775,0.36381,0.40669,0.73563,0.92713,0.38428,0.41113,0.72807,0.84314,0.40157,0.42447,0.5584,0.62453
mermaid,0.48297,0.50029,0.51082,0.5506,0.41763,0.42153,0.55219,0.58446,0.0,0.01589,0.67511,0.86093,0.39207,0.41799,0.78475,0.99573,0.40496,0.4607,0.74554,1.0,0.37566,0.36445,0.52228,0.57331,0.55174,0.55529,0.48592,0.51477,0.51739,0.48404,0.5754,0.58571,0.08068,0.07277,0.67584,0.82426,0.3889,0.43404,0.75601,0.86843,0.40459,0.53529,0.76628,0.97864,0.41107,0.43654,0.57393,0.65561,0.08144,0.12235,0.55949,0.57863,0.35442,0.35049,0.53266,0.5656,0.51331,0.50925,0.52166,0.57738,0.3889,0.43404,0.75601,0.86843,0.40459,0.53529,0.76628,0.97864,0.41107,0.43654,0.57393,0.65561
mermaid,0.47267,0.47679,0.50216,0.52681,0.42069,0.44325,0.5439,0.55753,0.01237,0.0,0.66811,0.81699,0.40736,0.45125,0.75893,1.0,0.40529,0.46236,0.73432,0.92648,0.38798,0.39197,0.50492,0.53023,0.54297,0.54739,0.47837,0.50224,0.50382,0.48752,0.55478,0.57703,0.11781,0.10433,0.67562,0.82693,0.39635,0.40991,0.74554,0.81445,0.4222,0.51463,0.74323,0.93116,0.42721,0.43097,0.56928,0.64392,0.09856,0.14372,0.54824,0.56182,0.36172,0.35335,0.53365,0.56084,0.50478,0.50273,0.5353,0.59234,0.39635,0.40991,0.74554,0.81445,0.4222,0.51463,0.74323,0.93116,0.42721,0.43097,0.56928,0.64392
mermaid,0.46338,0.45647,0.48649,0.52372,0.40933,0.4308,0.53129,0.5851,0.03133,0.0,0.65244,0.8896,0.40681,0.45889,0.75882,1.0,0.42426,0.45219,0.69426,0.90941,0.37661,0.37463,0.48978,0.52083,0.52565,0.52437,0.4603,0.48168,0.47183,0.45703,0.53415,0.56166,0.11382,0.09524,0.66399,0.84673,0.37893,0.43434,0.72619,0.84849,0.3789,0.45517,0.72403,0.90467,0.41035,0.39583,0.5374,0.56166,0.09741,0.10863,0.53403,0.54092,0.33819,0.32347,0.52254,0.54483,0.47039,0.47842,0.52162,0.56855,0.37893,0.43434,0.72619,0.84849,0.3789,0.45517,0.72403,0.90467,0.41035,0.39583,0.5374,0.56166
mermaid,0.4905,0.48176,0.50604,0.54709,0.43211,0.43002,0.55483,0.60973,0.02481,0.0,0.68982,0.94627,0.40017,0.44251,0.81454,1.0,0.39668,0.40246,0.72845,0.92694,0.36565,0.35131,0.50928,0.52121,0.55353,0.54163,0.47749,0.49643,0.48847,0.45638,0.53383,0.52597,0.10057,0.05274,0.66483,0.83396,0.39196,0.46848,0.68877,0.74851,0.40054,0.48037,0.71511,0.86429,0.41358,0.41475,0.52558,0.52706,0.0835,0.09477,0.56001,0.56176,0.34372,0.33267,0.54619,0.56176,0.48416,0.48929,0.52387,0.59318,0.39196,0.46848,0.68877,0.74851,0.40054,0.48037,0.71511,0.86429,0.41358,0.41475,0.52558,0.52706
mermaid,0.48071,0.48892,0.49451,0.53176,0.42249,0.41992,0.55813,0.60771,0.0318,0.0,0.70032,0.92663,0.37036,0.37201,0.81784,0.98986,0.38915,0.37101,0.74715,1.0,0.35818,0.34238,0.51156,0.49558,0.54503,0.53663,0.4619,0.48325,0.47159,0.45571,0.50436,0.50691,0.0762,0.04513,0.6353,0.73705,0.35911,0.37956,0.65656,0.71081,0.39648,0.49051,0.67678,0.86261,0.38855,0.39467,0.52289,0.55672,0.07486,0.10041,0.5526,0.55483,0.32897,0.31892,0.54552,0.53136,0.47833,0.47361,0.5092,0.56954,0.35911,0.37956,0.65656,0.71081,0.39648,0.49051,0.67678,0.86261,0.38855,0.39467,0.52289,0.55672
mermaid,0.47663,0.48099,0.48934,0.52056,0.43047,0.44042,0.56135,0.62061,0.04249,0.0,0.69246,0.94892,0.41352,0.40972,0.80065,1.0,0.41604,0.42379,0.73117,0.99461,0.38848,0.37993,0.51174,0.53838,0.53514,0.52961,0.47132,0.48666,0.45724,0.4364,0.52227,0.51718,0.1445,0.14784,0.63969,0.77979,0.38425,0.40424,0.68596,0.7129,0.39546,0.49306,0.72515,0.88898,0.4153,0.4163,0.54239,0.58681,0.11607,0.13158,0.54145,0.54998,0.33994,0.34795,0.52691,0.51279,0.47825,0.48392,0.50748,0.55108,0.38425,0.40424,0.68596,0.7129,0.39546,0.49306,0.72515,0.88898,0.4153,0.4163,0.54239,0.58681
