Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
number6,0.31573,0.31232,0.18005,0.18899,0.18854,0.19116,0.2317,0.27185,0.12745,0.12175,0.19053,0.21631,0.11138,0.0543,0.50022,0.98651,0.14206,0.14002,0.19214,0.20568,0.16636,0.17383,0.20119,0.21853,0.30234,0.30156,0.17789,0.1775,0.08297,0.09827,0.25025,0.27663,0.15165,0.15462,0.19942,0.20568,0.22562,0.37037,0.51519,1.0,0.12312,0.10416,0.28521,0.35133,0.13841,0.1314,0.20764,0.20115,0.01028,0.0,0.18951,0.17746,0.12473,0.12303,0.18258,0.19744,0.17585,0.16461,0.189,0.20521,0.22562,0.37037,0.51519,1.0,0.12312,0.10416,0.28521,0.35133,0.13841,0.1314,0.20764,0.20115
number6,0.31227,0.31111,0.1695,0.17808,0.19102,0.21124,0.21917,0.25344,0.11646,0.10981,0.17876,0.19373,0.12907,0.08664,0.49322,0.92153,0.1379,0.13973,0.18954,0.2077,0.1626,0.17544,0.21683,0.24825,0.29745,0.28941,0.1728,0.1773,0.08544,0.09079,0.23937,0.28154,0.13506,0.13783,0.19266,0.20878,0.21899,0.34725,0.51373,1.0,0.12511,0.11025,0.28865,0.34959,0.12195,0.1265,0.20368,0.20389,0.00461,0.0,0.18148,0.177,0.12063,0.12166,0.17624,0.18154,0.17341,0.16221,0.18196,0.18331,0.21899,0.34725,0.51373,1.0,0.12511,0.11025,0.28865,0.34959,0.12195,0.1265,0.20368,0.20389
number6,0.30524,0.30718,0.16539,0.17408,0.19262,0.19552,0.20211,0.21896,0.10131,0.10062,0.17297,0.18546,0.14895,0.10328,0.4866,0.91187,0.12436,0.1257,0.19437,0.21858,0.15832,0.16685,0.23426,0.28309,0.29181,0.29101,0.16874,0.17776,0.09109,0.11637,0.23374,0.29135,0.12137,0.11834,0.19375,0.20685,0.1954,0.25541,0.50591,1.0,0.13344,0.11055,0.29256,0.33311,0.1031,0.1002,0.22664,0.25186,0.00526,0.0,0.18092,0.17507,0.11913,0.11911,0.17881,0.17738,0.17237,0.16155,0.181,0.19466,0.1954,0.25541,0.50591,1.0,0.13344,0.11055,0.29256,0.33311,0.1031,0.1002,0.22664,0.25186
number6,0.30521,0.30709,0.17338,0.1892,0.19279,0.18634,0.20933,0.23625,0.09673,0.09718,0.17927,0.19202,0.14189,0.10171,0.4841,0.88693,0.1223,0.12716,0.19729,0.22088,0.16308,0.16217,0.23083,0.28817,0.29152,0.29522,0.17472,0.18386,0.09225,0.10999,0.23451,0.28143,0.11878,0.11623,0.19773,0.20145,0.15089,0.18019,0.51252,1.0,0.15445,0.13484,0.30118,0.37754,0.11349,0.07874,0.24455,0.29641,0.00894,0.0,0.18531,0.17831,0.12374,0.12272,0.18347,0.19197,0.1761,0.16558,0.1855,0.20675,0.15089,0.18019,0.51252,1.0,0.15445,0.13484,0.30118,0.37754,0.11349,0.07874,0.24455,0.29641
number6,0.3026,0.30183,0.1711,0.18125,0.19167,0.18965,0.22113,0.23635,0.10131,0.10009,0.18585,0.19899,0.16166,0.15228,0.48923,0.90929,0.12852,0.13214,0.18566,0.20182,0.1453,0.1582,0.21715,0.25765,0.28814,0.28837,0.17276,0.18403,0.08427,0.10686,0.2337,0.24561,0.12311,0.12597,0.19681,0.20023,0.13443,0.11372,0.50987,1.0,0.14839,0.13274,0.30114,0.41002,0.12208,0.10069,0.23813,0.26459,0.00472,0.0,0.1778,0.17555,0.12096,0.11715,0.17509,0.18523,0.17358,0.1612,0.1802,0.18639,0.13443,0.11372,0.50987,1.0,0.14839,0.13274,0.30114,0.41002,0.12208,0.10069,0.23813,0.26459
number6,0.30219,0.29818,0.16728,0.17432,0.18785,0.18869,0.23403,0.24258,0.10969,0.10829,0.18552,0.19045,0.16833,0.19281,0.48661,0.93389,0.13212,0.13189,0.18197,0.20251,0.13726,0.15866,0.20608,0.2373,0.28991,0.28943,0.16527,0.17376,0.0863,0.11395,0.23136,0.23631,0.11974,0.12536,0.19097,0.20581,0.15433,0.1941,0.49828,1.0,0.13097,0.11764,0.28692,0.35421,0.11874,0.10108,0.22696,0.25193,0.00337,0.0,0.18111,0.17814,0.11722,0.11455,0.17457,0.18153,0.17082,0.15746,0.18151,0.19049,0.15433,0.1941,0.49828,1.0,0.13097,0.11764,0.28692,0.35421,0.11874,0.10108,0.22696,0.25193
number6,0.30453,0.30068,0.16502,0.17629,0.1868,0.19182,0.23064,0.25688,0.11181,0.11624,0.17899,0.19173,0.1113,0.04993,0.49629,0.96976,0.1285,0.12473,0.17534,0.18959,0.14601,0.16514,0.20548,0.22622,0.29247,0.28901,0.16936,0.17462,0.08982,0.10492,0.23655,0.28245,0.12133,0.12121,0.18553,0.19949,0.20778,0.27906,0.50679,1.0,0.11525,0.08604,0.2908,0.34413,0.11752,0.1014,0.21337,0.2547,0.00272,0.0,0.18351,0.17672,0.11459,0.11161,0.17644,0.18161,0.16901,0.15476,0.18151,0.19345,0.20778,0.27906,0.50679,1.0,0.11525,0.08604,0.2908,0.34413,0.11752,0.1014,0.21337,0.2547
number6,0.30493,0.30186,0.16572,0.17788,0.19528,0.20144,0.22211,0.2319,0.10756,0.11473,0.18379,0.21326,0.1044,0.0108,0.5079,0.97725,0.1241,0.12424,0.17609,0.1849,0.14668,0.16408,0.21377,0.23271,0.292,0.28832,0.1732,0.18015,0.07895,0.09451,0.25266,0.32191,0.13717,0.13649,0.19254,0.21695,0.21288,0.34384,0.51773,1.0,0.11944,0.08474,0.30692,0.40254,0.11004,0.09125,0.20956,0.23845,0.00276,0.0,0.18371,0.17805,0.11587,0.11122,0.17744,0.18542,0.16891,0.15654,0.18208,0.18889,0.21288,0.34384,0.51773,1.0,0.11944,0.08474,0.30692,0.40254,0.11004,0.09125,0.20956,0.23845
number6,0.29955,0.29785,0.16552,0.17965,0.19168,0.19475,0.21378,0.22044,0.09153,0.09914,0.181,0.20951,0.13075,0.09337,0.48621,0.91738,0.11627,0.11928,0.18661,0.2099,0.14645,0.16041,0.21153,0.22917,0.28964,0.28967,0.16685,0.18249,0.07286,0.09914,0.24721,0.28098,0.1375,0.13916,0.19057,0.19677,0.1582,0.20749,0.50406,1.0,0.14068,0.12384,0.30338,0.39798,0.10698,0.08976,0.21548,0.2333,0.00021,0.0,0.17729,0.17711,0.11368,0.10886,0.17357,0.17879,0.16797,0.15955,0.17776,0.1833,0.1582,0.20749,0.50406,1.0,0.14068,0.12384,0.30338,0.39798,0.10698,0.08976,0.21548,0.2333
number6,0.29989,0.2961,0.16596,0.17335,0.18684,0.19007,0.22162,0.25133,0.09352,0.09332,0.18605,0.19784,0.15241,0.11024,0.48057,0.91038,0.12616,0.12863,0.18647,0.20274,0.14267,0.14693,0.20547,0.22775,0.29039,0.2912,0.16678,0.18444,0.07872,0.0977,0.23072,0.26014,0.13046,0.13009,0.18509,0.18809,0.13522,0.13739,0.4998,1.0,0.14913,0.16008,0.29978,0.37025,0.11839,0.10388,0.21643,0.2323,0.00297,0.0,0.17489,0.17142,0.11708,0.11213,0.17338,0.17361,0.17117,0.16188,0.17675,0.18534,0.13522,0.13739,0.4998,1.0,0.14913,0.16008,0.29978,0.37025,0.11839,0.10388,0.21643,0.2323
