Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
sidestep,0.0,0.02286,0.72273,0.71835,0.63013,0.63275,0.74444,0.81238,0.4227,0.39899,0.70508,0.7586,0.62354,0.62045,0.90825,0.97408,0.64335,0.64541,0.68696,0.6904,0.62672,0.61201,0.78733,0.86036,0.02475,0.03446,0.70147,0.70762,0.90771,0.91537,0.7378,0.71799,0.54991,0.58916,0.77683,0.76475,0.60519,0.56174,1.0,0.99605,0.63211,0.6563,0.86465,0.92399,0.632,0.6085,0.77902,0.7781,0.01746,0.0306,0.78347,0.70393,0.57698,0.5294,0.91648,0.83575,0.694,0.65806,0.7841,0.72924,0.60519,0.56174,1.0,0.99605,0.63211,0.6563,0.86465,0.92399,0.632,0.6085,0.77902,0.7781
sidestep,0.0,0.02167,0.67026,0.69044,0.57459,0.57757,0.68391,0.73961,0.38662,0.37481,0.65252,0.70768,0.55794,0.54308,0.82894,0.87372,0.59543,0.60119,0.64541,0.69076,0.57434,0.57214,0.7016,0.7519,0.02505,0.02773,0.65031,0.65723,0.83067,0.83684,0.67781,0.66681,0.50291,0.53255,0.718,0.73131,0.53327,0.47795,0.95069,1.0,0.59123,0.62578,0.78992,0.80459,0.58462,0.58331,0.70397,0.72828,0.01789,0.03029,0.69195,0.65659,0.51011,0.48178,0.81279,0.74536,0.6211,0.60311,0.69172,0.66202,0.53327,0.47795,0.95069,1.0,0.59123,0.62578,0.78992,0.80459,0.58462,0.58331,0.70397,0.72828
sidestep,0.0,0.01675,0.63794,0.65603,0.56165,0.5707,0.66523,0.72535,0.36811,0.36584,0.62261,0.66038,0.5708,0.56324,0.79223,0.86244,0.56845,0.55858,0.62122,0.64764,0.55862,0.55298,0.68328,0.71789,0.01811,0.02017,0.62355,0.63256,0.80152,0.82623,0.67912,0.64873,0.49023,0.52252,0.71751,0.70484,0.5722,0.59806,0.92775,1.0,0.55539,0.57785,0.76073,0.80136,0.58917,0.5878,0.70593,0.72147,0.01818,0.0298,0.67401,0.64873,0.48472,0.46377,0.80307,0.74447,0.59264,0.57723,0.68952,0.65992,0.5722,0.59806,0.92775,1.0,0.55539,0.57785,0.76073,0.80136,0.58917,0.5878,0.70593,0.72147
sidestep,0.0,0.00863,0.584,0.59598,0.48796,0.47512,0.60992,0.63321,0.35028,0.36005,0.56904,0.58836,0.51112,0.56227,0.8106,0.76957,0.52256,0.52222,0.58694,0.58596,0.50028,0.49966,0.625,0.66733,0.0238,0.02527,0.57843,0.58469,0.72859,0.75096,0.62221,0.60867,0.43186,0.45453,0.65653,0.64477,0.52726,0.54112,0.89717,1.0,0.49144,0.50135,0.73849,0.77592,0.5285,0.51658,0.64472,0.64872,0.01802,0.02865,0.63002,0.58484,0.42672,0.41307,0.73761,0.64082,0.53667,0.52138,0.62858,0.58512,0.52726,0.54112,0.89717,1.0,0.49144,0.50135,0.73849,0.77592,0.5285,0.51658,0.64472,0.64872
sidestep,0.0,0.01569,0.59046,0.60975,0.50602,0.49931,0.62253,0.62495,0.34103,0.33782,0.57678,0.59583,0.52805,0.57676,0.88689,0.87952,0.53275,0.54119,0.60055,0.602,0.53229,0.53488,0.64086,0.67816,0.02045,0.02429,0.58841,0.5944,0.75429,0.76608,0.61298,0.61333,0.45283,0.46231,0.64418,0.64747,0.51631,0.49845,0.89524,1.0,0.52048,0.56299,0.75588,0.80753,0.53426,0.53918,0.64932,0.66697,0.01501,0.02659,0.64178,0.5901,0.44076,0.42215,0.74433,0.67142,0.54913,0.53144,0.61304,0.59755,0.51631,0.49845,0.89524,1.0,0.52048,0.56299,0.75588,0.80753,0.53426,0.53918,0.64932,0.66697
sidestep,0.0,0.01343,0.60027,0.61545,0.51646,0.51199,0.62334,0.65282,0.34404,0.34551,0.58622,0.59816,0.52998,0.57501,0.88633,0.96849,0.53974,0.54218,0.61477,0.65312,0.54043,0.55508,0.67348,0.73841,0.01978,0.02486,0.59566,0.60534,0.76564,0.77343,0.62221,0.62542,0.45262,0.45923,0.65114,0.677,0.47884,0.41585,0.86489,1.0,0.55467,0.62776,0.73655,0.77622,0.53378,0.52987,0.66982,0.7283,0.01723,0.03072,0.65081,0.6027,0.45286,0.42553,0.76272,0.71276,0.55668,0.54101,0.61785,0.60212,0.47884,0.41585,0.86489,1.0,0.55467,0.62776,0.73655,0.77622,0.53378,0.52987,0.66982,0.7283
sidestep,0.0,0.01615,0.63337,0.6466,0.54322,0.54486,0.6561,0.69864,0.37004,0.37636,0.61932,0.62833,0.57438,0.55043,0.90215,0.97553,0.5697,0.57614,0.64735,0.67401,0.57215,0.58605,0.713,0.78149,0.02619,0.02947,0.62517,0.62182,0.80655,0.81989,0.63832,0.66038,0.46894,0.47114,0.65757,0.7087,0.51772,0.49747,0.86004,1.0,0.58841,0.62105,0.77147,0.78412,0.54839,0.54857,0.66828,0.69647,0.01999,0.03597,0.67636,0.63096,0.48895,0.4507,0.803,0.74866,0.59101,0.57862,0.65597,0.6483,0.51772,0.49747,0.86004,1.0,0.58841,0.62105,0.77147,0.78412,0.54839,0.54857,0.66828,0.69647
sidestep,0.0,0.01676,0.68745,0.70272,0.59772,0.59448,0.72274,0.7709,0.40354,0.39484,0.67989,0.71198,0.62355,0.61434,0.94965,0.99141,0.63245,0.63724,0.70058,0.74935,0.63394,0.63724,0.7353,0.79732,0.03101,0.03561,0.6765,0.67697,0.8675,0.88334,0.69284,0.73151,0.52289,0.52546,0.72232,0.79227,0.57938,0.54028,0.93416,1.0,0.6193,0.62613,0.81371,0.86096,0.61962,0.61973,0.70823,0.7645,0.0246,0.03763,0.712,0.67596,0.5304,0.50425,0.80668,0.76416,0.65156,0.63488,0.69886,0.69144,0.57938,0.54028,0.93416,1.0,0.6193,0.62613,0.81371,0.86096,0.61962,0.61973,0.70823,0.7645
sidestep,0.0,0.01224,0.6517,0.66104,0.57227,0.55701,0.68908,0.73914,0.36946,0.36848,0.63966,0.6708,0.58438,0.58262,0.9692,0.95663,0.58528,0.58262,0.66579,0.72153,0.56945,0.54325,0.6772,0.71049,0.01342,0.03016,0.65138,0.66392,0.8187,0.83132,0.64416,0.67704,0.50315,0.5234,0.66606,0.74618,0.55325,0.51508,0.87378,1.0,0.57228,0.57269,0.71108,0.7633,0.5792,0.56917,0.68485,0.74026,0.01428,0.02504,0.67347,0.64535,0.49689,0.47827,0.75649,0.71049,0.60974,0.59798,0.65267,0.63911,0.55325,0.51508,0.87378,1.0,0.57228,0.57269,0.71108,0.7633,0.5792,0.56917,0.68485,0.74026
sidestep,0.0,0.00895,0.66456,0.67503,0.55356,0.50875,0.69524,0.70829,0.39766,0.41673,0.64699,0.68213,0.58392,0.59496,0.96851,0.97256,0.59451,0.58237,0.67419,0.712,0.58506,0.55944,0.69277,0.717,0.01937,0.04188,0.66194,0.65872,0.80891,0.80547,0.66235,0.70247,0.4814,0.47582,0.67628,0.75655,0.54686,0.50972,0.87766,1.0,0.62574,0.63177,0.71274,0.73977,0.58445,0.57042,0.69333,0.72152,0.02785,0.03219,0.67678,0.64629,0.48434,0.45193,0.72184,0.7057,0.61632,0.6082,0.66568,0.66002,0.54686,0.50972,0.87766,1.0,0.62574,0.63177,0.71274,0.73977,0.58445,0.57042,0.69333,0.72152
