id,acc_rh_x,acc_rh_y,acc_rh_z,gyro_rh_x,gyro_rh_y,gyro_rh_z,acc_lh_x,acc_lh_y,acc_lh_z,gyro_lh_x,gyro_lh_y,gyro_lh_z,acc_leg_x,acc_leg_y,acc_leg_z,gyro_leg_x,gryo_leg_y,gryo_leg_z
1,232,-6,-95,1467,-1373,-1284,552,83,198,798,-545,-1770,-869,-146,-44,798,-545,-1770
2,210,-1,-243,1410,-1715,-1016,415,174,86,376,-786,-1904,-830,-368,-30,376,-786,-1904
3,112,48,-510,1234,-1930,-665,410,126,103,-225,-1021,-2069,-856,-251,-29,-225,-1021,-2069
4,155,6,-580,1131,-2131,-309,432,362,105,-658,-1262,-2279,-830,-197,-3,-658,-1262,-2279
5,175,126,-873,1322,-2451,-54,402,640,-145,-971,-1543,-2480,-905,-155,77,-971,-1543,-2480
6,40,104,-1283,1305,-2412,148,299,786,-280,-1240,-1590,-2500,-882,-134,101,-1240,-1590,-2500
7,71,-55,-1700,999,-2230,262,271,1045,-403,-1382,-1627,-2481,-900,-40,195,-1382,-1627,-2481
8,228,-63,-1949,971,-1953,158,349,1258,-607,-1416,-1543,-2321,-890,45,100,-1416,-1543,-2321
9,411,-113,-2000,1141,-1541,-67,452,1503,-859,-1397,-1279,-2030,-937,49,48,-1397,-1279,-2030
10,291,-267,-2000,607,-866,-336,589,1534,-1025,-900,-962,-1619,-910,-79,65,-900,-962,-1619
11,297,-153,-2000,-97,-194,-617,901,1458,-1157,-522,-604,-1148,-917,-103,110,-522,-604,-1148
12,373,64,-2000,-844,476,-679,1021,1494,-1372,-92,-195,-657,-904,-4,117,-92,-195,-657
13,341,171,-1827,-1102,982,-587,1084,1409,-1197,25,249,-97,-921,102,86,25,249,-97
14,207,234,-1711,-1048,1362,-461,1035,1426,-1069,282,569,470,-952,64,92,282,569,470
15,122,314,-1545,-914,1655,-275,940,1462,-875,602,843,968,-895,-17,65,602,843,968
16,80,345,-1393,-940,1817,4,788,1501,-699,634,1112,1408,-942,-15,30,634,1112,1408
17,-25,332,-1363,-986,1931,323,687,1512,-435,544,1317,1826,-960,203,-21,544,1317,1826
