Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
turnclap,0.17421,0.15433,0.46393,0.56414,0.14665,0.13525,0.42207,0.43543,0.27242,0.24907,0.46375,0.52499,0.10959,0.1623,0.65626,1.0,0.21892,0.25605,0.52685,0.58957,0.14037,0.0,0.73385,0.91679,0.23281,0.2619,0.49904,0.62241,0.47419,0.44902,0.43347,0.4664,0.43106,0.44602,0.46976,0.43755,0.06146,0.04201,0.61107,0.79544,0.56013,0.63451,0.71454,0.76465,0.34395,0.40401,0.66547,0.74346,0.1085,0.10783,0.37606,0.34698,0.22937,0.2649,0.43005,0.45388,0.3786,0.33944,0.41693,0.40495,0.06146,0.04201,0.61107,0.79544,0.56013,0.63451,0.71454,0.76465,0.34395,0.40401,0.66547,0.74346
turnclap,0.28845,0.28733,0.56076,0.65726,0.18192,0.1743,0.51291,0.53284,0.41005,0.39035,0.54935,0.60445,0.18146,0.18379,0.72623,0.77666,0.20757,0.22893,0.68997,0.8629,0.12248,0.0,0.79372,0.75943,0.30881,0.28434,0.58234,0.66526,0.63079,0.61928,0.52013,0.55398,0.56148,0.58429,0.5359,0.556,0.19569,0.20604,0.67035,0.75702,0.83454,1.0,0.75839,0.8698,0.50837,0.58481,0.71131,0.66857,0.21173,0.20812,0.4928,0.48075,0.30196,0.33325,0.54971,0.61037,0.51316,0.47568,0.53644,0.5889,0.19569,0.20604,0.67035,0.75702,0.83454,1.0,0.75839,0.8698,0.50837,0.58481,0.71131,0.66857
turnclap,0.25894,0.27883,0.41756,0.46642,0.0392,0.03444,0.40296,0.43053,0.23393,0.22998,0.42268,0.42614,0.23074,0.19815,0.58339,0.68172,0.0474,0.06436,0.59387,0.72693,0.15512,0.0,0.7246,1.0,0.25043,0.21777,0.48159,0.51801,0.56219,0.5637,0.4106,0.42861,0.4401,0.47643,0.42046,0.46786,0.2262,0.23575,0.596,0.78045,0.65882,0.65619,0.63803,0.83842,0.31346,0.38408,0.62627,0.78744,0.08681,0.08727,0.38004,0.35863,0.23474,0.25523,0.41645,0.41688,0.38485,0.35184,0.41198,0.44274,0.2262,0.23575,0.596,0.78045,0.65882,0.65619,0.63803,0.83842,0.31346,0.38408,0.62627,0.78744
turnclap,0.3599,0.37425,0.58783,0.64586,0.0926,0.07953,0.55761,0.58467,0.32814,0.33308,0.58417,0.59328,0.364,0.3329,0.7518,0.74804,0.04941,0.01853,0.81302,0.88118,0.13507,0.0,0.89419,0.84534,0.4045,0.39727,0.66829,0.721,0.77561,0.77844,0.5648,0.58318,0.65135,0.66149,0.60258,0.61078,0.40602,0.50412,0.79068,0.95546,0.93896,1.0,0.86164,0.88978,0.56715,0.60704,0.81883,0.81213,0.15096,0.14802,0.53773,0.52498,0.33634,0.34749,0.56819,0.59702,0.56137,0.51778,0.58477,0.61892,0.40602,0.50412,0.79068,0.95546,0.93896,1.0,0.86164,0.88978,0.56715,0.60704,0.81883,0.81213
turnclap,0.34026,0.3647,0.58685,0.60907,0.08071,0.06656,0.57092,0.57903,0.35096,0.35765,0.57276,0.56512,0.33768,0.29684,0.73873,0.7573,0.03167,0.0,0.77657,0.873,0.12553,0.0267,0.87652,0.90108,0.40095,0.42588,0.65773,0.69853,0.78332,0.79281,0.57934,0.58672,0.62742,0.62242,0.62757,0.62242,0.38727,0.43404,0.73079,0.85418,0.90503,0.96653,0.84454,1.0,0.59094,0.63762,0.77322,0.7293,0.14567,0.14796,0.54329,0.51321,0.34547,0.35487,0.5762,0.58821,0.5394,0.48503,0.58589,0.59062,0.38727,0.43404,0.73079,0.85418,0.90503,0.96653,0.84454,1.0,0.59094,0.63762,0.77322,0.7293
turnclap,0.41874,0.43269,0.58945,0.58343,0.13313,0.13691,0.58475,0.59877,0.38004,0.37815,0.60092,0.63876,0.48608,0.52913,0.7155,0.80231,0.0784,0.09723,0.76867,0.96071,0.13713,0.0,0.864,0.86009,0.48531,0.52233,0.66119,0.74555,0.76559,0.79045,0.5774,0.57221,0.64245,0.61323,0.64175,0.69884,0.56445,0.63868,0.70962,0.75132,0.84183,0.84831,0.82983,1.0,0.54638,0.61481,0.69583,0.7088,0.20492,0.20789,0.54451,0.51277,0.3799,0.38384,0.60474,0.60659,0.55638,0.50352,0.59891,0.59252,0.56445,0.63868,0.70962,0.75132,0.84183,0.84831,0.82983,1.0,0.54638,0.61481,0.69583,0.7088
turnclap,0.41923,0.43769,0.57864,0.61678,0.12232,0.11847,0.53239,0.55711,0.37027,0.36535,0.56013,0.59496,0.46956,0.50608,0.6209,0.67872,0.01955,0.0,0.7294,0.84266,0.09233,0.01157,0.75956,0.87011,0.44312,0.50681,0.63247,0.71109,0.73422,0.73774,0.52129,0.53727,0.6221,0.57915,0.60674,0.69205,0.61244,0.62806,0.652,0.69688,0.8701,0.90218,0.73956,1.0,0.53536,0.54181,0.59339,0.6796,0.1973,0.20764,0.52264,0.50586,0.33296,0.32172,0.56532,0.61466,0.53193,0.49202,0.56469,0.60155,0.61244,0.62806,0.652,0.69688,0.8701,0.90218,0.73956,1.0,0.53536,0.54181,0.59339,0.6796
turnclap,0.41231,0.42873,0.52898,0.54381,0.07781,0.0693,0.51113,0.54201,0.2821,0.27934,0.50063,0.50539,0.46364,0.45145,0.56903,0.62504,0.0364,0.0,0.71488,0.89825,0.16303,0.07601,0.7284,0.85224,0.47349,0.51128,0.56165,0.56628,0.71028,0.70987,0.4993,0.51447,0.55378,0.51667,0.5555,0.59268,0.56791,0.57028,0.66771,0.77803,0.76307,0.71167,0.72662,1.0,0.42914,0.44099,0.5616,0.61442,0.11928,0.12439,0.47855,0.45195,0.30394,0.32004,0.51611,0.51937,0.4742,0.43495,0.51126,0.54805,0.56791,0.57028,0.66771,0.77803,0.76307,0.71167,0.72662,1.0,0.42914,0.44099,0.5616,0.61442
turnclap,0.385,0.40787,0.56426,0.59217,0.11813,0.10946,0.53446,0.53693,0.34373,0.31366,0.53927,0.57434,0.34707,0.41921,0.714,0.76226,0.0,0.01443,0.70153,0.93448,0.19354,0.08989,0.68818,0.83805,0.43199,0.47939,0.62679,0.71811,0.72292,0.7288,0.51587,0.54014,0.59799,0.55962,0.56085,0.62489,0.47102,0.51687,0.69787,0.74245,0.89728,0.82268,0.73098,1.0,0.39762,0.40376,0.56056,0.65605,0.1487,0.15714,0.51014,0.47708,0.30925,0.33832,0.55392,0.57721,0.50593,0.46393,0.5441,0.59357,0.47102,0.51687,0.69787,0.74245,0.89728,0.82268,0.73098,1.0,0.39762,0.40376,0.56056,0.65605
turnclap,0.2326,0.27876,0.52243,0.64881,0.03714,0.02739,0.4812,0.49212,0.28527,0.25686,0.46887,0.52285,0.1239,0.15859,0.66898,0.76547,0.0,0.0561,0.67913,0.78516,0.12298,0.01543,0.76484,0.93081,0.26574,0.31188,0.58064,0.69996,0.68279,0.69463,0.45977,0.49948,0.53077,0.48007,0.50025,0.53196,0.17955,0.24637,0.64542,0.78029,0.82826,0.88545,0.79925,1.0,0.34892,0.30139,0.66447,0.73088,0.05082,0.05426,0.45815,0.40103,0.23119,0.26845,0.53612,0.50518,0.42558,0.39266,0.47214,0.43563,0.17955,0.24637,0.64542,0.78029,0.82826,0.88545,0.79925,1.0,0.34892,0.30139,0.66447,0.73088
