id,acc_rh_x,acc_rh_y,acc_rh_z,gyro_rh_x,gyro_rh_y,gyro_rh_z,acc_lh_x,acc_lh_y,acc_lh_z,gyro_lh_x,gyro_lh_y,gyro_lh_z,acc_leg_x,acc_leg_y,acc_leg_z,gyro_leg_x,gryo_leg_y,gryo_leg_z
1,-154,-2000,-1739,-669,1506,-1438,790,2000,-290,1065,270,1563,-2000,-231,-609,1065,270,1563
2,192,-1927,-835,-769,1961,-1778,747,1640,-105,927,747,2164,-1638,-293,-849,927,747,2164
3,299,-1443,-284,-1118,2270,-1881,678,1019,83,1529,914,2387,-1303,-337,-423,1529,914,2387
4,280,-1082,540,-1603,2252,-1962,535,289,530,2412,1007,2353,-1093,-47,-91,2412,1007,2353
5,137,-561,690,-2095,2112,-1760,838,-381,1112,2482,879,2321,-882,96,339,2482,879,2321
6,336,-292,1065,-2500,2113,-1501,593,-744,1142,2418,711,2304,-945,-19,210,2418,711,2304
7,639,419,1645,-2500,2050,-1261,439,-1332,1086,1968,515,2066,-819,-72,137,1968,515,2066
8,951,1273,2000,-2287,1606,-1047,520,-1746,1184,1389,313,1744,-625,-204,79,1389,313,1744
9,1071,1759,2000,-313,854,-883,575,-2000,1326,664,66,1341,-464,-292,-81,664,66,1341
10,974,1630,2000,1489,84,-579,589,-2000,1418,-263,-145,732,-332,-290,-67,-263,-145,732
11,928,950,1941,1888,-513,-118,606,-2000,1301,-1130,-373,-25,-318,-167,-63,-1130,-373,-25
12,824,498,1729,1303,-1015,424,524,-1842,985,-1460,-564,-758,-293,1,-51,-1460,-564,-758
13,643,378,1431,625,-1413,959,403,-1480,721,-1626,-576,-1377,-228,134,-23,-1626,-576,-1377
14,501,507,1256,315,-1769,1379,341,-1226,729,-1888,-469,-1912,-146,216,-3,-1888,-469,-1912
15,388,699,1221,820,-2195,1720,201,-927,849,-2243,-362,-2387,-120,198,53,-2243,-362,-2387
16,135,419,1073,1900,-2500,2006,42,-525,1003,-2500,-322,-2500,-212,123,121,-2500,-322,-2500
17,-166,-236,767,2500,-2500,2343,-57,351,967,-2500,-398,-2500,-382,62,189,-2500,-398,-2500
18,-504,-1189,222,2500,-2500,2500,-97,1224,795,-2429,-543,-2500,-555,-56,194,-2429,-543,-2500
19,-759,-2000,-547,1812,-2500,2500,103,1983,718,-1823,-730,-2500,-751,-227,174,-1823,-730,-2500
20,-1074,-2000,-1672,88,-2392,1701,294,2000,472,-1006,-665,-1920,-617,37,1598,-1006,-665,-1920
