Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
wipers,0.1817,0.20786,0.32538,0.38156,0.05785,0.03783,0.42676,0.68394,0.23072,0.30475,0.46356,0.72946,0.15497,0.17174,0.5126,0.77499,0.20587,0.23211,0.56889,1.0,0.15241,0.05655,0.46765,0.73766,0.25768,0.27648,0.24414,0.29177,0.19325,0.18271,0.48945,0.86609,0.31465,0.3467,0.29175,0.35349,0.1831,0.25052,0.54546,0.9005,0.1898,0.15172,0.31678,0.44152,0.20308,0.30394,0.53259,0.89356,0.0,0.02355,0.2711,0.33045,0.1468,0.15001,0.20978,0.21666,0.15681,0.16651,0.26722,0.26883,0.1831,0.25052,0.54546,0.9005,0.1898,0.15172,0.31678,0.44152,0.20308,0.30394,0.53259,0.89356
wipers,0.18668,0.21055,0.33507,0.39838,0.07689,0.0,0.42343,0.67342,0.23221,0.2841,0.47281,0.75406,0.20714,0.25367,0.50362,0.72574,0.17981,0.15979,0.5601,1.0,0.20044,0.13773,0.44931,0.69338,0.26161,0.26746,0.26276,0.32373,0.22585,0.23528,0.49168,0.83248,0.3206,0.3503,0.30556,0.37328,0.15539,0.13497,0.53105,0.85685,0.19457,0.13846,0.3278,0.44973,0.18109,0.22507,0.50974,0.82582,0.03057,0.05471,0.2769,0.3417,0.16407,0.17156,0.23017,0.22981,0.17105,0.18333,0.27615,0.279,0.15539,0.13497,0.53105,0.85685,0.19457,0.13846,0.3278,0.44973,0.18109,0.22507,0.50974,0.82582
wipers,0.17258,0.19015,0.29845,0.38591,0.05588,0.02064,0.39709,0.64917,0.22153,0.28488,0.4561,0.79102,0.17278,0.20624,0.47838,0.66346,0.16334,0.17312,0.53971,1.0,0.16189,0.09749,0.41417,0.659,0.24271,0.25374,0.23282,0.28681,0.18933,0.16645,0.47048,0.82183,0.30365,0.34772,0.29133,0.37448,0.1361,0.16325,0.50236,0.76064,0.17428,0.12204,0.30727,0.44329,0.16182,0.21113,0.48311,0.79733,0.0,0.02035,0.25064,0.32081,0.13353,0.14274,0.20772,0.21113,0.13748,0.15563,0.24324,0.26456,0.1361,0.16325,0.50236,0.76064,0.17428,0.12204,0.30727,0.44329,0.16182,0.21113,0.48311,0.79733
wipers,0.19221,0.1965,0.28498,0.35042,0.05856,0.0367,0.3827,0.58545,0.23593,0.31105,0.44225,0.64608,0.13613,0.15417,0.46596,0.62117,0.19939,0.23864,0.55124,1.0,0.13931,0.05976,0.40999,0.6456,0.25532,0.26755,0.22137,0.26273,0.17048,0.13139,0.45879,0.79625,0.30526,0.34326,0.2841,0.34828,0.1703,0.21324,0.51228,0.84832,0.18956,0.15368,0.314,0.4654,0.18569,0.2839,0.48715,0.78287,0.0,0.02181,0.23863,0.27451,0.13247,0.14219,0.20157,0.20054,0.13868,0.15134,0.2347,0.2349,0.1703,0.21324,0.51228,0.84832,0.18956,0.15368,0.314,0.4654,0.18569,0.2839,0.48715,0.78287
wipers,0.19515,0.20147,0.30224,0.3685,0.05268,0.03387,0.38256,0.57921,0.22661,0.27552,0.44407,0.68768,0.14007,0.14113,0.46003,0.58645,0.21519,0.24386,0.55684,1.0,0.14828,0.05936,0.40915,0.63955,0.25964,0.26963,0.24293,0.28354,0.19371,0.14973,0.45794,0.80001,0.29763,0.33162,0.28725,0.35706,0.18291,0.24251,0.50783,0.83626,0.19066,0.16788,0.3404,0.49362,0.20282,0.30468,0.48817,0.75516,0.0,0.02122,0.24494,0.30275,0.13911,0.1503,0.21251,0.20731,0.14074,0.15899,0.23813,0.25028,0.18291,0.24251,0.50783,0.83626,0.19066,0.16788,0.3404,0.49362,0.20282,0.30468,0.48817,0.75516
wipers,0.18876,0.20601,0.32847,0.40881,0.04691,0.0,0.4084,0.65072,0.19655,0.24263,0.4639,0.71692,0.19684,0.19767,0.44949,0.56234,0.17264,0.17792,0.56183,1.0,0.19815,0.11686,0.44381,0.68888,0.26489,0.24771,0.26601,0.32618,0.25552,0.32229,0.4761,0.76528,0.29306,0.30734,0.30848,0.38949,0.15658,0.16067,0.50804,0.74764,0.18339,0.11647,0.36092,0.52711,0.17734,0.25787,0.50166,0.82979,0.00117,0.0279,0.26819,0.33106,0.15419,0.16882,0.23224,0.23022,0.14814,0.17428,0.26262,0.29166,0.15658,0.16067,0.50804,0.74764,0.18339,0.11647,0.36092,0.52711,0.17734,0.25787,0.50166,0.82979
wipers,0.17505,0.19044,0.31215,0.37839,0.0508,0.02392,0.38266,0.61131,0.19828,0.24311,0.43812,0.67957,0.17647,0.19473,0.4059,0.49363,0.16258,0.14692,0.54408,1.0,0.17095,0.09593,0.42636,0.6629,0.24577,0.24638,0.25056,0.31231,0.21613,0.2235,0.45143,0.76064,0.28356,0.29831,0.29475,0.35434,0.14559,0.1796,0.49479,0.77885,0.16804,0.1189,0.35689,0.521,0.15334,0.21229,0.47773,0.77712,0.0,0.01953,0.23996,0.28271,0.14314,0.15308,0.20254,0.20132,0.14383,0.16289,0.23817,0.25315,0.14559,0.1796,0.49479,0.77885,0.16804,0.1189,0.35689,0.521,0.15334,0.21229,0.47773,0.77712
wipers,0.16527,0.17888,0.31307,0.36879,0.05327,0.02789,0.36502,0.56331,0.21066,0.26175,0.42821,0.72051,0.13107,0.16475,0.40697,0.48098,0.20559,0.28892,0.52376,1.0,0.12522,0.01913,0.38089,0.55102,0.23765,0.2512,0.24481,0.32445,0.17765,0.15501,0.43602,0.77111,0.27492,0.31708,0.28737,0.34743,0.17894,0.23448,0.48191,0.77553,0.17401,0.16681,0.34424,0.5255,0.17988,0.27766,0.43348,0.65222,0.0,0.01055,0.22285,0.25442,0.13293,0.13954,0.18199,0.18299,0.1346,0.15161,0.21576,0.21584,0.17894,0.23448,0.48191,0.77553,0.17401,0.16681,0.34424,0.5255,0.17988,0.27766,0.43348,0.65222
wipers,0.18312,0.20406,0.35349,0.44608,0.07719,0.0,0.3927,0.61153,0.21347,0.23338,0.46113,0.77882,0.20313,0.212,0.44074,0.52907,0.21198,0.21446,0.54139,1.0,0.19156,0.11718,0.39362,0.56428,0.26179,0.25745,0.27587,0.34048,0.25994,0.31404,0.46062,0.74034,0.29497,0.34556,0.3263,0.40595,0.19981,0.25049,0.50178,0.75651,0.20379,0.17401,0.36,0.51044,0.20789,0.28243,0.4611,0.68584,0.04794,0.06485,0.26504,0.3124,0.17608,0.18416,0.23043,0.22609,0.17469,0.1944,0.25531,0.27903,0.19981,0.25049,0.50178,0.75651,0.20379,0.17401,0.36,0.51044,0.20789,0.28243,0.4611,0.68584
wipers,0.17073,0.19033,0.3387,0.41586,0.0708,0.0,0.38048,0.59447,0.21775,0.26762,0.44496,0.74129,0.19827,0.21488,0.44105,0.53512,0.19648,0.23748,0.53437,1.0,0.18072,0.09982,0.38599,0.56368,0.24753,0.24583,0.25882,0.32094,0.23869,0.2626,0.44307,0.71488,0.29291,0.33333,0.31483,0.38515,0.18525,0.20621,0.48948,0.75668,0.1937,0.17882,0.34979,0.5126,0.19322,0.2677,0.45921,0.73813,0.04384,0.05809,0.24876,0.28525,0.16702,0.17396,0.22029,0.21467,0.16949,0.18684,0.24125,0.26203,0.18525,0.20621,0.48948,0.75668,0.1937,0.17882,0.34979,0.5126,0.19322,0.2677,0.45921,0.73813
