id,acc_rh_x,acc_rh_y,acc_rh_z,gyro_rh_x,gyro_rh_y,gyro_rh_z,acc_lh_x,acc_lh_y,acc_lh_z,gyro_lh_x,gyro_lh_y,gyro_lh_z,acc_leg_x,acc_leg_y,acc_leg_z,gyro_leg_x,gryo_leg_y,gryo_leg_z
1,-859,-479,-244,299,-30,-119,-1161,-5,-468,-229,1893,-2089,-938,-123,-266,-229,1893,-2089
2,-766,-390,4,-374,0,78,-880,94,-201,-708,1862,-1884,-912,-83,-230,-708,1862,-1884
3,-824,-347,16,-500,-47,270,-594,145,-57,-1048,1763,-1606,-926,-235,-226,-1048,1763,-1606
4,-862,-298,-24,-234,-143,454,-295,194,150,-1232,1583,-1283,-895,-236,-256,-1232,1583,-1283
5,-945,-437,-150,-81,-203,490,-89,275,215,-1212,1340,-964,-859,-161,-284,-1212,1340,-964
6,-985,-426,-268,-239,-115,434,36,335,256,-1011,1120,-750,-886,-71,-288,-1011,1120,-750
7,-970,-368,-241,-377,-23,360,147,371,239,-686,912,-564,-913,-152,-302,-686,912,-564
8,-963,-323,-194,-427,13,284,221,322,222,-362,718,-404,-888,-173,-264,-362,718,-404
9,-959,-269,-160,-385,7,217,272,251,236,-208,534,-280,-896,-217,-256,-208,534,-280
10,-922,-222,-118,-132,-54,140,336,205,274,-148,212,-120,-886,-180,-264,-148,212,-120
11,-896,-263,-129,124,-118,74,360,150,230,-213,-123,23,-899,-138,-263,-213,-123,23
12,-872,-297,-158,190,-116,36,352,198,145,-269,-404,156,-914,-113,-259,-269,-404,156
13,-880,-306,-190,153,-95,26,262,199,71,-199,-647,301,-897,-154,-237,-199,-647,301
14,-883,-290,-196,80,-68,49,188,216,-6,-148,-853,450,-892,-118,-234,-148,-853,450
15,-932,-249,-206,130,-58,85,113,188,-44,-66,-1027,610,-912,-124,-250,-66,-1027,610
16,-971,-278,-216,162,-33,108,39,123,-39,-88,-1247,771,-886,-127,-236,-88,-1247,771
