Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
byebye,0.03323,0.00863,0.53751,0.4579,0.28931,0.2693,0.43611,0.43161,0.20019,0.25312,0.47464,0.4716,0.3875,0.39411,0.6072,0.65827,0.35135,0.34448,0.79519,0.51387,0.35567,0.38989,0.6104,0.62858,0.08456,0.01985,0.57764,0.69853,0.3878,0.40514,0.48695,0.46075,0.25542,0.32867,0.51364,0.53906,0.25454,0.24117,0.60379,0.53079,0.30096,0.38125,0.84102,1.0,0.32171,0.36066,0.69967,0.73401,0.0,0.01543,0.42493,0.38557,0.33102,0.29944,0.4791,0.41534,0.23894,0.25202,0.44724,0.37886,0.25454,0.24117,0.60379,0.53079,0.30096,0.38125,0.84102,1.0,0.32171,0.36066,0.69967,0.73401
byebye,0.04459,0.02262,0.54093,0.56127,0.31563,0.28721,0.45223,0.4546,0.1434,0.17123,0.47727,0.53907,0.27821,0.30121,0.60758,0.67947,0.18945,0.30463,0.80891,1.0,0.28378,0.26227,0.62193,0.66786,0.02974,0.01152,0.49832,0.42941,0.36193,0.38611,0.45858,0.46357,0.1934,0.28618,0.49115,0.59501,0.29651,0.251,0.55745,0.52361,0.35359,0.38047,0.73803,0.70296,0.2371,0.25014,0.61223,0.68981,0.0,0.01972,0.42068,0.44017,0.3377,0.28874,0.48251,0.4458,0.21583,0.23545,0.44438,0.39226,0.29651,0.251,0.55745,0.52361,0.35359,0.38047,0.73803,0.70296,0.2371,0.25014,0.61223,0.68981
byebye,0.03076,0.0,0.46895,0.42574,0.3149,0.27163,0.41983,0.45287,0.13971,0.18487,0.44691,0.48245,0.35894,0.35145,0.55766,0.56519,0.33049,0.32574,0.69129,0.5338,0.35549,0.29955,0.56492,0.65541,0.03527,0.0142,0.48832,0.49468,0.35598,0.36328,0.40038,0.42054,0.16997,0.2415,0.45899,0.567,0.28051,0.24276,0.50346,0.49034,0.25827,0.34056,0.76042,1.0,0.29576,0.29466,0.56554,0.69808,0.00443,0.02098,0.38752,0.38946,0.31939,0.26942,0.45147,0.39317,0.20864,0.21926,0.38472,0.34679,0.28051,0.24276,0.50346,0.49034,0.25827,0.34056,0.76042,1.0,0.29576,0.29466,0.56554,0.69808
byebye,0.02862,0.00389,0.51815,0.45007,0.30963,0.2789,0.47492,0.47779,0.18736,0.24627,0.50672,0.51915,0.40434,0.38145,0.6222,0.69179,0.35093,0.36124,0.79124,0.50552,0.37413,0.33843,0.57653,0.65025,0.04735,0.01632,0.54682,0.61678,0.39278,0.41316,0.46527,0.47334,0.21252,0.28651,0.51736,0.62587,0.27068,0.28076,0.53442,0.591,0.42389,0.41854,0.85629,1.0,0.25167,0.30635,0.64217,0.76439,0.0,0.01279,0.42486,0.38516,0.33221,0.29485,0.49619,0.41669,0.23391,0.24571,0.42153,0.38025,0.27068,0.28076,0.53442,0.591,0.42389,0.41854,0.85629,1.0,0.25167,0.30635,0.64217,0.76439
byebye,0.05128,0.00437,0.42389,0.49009,0.23338,0.21402,0.3537,0.34679,0.14165,0.18586,0.38977,0.46974,0.30695,0.2925,0.50718,0.60656,0.2856,0.26713,0.705,1.0,0.24895,0.22629,0.41773,0.47873,0.01499,0.00841,0.37518,0.33327,0.30911,0.33725,0.35495,0.33181,0.18384,0.2564,0.4044,0.46061,0.2254,0.23158,0.3851,0.40848,0.25387,0.27689,0.57026,0.43963,0.22685,0.24929,0.45109,0.40374,0.0,0.00646,0.32973,0.35181,0.2419,0.21597,0.38636,0.33557,0.18607,0.19353,0.34634,0.31097,0.2254,0.23158,0.3851,0.40848,0.25387,0.27689,0.57026,0.43963,0.22685,0.24929,0.45109,0.40374
byebye,0.01368,0.00897,0.49598,0.44647,0.33876,0.30114,0.42924,0.47611,0.16444,0.23313,0.48887,0.61144,0.40855,0.37317,0.63916,0.70548,0.42385,0.36192,0.79243,0.87465,0.36779,0.32968,0.53518,0.60683,0.04204,0.02492,0.52775,0.50163,0.3906,0.3997,0.41918,0.40969,0.20449,0.30735,0.54285,0.6729,0.29619,0.27377,0.55395,0.55586,0.22122,0.33522,0.81104,1.0,0.34014,0.34664,0.53649,0.60842,0.0,0.02509,0.41028,0.41297,0.3269,0.28519,0.50435,0.41901,0.24199,0.24673,0.43932,0.37418,0.29619,0.27377,0.55395,0.55586,0.22122,0.33522,0.81104,1.0,0.34014,0.34664,0.53649,0.60842
byebye,0.01431,0.01987,0.63786,0.57507,0.40473,0.3577,0.55705,0.59481,0.20478,0.3085,0.61324,0.73554,0.39341,0.40943,0.80939,0.68518,0.3791,0.4373,0.98053,0.85072,0.37098,0.36171,0.68101,0.78685,0.05649,0.02008,0.64123,0.66966,0.43841,0.4582,0.53394,0.5244,0.22187,0.32856,0.65709,0.77925,0.37854,0.35495,0.6948,0.75159,0.54211,0.46665,0.96934,1.0,0.26887,0.27282,0.65046,0.72382,0.0,0.02599,0.52371,0.49346,0.39536,0.33975,0.63189,0.5282,0.29936,0.30132,0.54873,0.45778,0.37854,0.35495,0.6948,0.75159,0.54211,0.46665,0.96934,1.0,0.26887,0.27282,0.65046,0.72382
byebye,0.07406,0.02204,0.46002,0.53179,0.26708,0.24282,0.37702,0.40097,0.14357,0.18624,0.4113,0.47154,0.28937,0.30958,0.55044,0.55709,0.25745,0.30255,0.71644,1.0,0.26714,0.22262,0.48277,0.49819,0.0246,0.00767,0.39903,0.31699,0.32367,0.34356,0.36363,0.35569,0.17345,0.24776,0.42859,0.47573,0.26572,0.25824,0.44997,0.50283,0.278,0.30434,0.61947,0.36938,0.23274,0.24507,0.42928,0.46293,0.0,0.01321,0.37133,0.41242,0.27378,0.23489,0.42245,0.37732,0.19601,0.2075,0.39621,0.36639,0.26572,0.25824,0.44997,0.50283,0.278,0.30434,0.61947,0.36938,0.23274,0.24507,0.42928,0.46293
byebye,0.05895,0.02186,0.52423,0.45958,0.36578,0.34292,0.4523,0.50975,0.12835,0.15813,0.52954,0.63452,0.41698,0.39455,0.65548,0.66745,0.43905,0.42392,0.80455,0.87896,0.41288,0.38287,0.58518,0.59658,0.04355,0.02569,0.55301,0.53246,0.39714,0.41607,0.47229,0.4594,0.18768,0.26394,0.55542,0.67347,0.32834,0.33161,0.57888,0.64355,0.21068,0.3349,0.86266,1.0,0.37634,0.43067,0.63913,0.68086,0.0,0.0277,0.45729,0.475,0.37986,0.32723,0.5156,0.46806,0.2395,0.25719,0.47636,0.42574,0.32834,0.33161,0.57888,0.64355,0.21068,0.3349,0.86266,1.0,0.37634,0.43067,0.63913,0.68086
byebye,0.0298,0.0172,0.51768,0.46772,0.33324,0.31917,0.43789,0.4531,0.13745,0.22405,0.54497,0.63693,0.35836,0.35112,0.63317,0.56582,0.35826,0.36321,0.8168,0.6335,0.33332,0.32856,0.5227,0.58098,0.04941,0.01973,0.55825,0.60868,0.36544,0.39047,0.476,0.45662,0.19386,0.27856,0.5594,0.64054,0.3024,0.31087,0.53833,0.59425,0.44262,0.39552,0.84236,1.0,0.27317,0.3244,0.65387,0.7955,0.0,0.02713,0.4567,0.44822,0.35334,0.3087,0.50351,0.43685,0.24614,0.2587,0.4727,0.41005,0.3024,0.31087,0.53833,0.59425,0.44262,0.39552,0.84236,1.0,0.27317,0.3244,0.65387,0.7955
