Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
chicken,0.43239,0.40395,0.39815,0.42047,0.13989,0.14267,0.36912,0.40474,0.07661,0.11786,0.47299,0.62244,0.23949,0.27598,0.64964,1.0,0.29141,0.33931,0.49748,0.55543,0.23377,0.2314,0.44966,0.51071,0.4523,0.44737,0.38247,0.44492,0.37543,0.41736,0.43211,0.55514,0.09119,0.08223,0.46025,0.53689,0.22655,0.23804,0.52952,0.65,0.24408,0.31609,0.63423,0.86792,0.31201,0.30931,0.48517,0.67561,0.0,0.01644,0.32341,0.34862,0.27658,0.27511,0.30356,0.32316,0.21988,0.19288,0.37681,0.48135,0.14381,0.1206,0.53379,0.66154,0.36246,0.40553,0.61399,0.79001,0.31299,0.31046,0.48518,0.67582
chicken,0.47225,0.43705,0.42883,0.4567,0.15127,0.14792,0.40474,0.45732,0.07956,0.11157,0.5036,0.6704,0.28107,0.2806,0.68324,1.0,0.29914,0.37351,0.5331,0.6857,0.25628,0.25139,0.49675,0.59497,0.49771,0.51022,0.42095,0.49865,0.38463,0.39215,0.46678,0.61727,0.13865,0.08298,0.50885,0.5747,0.24403,0.27159,0.56292,0.70178,0.24407,0.3039,0.71718,0.97413,0.33255,0.32115,0.5275,0.73441,0.0,0.00809,0.35517,0.41196,0.30273,0.3081,0.33779,0.36045,0.23227,0.20432,0.41205,0.53368,0.13877,0.1473,0.56849,0.69534,0.42009,0.51519,0.68826,0.86056,0.33359,0.32239,0.5275,0.73449
chicken,0.56089,0.53639,0.44404,0.46169,0.19895,0.23132,0.45168,0.53083,0.08399,0.12488,0.53805,0.70737,0.32633,0.3896,0.72637,1.0,0.36213,0.39047,0.57616,0.7031,0.3251,0.29777,0.54354,0.63779,0.57037,0.59292,0.45016,0.47395,0.43558,0.43047,0.48933,0.60379,0.1713,0.13566,0.54492,0.58736,0.30696,0.31029,0.5925,0.74215,0.29274,0.33342,0.69364,0.79624,0.35413,0.32177,0.55338,0.72502,0.01206,0.0,0.42404,0.48752,0.3466,0.35168,0.39904,0.41682,0.2505,0.17828,0.47289,0.60197,0.15284,0.15619,0.59253,0.74215,0.36296,0.35707,0.68984,0.76511,0.35527,0.32281,0.5534,0.72502
chicken,0.71664,0.67518,0.52528,0.59136,0.26795,0.28275,0.52802,0.61061,0.12926,0.20071,0.64159,0.82775,0.3973,0.41272,0.77372,1.0,0.46688,0.4617,0.75801,0.92015,0.39687,0.38028,0.66864,0.78809,0.7254,0.71641,0.54586,0.55253,0.54112,0.5,0.59756,0.70783,0.221,0.24717,0.60458,0.69244,0.34825,0.32608,0.70246,0.88656,0.38613,0.43742,0.80802,0.97656,0.41657,0.37442,0.66985,0.85465,0.03741,0.0,0.53095,0.54678,0.4431,0.44182,0.47826,0.50691,0.31857,0.21683,0.58832,0.71997,0.16278,0.14064,0.7025,0.88667,0.38345,0.4347,0.80803,0.97666,0.41796,0.37589,0.66987,0.85454
chicken,0.70233,0.69092,0.51667,0.53117,0.27352,0.29068,0.52747,0.53291,0.16208,0.21852,0.60972,0.727,0.43704,0.43929,0.72658,0.91731,0.3798,0.37531,0.75146,0.98314,0.3756,0.42191,0.64526,0.76257,0.69936,0.67621,0.53455,0.58371,0.50079,0.46034,0.57003,0.65341,0.23759,0.27473,0.57711,0.58759,0.35954,0.35773,0.6559,0.79896,0.32419,0.36141,0.76609,0.9999,0.41392,0.39513,0.66716,0.78414,0.04095,0.0,0.50559,0.51922,0.43829,0.44338,0.45909,0.48078,0.31836,0.22792,0.57303,0.63604,0.17842,0.17661,0.65596,0.79937,0.32162,0.35854,0.7661,1.0,0.4153,0.39636,0.66716,0.78373
chicken,0.70514,0.70213,0.53038,0.54629,0.26498,0.31498,0.55011,0.58455,0.15209,0.2395,0.61769,0.71944,0.40029,0.42633,0.77031,1.0,0.40948,0.43504,0.71266,0.92836,0.39146,0.45288,0.69232,0.81286,0.6958,0.68035,0.52778,0.5492,0.54037,0.51737,0.57872,0.69953,0.20271,0.2619,0.59039,0.63795,0.36196,0.3803,0.68071,0.814,0.37107,0.4027,0.72903,0.85785,0.42564,0.40415,0.68386,0.87755,0.03429,0.0,0.52325,0.54806,0.44443,0.44417,0.50387,0.47092,0.31747,0.23183,0.58423,0.64095,0.17824,0.19658,0.68075,0.814,0.36845,0.40021,0.72905,0.85796,0.42702,0.4056,0.68386,0.87755
chicken,0.61506,0.61583,0.46418,0.46793,0.25111,0.26829,0.47556,0.46549,0.1198,0.15251,0.55101,0.66857,0.34237,0.3166,0.66656,0.91063,0.36569,0.33994,0.67763,0.90574,0.398,0.47182,0.60529,0.68204,0.59175,0.57042,0.46967,0.48042,0.48535,0.45771,0.5102,0.61701,0.17232,0.22542,0.50213,0.5554,0.30842,0.32112,0.64706,0.79077,0.29209,0.35332,0.6971,1.0,0.36976,0.29742,0.59871,0.80416,0.02938,0.0,0.46226,0.49408,0.39865,0.39819,0.44623,0.41619,0.28204,0.20841,0.51382,0.54464,0.14813,0.16083,0.64709,0.79077,0.28979,0.35079,0.6971,1.0,0.37097,0.29851,0.59872,0.80398
chicken,0.59071,0.59092,0.43117,0.43969,0.23328,0.23744,0.44255,0.47791,0.08346,0.09148,0.51158,0.60502,0.30407,0.30212,0.64502,0.91258,0.31118,0.23398,0.64834,0.78971,0.3887,0.44254,0.52979,0.6134,0.53635,0.54838,0.42575,0.49148,0.46453,0.44479,0.46063,0.55184,0.13586,0.15824,0.47962,0.54777,0.27321,0.22309,0.59461,0.65292,0.26775,0.27376,0.70005,1.0,0.35756,0.28465,0.55912,0.69615,0.03242,0.0,0.4308,0.47592,0.37304,0.38063,0.39736,0.39914,0.27771,0.19836,0.48798,0.5751,0.11998,0.06987,0.59464,0.65318,0.26556,0.27168,0.70003,1.0,0.35873,0.28604,0.55915,0.69598
chicken,0.60635,0.60264,0.44768,0.4776,0.21022,0.222,0.46807,0.51203,0.0859,0.10687,0.54014,0.67573,0.32976,0.3542,0.69836,1.0,0.36847,0.31932,0.65298,0.8745,0.36366,0.40121,0.59057,0.74275,0.57696,0.59769,0.44765,0.47154,0.49103,0.49688,0.49579,0.54333,0.14397,0.17169,0.5124,0.5807,0.2753,0.21282,0.65956,0.82988,0.34286,0.35384,0.68059,0.82225,0.39775,0.38156,0.55187,0.66811,0.02522,0.0,0.45137,0.4798,0.37883,0.38671,0.40951,0.40608,0.27809,0.20547,0.51133,0.60678,0.13169,0.05913,0.66361,0.83795,0.34052,0.35145,0.68058,0.82198,0.39901,0.38285,0.55189,0.6682
chicken,0.64403,0.60782,0.48488,0.50094,0.23075,0.26383,0.52273,0.53261,0.15742,0.22721,0.60303,0.65463,0.35668,0.3523,0.73189,0.93914,0.45699,0.49936,0.69768,0.84255,0.36861,0.43028,0.70168,0.85017,0.65685,0.64305,0.49289,0.51321,0.52331,0.53201,0.55731,0.61098,0.18391,0.19396,0.56312,0.63444,0.36141,0.33884,0.73522,1.0,0.35442,0.41029,0.65701,0.7806,0.45461,0.44849,0.63637,0.76784,0.01735,0.0,0.4699,0.47699,0.40458,0.40633,0.43441,0.45077,0.28048,0.22464,0.54005,0.59476,0.20662,0.21257,0.73577,0.9997,0.35191,0.40772,0.657,0.7806,0.45596,0.45007,0.63638,0.76784
