id,acc_rh_x,acc_rh_y,acc_rh_z,gyro_rh_x,gyro_rh_y,gyro_rh_z,acc_lh_x,acc_lh_y,acc_lh_z,gyro_lh_x,gyro_lh_y,gyro_lh_z,acc_leg_x,acc_leg_y,acc_leg_z,gyro_leg_x,gryo_leg_y,gryo_leg_z
1,532,-1101,-1733,-270,-1961,982,48,49,-93,-750,1623,1118,-1416,-188,523,-1194,1616,1121
2,754,-1135,-2000,-305,-1888,733,294,127,306,-458,1040,1081,-1241,-58,525,-901,1034,1084
3,614,17,-1315,88,-1493,849,296,-258,495,295,516,728,-1000,150,593,-147,509,731
4,-87,-1325,-2000,255,-1267,1247,186,-917,788,552,285,-13,-523,281,267,109,279,-10
5,126,-1201,-2000,-442,-62,-105,9,-663,948,-326,172,-667,-23,-28,377,-769,165,-664
6,105,-1123,-2000,86,745,-681,-74,-355,907,-572,18,-766,80,-1,-363,-1016,12,-763
7,44,-1219,-2000,159,1508,-1094,-23,-295,752,-401,-288,-733,-69,373,-1136,-844,-294,-730
8,-252,-997,-1563,-118,2074,-1487,-40,-384,556,-255,-572,-808,-616,-67,577,-698,-579,-805
9,-483,-616,-1133,-31,2383,-1739,301,-140,332,-332,-1019,-949,-1329,-429,-191,-775,-1026,-945
10,-163,-321,-635,292,2303,-1710,628,441,-313,50,-1731,-1212,-1393,-216,-452,-392,-1737,-1209
11,278,-123,-48,318,1900,-1416,734,711,-1985,155,-1983,-1237,-1688,429,-386,-288,-1989,-1234
12,564,437,447,614,1181,-634,632,1151,-2000,-307,-1371,-1328,-1789,598,-364,-750,-1377,-1325
13,587,619,843,1315,337,75,468,1606,-2000,-50,-1169,-996,-1681,579,-296,-493,-1175,-992
14,427,290,716,810,-389,402,556,1608,-2000,-305,-249,-266,-1338,458,-411,-748,-255,-263
15,162,651,506,-254,-878,674,552,1603,-2000,-330,349,382,-925,-240,-401,-773,343,385
16,-42,635,251,-498,-1250,1018,387,1446,-1812,125,910,958,-407,-582,30,-318,903,962
17,-138,377,-46,-531,-1332,1230,-40,978,-901,615,1248,1371,-114,-240,647,171,1242,1375
18,-228,-16,-335,-159,-1424,1248,-524,595,-267,787,1488,1587,-253,-63,849,344,1482,1590
19,65,-474,-826,-35,-1405,1122,-729,266,207,788,1615,1607,-107,440,-49,344,1609,1610
20,484,-783,-1243,-248,-1220,870,-664,-580,940,274,1688,1101,-30,620,-298,-168,1682,1104
21,613,-963,-1460,-216,-912,765,-166,-664,1667,-1611,1235,800,-745,126,38,-2055,1229,803
22,336,-1125,-1867,-672,-913,800,243,-416,1361,-1680,63,753,-1552,-228,413,-2124,56,757
23,466,-966,-2000,-931,-689,517,443,-836,648,-418,-850,257,-1237,-253,510,-861,-856,260
24,376,-1411,-2000,-33,-28,148,333,-793,202,154,-1382,-591,-1650,-264,496,-288,-1388,-588
25,452,-1625,-2000,-67,555,-609,172,-438,35,-43,-1946,-1385,-1521,26,290,-486,-1952,-1381
26,534,-1088,-2000,-295,1060,-1050,-395,-40,-180,-1377,-2384,-2135,-1364,61,340,-1821,-2390,-2132
27,342,-695,-2000,80,1642,-1318,-804,655,-687,-2172,-1985,2499,-1001,33,62,2384,-1992,-2497
28,-15,-440,-1259,266,2080,-1571,-799,1224,-716,-1563,-1990,2499,-511,308,-88,-2007,-1996,-2497
29,-245,418,91,294,2192,-1287,-573,1814,-1727,-172,-1683,-2444,-192,396,-268,-616,-1689,-2441
30,-365,894,1655,622,1520,-310,-216,1915,-2000,-117,-986,-1617,365,289,-367,-560,-992,-1613
31,-528,-334,1684,646,961,-450,12,2000,-2000,-95,-173,-673,224,-864,-293,-539,-179,-670
32,-655,816,1736,204,323,-528,90,2000,-2000,403,704,314,-554,1018,1422,-40,697,318
33,-524,713,1112,1819,-468,-109,-245,1805,-2000,731,1598,852,-1263,-804,-1387,288,1592,855
34,20,493,687,246,-745,202,-603,1803,-2000,836,1970,1144,-1902,-362,-580,392,1964,1147
35,296,386,146,-239,-1462,418,-512,1813,-1771,1545,2093,1451,-1918,-185,-459,1101,2086,1454
36,255,82,-885,212,-1996,854,-374,1232,-1259,1962,2125,1489,-1898,668,-456,1519,2118,1493
37,374,-1093,-1754,474,-2282,1372,-42,601,-710,1649,1966,1606,-1850,425,-203,1206,1960,1609
38,474,-1918,-2000,-211,-2284,1513,235,154,-105,859,1810,1618,-1696,310,-213,416,1803,1621
39,750,-713,-1425,-26,-2299,1811,160,-86,514,283,1727,1484,-1371,211,-490,-159,1721,1487
40,-465,-1395,-2000,20,-2170,2211,359,-728,1722,-160,1007,1174,-857,-36,-612,-603,1001,1178
41,0,-1575,-2000,-818,-1061,955,13,-1158,1404,-268,-106,-42,-366,-791,-314,-711,-112,-39
42,24,-1575,-2000,-41,368,-33,-102,-589,1246,-714,293,-436,-285,-375,518,-1157,286,-433
43,81,-1595,-2000,41,1710,-738,-441,121,1303,-1172,-296,-401,-237,-192,778,-1615,-302,-398
44,-271,-1106,-2000,-490,2500,-1285,-698,-574,1105,-1849,-788,-631,-393,457,213,-2292,-794,-628
45,-433,-716,-1392,-853,2500,-1515,-295,-356,593,-1795,-1090,-872,-379,396,-297,-2238,-1096,-869
46,-499,-416,-709,-851,2500,-1454,-83,146,170,-857,-1569,-1072,-556,-241,-85,-1301,-1575,-1068
47,-345,-258,-67,-726,2500,-1205,-115,1165,-783,-157,-2220,-1288,-1236,-269,84,-600,-2226,-1285
48,181,286,723,-298,2305,-737,182,2000,-2000,196,-2239,-1335,-1001,-226,414,-246,-2246,-1331
49,559,945,2000,1009,1218,93,459,1909,-1966,270,-1009,-929,-1223,-322,607,-172,-1016,-925
50,307,110,1399,1755,-387,393,-192,1691,-2000,193,-1061,-815,-1401,88,723,-249,-1067,-812
51,-147,463,712,176,-741,474,-94,1753,-2000,55,-486,-461,-1272,114,526,-387,-492,-457
52,-389,1005,777,268,-1439,736,37,2000,-2000,-326,1089,681,-1210,20,244,-769,1083,684
53,-365,265,344,101,-2217,1071,-95,1088,-1832,1072,1371,1027,-318,324,-56,629,1365,1030
54,-327,-3,-734,159,-2415,1223,-274,346,-924,337,1913,507,54,586,-178,-105,1907,510
55,202,-698,-1468,887,-2218,1238,-390,1020,-144,137,2292,897,366,-64,1033,-306,2286,900
56,607,-1425,-1659,558,-1607,975,-496,882,481,1269,1954,1366,-70,659,-423,826,1948,1369
57,689,-889,-893,-353,-1385,910,-624,-45,785,2020,1990,1485,-613,-83,-99,1577,1983,1488
58,-316,-1225,-1558,-786,-1226,882,-173,-859,1223,1552,1498,815,-1286,-205,-322,1109,1492,818
59,-13,-1175,-2000,-254,-887,420,501,-1113,1386,-621,1073,279,-1369,-184,-342,-1064,1067,282
60,82,-2000,-2000,-55,232,-509,658,-132,1243,-1253,319,63,-1708,329,-398,-1696,313,66
