Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
mermaid,0.24811,0.25102,0.33846,0.40475,0.12819,0.12142,0.45843,0.6047,0.0723,0.0194,0.56313,0.86561,0.2506,0.24485,0.38724,0.389,0.23228,0.15883,0.66604,1.0,0.27657,0.30821,0.53063,0.70074,0.21159,0.21727,0.34672,0.41527,0.38141,0.3572,0.49807,0.71371,0.14003,0.18918,0.57609,0.91889,0.2448,0.24636,0.4873,0.5171,0.27228,0.29523,0.63007,0.93287,0.2665,0.25178,0.54738,0.76321,0.02116,0.0,0.41035,0.53221,0.26071,0.25291,0.34111,0.38441,0.24442,0.22772,0.37365,0.44776,0.15943,0.15152,0.49186,0.51313,0.32317,0.32811,0.62279,0.93268,0.2411,0.23024,0.54808,0.76548
mermaid,0.22201,0.21776,0.31433,0.35488,0.11703,0.10946,0.45602,0.64274,0.08734,0.03258,0.54603,0.8688,0.24508,0.2507,0.37278,0.41518,0.23969,0.20269,0.63659,1.0,0.25215,0.2914,0.51399,0.65097,0.2022,0.20408,0.32548,0.36427,0.37117,0.37917,0.46709,0.64837,0.13744,0.14831,0.549,0.88671,0.23333,0.25997,0.46907,0.53316,0.24298,0.25406,0.60869,0.89263,0.22641,0.21336,0.5066,0.67393,0.02918,0.0,0.40163,0.52105,0.25668,0.25301,0.32971,0.35882,0.23544,0.21058,0.36357,0.4415,0.14268,0.15874,0.47046,0.54058,0.30189,0.31876,0.60336,0.90793,0.2272,0.21417,0.50661,0.67393
mermaid,0.22802,0.21793,0.32959,0.37017,0.12362,0.11703,0.46298,0.64255,0.08624,0.0,0.54422,0.84806,0.243,0.23182,0.37797,0.42909,0.25678,0.20404,0.64742,1.0,0.25776,0.30058,0.53568,0.69647,0.22328,0.22111,0.32826,0.36451,0.37751,0.38947,0.45544,0.59593,0.12771,0.11303,0.54825,0.87755,0.24726,0.26868,0.45699,0.543,0.25074,0.26514,0.58835,0.87149,0.24528,0.23712,0.50778,0.69206,0.04158,0.05298,0.40978,0.50745,0.26359,0.2768,0.34027,0.35498,0.25073,0.2403,0.39081,0.49226,0.14295,0.16448,0.45701,0.54283,0.26151,0.27445,0.58817,0.8606,0.24609,0.23783,0.50777,0.69212
mermaid,0.26612,0.26142,0.36821,0.41072,0.13811,0.13492,0.49519,0.63624,0.09054,0.0,0.59694,0.95684,0.26078,0.24106,0.39615,0.39559,0.2725,0.27988,0.69426,1.0,0.28681,0.31802,0.56726,0.75541,0.25329,0.25192,0.35638,0.39016,0.4151,0.42973,0.49115,0.63746,0.10519,0.03678,0.59322,0.90302,0.2764,0.2982,0.50354,0.61412,0.27873,0.25979,0.63332,0.91843,0.26753,0.26658,0.55612,0.76023,0.0361,0.04466,0.43821,0.52121,0.29045,0.29902,0.36771,0.37631,0.27915,0.31639,0.43306,0.54157,0.15614,0.17822,0.50356,0.61418,0.27702,0.25789,0.6333,0.91856,0.26845,0.26753,0.5561,0.76016
mermaid,0.35806,0.36003,0.42998,0.4709,0.18475,0.14349,0.53867,0.65098,0.11359,0.0,0.66059,0.98837,0.30749,0.30873,0.48427,0.46816,0.31583,0.27631,0.72704,0.99296,0.32477,0.35059,0.58348,0.71815,0.32252,0.3246,0.42257,0.46762,0.45124,0.42022,0.55566,0.68497,0.18378,0.19096,0.65237,1.0,0.32308,0.35497,0.58574,0.68449,0.34753,0.37084,0.69655,0.98495,0.32101,0.31708,0.61707,0.77204,0.08505,0.08413,0.49996,0.59531,0.34312,0.33404,0.42036,0.44436,0.33271,0.35524,0.48748,0.59127,0.24462,0.2495,0.59008,0.68025,0.37429,0.41064,0.69374,0.98475,0.32193,0.3179,0.61705,0.77197
mermaid,0.26996,0.25327,0.35712,0.4002,0.12697,0.14196,0.44033,0.57791,0.06047,0.02357,0.57287,0.91655,0.21683,0.18735,0.44378,0.47652,0.20984,0.13869,0.68852,1.0,0.26081,0.34148,0.51576,0.70146,0.23556,0.22364,0.34008,0.36799,0.37207,0.35168,0.46947,0.57186,0.0787,0.1111,0.56407,0.93483,0.24929,0.26782,0.5056,0.57954,0.28727,0.36975,0.58029,0.84553,0.25698,0.25232,0.51932,0.6723,0.0,0.03567,0.40615,0.50384,0.25295,0.25912,0.31802,0.34298,0.24007,0.25219,0.41243,0.52334,0.18549,0.16302,0.5074,0.58063,0.32802,0.42317,0.57113,0.80686,0.25791,0.25341,0.51931,0.67237
mermaid,0.24873,0.23531,0.31163,0.34147,0.1136,0.10932,0.41586,0.55011,0.06923,0.03228,0.50502,0.82295,0.20967,0.18552,0.36819,0.38041,0.24049,0.26521,0.61577,1.0,0.20595,0.23591,0.48476,0.65434,0.22832,0.20589,0.3072,0.3396,0.33777,0.31717,0.426,0.56765,0.07067,0.11607,0.50227,0.83573,0.19864,0.21252,0.43857,0.50966,0.21029,0.24037,0.51259,0.74663,0.20111,0.20806,0.46348,0.59225,0.0,0.0248,0.37214,0.46848,0.23431,0.24206,0.29784,0.30005,0.20247,0.18576,0.38815,0.49567,0.11694,0.11161,0.44774,0.51026,0.23388,0.26087,0.51171,0.75827,0.20194,0.20903,0.46349,0.59206
mermaid,0.30694,0.29776,0.36766,0.40984,0.11427,0.122,0.51112,0.716,0.05353,0.01884,0.59684,0.95899,0.26878,0.26632,0.39587,0.42788,0.25499,0.27327,0.70132,1.0,0.27512,0.29791,0.6173,0.82518,0.27347,0.25125,0.36718,0.40991,0.41728,0.39484,0.53739,0.74151,0.11517,0.14736,0.60093,0.93146,0.25846,0.29052,0.53338,0.59784,0.29265,0.33877,0.63279,0.96689,0.26142,0.2556,0.62076,0.86894,0.00132,0.0,0.43571,0.54068,0.28157,0.28979,0.36819,0.36057,0.2476,0.23241,0.43364,0.49185,0.17537,0.18416,0.53966,0.57046,0.3059,0.3479,0.63136,0.96095,0.2473,0.24531,0.62031,0.86822
mermaid,0.24118,0.22986,0.32973,0.36525,0.09359,0.13124,0.46911,0.62331,0.05705,0.0,0.55251,0.83037,0.23606,0.24701,0.36678,0.4208,0.25111,0.29847,0.66663,1.0,0.23872,0.22141,0.56591,0.79697,0.22928,0.22076,0.31544,0.34641,0.39849,0.42217,0.49148,0.68237,0.11786,0.10291,0.5391,0.7754,0.23476,0.27053,0.51751,0.59258,0.24485,0.24753,0.58429,0.89501,0.22691,0.17347,0.57544,0.84862,0.01351,0.03028,0.35059,0.41281,0.24805,0.25689,0.31292,0.32108,0.23747,0.23986,0.33603,0.40644,0.17376,0.18477,0.51632,0.59278,0.25675,0.27183,0.58385,0.89365,0.21425,0.17217,0.57463,0.85083
mermaid,0.20172,0.1829,0.28683,0.31684,0.08658,0.09433,0.41496,0.60651,0.05208,0.0,0.48613,0.76061,0.19192,0.18958,0.31273,0.33026,0.21185,0.21975,0.60645,1.0,0.20966,0.20455,0.51068,0.74869,0.20219,0.1913,0.29115,0.31414,0.34146,0.3431,0.42068,0.59931,0.08511,0.0774,0.46545,0.71494,0.20287,0.20466,0.4209,0.46968,0.2127,0.23,0.50249,0.76908,0.20227,0.15318,0.49429,0.7727,0.00829,0.03259,0.29409,0.32514,0.21046,0.21791,0.25935,0.26818,0.20278,0.21376,0.30082,0.37697,0.12479,0.11805,0.42106,0.47987,0.22325,0.23818,0.50183,0.78739,0.20304,0.15399,0.49428,0.7727
mermaid,0.2648,0.25703,0.33081,0.36407,0.11953,0.10458,0.44352,0.59924,0.05643,0.0,0.54057,0.84174,0.23064,0.22444,0.34927,0.37493,0.23188,0.19893,0.65413,1.0,0.24556,0.26839,0.53414,0.68942,0.25178,0.23808,0.33893,0.36653,0.36468,0.3616,0.4642,0.62589,0.10311,0.12213,0.51196,0.77967,0.23499,0.21623,0.45019,0.55163,0.27656,0.29428,0.57068,0.86953,0.26647,0.22697,0.54212,0.74967,0.01851,0.04509,0.3388,0.39653,0.24592,0.25109,0.29801,0.30054,0.23149,0.25109,0.35016,0.43789,0.12307,0.10433,0.4502,0.55144,0.27494,0.29252,0.57066,0.86972,0.24099,0.22078,0.54343,0.76318
mermaid,0.28514,0.27396,0.32371,0.34981,0.12899,0.13583,0.45196,0.62255,0.05948,0.0,0.56371,0.90882,0.2331,0.24975,0.37347,0.40798,0.25901,0.25567,0.66779,1.0,0.22228,0.25741,0.49883,0.66512,0.2615,0.23818,0.34097,0.3763,0.39328,0.39459,0.47108,0.59149,0.07776,0.01843,0.54654,0.81588,0.25559,0.2636,0.50206,0.62033,0.26442,0.31215,0.60651,0.91567,0.2667,0.23616,0.5161,0.5933,0.01474,0.04559,0.35762,0.42391,0.25889,0.26078,0.30708,0.30691,0.24222,0.25311,0.36689,0.45989,0.16444,0.16408,0.50379,0.61906,0.26269,0.3104,0.60652,0.91588,0.23958,0.23132,0.51666,0.62417
mermaid,0.31819,0.30411,0.35035,0.38584,0.14209,0.12948,0.45227,0.59874,0.06431,0.0,0.56515,0.90443,0.25009,0.26782,0.39529,0.41026,0.25717,0.23017,0.67299,1.0,0.25752,0.29361,0.51817,0.69316,0.29957,0.28529,0.36247,0.41463,0.39631,0.39634,0.47873,0.64834,0.09312,0.07572,0.55881,0.8079,0.27012,0.30193,0.50603,0.55133,0.26768,0.32485,0.57955,0.83928,0.25634,0.24272,0.50618,0.6804,0.02596,0.05607,0.38121,0.43448,0.2715,0.27028,0.31948,0.32444,0.2566,0.27669,0.39161,0.50563,0.1919,0.1936,0.50896,0.57023,0.26595,0.32321,0.57955,0.83907,0.25726,0.24381,0.50619,0.68061
