Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
number6,0.4107,0.40613,0.25718,0.30403,0.16541,0.16543,0.31167,0.34088,0.17083,0.17106,0.26838,0.28753,0.20618,0.26673,0.61991,1.0,0.20382,0.17343,0.3579,0.44535,0.25019,0.30032,0.39479,0.5391,0.37291,0.37289,0.24459,0.26347,0.14911,0.12215,0.40016,0.4303,0.14344,0.17872,0.31121,0.35581,0.13346,0.19168,0.52413,0.71788,0.26047,0.27226,0.45316,0.55696,0.21503,0.21862,0.54881,0.81835,0.00202,0.0,0.25744,0.26752,0.20378,0.20295,0.24045,0.2598,0.17379,0.13895,0.28984,0.30989,0.27968,0.25727,0.49698,0.75851,0.25988,0.30584,0.46432,0.57364,0.08217,0.04868,0.48657,0.6958
number6,0.44515,0.43844,0.27471,0.30983,0.17109,0.15026,0.34444,0.37232,0.19569,0.1959,0.29099,0.30348,0.22824,0.33296,0.62871,1.0,0.22477,0.18739,0.38496,0.49963,0.27825,0.3696,0.44475,0.6399,0.39682,0.38786,0.26622,0.2822,0.16529,0.12374,0.43312,0.48236,0.14828,0.1795,0.35747,0.40322,0.13491,0.20442,0.59142,0.82087,0.26942,0.30743,0.51562,0.67641,0.24486,0.30249,0.57706,0.83173,0.00163,0.0,0.28078,0.31989,0.22459,0.23217,0.26368,0.27646,0.19105,0.16013,0.31368,0.34308,0.30785,0.24895,0.52616,0.73995,0.29448,0.34308,0.52109,0.68295,0.09941,0.05909,0.57233,0.87016
number6,0.45912,0.45082,0.27548,0.28773,0.16635,0.13786,0.35137,0.3796,0.20364,0.20741,0.2984,0.32693,0.23025,0.33649,0.58083,0.89889,0.22755,0.18765,0.37774,0.49874,0.26983,0.32764,0.45212,0.66093,0.41246,0.41001,0.27892,0.29909,0.17518,0.14299,0.43003,0.4931,0.15683,0.18033,0.36666,0.40963,0.1426,0.21664,0.6249,1.0,0.29168,0.33226,0.55602,0.78841,0.29867,0.40693,0.60125,0.87342,0.0,0.00095,0.28128,0.29331,0.23366,0.24256,0.27238,0.28882,0.19972,0.1666,0.32569,0.35689,0.28239,0.22383,0.54533,0.72348,0.34447,0.38499,0.55601,0.7886,0.12066,0.05523,0.56534,0.85456
number6,0.41157,0.40933,0.25208,0.27667,0.14705,0.11022,0.34205,0.39626,0.16613,0.16757,0.27969,0.32113,0.21843,0.32136,0.51512,0.68894,0.21936,0.23457,0.35082,0.4645,0.22112,0.21573,0.44009,0.63101,0.38455,0.38248,0.24989,0.26696,0.16112,0.13201,0.37337,0.4821,0.14766,0.1605,0.3095,0.35663,0.19508,0.19642,0.59727,1.0,0.3182,0.34786,0.47986,0.63895,0.28438,0.38236,0.55136,0.82436,0.00167,0.0,0.25258,0.24776,0.21543,0.22409,0.2539,0.26619,0.18123,0.14896,0.29874,0.33031,0.18846,0.15815,0.48697,0.5852,0.34209,0.34762,0.49041,0.65285,0.09648,0.00895,0.5003,0.73864
number6,0.39375,0.37963,0.27159,0.28711,0.15764,0.12921,0.33732,0.41626,0.14718,0.15509,0.28906,0.34671,0.22861,0.2771,0.48873,0.57006,0.204,0.2386,0.39374,0.49268,0.22459,0.18694,0.46503,0.691,0.36171,0.3605,0.25905,0.28633,0.14836,0.12133,0.38123,0.49938,0.14686,0.15858,0.30752,0.35273,0.18376,0.19257,0.5862,1.0,0.28884,0.24491,0.4704,0.63056,0.2287,0.22026,0.51387,0.72836,0.00675,0.0,0.24978,0.25526,0.21065,0.21553,0.24256,0.25447,0.17673,0.15588,0.29034,0.33151,0.154,0.13832,0.46831,0.5251,0.26479,0.24063,0.48799,0.59747,0.16634,0.15408,0.52957,0.77293
number6,0.40018,0.38577,0.28706,0.30957,0.17605,0.17015,0.3335,0.418,0.15481,0.16903,0.30849,0.37599,0.25602,0.25785,0.46533,0.56982,0.20118,0.16702,0.44092,0.64132,0.24601,0.25874,0.48564,0.72081,0.35926,0.35359,0.28099,0.32091,0.16113,0.164,0.39551,0.53748,0.15201,0.17138,0.3284,0.37901,0.21128,0.3012,0.59762,1.0,0.26827,0.22958,0.4851,0.62267,0.20873,0.20981,0.5173,0.70378,0.01813,0.0,0.265,0.27125,0.219,0.22221,0.24602,0.25958,0.18994,0.1668,0.30162,0.35085,0.13521,0.11507,0.4809,0.48553,0.24442,0.23059,0.49424,0.63066,0.22828,0.22757,0.53776,0.79176
number6,0.421,0.41952,0.27312,0.30743,0.18062,0.17659,0.3319,0.399,0.17216,0.18027,0.30268,0.34238,0.25096,0.27282,0.44916,0.55346,0.20637,0.21338,0.42818,0.5526,0.23846,0.26776,0.47515,0.65756,0.37351,0.37468,0.27743,0.29357,0.16782,0.21039,0.38968,0.51098,0.14558,0.1705,0.32576,0.37198,0.2004,0.31168,0.61257,1.0,0.31978,0.3272,0.46821,0.6175,0.18783,0.20625,0.54731,0.75724,0.01631,0.0,0.27578,0.28696,0.22848,0.23293,0.2571,0.26684,0.19387,0.1628,0.30637,0.35778,0.11014,0.11635,0.48311,0.55915,0.34315,0.36066,0.47754,0.62779,0.24388,0.22361,0.55385,0.78018
number6,0.49188,0.48427,0.30768,0.32844,0.21,0.19782,0.36584,0.41099,0.21521,0.22013,0.32271,0.34173,0.28174,0.3035,0.45736,0.5163,0.23715,0.24696,0.39527,0.40962,0.23336,0.19606,0.4555,0.5655,0.44716,0.45055,0.32158,0.32869,0.19712,0.19995,0.39991,0.48715,0.18579,0.20923,0.35778,0.38774,0.33989,0.51899,0.65558,1.0,0.41285,0.45869,0.54253,0.76106,0.18304,0.12799,0.64729,0.98527,0.03502,0.02407,0.31663,0.34524,0.26831,0.27329,0.29731,0.30513,0.22888,0.19443,0.3499,0.41538,0.0587,0.0,0.52035,0.65607,0.39914,0.4276,0.57555,0.73079,0.25721,0.22577,0.57437,0.74903
number6,0.44853,0.44023,0.29629,0.31342,0.20389,0.19516,0.3353,0.36477,0.20762,0.2188,0.29549,0.29827,0.25111,0.28139,0.41895,0.46092,0.23921,0.24128,0.30956,0.31769,0.22465,0.22302,0.36708,0.45248,0.41997,0.42525,0.3092,0.3225,0.20519,0.19389,0.33921,0.40102,0.19168,0.22123,0.34528,0.391,0.4078,0.52319,0.53456,0.63813,0.3961,0.40171,0.5016,0.72537,0.22108,0.13067,0.62011,1.0,0.06242,0.05298,0.29123,0.29754,0.25537,0.26154,0.27924,0.28482,0.22029,0.19157,0.3277,0.37643,0.0941,0.0,0.48868,0.58372,0.37357,0.3596,0.53561,0.72278,0.17359,0.11304,0.45223,0.60177
number6,0.41904,0.41269,0.25449,0.27719,0.17518,0.16129,0.30477,0.33959,0.14875,0.16571,0.27997,0.30133,0.2122,0.25764,0.42855,0.4654,0.21194,0.21275,0.30674,0.33942,0.2084,0.2463,0.36644,0.49691,0.38965,0.39909,0.2725,0.29306,0.1627,0.15018,0.31519,0.37829,0.13834,0.15438,0.31751,0.38708,0.28842,0.50088,0.573,0.8862,0.35489,0.35398,0.46094,0.70218,0.26887,0.35716,0.62201,1.0,0.00784,0.0,0.25713,0.25633,0.21772,0.22545,0.24226,0.2501,0.17807,0.14565,0.29389,0.33443,0.11679,0.0408,0.47433,0.61298,0.38972,0.39059,0.46862,0.70604,0.09985,0.03672,0.4251,0.51624
number6,0.38753,0.39149,0.24916,0.26215,0.17522,0.171,0.32007,0.37559,0.13979,0.1551,0.28537,0.3365,0.2171,0.25377,0.41488,0.46557,0.18647,0.1999,0.36302,0.46141,0.20108,0.21398,0.40771,0.56147,0.37098,0.3789,0.26995,0.27804,0.15258,0.14454,0.30197,0.37453,0.14297,0.1614,0.30063,0.35773,0.22255,0.25772,0.55012,0.87343,0.29577,0.22103,0.4473,0.66884,0.24496,0.18412,0.58736,1.0,0.01131,0.0,0.25276,0.25751,0.20951,0.21228,0.23523,0.24497,0.17648,0.14337,0.27783,0.3165,0.12768,0.09046,0.45503,0.59016,0.31743,0.24791,0.45679,0.66606,0.11922,0.04886,0.40517,0.50109
number6,0.42149,0.4216,0.28587,0.29208,0.17264,0.1662,0.36773,0.45904,0.17266,0.18583,0.32438,0.37806,0.25,0.25282,0.40612,0.44899,0.22437,0.23366,0.42906,0.54696,0.22591,0.23225,0.48973,0.71403,0.40634,0.42113,0.31618,0.34756,0.1916,0.18465,0.34214,0.40074,0.18218,0.19934,0.36964,0.44805,0.22881,0.27033,0.61725,0.98431,0.26229,0.19523,0.53891,0.70639,0.28269,0.26281,0.62661,1.0,0.01996,0.0,0.28691,0.2966,0.23172,0.23307,0.26333,0.27633,0.19382,0.15433,0.31587,0.35079,0.14877,0.1267,0.50995,0.63023,0.26168,0.1964,0.54492,0.68054,0.13188,0.05818,0.47952,0.61289
number6,0.38369,0.38329,0.24752,0.24824,0.15193,0.1494,0.31274,0.38303,0.17323,0.16973,0.30397,0.37286,0.23754,0.23982,0.32039,0.34274,0.2126,0.21558,0.39638,0.49574,0.20218,0.15543,0.43144,0.6057,0.36468,0.37397,0.28357,0.31315,0.17822,0.16623,0.31451,0.36084,0.16092,0.18318,0.34366,0.39197,0.22971,0.36677,0.58565,1.0,0.21442,0.16062,0.49549,0.65927,0.20447,0.08163,0.56603,0.92159,0.02198,0.0,0.266,0.26979,0.21211,0.21261,0.24389,0.2512,0.17983,0.14061,0.29449,0.3169,0.10249,0.08068,0.42827,0.4374,0.20283,0.18169,0.49688,0.63116,0.12375,0.08375,0.43042,0.577
number6,0.39901,0.38921,0.25856,0.26328,0.16336,0.15164,0.30306,0.34201,0.16793,0.16043,0.30641,0.38575,0.22174,0.23054,0.35487,0.37745,0.19158,0.13032,0.39483,0.5175,0.1988,0.16614,0.39848,0.50426,0.37386,0.37624,0.27851,0.29009,0.15778,0.14219,0.32039,0.39025,0.14466,0.17636,0.31568,0.35124,0.21597,0.28361,0.57748,0.94879,0.26978,0.26163,0.48692,0.68194,0.14932,0.04351,0.58303,1.0,0.01174,0.0,0.26413,0.25339,0.21329,0.2168,0.24699,0.25674,0.17672,0.14955,0.29513,0.31526,0.12971,0.09791,0.4666,0.56151,0.24632,0.2601,0.50004,0.66711,0.12277,0.0945,0.41831,0.53832
number6,0.40985,0.39665,0.27042,0.30991,0.15746,0.15473,0.29187,0.33331,0.15594,0.15462,0.28138,0.31523,0.18924,0.22173,0.38515,0.44168,0.20164,0.19866,0.34324,0.39898,0.21245,0.23837,0.35074,0.43836,0.37468,0.37358,0.27395,0.29704,0.15352,0.15784,0.31637,0.39488,0.13412,0.15839,0.30161,0.34895,0.20562,0.23315,0.55049,0.83473,0.31077,0.256,0.46862,0.67706,0.19313,0.09439,0.59479,1.0,0.00736,0.0,0.2547,0.25506,0.21034,0.21685,0.23632,0.24841,0.17392,0.14619,0.29177,0.32344,0.16473,0.13188,0.48816,0.59753,0.29864,0.26033,0.49012,0.65992,0.07391,0.05801,0.41382,0.5155
number6,0.43084,0.42784,0.27607,0.2679,0.17624,0.1697,0.32704,0.37414,0.16424,0.1734,0.28847,0.32466,0.21457,0.27397,0.42201,0.48685,0.2231,0.24785,0.37078,0.43778,0.23773,0.24947,0.39544,0.45506,0.39053,0.39882,0.29246,0.32062,0.17452,0.17953,0.33731,0.40067,0.14181,0.16843,0.34879,0.39102,0.2877,0.38957,0.592,0.95041,0.27217,0.24773,0.52706,0.68476,0.20325,0.13225,0.60933,1.0,0.01472,0.0,0.2704,0.2849,0.2266,0.23282,0.25666,0.27305,0.18842,0.15121,0.30673,0.3446,0.13673,0.07121,0.49781,0.63349,0.28361,0.26738,0.53472,0.65782,0.11511,0.07907,0.47224,0.60707
number6,0.43762,0.43932,0.27696,0.27356,0.18891,0.17148,0.34769,0.39598,0.16567,0.18599,0.29959,0.33601,0.2363,0.30688,0.43277,0.4865,0.216,0.2268,0.3978,0.49033,0.2266,0.17938,0.41796,0.52648,0.39299,0.40854,0.30679,0.33188,0.18354,0.17526,0.34031,0.3922,0.14242,0.16735,0.37511,0.40954,0.27143,0.34403,0.60611,1.0,0.18337,0.21123,0.53276,0.59093,0.20261,0.14483,0.59112,0.92004,0.01442,0.0,0.27098,0.27657,0.23291,0.2393,0.26766,0.28559,0.187,0.15391,0.30816,0.34202,0.15427,0.11287,0.52985,0.61411,0.19505,0.24637,0.52953,0.63999,0.16181,0.16747,0.51311,0.71199
number6,0.42556,0.43018,0.27577,0.29506,0.19015,0.18329,0.35022,0.40202,0.16284,0.1847,0.29855,0.33349,0.23228,0.26473,0.39678,0.49149,0.19299,0.14093,0.39417,0.45435,0.22405,0.20441,0.43935,0.60338,0.38739,0.37726,0.30582,0.32093,0.16906,0.15689,0.32921,0.38225,0.15233,0.16135,0.36259,0.41434,0.27489,0.34851,0.60351,1.0,0.16326,0.16909,0.50087,0.50692,0.19352,0.13096,0.59575,0.93024,0.00922,0.0,0.26258,0.26572,0.22664,0.22741,0.25758,0.26825,0.18326,0.15172,0.30172,0.33783,0.13388,0.09153,0.51084,0.57973,0.17486,0.20277,0.49651,0.49941,0.12851,0.09728,0.49124,0.65349
number6,0.40126,0.40922,0.27275,0.28196,0.18552,0.19696,0.34641,0.39642,0.14805,0.15571,0.29638,0.32128,0.22522,0.2279,0.36444,0.44946,0.19345,0.13248,0.3736,0.42282,0.22264,0.23629,0.4453,0.64812,0.37144,0.36412,0.29671,0.29833,0.1691,0.15843,0.32186,0.38826,0.14992,0.16319,0.35834,0.46583,0.27837,0.45558,0.60935,0.99484,0.18063,0.14087,0.49407,0.57157,0.18072,0.1114,0.59037,1.0,0.00738,0.0,0.25136,0.26026,0.21841,0.22121,0.24328,0.24717,0.17563,0.15571,0.28708,0.32565,0.04778,0.05054,0.41662,0.49921,0.19185,0.16217,0.49248,0.55978,0.11794,0.08035,0.45761,0.56431
number6,0.42154,0.42893,0.28445,0.28539,0.17209,0.16734,0.34571,0.38426,0.16336,0.1712,0.30045,0.32579,0.22281,0.2202,0.40121,0.4408,0.21709,0.18207,0.36471,0.43413,0.21298,0.2099,0.41948,0.5751,0.3855,0.39174,0.30217,0.31977,0.18347,0.19377,0.33297,0.3973,0.14991,0.17284,0.36398,0.45518,0.28473,0.50506,0.62297,1.0,0.19426,0.14687,0.51964,0.6617,0.20772,0.18032,0.59691,0.97077,0.00705,0.0,0.25598,0.26837,0.22721,0.23341,0.24899,0.2589,0.1817,0.1567,0.29204,0.33018,0.02244,0.00479,0.40867,0.51856,0.20584,0.17202,0.51813,0.65994,0.13074,0.11647,0.49075,0.59153
