Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
salute,0.08967,0.07154,0.40694,0.36473,0.11145,0.11397,0.3556,0.33638,0.18535,0.18159,0.37331,0.40603,0.54719,0.58982,0.51319,0.485,0.3263,0.39777,0.44167,0.40715,0.30301,0.37162,0.5559,0.48898,0.05188,0.06643,0.34604,0.32004,0.42321,0.41167,0.3936,0.37964,0.27495,0.30804,0.34977,0.36431,0.09668,0.0,0.59491,0.82275,0.22115,0.23816,0.53361,0.75186,0.23515,0.17113,0.57559,0.59873,0.00486,0.02151,0.31834,0.29491,0.20587,0.21998,0.35288,0.29859,0.24617,0.22628,0.37062,0.33133,0.19196,0.04457,0.63395,1.0,0.23918,0.28178,0.53343,0.74972,0.07698,0.07903,0.5376,0.72601
salute,0.16168,0.1743,0.45591,0.428,0.17794,0.20231,0.45533,0.47466,0.29716,0.29115,0.45969,0.45504,0.51674,0.60846,0.64501,0.84674,0.33931,0.39154,0.54086,0.60889,0.34769,0.45095,0.66143,0.70972,0.16073,0.16579,0.43655,0.43095,0.49437,0.48943,0.47971,0.44899,0.3864,0.39808,0.42507,0.4019,0.11809,0.0,0.62997,0.6404,0.44104,0.57031,0.64518,0.91792,0.31807,0.25409,0.64575,0.61396,0.12272,0.13745,0.40815,0.38974,0.28951,0.3123,0.4597,0.39132,0.36214,0.33562,0.44681,0.43847,0.19412,0.05058,0.70586,1.0,0.4576,0.57608,0.63622,0.88162,0.17298,0.21528,0.60273,0.73926
salute,0.036,0.03615,0.38141,0.32805,0.09092,0.13368,0.38647,0.43665,0.19745,0.19734,0.3898,0.38155,0.40809,0.53645,0.58424,0.7219,0.22922,0.29942,0.47262,0.52451,0.24343,0.34498,0.60474,0.62308,0.05693,0.06312,0.30329,0.31518,0.44973,0.4196,0.34375,0.29542,0.29796,0.30003,0.29169,0.2956,0.14902,0.04724,0.59645,0.92138,0.32206,0.22541,0.57556,0.90038,0.27482,0.24881,0.48355,0.50703,0.0,0.01313,0.32086,0.27978,0.1932,0.2163,0.38702,0.32602,0.25186,0.2365,0.36016,0.34264,0.11952,0.09735,0.61369,1.0,0.3151,0.21852,0.57556,0.90044,0.16221,0.162,0.47271,0.46984
salute,0.02028,0.03565,0.31409,0.33217,0.10228,0.12993,0.34856,0.34098,0.18342,0.18624,0.32675,0.32766,0.45759,0.61981,0.58555,0.75671,0.32354,0.35803,0.42914,0.50167,0.30496,0.38124,0.49613,0.55583,0.00842,0.04826,0.39183,0.36957,0.4685,0.45733,0.46599,0.36778,0.29963,0.31562,0.39146,0.3576,0.2675,0.28955,0.65142,0.98324,0.15947,0.05457,0.58792,0.73916,0.31651,0.32279,0.64048,0.5645,0.0,0.00127,0.31999,0.30208,0.24386,0.24183,0.36074,0.34313,0.24679,0.23123,0.36751,0.34528,0.23318,0.22106,0.65294,1.0,0.18123,0.05414,0.59564,0.7709,0.12578,0.2457,0.61915,0.69317
salute,0.11437,0.102,0.4914,0.39621,0.13666,0.14569,0.45596,0.48401,0.26231,0.26409,0.46809,0.44976,0.45671,0.44673,0.69583,0.94197,0.26844,0.31247,0.53177,0.55637,0.25772,0.30737,0.69503,0.76272,0.07791,0.11881,0.42946,0.40524,0.48241,0.50186,0.47478,0.41378,0.32974,0.33908,0.43184,0.40117,0.08528,0.0,0.65949,0.78353,0.46255,0.55906,0.66602,0.85879,0.19349,0.18539,0.60271,0.56244,0.04605,0.05982,0.40659,0.36506,0.27494,0.29249,0.45794,0.39655,0.31923,0.27305,0.45259,0.41957,0.19579,0.02495,0.75837,1.0,0.48348,0.62688,0.65228,0.86327,0.1392,0.17547,0.57281,0.58215
salute,0.0598,0.03826,0.40605,0.32078,0.11972,0.13484,0.36661,0.37775,0.19723,0.21075,0.38248,0.3327,0.56369,0.66895,0.54315,0.58038,0.29661,0.37836,0.45684,0.4709,0.31897,0.38447,0.56108,0.38722,0.05606,0.08007,0.34912,0.3261,0.42691,0.43019,0.4021,0.30745,0.29368,0.30036,0.34998,0.32689,0.1339,0.02811,0.6111,0.92604,0.25836,0.17995,0.5734,0.87139,0.24127,0.23838,0.58295,0.58423,0.0,0.01748,0.32298,0.29725,0.19735,0.22726,0.36867,0.33618,0.26265,0.2319,0.37106,0.35641,0.20644,0.1286,0.64653,1.0,0.27689,0.20354,0.57118,0.87103,0.07853,0.07102,0.53939,0.66675
salute,0.1469,0.12721,0.39759,0.35206,0.15708,0.18017,0.38097,0.38727,0.25497,0.26152,0.34479,0.3533,0.46889,0.54975,0.62135,0.84417,0.37508,0.4222,0.43777,0.51172,0.25419,0.3733,0.57052,0.54862,0.10318,0.11775,0.40487,0.37746,0.44857,0.44631,0.45341,0.37555,0.32601,0.34986,0.4177,0.39048,0.17217,0.0302,0.63291,0.81555,0.29261,0.27561,0.57459,0.81662,0.31556,0.2462,0.60241,0.54366,0.09186,0.09769,0.37028,0.34682,0.27508,0.29048,0.39446,0.37087,0.30868,0.29093,0.40398,0.36935,0.16864,0.0,0.66596,1.0,0.30969,0.30107,0.57427,0.80265,0.16558,0.22085,0.56948,0.58637
salute,0.15011,0.12785,0.44283,0.38743,0.16222,0.18887,0.39631,0.41327,0.26617,0.26143,0.39683,0.40861,0.35879,0.32223,0.60649,0.80329,0.28642,0.29024,0.48848,0.59928,0.26618,0.25624,0.61401,0.65479,0.11653,0.1269,0.35321,0.34765,0.439,0.43652,0.3488,0.34108,0.30984,0.3182,0.37901,0.37927,0.17795,0.04015,0.62501,0.77898,0.38165,0.48133,0.5496,0.76177,0.23937,0.21736,0.4442,0.49245,0.09629,0.10423,0.36812,0.34002,0.282,0.29606,0.4038,0.37291,0.31272,0.28102,0.41443,0.38446,0.17463,0.0,0.65552,1.0,0.37566,0.4754,0.5496,0.76177,0.2418,0.2199,0.44419,0.49245
salute,0.03266,0.04053,0.41932,0.35824,0.13068,0.14678,0.36608,0.3477,0.2026,0.18027,0.39536,0.38635,0.57881,0.63613,0.57481,0.67464,0.3198,0.39662,0.49718,0.46883,0.45456,0.43135,0.506,0.42329,0.04664,0.06809,0.40353,0.3641,0.45807,0.45877,0.44337,0.36479,0.31844,0.35059,0.41174,0.40558,0.19801,0.1556,0.68235,1.0,0.16579,0.1053,0.59449,0.66803,0.2826,0.32606,0.6618,0.74506,0.0,0.01421,0.32533,0.30663,0.23747,0.24944,0.38302,0.36148,0.27667,0.25082,0.40002,0.35176,0.20803,0.14044,0.69104,0.99359,0.21543,0.12887,0.6069,0.68381,0.11353,0.12005,0.63056,0.86957
salute,0.13988,0.11414,0.40616,0.36039,0.15001,0.16725,0.41624,0.38906,0.25377,0.24453,0.37771,0.39778,0.44033,0.6118,0.69393,1.0,0.34056,0.40359,0.4913,0.62164,0.21801,0.31349,0.60901,0.6509,0.10181,0.1218,0.43625,0.40749,0.47509,0.47255,0.47863,0.44587,0.34244,0.35683,0.43718,0.41456,0.06078,0.00528,0.58771,0.67528,0.35687,0.39501,0.62846,0.8632,0.28586,0.22075,0.66227,0.6762,0.06642,0.07107,0.37928,0.35544,0.26016,0.27888,0.41314,0.41885,0.31031,0.29196,0.41999,0.37195,0.08414,0.0,0.67397,0.74252,0.40446,0.45802,0.61502,0.81313,0.1238,0.18112,0.61096,0.52176
salute,0.07813,0.0736,0.44496,0.38597,0.12377,0.16257,0.44684,0.42792,0.2375,0.24773,0.42381,0.40973,0.34904,0.38872,0.698,0.98484,0.24073,0.2724,0.59021,0.7472,0.27446,0.27325,0.70884,0.73345,0.07571,0.07741,0.34195,0.37201,0.48275,0.4853,0.35611,0.3644,0.3171,0.32894,0.35694,0.37427,0.15873,0.05555,0.64582,0.89313,0.40334,0.5283,0.58635,0.79718,0.23317,0.1964,0.49689,0.65245,0.02555,0.03243,0.3793,0.35361,0.2684,0.28227,0.42379,0.4098,0.31922,0.25816,0.43505,0.42968,0.11026,0.0,0.67664,1.0,0.39538,0.52027,0.58634,0.79718,0.2364,0.19979,0.49687,0.65224
