Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
sidestep,0.06104,0.0893,0.75922,0.78037,0.49648,0.50954,0.74897,0.81357,0.32198,0.2996,0.74409,0.80717,0.62809,0.6351,0.84608,0.89745,0.64877,0.62887,0.74983,0.77016,0.62538,0.60397,0.80911,0.84972,0.0782,0.10383,0.74768,0.76169,0.99081,1.0,0.71194,0.74785,0.58276,0.59359,0.76886,0.88396,0.62336,0.61435,0.8175,0.88257,0.63467,0.61711,0.76856,0.8032,0.63848,0.62818,0.77914,0.79109,0.0,0.01874,0.78756,0.75771,0.73983,0.68767,0.91591,0.91197,0.53572,0.50228,0.80843,0.84245,0.31705,0.3079,0.81773,0.88327,0.63033,0.61296,0.76859,0.8032,0.64081,0.63026,0.77905,0.79109
sidestep,0.07075,0.09534,0.77462,0.78599,0.45866,0.44643,0.76645,0.82498,0.35747,0.35307,0.76506,0.83757,0.65642,0.70031,0.92042,0.95489,0.6489,0.61988,0.7975,0.89422,0.62549,0.62653,0.77729,0.82673,0.08229,0.10933,0.76509,0.78144,0.99813,1.0,0.74085,0.7741,0.58211,0.56743,0.78304,0.88128,0.66408,0.63492,0.89205,0.98549,0.63678,0.64821,0.78883,0.81956,0.68003,0.68423,0.81523,0.79246,0.0,0.02401,0.77894,0.74507,0.74163,0.68143,0.92608,0.91293,0.53295,0.47896,0.80054,0.83582,0.35439,0.32474,0.89217,0.98619,0.63241,0.64401,0.78882,0.81886,0.68238,0.68667,0.81517,0.79246
sidestep,0.07139,0.09409,0.74793,0.76671,0.42669,0.40763,0.75417,0.84865,0.34223,0.33178,0.74239,0.81343,0.60951,0.64295,0.89159,0.98967,0.63518,0.61214,0.76133,0.82241,0.62825,0.63042,0.73073,0.76738,0.07532,0.10018,0.74363,0.76535,0.98133,0.99881,0.72007,0.77314,0.56978,0.55018,0.75856,0.85948,0.61978,0.59995,0.87165,0.99932,0.64122,0.63855,0.77361,0.75977,0.63088,0.64024,0.79553,0.7491,0.0,0.01858,0.75134,0.70356,0.73337,0.68832,0.90398,0.9355,0.53931,0.50108,0.76415,0.77111,0.31989,0.29995,0.87185,1.0,0.63691,0.63381,0.77361,0.75926,0.63314,0.64227,0.79549,0.74859
sidestep,0.06752,0.08271,0.7358,0.75474,0.41763,0.3968,0.73899,0.83503,0.32981,0.32291,0.73099,0.81175,0.62685,0.64003,0.82753,0.92123,0.64184,0.61372,0.72767,0.76705,0.62932,0.62452,0.74254,0.79556,0.08125,0.10498,0.73889,0.75389,0.97947,1.0,0.71682,0.78189,0.54892,0.52904,0.73907,0.81428,0.61981,0.63531,0.84646,0.97807,0.62731,0.60292,0.76287,0.75794,0.61605,0.62182,0.78885,0.74529,0.0,0.01591,0.76969,0.69857,0.70995,0.68254,0.8947,0.83604,0.54599,0.50205,0.80438,0.7625,0.32107,0.33708,0.84671,0.97824,0.62299,0.59888,0.7629,0.75828,0.61832,0.62384,0.78881,0.74495
sidestep,0.07598,0.09544,0.73116,0.77864,0.44885,0.46366,0.73478,0.83007,0.3074,0.26488,0.72387,0.78622,0.60966,0.62222,0.84346,0.93869,0.62968,0.59552,0.72978,0.75754,0.63495,0.62123,0.77799,0.83435,0.08824,0.10929,0.7283,0.74007,0.98034,1.0,0.70663,0.75342,0.56054,0.56025,0.73342,0.79727,0.60954,0.60508,0.83874,0.94973,0.6178,0.60673,0.73933,0.7521,0.62005,0.62618,0.79743,0.84078,0.0,0.02424,0.77865,0.72375,0.73947,0.70595,0.91265,0.86468,0.55189,0.51541,0.80776,0.7671,0.31764,0.31301,0.83895,0.95088,0.61357,0.60211,0.73935,0.75227,0.62228,0.62815,0.79746,0.84061
sidestep,0.08377,0.10067,0.74737,0.80528,0.44548,0.42988,0.74312,0.83319,0.30442,0.28237,0.74529,0.81526,0.62958,0.62917,0.86,0.94367,0.63828,0.60346,0.75097,0.78278,0.63253,0.60346,0.79473,0.86703,0.07749,0.10473,0.73311,0.75859,0.98689,1.0,0.71367,0.76468,0.57095,0.53139,0.75301,0.83522,0.63189,0.60989,0.84388,0.95754,0.6389,0.64744,0.77311,0.81391,0.61749,0.62646,0.81956,0.86906,0.0,0.02082,0.7566,0.71833,0.70872,0.6674,0.89539,0.82761,0.5352,0.50601,0.79561,0.786,0.33222,0.31011,0.84404,0.95754,0.63459,0.64304,0.77308,0.81425,0.61976,0.62849,0.81958,0.86838
sidestep,0.08711,0.09513,0.74859,0.79413,0.4413,0.44582,0.74442,0.83737,0.2936,0.2525,0.73716,0.80329,0.64308,0.62829,0.83037,0.9476,0.6464,0.6388,0.74598,0.76683,0.64979,0.64321,0.75354,0.83076,0.07278,0.09988,0.72816,0.74139,0.97621,1.0,0.69956,0.73224,0.55817,0.53163,0.74362,0.82381,0.654,0.65542,0.82704,0.93386,0.62561,0.64457,0.76446,0.82907,0.61626,0.61845,0.79395,0.77277,0.0,0.01916,0.74378,0.70663,0.71838,0.68255,0.90508,0.92793,0.5068,0.47838,0.81446,0.84602,0.3536,0.35527,0.8272,0.93437,0.62128,0.64016,0.76443,0.82839,0.61853,0.62048,0.79393,0.77226
sidestep,0.08454,0.10918,0.77592,0.79808,0.45131,0.40493,0.7898,0.93008,0.31263,0.28292,0.76702,0.83589,0.63901,0.61221,0.85354,0.98912,0.65528,0.65787,0.76922,0.82573,0.65835,0.64253,0.78829,0.84874,0.05808,0.08028,0.75828,0.76276,0.99394,1.0,0.73552,0.77221,0.56943,0.54193,0.77913,0.87103,0.65768,0.64467,0.89325,0.98091,0.66558,0.66679,0.78788,0.84713,0.63835,0.66501,0.82258,0.88441,0.0,0.01607,0.777,0.72351,0.73352,0.68641,0.93345,0.92633,0.5287,0.47093,0.85362,0.8416,0.34169,0.32859,0.8934,0.98163,0.66103,0.66215,0.78789,0.84784,0.64075,0.6675,0.8226,0.88459
sidestep,0.08596,0.11459,0.71607,0.73756,0.45291,0.45488,0.75502,0.8765,0.29512,0.26631,0.71874,0.77807,0.63082,0.64145,0.8468,0.9927,0.64123,0.62087,0.74565,0.8511,0.61929,0.63647,0.73166,0.78852,0.06369,0.08538,0.71177,0.71516,0.93723,0.94887,0.70101,0.73972,0.5596,0.53754,0.74025,0.82936,0.64699,0.64179,0.84262,1.0,0.60927,0.58834,0.73899,0.76163,0.62879,0.64743,0.74827,0.81658,0.0,0.01798,0.71685,0.68129,0.71245,0.66934,0.89767,0.94838,0.49927,0.45853,0.81491,0.78869,0.35299,0.34831,0.84274,1.0,0.60505,0.58369,0.73902,0.76213,0.63101,0.64975,0.74829,0.81724
sidestep,0.07344,0.09671,0.70153,0.70522,0.42042,0.4026,0.7337,0.84264,0.30335,0.29083,0.70901,0.77483,0.58867,0.58463,0.8319,1.0,0.61122,0.59345,0.71846,0.77124,0.61817,0.62842,0.69225,0.71944,0.05906,0.08364,0.7041,0.70277,0.91304,0.91568,0.69071,0.72548,0.53343,0.50097,0.71481,0.79754,0.59426,0.59672,0.82021,0.89706,0.61092,0.5977,0.73928,0.76159,0.61858,0.63104,0.74228,0.77434,0.0,0.01697,0.71275,0.66649,0.68047,0.62809,0.88287,0.84003,0.47224,0.43397,0.79218,0.78169,0.30485,0.30684,0.82035,0.8982,0.60678,0.59345,0.73934,0.76176,0.62071,0.63332,0.74226,0.77418
