Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
swing,0.63179,0.61762,0.46772,0.52029,0.22501,0.23016,0.54075,0.67891,0.09399,0.08541,0.58601,0.70615,0.3687,0.35421,0.70967,0.89594,0.40319,0.436,0.76717,0.98902,0.32205,0.31134,0.73767,1.0,0.72356,0.70521,0.48551,0.53717,0.58094,0.59194,0.51926,0.56875,0.32751,0.33163,0.55072,0.65469,0.37069,0.41136,0.62858,0.70615,0.38509,0.39293,0.57927,0.69072,0.41434,0.40204,0.71569,0.92721,0.0,0.00837,0.43597,0.41944,0.40666,0.38982,0.53581,0.46872,0.32355,0.30885,0.46752,0.45392,0.37069,0.41136,0.62858,0.70615,0.38509,0.39293,0.57927,0.69072,0.41434,0.40204,0.71569,0.92721
swing,0.56873,0.56335,0.40156,0.43344,0.18419,0.17782,0.49262,0.64425,0.08804,0.06843,0.47835,0.55959,0.39415,0.32643,0.58774,0.7355,0.41193,0.39679,0.59999,0.73907,0.38167,0.36875,0.71958,1.0,0.60311,0.60623,0.41436,0.46266,0.54082,0.5388,0.44853,0.52524,0.23697,0.23206,0.49889,0.6153,0.3487,0.33687,0.59362,0.74768,0.29923,0.23572,0.55174,0.68309,0.32056,0.33156,0.56518,0.68859,0.0,0.00906,0.38589,0.37178,0.36465,0.34054,0.49786,0.41575,0.29909,0.2786,0.44248,0.40329,0.3487,0.33687,0.59362,0.74768,0.29923,0.23572,0.55174,0.68309,0.32056,0.33156,0.56518,0.68859
swing,0.58875,0.59848,0.41913,0.44948,0.18173,0.1472,0.48988,0.58395,0.07887,0.09801,0.52023,0.62726,0.34821,0.29022,0.62229,0.75432,0.37785,0.40684,0.642,0.8962,0.36918,0.33827,0.73917,1.0,0.60579,0.58784,0.43725,0.49649,0.58814,0.61216,0.48582,0.58348,0.24146,0.21159,0.51578,0.59744,0.33694,0.32194,0.63673,0.83362,0.38938,0.39791,0.61197,0.86002,0.35294,0.36771,0.63788,0.73742,0.0,0.00798,0.40158,0.38376,0.40423,0.37512,0.53018,0.49867,0.32388,0.3018,0.46681,0.42393,0.33694,0.32194,0.63673,0.83362,0.38938,0.39791,0.61197,0.86002,0.35294,0.36771,0.63788,0.73742
swing,0.56639,0.56781,0.42308,0.48954,0.17796,0.16592,0.46118,0.53498,0.07576,0.09216,0.5348,0.64872,0.29173,0.27524,0.60679,0.81523,0.29656,0.28032,0.68872,1.0,0.30338,0.29386,0.62463,0.83565,0.61956,0.61128,0.42499,0.48644,0.5612,0.59999,0.50008,0.56979,0.2754,0.24795,0.48201,0.595,0.29197,0.31362,0.58397,0.74835,0.42183,0.43874,0.55719,0.61607,0.36769,0.36216,0.68224,0.93029,0.0,0.00147,0.39116,0.37251,0.3917,0.37533,0.4721,0.49603,0.29615,0.28314,0.4266,0.39368,0.29197,0.31362,0.58397,0.74835,0.42183,0.43874,0.55719,0.61607,0.36769,0.36216,0.68224,0.93029
swing,0.58552,0.57434,0.43169,0.47138,0.18146,0.18804,0.51108,0.60599,0.08181,0.06501,0.54612,0.66621,0.36413,0.33876,0.61879,0.77194,0.36421,0.37812,0.7114,1.0,0.3531,0.31423,0.70197,0.90842,0.67036,0.66928,0.43754,0.48582,0.57149,0.59273,0.5015,0.56722,0.28876,0.2994,0.50679,0.5961,0.32462,0.34944,0.57112,0.66829,0.36833,0.36408,0.5492,0.67215,0.36617,0.35795,0.67187,0.92948,0.0,0.0027,0.40847,0.39157,0.38522,0.36249,0.4755,0.45694,0.2964,0.28911,0.42521,0.40492,0.32462,0.34944,0.57112,0.66829,0.36833,0.36408,0.5492,0.67215,0.36617,0.35795,0.67187,0.92948
swing,0.55997,0.56103,0.39773,0.42316,0.1737,0.18085,0.50026,0.64831,0.0935,0.07275,0.47946,0.57801,0.39712,0.34756,0.55672,0.71815,0.4109,0.40034,0.58107,0.7565,0.35948,0.30063,0.73299,1.0,0.61256,0.6001,0.41125,0.44745,0.53351,0.5466,0.43673,0.51601,0.24833,0.23563,0.49575,0.56851,0.35844,0.35377,0.57919,0.70683,0.32809,0.30283,0.52403,0.73021,0.32729,0.33935,0.55168,0.68437,0.0,0.00665,0.39116,0.36802,0.37153,0.33807,0.51376,0.41312,0.29677,0.27799,0.42947,0.38792,0.35844,0.35377,0.57919,0.70683,0.32809,0.30283,0.52403,0.73021,0.32729,0.33935,0.55168,0.68437
swing,0.66992,0.66804,0.47578,0.50401,0.21215,0.19392,0.57284,0.74381,0.11855,0.15397,0.56949,0.6413,0.39576,0.3571,0.70359,0.87941,0.4011,0.45222,0.73207,1.0,0.39261,0.36133,0.80554,0.96523,0.71567,0.69551,0.48705,0.50031,0.6113,0.63506,0.5245,0.5986,0.30772,0.28418,0.57731,0.7213,0.3705,0.37444,0.71307,0.90467,0.41233,0.43299,0.59043,0.78672,0.39897,0.41185,0.69466,0.84749,0.0,0.00707,0.46036,0.42939,0.44973,0.41206,0.59639,0.53867,0.36004,0.34083,0.50118,0.45127,0.3705,0.37444,0.71307,0.90467,0.41233,0.43299,0.59043,0.78672,0.39897,0.41185,0.69466,0.84749
swing,0.6136,0.61022,0.45409,0.49673,0.19036,0.18285,0.51876,0.61909,0.09936,0.11875,0.56398,0.67151,0.30836,0.31207,0.66763,0.86947,0.31664,0.32659,0.74137,1.0,0.3465,0.33888,0.68031,0.79962,0.69364,0.67493,0.46739,0.49864,0.58648,0.62091,0.51161,0.57333,0.32519,0.32477,0.53653,0.64752,0.28346,0.35501,0.66909,0.76495,0.41246,0.41065,0.56866,0.62776,0.3988,0.38343,0.7152,0.99819,0.0,0.00807,0.42737,0.40894,0.40736,0.39412,0.50088,0.50993,0.32438,0.3153,0.45612,0.4166,0.28346,0.35501,0.66909,0.76495,0.41246,0.41065,0.56866,0.62776,0.3988,0.38343,0.7152,0.99819
swing,0.60235,0.59792,0.44602,0.47679,0.15932,0.15892,0.55288,0.69147,0.10849,0.10087,0.56116,0.6847,0.38488,0.36427,0.67597,0.85938,0.4397,0.45781,0.75077,1.0,0.34562,0.32283,0.72974,0.92553,0.68856,0.67813,0.4812,0.52971,0.61715,0.61639,0.51221,0.56479,0.30099,0.33514,0.56537,0.72911,0.38319,0.39053,0.69727,0.76286,0.39821,0.38027,0.5929,0.70634,0.39855,0.35545,0.69125,0.93856,0.0,0.00978,0.43074,0.41648,0.39142,0.37924,0.50704,0.46068,0.3316,0.32344,0.46813,0.42971,0.38319,0.39053,0.69727,0.76286,0.39821,0.38027,0.5929,0.70634,0.39855,0.35545,0.69125,0.93856
swing,0.52204,0.52017,0.38096,0.41432,0.15686,0.11863,0.5058,0.67418,0.0831,0.06156,0.47756,0.58657,0.39983,0.33789,0.59037,0.74586,0.43398,0.42102,0.61971,0.86016,0.34622,0.34212,0.72659,1.0,0.56678,0.56209,0.41898,0.49842,0.5405,0.5325,0.43831,0.51665,0.2229,0.22887,0.48983,0.58798,0.38087,0.36237,0.59757,0.77712,0.29977,0.27836,0.52799,0.66978,0.30433,0.2648,0.56402,0.77633,0.0,0.00732,0.37558,0.36519,0.35726,0.3275,0.50559,0.41115,0.30822,0.28699,0.44523,0.38025,0.38087,0.36237,0.59757,0.77712,0.29977,0.27836,0.52799,0.66978,0.30433,0.2648,0.56402,0.77633
