Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
turnclap,0.25547,0.24791,0.48047,0.50371,0.21758,0.20603,0.44302,0.45708,0.35895,0.37238,0.52264,0.48758,0.21348,0.1378,0.59337,0.59735,0.12976,0.0,0.65618,0.74648,0.20552,0.12695,0.6501,0.56276,0.24401,0.23772,0.47864,0.50452,0.50985,0.48953,0.48655,0.46265,0.47065,0.45794,0.4979,0.53554,0.14873,0.13019,0.55549,0.61101,0.2684,0.35459,0.73122,1.0,0.45855,0.38942,0.60408,0.62619,0.20127,0.20699,0.43759,0.40379,0.29291,0.35887,0.50568,0.58175,0.40188,0.34536,0.49044,0.50476,0.26261,0.15226,0.68733,0.80496,0.67358,0.819,0.60056,0.74643,0.2907,0.33308,0.60038,0.65398
turnclap,0.13973,0.14208,0.3764,0.39491,0.07936,0.07867,0.35153,0.35168,0.24121,0.25576,0.42208,0.46664,0.11946,0.1028,0.49063,0.58529,0.08721,0.07152,0.57527,0.8189,0.10105,0.00598,0.59742,0.60813,0.12526,0.1012,0.41552,0.47043,0.41173,0.39283,0.39227,0.37612,0.3452,0.32333,0.40605,0.45543,0.05048,0.0,0.51166,0.59741,0.2257,0.32707,0.62383,1.0,0.39987,0.38311,0.54078,0.60392,0.07223,0.08572,0.35133,0.30364,0.21358,0.26462,0.40077,0.42384,0.27257,0.22769,0.40341,0.34543,0.17822,0.08155,0.62705,0.80449,0.53565,0.50139,0.51457,0.73041,0.18934,0.23655,0.5525,0.71584
turnclap,0.18226,0.17783,0.3966,0.43361,0.09847,0.08414,0.37235,0.39451,0.25958,0.24725,0.42436,0.46763,0.19576,0.17802,0.49896,0.66447,0.1307,0.09135,0.60371,0.78385,0.06316,0.0,0.58822,0.65472,0.18719,0.18914,0.42259,0.51789,0.41767,0.41903,0.42185,0.39929,0.38997,0.39748,0.41408,0.46266,0.13199,0.1246,0.5222,0.72273,0.19305,0.25973,0.64148,1.0,0.42981,0.42342,0.55711,0.73262,0.10204,0.1127,0.34291,0.31213,0.22587,0.27679,0.40206,0.42293,0.28009,0.24315,0.3838,0.40109,0.2487,0.25183,0.58138,0.67101,0.55737,0.65233,0.53647,0.69231,0.19692,0.22463,0.57684,0.8387
turnclap,0.26988,0.29106,0.4611,0.48835,0.15589,0.15134,0.4362,0.451,0.32737,0.30306,0.46196,0.49802,0.22944,0.19655,0.54127,0.62039,0.09419,0.0,0.60097,0.67383,0.1329,0.07172,0.62764,0.70694,0.25353,0.23236,0.47277,0.53114,0.49521,0.48705,0.45448,0.41691,0.46113,0.46212,0.46463,0.51379,0.1988,0.21459,0.54875,0.70057,0.22108,0.10902,0.70012,1.0,0.42061,0.4344,0.60404,0.69164,0.18261,0.18706,0.40266,0.37738,0.26042,0.32529,0.46795,0.54035,0.36768,0.31496,0.44689,0.50407,0.26169,0.24287,0.61026,0.66643,0.65586,0.76657,0.56646,0.66695,0.30498,0.35645,0.60845,0.78531
turnclap,0.19446,0.21772,0.38806,0.38954,0.11308,0.10686,0.39138,0.426,0.20965,0.20473,0.39623,0.37866,0.23516,0.17897,0.49291,0.55847,0.07376,0.0,0.56547,0.65085,0.14001,0.0743,0.57791,0.77844,0.19774,0.18316,0.39951,0.42015,0.45407,0.43793,0.38313,0.36148,0.3408,0.32048,0.42137,0.44867,0.17872,0.18416,0.45528,0.60037,0.22609,0.35963,0.62796,1.0,0.32906,0.32048,0.56297,0.67667,0.09827,0.10287,0.3267,0.29941,0.23438,0.27115,0.37726,0.36712,0.27555,0.2339,0.36784,0.39429,0.12143,0.12464,0.47449,0.58169,0.55768,0.59283,0.49615,0.66524,0.17371,0.20024,0.54587,0.71722
turnclap,0.16943,0.17402,0.35156,0.36568,0.12331,0.11415,0.36812,0.37373,0.21165,0.20722,0.37383,0.38712,0.20671,0.18605,0.47031,0.50371,0.08861,0.0,0.52844,0.61844,0.12704,0.07543,0.55001,0.75479,0.18822,0.18822,0.37064,0.41453,0.4111,0.39861,0.36034,0.35949,0.30459,0.28184,0.38352,0.41597,0.19314,0.23173,0.44943,0.57367,0.26413,0.30617,0.57923,1.0,0.37285,0.34569,0.51672,0.63079,0.11,0.1089,0.32201,0.29075,0.22161,0.25669,0.36105,0.35763,0.27622,0.22992,0.35934,0.38328,0.17895,0.18533,0.47225,0.47246,0.4985,0.5549,0.4776,0.68085,0.17563,0.21789,0.51962,0.73729
turnclap,0.19702,0.19333,0.40014,0.42458,0.07775,0.07551,0.40867,0.40929,0.20543,0.19771,0.40917,0.43638,0.16953,0.17306,0.50755,0.57962,0.05947,0.0,0.58509,0.67469,0.15743,0.07515,0.67648,0.929,0.20638,0.23043,0.42965,0.52575,0.46442,0.45884,0.40252,0.4234,0.34793,0.31648,0.40063,0.433,0.1776,0.2034,0.52874,0.66491,0.15701,0.26468,0.68529,1.0,0.38776,0.32561,0.62323,0.82451,0.06936,0.07017,0.35252,0.29965,0.22283,0.26042,0.39557,0.37356,0.27158,0.22782,0.39867,0.402,0.15899,0.15587,0.55919,0.60564,0.57526,0.6607,0.58778,0.83791,0.1293,0.14094,0.60203,0.82653
turnclap,0.1709,0.15903,0.4558,0.51183,0.1308,0.12448,0.41982,0.41847,0.25682,0.23837,0.44881,0.50364,0.13661,0.14422,0.61212,0.81045,0.09522,0.06055,0.63053,0.76904,0.12637,0.04852,0.6655,0.70656,0.19611,0.20707,0.4712,0.56576,0.48001,0.46121,0.44096,0.4777,0.41244,0.411,0.44583,0.49317,0.09816,0.11328,0.5768,0.70981,0.08439,0.0,0.70789,1.0,0.36282,0.27617,0.60868,0.64407,0.08809,0.09896,0.38217,0.33444,0.23723,0.28568,0.44591,0.42334,0.30247,0.25221,0.44329,0.43881,0.24225,0.13664,0.67219,0.73226,0.64709,0.81635,0.6271,0.84837,0.20065,0.25354,0.58877,0.63998
turnclap,0.10597,0.09011,0.37829,0.39041,0.11671,0.10775,0.34691,0.35928,0.22647,0.24218,0.40879,0.43388,0.1179,0.06599,0.57249,0.7261,0.09851,0.03698,0.56573,0.73631,0.09493,0.0,0.58779,0.69858,0.11931,0.12667,0.36825,0.42389,0.41381,0.39488,0.38083,0.39562,0.33338,0.34876,0.4068,0.45779,0.047,0.03974,0.50091,0.57856,0.16406,0.25971,0.62544,1.0,0.35719,0.26524,0.52923,0.56108,0.06704,0.07375,0.32637,0.28277,0.20544,0.25163,0.37964,0.34307,0.25936,0.20764,0.37976,0.37309,0.1963,0.0713,0.60071,0.83497,0.53902,0.59359,0.51798,0.7226,0.1587,0.2155,0.52426,0.57505
turnclap,0.15896,0.15388,0.39583,0.45783,0.13534,0.13404,0.37383,0.38471,0.22265,0.24203,0.41178,0.42048,0.2605,0.25167,0.53701,0.71484,0.13477,0.06239,0.55634,0.71003,0.10072,0.0,0.59004,0.78358,0.15617,0.17315,0.37065,0.40598,0.42034,0.40116,0.38469,0.38995,0.33677,0.35031,0.40781,0.43799,0.10714,0.09149,0.48498,0.49971,0.23266,0.29183,0.61611,1.0,0.36503,0.32961,0.51394,0.48579,0.11339,0.11057,0.33613,0.30529,0.23348,0.26941,0.3743,0.37932,0.28623,0.23602,0.3815,0.38714,0.18156,0.09187,0.56231,0.60571,0.52955,0.60427,0.51021,0.66652,0.19675,0.26789,0.51333,0.5746
